Company,Year_term,Lighting_Fixed rate lighting,Lighting_Meter rate lighting A/B,Lighting_Meter rate lighting C,Lighting_Temporary lighting,Lighting_Agricultural lighting,Lighting_Public street lighting,Lighting_Total Lighting - optional contracs,Lighting_Total Lighting - optional contracs2,Lighting_Total Lighting,Power_Commercial use power - optional contracts,Power_Commercial use power,Power_Small use power_Low voltage power - optipnal contracts,Power_Small use power_Low voltage power,Power_Small use power_High voltage power A - optinal contracts,Power_Small use power_High voltage power A,Power_Small use power_Total Small use power - optional contracts,Power_Small use power_Total Small use power,Power_High voltage power B - optional contracts,Power_High voltage power B,Power_Other power services_Temporary power,Power_Other power services_Agricultural power,Power_Other power services_Construction power,Power_Other power services_Business use power,Power_Other power services_High voltage power B - optional contracts,Power_Other power services_High voltage power B,Power_Other power services_Commercial use power,Power_Other power services_High voltage power A/B,Power_Other power services_Other power services - optional contracts,Power_Other power services_Total Other power services,Power_Total Power - optional contracts,Power_Total Power,Total of Lighting and Power
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧電力Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計
Hokuriku,200303,49654,1170534,88070,7179,0,299232,49386,49386,1664055,4267,11884,2058,212835,1122,9575,3180,222410,265,847,576,3070,3,794,,,11884,,83526,87969,91238,323110,1987165
Kansai,200303,240543,9181501,290699,32505,,1638715,206493,206493,11590456,19446,69506,,957382,1594,42336,1594,999718,542,2923,3785,7683,52,22848,,,69506,,272500,306868,294082,1379015,12969471
Chugoku,200303,138572,3513771,61541,15752,109,586308,180722,180722,4496775,8120,26951,,374828,974,19194,974,394022,450,1431,962,3316,69,1638,,,26951,,246113,252098,255657,674502,5171277
Shikoku,200303,60741,1936078,41878,10370,0,298758,52601,52601,2400426,5833,15901,1546,240942,1031,10016,2577,250958,239,637,1295,13030,11,1796,,,15901,,182516,198648,191165,466144,2866570
Kyushu,200303,180317,5805611,207160,29985,281,648414,225832,225832,7097600,16649,44878,6225,732460,3240,21580,9465,754040,559,1410,2775,26479,122,2631,,,44878,,260061,292068,286734,1092396,8189996
Okinawa,200303,10370,610701,,3404,,69371,8332,8332,702178,363,3650,,54552,64,1286,64,55838,26,108,149,69,4,155,,,3650,,8552,8929,9005,68525,770703
Hokkaido,200302,97645,2548661,85944,12319,,624920,96238,96238,3465727,6956,19627,1124,183290,719,10461,1843,193751,205,555,634,20,33,1776,,,19627,,124065,126528,133069,340461,3806188
Tohoku,200302,166719,4892369,211055,31260,,1163585,58287,58287,6523275,10929,40777,844,776056,2535,27684,3379,803740,633,1981,2010,3452,16,4480,,,40777,,230472,240430,245413,1086928,7610203
Tokyo,200302,620813,19047184,1175186,77938,,3465113,141068,141068,24527302,30391,162103,,1935382,1983,74920,1983,2010302,1057,6113,9467,7442,286,59412,,,162103,,460834,537441,494265,2715959,27243261
Chubu,200302,240357,6429955,478780,41751,1158,1344044,107093,107093,8643138,12523,53169,2862,879373,1242,51055,4104,930428,689,3890,2919,6101,3,4827,,,53169,,532437,546287,549753,1533774,10176912
Hokuriku,200302,49637,1170351,87800,8305,0,298740,48464,48464,1663297,4261,11876,1975,213039,1109,9583,3084,222622,264,849,700,1622,3,800,,,11876,,88673,91798,96282,327145,1990442
Kansai,200302,242574,9223710,290123,33734,,1636211,205130,205130,11631482,19187,69412,,958661,1577,42365,1577,1001026,543,2927,4291,7511,64,22778,,,69412,,276035,310679,297342,1384044,13015526
Chugoku,200302,138294,3516473,61520,17684,129,585472,177984,177984,4497556,7916,26877,,375257,968,19178,968,394435,445,1429,1095,2824,66,1646,,,26877,,247190,252821,256519,675562,5173118
Shikoku,200302,60383,1936660,41886,11260,0,298022,51127,51127,2399338,5806,15848,1533,241143,1010,10010,2543,251153,235,639,1391,12617,10,1787,,,15848,,182808,198613,191392,466253,2865591
Kyushu,200302,179786,5819791,206965,33874,279,646236,220200,220200,7107131,16163,44741,6152,733025,3193,21582,9345,754607,559,1422,3693,25032,136,2620,,,44741,,262782,294263,288849,1095033,8202164
Okinawa,200302,10370,609205,,3426,,69318,8162,8162,700481,349,3647,,54681,63,1285,63,55966,26,108,153,69,3,153,,,3647,,8540,8918,8978,68639,769120
Hokkaido,200301,97970,2545955,85872,15291,,624445,95778,95778,3465311,6902,19625,1125,183533,705,10464,1830,193997,204,556,755,54,34,1764,,,19625,,123862,126469,132798,340647,3805958
Tohoku,200301,167323,4886554,210813,29329,0,1162117,57276,57276,6513412,10808,40720,783,777195,2521,27703,3304,804898,629,1975,1755,2901,16,4501,,,40720,,230794,239967,245535,1087560,7600972
Tokyo,200301,621955,19022926,1173658,77196,,3462193,138049,138049,24495977,29832,161928,,1938843,1963,74991,1963,2013834,1044,6116,9660,7284,321,59307,,,161928,,462583,539155,495422,2721033,27217010
Chubu,200301,240030,6425691,478134,41824,1183,1343429,104262,104262,8634553,12389,53114,2778,881123,1224,51074,4002,932197,689,3916,3070,4539,3,4828,,,53114,,533948,546388,551028,1535615,10170168
Hokuriku,200301,49627,1170312,87585,8560,0,298378,47820,47820,1662282,4245,11858,1844,213358,1102,9587,2946,222945,263,847,718,998,3,809,,,11858,,89321,91849,96775,327499,1989781
Kansai,200301,243383,9235078,289627,34094,,1634303,201725,201725,11638210,18919,69404,,960227,1554,42447,1554,1002674,533,2933,4575,7530,64,22648,,,69404,,277779,312596,298785,1387607,13025817
Chugoku,200301,138102,3517562,61657,17634,128,584843,175433,175433,4495359,7758,26840,,376158,956,19185,956,395343,442,1422,1150,2474,67,1662,,,26840,,248160,253513,257316,677118,5172477
Shikoku,200301,60079,1936902,41909,11139,0,297991,49948,49948,2397968,5769,15794,1497,241643,987,9994,2484,251637,234,640,1435,12641,10,1787,,,15794,,183095,198968,191582,467039,2865007
Kyushu,200301,180439,5823586,206637,32377,284,644760,215589,215589,7103672,15713,44699,5271,734000,3133,21568,8404,755568,559,1425,4085,25711,142,2620,,,44699,,264472,297030,289148,1098722,8202394
Okinawa,200301,10382,608661,,3390,,69198,8009,8009,699640,343,3645,,54917,58,1282,58,56199,26,108,154,69,2,149,,,3645,,8495,8869,8922,68821,768461
Hokkaido,200212,98106,2548887,85732,17709,,623201,95096,95096,3468731,6828,19612,1127,183699,681,10454,1808,194153,201,560,1081,174,38,1758,,,19612,,96121,99172,104958,313497,3782228
Tohoku,200212,167582,4879007,210249,36518,0,1159866,56026,56026,6509248,10564,40704,740,778155,2470,27712,3210,805867,633,1976,2046,2727,18,4499,,,40704,,225307,234597,239714,1083144,7592392
Tokyo,200212,622409,19008057,1171114,76619,,3458275,135277,135277,24471751,29308,161855,,1941885,1937,75080,1937,2016965,1030,6105,9653,7337,330,59259,,,161855,,464872,541451,497147,2726376,27198127
Chubu,200212,239894,6422334,477208,42010,1178,1341617,101239,101239,8625480,12290,53067,2665,882722,1198,51102,3863,933824,673,3868,3079,3820,2,4845,,,53067,,535192,546938,552018,1537697,10163177
Hokuriku,200212,48966,1170650,87215,9140,0,297846,47080,47080,1660897,4242,11852,1670,213683,1092,9599,2762,223282,259,847,756,1042,3,782,,,11852,,86588,89171,93851,325152,1986049
Kansai,200212,244137,9232967,289228,36051,,1632026,197118,197118,11631527,18570,69327,,961851,1534,42471,1534,1004322,529,2953,4615,7682,64,22581,,,69327,,278904,313846,299537,1390448,13021975
Chugoku,200212,137270,3519024,61656,17357,134,583940,172651,172651,4492032,7429,26807,,376822,949,19199,949,396021,443,1431,1232,2546,69,1670,,,26807,,248821,254338,257642,678597,5170629
Shikoku,200212,59773,1937949,41902,10998,0,297252,48486,48486,2396360,5726,15785,1486,242082,967,10003,2453,252085,235,642,1445,12989,11,1786,,,15785,,183490,199721,191904,468233,2864593
Kyushu,200212,181559,5825813,206361,31535,322,642264,211088,211088,7098942,15304,44653,4986,734895,3077,21595,8063,756490,557,1439,3593,42923,140,2611,,,44653,,265718,314985,289642,1117567,8216509
Okinawa,200212,10382,608130,,3385,,69062,7709,7709,698668,331,3638,,55256,59,1281,59,56537,26,109,158,69,2,147,,,3638,,8417,8793,8833,69077,767745
Hokkaido,200211,98325,2553764,85464,20442,,622579,94138,94138,3474712,6727,19566,1122,184021,653,10426,1775,194447,196,564,3135,1630,40,1712,,,19566,,69160,75677,77858,290254,3764966
Tohoku,200211,167674,4872880,209583,35076,,1157746,54568,54568,6497527,10308,40612,499,779090,2406,27734,2905,806824,621,1984,2286,3465,18,4441,,,40612,,196203,206413,210037,1055833,7553360
Tokyo,200211,622705,18993014,1169101,74222,,3453984,132334,132334,24445360,28673,161651,,1944572,1898,75097,1898,2019669,1023,6106,9515,7509,351,59210,,,161651,,465656,542241,497250,2729667,27175027
Chubu,200211,239545,6416216,476539,40377,970,1340235,98112,98112,8611994,12052,52975,2143,884298,1166,51091,3309,935389,669,3888,3007,4036,3,4860,,,52975,,536239,548145,552269,1540397,10152391
Hokuriku,200211,48578,1171167,86837,9457,0,297229,46091,46091,1659359,4223,11859,1436,213977,1080,9613,2516,223590,253,846,797,2140,3,785,,,11859,,82528,86253,89520,322548,1981907
Kansai,200211,245721,9234260,288489,34192,,1629332,192462,192462,11624456,18082,69272,,962555,1494,42543,1494,1005098,525,2970,4706,8091,66,22541,,,69272,,279990,315394,300091,1392734,13017190
Chugoku,200211,137004,3520205,61718,16562,118,583049,169657,169657,4488313,6861,26750,,377566,915,19193,915,396759,442,1437,1287,4834,72,1668,,,26750,,249488,257349,257706,682295,5170608
Shikoku,200211,59781,1938810,41899,10813,0,296744,46924,46924,2394971,5607,15750,1454,242747,937,10005,2391,252752,232,636,1452,13455,11,1786,,,15750,,183914,200618,192144,469756,2864727
Kyushu,200211,181552,5828456,206078,29496,1210,639786,206612,206612,7093190,14925,44578,4873,735258,3026,21605,7899,756863,554,1438,3050,40543,130,2607,,,44578,,266840,313170,290218,1116049,8209239
Okinawa,200211,10325,607498,,3210,,69024,7628,7628,697685,325,3632,,55411,59,1272,59,56683,26,106,152,68,2,150,,,3632,,8350,8722,8760,69143,766828
Hokkaido,200210,98127,2551602,85289,20073,,621618,93310,93310,3470019,6633,19489,1121,184055,609,10390,1730,194445,190,565,3969,741,40,1674,,,19489,,49452,55876,58005,270375,3740394
Tohoku,200210,167534,4872303,209166,34520,,1155809,53146,53146,6492478,10080,40560,492,781362,2350,27725,2842,809087,620,1989,2710,5959,17,4375,,,40560,,188267,201328,201809,1052964,7545442
Tokyo,200210,623319,18979697,1167578,69614,,3450247,129821,129821,24420276,28029,161581,,1947935,1867,75152,1867,2023087,1018,6149,9226,9197,361,59135,,,161581,,466862,544781,497776,2735598,27155874
Chubu,200210,239206,6411135,476022,36641,655,1338042,94950,94950,8596651,11844,52927,1820,886483,1120,51086,2940,937569,660,3888,2791,4895,3,4863,,,52927,,537570,550122,553014,1544506,10141157
Hokuriku,200210,48527,1171632,86522,9228,0,296615,45094,45094,1657618,4201,11841,1366,214260,1059,9606,2425,223866,246,853,809,9205,3,781,,,11841,,79941,90739,86813,327299,1984917
Kansai,200210,246888,9224552,287580,32282,,1626457,187349,187349,11605108,17533,69251,,963228,1441,42554,1441,1005782,517,2969,4845,9644,75,22504,,,69251,,281018,318086,300509,1396088,13001196
Chugoku,200210,136804,3521026,61798,15650,114,581986,167064,167064,4484442,6319,26703,,378416,908,19191,908,397607,435,1444,1316,13896,73,1659,,,26703,,250223,267167,257885,692921,5177363
Shikoku,200210,59820,1939455,41888,10152,0,296017,45626,45626,2392958,5528,15699,1365,243172,897,10014,2262,253186,227,639,1421,15922,11,1786,,,15699,,184221,203361,192238,472885,2865843
Kyushu,200210,181631,5828403,205726,26467,2052,637690,202392,202392,7084361,14658,44508,4743,735929,3014,21610,7757,757539,525,1426,2813,52119,130,2618,,,44508,,267825,325505,290765,1128978,8213339
Okinawa,200210,10285,607567,,3042,,68920,7397,7397,697211,324,3625,,55535,56,1263,56,56798,27,107,158,73,1,150,,,3625,,8303,8685,8710,69215,766426
Hokkaido,200209,98057,2552177,85122,19054,,621147,92344,92344,3467901,6567,19424,1120,184249,602,10373,1722,194622,164,567,1848,4352,40,1660,,,19424,,46792,54692,55245,269305,3737206
Tohoku,200209,167369,4870750,208751,34110,,1154058,51899,51899,6486937,9791,40500,483,782468,2268,27705,2751,810173,625,2004,2391,26990,17,4361,,,40500,,189177,222936,202344,1075613,7562550
Tokyo,200209,624678,18968440,1165932,67471,,3447355,126668,126668,24400544,27599,161330,,1951339,1838,75199,1838,2026538,1007,6182,9083,35978,357,58983,,,161330,,467714,572115,498158,2766165,27166709
Chubu,200209,238987,6406229,475293,35198,677,1336072,92436,92436,8584892,11631,52844,1867,889002,1086,51087,2953,940089,658,3901,2696,9130,3,4864,,,52844,,538745,555438,553987,1552272,10137164
Hokuriku,200209,48485,1171074,86306,8930,0,296139,44129,44129,1655063,4206,11845,1310,214647,1047,9602,2357,224249,242,866,934,8067,3,776,,,11845,,80042,89822,86847,326782,1981845
Kansai,200209,251156,9227578,287131,33833,,1624491,184010,184010,11608199,17315,69359,,964820,1399,42591,1399,1007411,506,2979,5016,17545,78,22465,,,69359,,282276,327380,301496,1407129,13015328
Chugoku,200209,137016,3520403,61796,15254,118,581129,164958,164958,4480674,6294,26671,,378910,903,19191,903,398101,431,1462,1232,21287,77,1669,,,26671,,250727,274992,258355,701226,5181900
Shikoku,200209,59852,1939393,41881,9847,0,295554,44382,44382,2390909,5416,15675,1028,243581,881,10007,1909,253588,226,642,1404,25525,10,1787,,,15675,,184567,213293,192118,483198,2874107
Kyushu,200209,182174,5829103,205603,25492,2967,635984,199513,199513,7080836,14505,44440,4581,736880,2988,21605,7569,758485,508,1431,2680,58406,126,2604,,,44440,,268566,332382,291148,1136738,8217574
Okinawa,200209,10282,606927,,2972,,68831,7205,7205,696217,317,3618,,55565,58,1262,58,56827,26,106,153,73,1,149,,,3618,,8267,8643,8668,69194,765411
Hokkaido,200208,97964,2547857,84978,18740,,620507,91944,91944,3461990,6506,19388,1117,184212,603,10374,1720,194586,159,566,1896,4544,50,1656,,,19388,,47427,55573,55812,270113,3732103
Tohoku,200208,167334,4869950,208374,33404,0,1152890,50679,50679,6482631,9471,40422,472,783246,2199,27710,2671,810956,617,1990,1496,47562,17,4360,,,40422,,189641,243076,202400,1096444,7579075
Tokyo,200208,626819,18959970,1164403,68868,,3444259,124733,124733,24389052,27198,161273,,1953684,1834,75244,1834,2028928,993,6177,8783,77031,325,58963,,,161273,,468742,613844,498767,2810222,27199274
Chubu,200208,238955,6404707,474787,33483,646,1333926,90108,90108,8576612,11506,52825,1881,891270,1069,51110,2950,942380,657,3920,2419,14687,3,4860,,,52825,,540054,562023,555167,1561148,10137760
Hokuriku,200208,48409,1170800,85983,8786,0,295480,43537,43537,1652995,4180,11833,1293,214868,1047,9614,2340,224482,242,867,844,4290,3,779,,,11833,,80130,86046,86892,323228,1976223
Kansai,200208,255165,9229601,286600,31554,,1622513,180811,180811,11606244,17103,69330,,965763,1384,42588,1384,1008351,503,3005,4386,20366,76,22405,,,69330,,283510,330743,302500,1411429,13017673
Chugoku,200208,136936,3521028,61769,14841,86,580379,163064,163064,4478103,6240,26641,,379387,901,19192,901,398579,431,1465,1033,13800,73,1678,,,26641,,251346,267930,258918,694615,5172718
Shikoku,200208,59775,1939643,41856,9620,0,295153,43436,43436,2389483,5420,15665,1012,244074,881,10019,1893,254093,224,641,1381,29972,10,1806,,,15665,,184904,218073,192441,488472,2877955
Kyushu,200208,182097,5829629,205230,24390,2772,634502,196673,196673,7075293,14366,44354,4426,737528,2970,21607,7396,759135,508,1443,2565,61379,122,2609,,,44354,,269342,336017,291612,1140949,8216242
Okinawa,200208,10286,606720,,2978,,68763,7079,7079,695826,317,3612,,55627,58,1264,58,56891,26,106,153,72,2,149,,,3612,,8285,8661,8686,69270,765096
Hokkaido,200207,97946,2552362,84899,16134,,619981,91061,91061,3462383,6458,19381,1115,184227,601,10378,1716,194605,155,557,864,4619,37,1702,,,19381,,48499,55721,56828,270264,3732647
Tohoku,200207,167310,4869318,207897,31718,,1151397,49132,49132,6476772,9152,40355,468,783888,2139,27706,2607,811594,594,1975,1337,47740,19,4351,,,40355,,189403,242850,201756,1096774,7573546
Tokyo,200207,628271,18948471,1163046,70737,,3441308,122273,122273,24374106,26776,161183,,1954728,1817,75315,1817,2030043,978,6116,8510,79425,322,58943,,,161183,,469852,617052,499423,2814394,27188500
Chubu,200207,238419,6399678,473214,32567,575,1331524,88269,88269,8564246,11371,52743,1487,891939,1055,51135,2542,943074,652,3883,2171,16038,3,4866,,,52743,,541209,564287,555774,1563987,10128233
Hokuriku,200207,48362,1170983,85514,8365,1,294783,43052,43052,1651060,4161,11827,1284,215023,1047,9629,2331,224652,244,867,599,4127,3,781,,,11827,,80314,85824,87050,323170,1974230
Kansai,200207,254903,9222164,285679,29531,,1620498,177025,177025,11589800,16800,69305,,965536,1366,42610,1366,1008146,501,3011,4276,19918,82,22348,,,69305,,284491,331115,303158,1411577,13001377
Chugoku,200207,136742,3520533,61714,14368,72,579616,160919,160919,4473964,6163,26611,,379459,895,19202,895,398661,429,1456,976,13035,78,1681,,,26611,,251987,267757,259474,694485,5168449
Shikoku,200207,59813,1939628,41813,9465,0,294867,42271,42271,2387857,5391,15645,933,244402,880,10031,1813,254433,222,637,1361,29783,10,1805,,,15645,,185141,218100,192567,488815,2876672
Kyushu,200207,184838,5830800,204708,24127,1570,629740,193609,193609,7069392,14250,44235,4347,737548,2954,21618,7301,759166,504,1427,2358,63981,125,2599,,,44235,,270275,339338,292330,1144166,8213558
Okinawa,200207,10288,605651,,2860,,68661,6817,6817,694277,301,3609,,55553,59,1259,59,56812,26,107,142,72,2,148,,,3609,,8244,8608,8630,69136,763413
Hokkaido,200206,97827,2543835,84666,11774,,619461,90372,90372,3447935,6394,19363,1117,184174,600,10382,1717,194556,155,555,636,4617,43,1718,,,19363,,50871,57885,59137,272359,3720294
Tohoku,200206,167290,4868620,207837,26996,,1150448,48001,48001,6469192,8948,40304,462,784732,2112,27729,2574,812461,582,1975,1194,47885,19,4340,,,40304,,189778,243216,201882,1097956,7567148
Tokyo,200206,629694,18935723,1162073,62273,,3438394,120057,120057,24348214,26252,161058,,1955539,1795,75409,1795,2030948,964,6097,7974,77699,377,58886,,,161058,,470852,615788,499863,2813891,27162105
Chubu,200206,239234,6398178,472460,31346,637,1330069,86787,86787,8558711,11254,52671,947,892575,1038,51170,1985,943745,646,3869,2136,15975,3,4858,,,52671,,542399,565371,556284,1565656,10124367
Hokuriku,200206,48346,1170903,85281,7790,1,294351,42536,42536,1649208,4122,11816,1278,215167,1053,9653,2331,224820,240,870,566,4147,3,794,,,11816,,80489,85999,87182,323505,1972713
Kansai,200206,255372,9230399,285010,31072,,1618045,174361,174361,11594259,16420,69306,,966168,1350,42702,1350,1008870,497,3004,4170,19581,82,22308,,,69306,,285761,331902,304028,1413082,13007341
Chugoku,200206,136711,3521020,61743,13884,74,578948,159078,159078,4471458,6104,26589,,379569,878,19206,878,398775,424,1455,898,12586,88,1678,,,26589,,253444,268694,260850,695513,5166971
Shikoku,200206,59806,1939818,41802,9381,0,294622,41204,41204,2386633,5316,15637,898,244517,871,10035,1769,254552,224,634,1352,29070,47,1774,,,15637,,185308,217551,192617,488374,2875007
Kyushu,200206,182196,5830086,204347,23909,573,630460,190672,190672,7062243,14108,44134,4277,737338,2939,21627,7216,758965,503,1433,2372,59345,133,2601,,,44134,,271097,335548,292924,1140080,8202323
Okinawa,200206,10289,604814,,2881,,68648,6717,6717,693349,298,3600,,55539,59,1289,59,56828,26,107,127,72,2,147,,,3600,,8223,8571,8606,69106,762455
Hokkaido,200205,97834,2546225,84691,8965,,619120,90143,90143,3446978,6346,19394,1120,184305,598,10395,1718,194700,156,556,776,3401,38,1762,,,19394,,56993,62970,65213,277620,3724598
Tohoku,200205,167304,4867936,207767,23350,,1149692,47358,47358,6463407,8879,40303,423,785581,2090,27759,2513,813340,578,1976,1262,47545,20,4343,,,40303,,190426,243596,202396,1099215,7562622
Tokyo,200205,631103,18920116,1162547,57932,,3436191,117030,117030,24324919,25670,161019,,1959220,1777,75471,1777,2034691,951,6107,7521,66277,387,58837,,,161019,,472109,605131,500507,2806948,27131867
Chubu,200205,239455,6398156,471793,29310,875,1329100,85116,85116,8553805,11145,52634,818,893428,1011,51186,1829,944614,641,3877,1906,17184,3,4856,,,52634,,543781,567730,557396,1568855,10122660
Hokuriku,200205,48370,1171307,85089,6914,1,293843,42089,42089,1647613,4076,11792,1273,215429,1044,9685,2317,225114,240,862,541,4896,3,797,,,11792,,80634,86871,87267,324639,1972252
Kansai,200205,257298,9219949,284188,28055,,1615969,171136,171136,11576595,16019,69303,,966080,1311,42740,1311,1008820,500,3006,3872,15916,82,22272,,,69303,,286643,328785,304473,1409914,12986509
Chugoku,200205,136585,3521213,61762,12982,87,578090,157272,157272,4467991,6055,26557,,379731,873,19227,873,398958,425,1462,849,9135,82,1683,,,26557,,254180,265929,261533,692906,5160897
Shikoku,200205,59836,1939976,41798,9142,0,294279,40301,40301,2385332,5220,15617,895,244566,863,10052,1758,254618,223,639,1307,23836,50,1770,,,15617,,185528,212491,192729,483365,2868697
Kyushu,200205,182063,5820980,204103,22886,512,628535,187647,187647,7046726,14011,44105,4191,736917,2921,21645,7112,758562,498,1430,2094,35007,161,2593,,,44105,,271601,311456,293222,1115553,8162279
Okinawa,200205,10271,604815,,2955,,68673,6643,6643,693357,298,3594,,55397,59,1251,59,56648,26,107,118,73,2,147,,,3594,,8188,8528,8571,68877,762234
Hokkaido,200204,97754,2562746,84808,6148,,617925,91826,91826,3461207,6278,19397,1124,184698,599,10415,1723,195113,152,554,559,171,32,1797,,,19397,,81720,84279,89873,299343,3760550
Tohoku,200204,167383,4864754,207606,22262,,1148050,46643,46643,6456698,8640,40292,364,786582,2061,27827,2425,814409,574,1991,1815,21836,21,4369,,,40292,,191192,219233,202831,1075925,7532623
Tokyo,200204,633625,18886577,1162685,57219,,3433669,113010,113010,24286785,25024,161034,,1968879,1747,75552,1747,2044431,939,6127,7331,29634,419,58789,,,161034,,472650,568823,500360,2780415,27067200
Chubu,200204,239338,6397156,470891,29082,1058,1327805,83307,83307,8548637,11021,52596,788,894265,993,51219,1781,945484,639,3881,1912,12415,3,4853,,,52596,,544867,564050,558308,1566011,10114648
Hokuriku,200204,48425,1171916,84841,6284,1,293194,41551,41551,1646212,4040,11798,1244,215839,1042,9692,2286,225531,242,866,1332,5616,3,797,,,11798,,80871,88619,87439,326814,1973026
Kansai,200204,257634,9189481,283136,26580,,1613785,164969,164969,11535585,15599,69265,,966261,1270,42784,1270,1009045,498,3011,4074,9573,82,20306,,,69265,,286251,320286,303618,1401607,12937192
Chugoku,200204,136416,3517732,61724,12880,107,577088,155209,155209,4461156,5991,26533,,379772,867,19232,867,399004,424,1472,826,4544,85,1681,,,26533,,254407,261543,261689,688552,5149708
Shikoku,200204,59765,1939196,41792,9243,0,293702,39406,39406,2383104,5158,15602,884,244699,866,10074,1750,254773,221,638,1289,15802,52,1761,,,15602,,185667,204571,192796,475584,2858688
Kyushu,200204,181654,5786756,203734,22571,321,626380,184375,184375,7005791,13931,44067,4074,737054,2915,21631,6989,758685,486,1436,1992,28371,163,2593,,,44067,,271472,304591,292878,1108779,8114570
Okinawa,200204,10259,607026,,3430,,68424,6549,6549,695688,290,3592,,55230,59,1249,59,56479,26,106,146,73,2,146,,,3592,,8135,8502,8510,68679,764367
Hokkaido,200203,97685,2553130,84649,10567,,618325,88315,88315,3452671,6202,19353,1123,184822,595,10410,1718,195232,150,561,590,165,35,1815,,,19353,,120301,122906,128371,338052,3790723
Tohoku,200203,167378,4871782,207323,35898,,1145013,45357,45357,6472751,8450,40256,202,787484,2036,27861,2238,815345,565,1994,2563,6011,20,4375,,,40256,,224174,237143,235427,1094738,7567489
Tokyo,200203,634491,18824981,1161422,71627,,3427450,109433,109433,24229404,24461,160963,,1972072,1724,75686,1724,2047758,932,6164,8676,8427,419,58791,,,160963,,470200,546513,497317,2761398,26990802
Chubu,200203,239475,6388433,470041,38553,1200,1325464,79837,79837,8543003,10860,52534,756,895184,975,51283,1731,946467,638,3916,2676,7705,3,4856,,,52534,,544355,559595,557584,1562512,10105515
Hokuriku,200203,48431,1170770,84523,7582,1,292392,40661,40661,1644360,4013,11803,1221,216132,1037,9697,2258,225829,240,870,679,2889,3,822,,,11803,,85799,90192,92310,328694,1973054
Kansai,200203,259065,9150969,282223,32826,,1609768,156217,156217,11491068,15268,69311,,966742,1250,42873,1250,1009615,488,3023,4464,7591,85,20189,,,69311,,283905,316234,300911,1398183,12889251
Chugoku,200203,136253,3513460,61705,16322,121,575721,152540,152540,4456122,5928,26482,,379857,861,19251,861,399108,421,1474,1096,3294,87,1692,,,26482,,254387,260556,261597,687620,5143742
Shikoku,200203,59746,1937110,41782,10874,0,293015,38167,38167,2380694,5075,15587,871,244890,863,10077,1734,254967,219,642,1428,13050,51,1763,,,15587,,185718,202010,192746,473206,2853900
Kyushu,200203,181522,5803207,203549,31851,287,622391,180615,180615,7023422,13822,43897,3923,737474,2915,21618,6838,759092,487,1447,2894,26222,162,2586,,,43897,,270707,302571,291854,1107007,8130429
Okinawa,200203,10265,601637,,3618,,67998,6421,6421,689939,281,3579,,55070,59,1243,59,56313,26,106,144,73,3,145,,,3579,,7958,8323,8324,68321,758260
Hokkaido,200202,97980,2534991,84474,12516,,617914,86853,86853,3434728,6154,19315,1117,184854,588,10396,1705,195250,150,561,633,59,29,1778,,,19315,,119784,122283,127793,337409,3772137
Tohoku,200202,167448,4874203,206910,33184,,1143484,44325,44325,6469554,8203,40154,107,788161,2007,27867,2114,816028,562,1999,2039,3820,20,4350,,,40154,,231994,242223,242873,1100404,7569958
Tokyo,200202,634408,18815371,1159826,80042,,3422948,107751,107751,24220346,23676,160739,,1974079,1702,75703,1702,2049782,927,6192,10119,7060,409,58761,,,160739,,471597,547946,497902,2764659,26985005
Chubu,200202,239718,6383393,468985,44674,1269,1323983,77896,77896,8539918,10665,52417,663,895900,948,51251,1611,947151,633,3961,3354,6221,2,4857,,,52417,,545258,559692,558167,1563221,10103139
Hokuriku,200202,48423,1170437,84267,8584,1,291882,39933,39933,1643527,3945,11773,1155,216350,1034,9696,2189,226046,239,873,751,1457,3,821,,,11773,,90463,93495,96836,332187,1975714
Kansai,200202,260140,9182092,281708,34156,,1607010,155375,155375,11520481,14999,69349,,967952,1217,42908,1217,1010860,485,3035,5564,7358,86,20138,,,69349,,287149,320295,303850,1403539,12924020
Chugoku,200202,135703,3514746,61659,18401,138,574954,150731,150731,4456332,5873,26418,,380141,859,19251,859,399392,419,1479,1282,2840,91,1693,,,26418,,255329,261235,262480,688524,5144856
Shikoku,200202,59735,1937319,41749,11926,0,292496,37050,37050,2380275,5020,15561,847,245145,856,10077,1703,255222,218,644,1549,12545,51,1765,,,15561,,185849,201759,192790,473186,2853461
