Company,Year_term,Hydroelectric_Number_of_sites,Hydroelectric_Capacity_in_total (kW),Conventional_thermal_power_Number_of_sites,Conventional_thermal_power_Capacity_in_total (kW),Gas_turbine_Number_of_sites,Gas_turbine_Capacity_in_total (kW),Internal_combustion_engine_Number_of_sites,Internal_combustion_engine_Capacity_in_total (kW),Total_Thermal_Power_Number_of_sites,Total_Thermal_Power_Capacity_in_total (kW),Nuclear_power_Number_of_sites,Nuclear_power_Capacity_in_total (kW),Renewable_energy_Number_of_sites,Renewable_energy_Capacity_in_total (kW),Other_power_sources_Number_of_sites,Other_power_sources_Capacity_in_total (kW),Number_of_sites,Capacity_in_total (kW)
Hokuriku,1969,118,1148952,1,562000,,,,,1,562000,,,,,,,119,1710952
Kansai,1969,126,2510497,11,6290000,,,1,960,11,6290000,,,,,,,137,8800497
Chugoku,1969,99,978791,9,1562700,,,3,5875,12,1568575,,,,,,,111,2547366
Shikoku,1969,68,450567,4,704000,1,34000,1,244,6,738244,,,,,,,74,1188811
Kyushu,1969,132,950874,8,2062000,,,10,58610,18,2120610,,,1,11000,,,151,3082484
Okinawa,1969,,,,,,,,,,,,,,,,,,
Hokkaido,1968,53,513454,4,944000,1,2000,,,5,946000,,,,,,,58,1459454
Tohoku,1968,222,1598600,3,1425000,,,3,14550,6,1439550,,,,,,,228,3038150
Tokyo,1968,220,2259649,10,8522000,,,8,9492,18,8531492,,,,,,,238,10791141
Chubu,1968,167,1514455,7,4762000,1,30000,1,240,,,,,,,,,176,6306695
Hokuriku,1968,120,1160862,1,312000,,,,,1,312000,,,,,,,121,1472862
Kansai,1968,126,2268627,10,5978000,,,1,960,10,5978000,,,,,,,136,8246627
Chugoku,1968,98,804691,9,1562700,,,3,5875,12,1568575,,,,,,,110,2373266
Shikoku,1968,68,450567,4,704000,,,1,244,,,,,,,,,73,1154811
Kyushu,1968,131,934974,7,1812000,,,10,47610,17,1859610,,,1,11000,,,149,2805584
Okinawa,1968,,,,,,,,,,,,,,,,,,
Hokkaido,1967,54,516154,3,769000,1,2000,,,4,771000,,,,,,,58,1287154
Tohoku,1967,224,1595100,3,1175000,,,3,11550,6,1186550,,,,,,,230,2781650
Tokyo,1967,221,2265979,10,7997000,,,7,7912,17,8004912,,,,,,,238,10270891
Chubu,1967,171,1497570,7,4762000,1,30000,1,240,,,,,,,,,180,6289810
Hokuriku,1967,119,1112862,1,312000,,,,,1,312000,,,,,,,120,1424862
Kansai,1967,127,2258275,10,5978000,,,1,960,10,5978000,,,,,,,137,8236275
Chugoku,1967,97,642371,9,1543700,,,3,4215,12,1547915,,,,,,,109,2190286
Shikoku,1967,67,404067,4,484000,,,1,244,5,484244,,,,,,,72,888311
Kyushu,1967,133,934994,7,1816500,,,14,41680,21,1858180,,,1,11000,,,155,2804174
Okinawa,1967,,,,,,,,,,,,,,,,,,
Hokkaido,1966,53,491154,3,769000,1,2000,,,4,771000,,,,,,,57,1262154
Tohoku,1966,225,1585660,3,1175000,,,3,11550,6,1186550,,,,,,,231,2772210
Tokyo,1966,221,2165839,9,6697000,,,7,6312,16,6703312,,,,,,,237,8869151
Chubu,1966,173,1498264,7,4262000,,,1,80,,,,,,,,,181,5760344
Hokuriku,1966,122,1113157,1,312000,,,,,1,312000,,,,,,,123,1425157
Kansai,1966,128,2143362,11,5041000,,,,,11,5041000,,,,,,,139,7184362
Chugoku,1966,97,644071,9,1543700,,,3,4215,12,1547915,,,,,,,109,2191986
Shikoku,1966,68,403275,4,484000,,,1,152,5,484152,,,,,,,73,887427
Kyushu,1966,137,948360,6,1660500,,,14,32900,20,1693400,,,,,,,157,2641760
Okinawa,1966,,,,,,,,,,,,,,,,,,
Hokkaido,1965,53,468254,3,769000,1,2000,,,4,771000,,,,,,,57,1239254
Tohoku,1965,228,1587730,3,1175000,,,2,8550,5,1183550,,,,,,,233,2771280
Tokyo,1965,222,2099779,9,5997000,,,7,6152,16,6003152,,,,,,,238,8102931
Chubu,1965,176,1501034,6,3667000,,,1,80,,,,,,,,,183,5168114
Hokuriku,1965,122,1112957,1,312000,,,,,1,312000,,,,,,,123,1424957
Kansai,1965,132,2022291,12,4460000,,,1,80,13,4460080,,,,,,,145,6482371
Chugoku,1965,98,645171,7,1167700,,,3,4215,10,1171915,,,,,,,108,1817086
Shikoku,1965,68,401460,5,496000,,,1,60,6,496060,,,,,,,74,897520
Kyushu,1965,138,945310,6,1504500,,,14,25350,20,1529850,,,,,,,158,2475160
Okinawa,1965,,,,,,,,,,,,,,,,,,
Hokkaido,1964,53,468254,3,644000,,,1,2000,4,646000,,,,,,,57,1114254
Tohoku,1964,230,1587855,3,925000,,,2,7550,5,932550,,,,,,,235,2520405
Tokyo,1964,222,1999825,10,5449500,,,7,5656,17,5455156,,,,,,,239,7454981
Chubu,1964,175,1470034,5,3292000,,,1,60,,,,,,,,,181,4762094
Hokuriku,1964,127,1116079,1,156000,,,,,1,156000,,,,,,,128,1272079
Kansai,1964,133,1990291,11,4029000,,,1,80,12,4029080,,,,,,,145,6019371
Chugoku,1964,99,645202,7,1167700,,,3,3715,10,1171415,,,,,,,109,1816617
Shikoku,1964,68,401460,5,352000,,,2,210,7,352210,,,,,,,75,753670
Kyushu,1964,137,940810,7,1504500,,,16,20090,23,1524590,,,,,,,160,2465400
Okinawa,1964,,,,,,,,,,,,,,,,,,
Hokkaido,1963,55,463074,3,644000,,,1,2000,4,646000,,,,,,,59,1109074
Tohoku,1963,232,1586024,3,925000,,,2,6550,5,931550,,,,,,,237,2517574
Tokyo,1963,225,1978789,10,4484500,,,7,4576,17,4489076,,,,,,,242,6467865
Chubu,1963,174,1399234,5,2462000,,,,,,,,,,,,,179,3861234
Hokuriku,1963,127,1107979,,,,,,,,,,,,,,,127,1107979
Kansai,1963,133,1925981,14,3304000,,,2,2080,16,3306080,,,,,,,149,5232061
Chugoku,1963,99,645202,6,1011700,,,3,2615,9,1014315,,,,,,,108,1659517
Shikoku,1963,67,387890,5,352000,,,1,150,1,352210,,,,,,,73,740040
Kyushu,1963,142,977110,8,1402500,,,16,18690,24,1421190,,,,,,,166,2398300
Okinawa,1963,,,,,,,,,,,,,,,,,,
Hokkaido,1962,53,393074,3,544000,,,1,2000,4,546000,,,,,,,57,939074
Tohoku,1962,233,1519531,2,675000,,,2,6550,4,681550,,,,,,,237,2201081
Tokyo,1962,223,1839989,10,3597000,,,7,4576,17,3601576,,,,,,,240,5441565
Chubu,1962,178,1403772,5,1612000,,,,,,,,,,,,,183,3015772
Hokuriku,1962,123,1036379,,,,,,,,,,,,,,,123,1036379
Kansai,1962,133,1867781,13,2384000,,,2,3080,15,2387080,,,,,,,148,4254861
Chugoku,1962,99,630252,6,855700,,,3,2615,9,858315,,,,,,,108,1488567
Shikoku,1962,65,336490,5,248250,,,1,150,6,248400,,,,,,,71,584890
Kyushu,1962,142,799310,10,1559500,,,16,16790,26,1576290,,,,,,,168,2375600
Okinawa,1962,,,,,,,,,,,,,,,,,,
