Company,Year_term,Hydroelectric_Number_of_sites,Hydroelectric_Capacity_in_total (kW),Conventional_thermal_power_Number_of_sites,Conventional_thermal_power_Capacity_in_total (kW),Gas_turbine_Number_of_sites,Gas_turbine_Capacity_in_total (kW),Internal_combustion_engine_Number_of_sites,Internal_combustion_engine_Capacity_in_total (kW),Total_Thermal_Power_Number_of_sites,Total_Thermal_Power_Capacity_in_total (kW),Nuclear_power_Number_of_sites,Nuclear_power_Capacity_in_total (kW),Renewable_energy_Number_of_sites,Renewable_energy_Capacity_in_total (kW),Other_power_sources_Number_of_sites,Other_power_sources_Capacity_in_total (kW),Number_of_sites,Capacity_in_total (kW)
Hokuriku,2012,129,1905780,5,4400000,,,1,288,6,4400288,1,1746000,7,9400,,,143,8061468
Kansai,2012,151,8207671,11,16867000,1,105400,,,12,16972400,3,9768000,1,10000,,,167,34958071
Chugoku,2012,97,2905885,9,7765000,,,3,35600,12,7800600,1,1280000,1,3000,,,111,11989485
Shikoku,2012,58,1141496,4,3797000,,,,,4,3797000,1,2022000,2,2342,,,65,6962838
Kyushu,2012,142,3582136,10,10682000,3,3300,31,395570,44,11080870,2,5258000,8,216250,,,196,20137256
Okinawa,2012,,,5,1718000,4,291000,13,173550,22,2182550,,,1,490,,,23,2183040
Hokkaido,2011,53,1237225,6,3900000,1,148000,4,17460,11,4065460,1,2070000,2,51000,,,67,7423685
Tohoku,2011,210,2433881,8,10715000,0,87800,4,82150,12,10884950,2,3274000,5,225300,,,229,16818131
Tokyo,2011,163,8981590,15,38471000,0,1508600,10,168720,25,40148320,3,17308000,5,33800,,,196,66471710
Chubu,2011,183,5217980,10,23969000,,,1,400,11,23969400,1,3617000,3,30500,,,198,32834880
Hokuriku,2011,128,1904680,5,4400000,,,1,288,6,4400288,1,1746000,5,7400,,,140,8058368
Kansai,2011,150,8197271,11,16867000,1,40000,,,12,16907000,3,9768000,1,10000,,,166,34882271
Chugoku,2011,97,2905685,9,7765000,,,3,35600,12,7800600,1,1280000,1,3000,,,111,11989285
Shikoku,2011,58,1141496,4,3797000,,,,,4,3797000,1,2022000,2,2342,,,65,6962838
Kyushu,2011,141,3581846,11,11182000,3,3300,31,391970,45,11577270,2,5258000,8,216250,,,196,20633366
Okinawa,2011,,,4,1467000,4,291000,13,174550,21,1932550,,,1,490,,,22,1933040
Hokkaido,2010,53,1233725,6,3900000,1,148000,4,17460,11,4065460,1,2070000,1,50000,,,66,7419185
Tohoku,2010,209,2422881,8,11206000,,,5,79650,13,11285650,2,3274000,4,223800,,,228,17206331
Tokyo,2010,162,8980820,15,38471000,,174000,10,50840,25,38695840,3,17308000,2,3800,,,192,64988460
Chubu,2010,183,5218880,10,23969000,,,1,400,11,23969400,1,3617000,2,23000,,,197,32828280
Hokuriku,2010,127,1904310,5,4400000,,,1,288,6,4400288,1,1746000,4,6400,,,138,8056998
Kansai,2010,149,8195781,11,16867000,1,40000,,,12,16907000,3,9768000,1,6297,,,165,34877078
Chugoku,2010,97,2905685,9,7765000,,,3,35600,12,7800600,1,1280000,0,0,,,110,11986285
Shikoku,2010,58,1141496,4,3797000,,,,,4,3797000,1,2022000,2,2342,,,65,6962838
Kyushu,2010,139,3278696,11,11182000,3,3300,31,391970,45,11577270,2,5258000,8,216250,,,194,20330216
Okinawa,2010,0,0,4,1467000,4,291000,13,160860,21,1918860,,,1,490,,,22,1919350
Hokkaido,2009,53,1232125,6,3900000,1,148000,4,17410,11,4065410,1,2070000,1,50000,,,66,7417535
Tohoku,2009,210,2422381,8,10550000,,,5,79650,13,10629650,2,3274000,4,223800,,,229,16549831
Tokyo,2009,160,8986580,15,37965000,,174000,10,49560,25,38188560,3,17308000,2,3800,,,190,64486940
Chubu,2009,182,5218640,10,23903400,,,1,400,11,23903800,1,3504000,1,6000,,,195,32632440
Hokuriku,2009,115,1816700,5,4400000,,,1,288,6,4400288,1,1746000,,,,,122,7962988
Kansai,2009,149,8195781,11,16317000,1,40000,,,12,16357000,3,9768000,,,,,164,34320781
Chugoku,2009,97,2905385,9,7765000,,,3,35600,12,7800600,1,1280000,,,,,110,11985985
Shikoku,2009,58,1141346,4,3501000,,,,,4,3501000,1,2022000,2,600,,,65,6664946
Kyushu,2009,139,2978696,11,11182000,3,3300,31,391970,45,11577270,2,5258000,7,210750,,,193,20024716
Okinawa,2009,0,0,4,1467000,4,291000,13,165860,21,1923860,,,,,,,21,1923860
Hokkaido,2008,53,1231125,6,3900000,1,148000,4,17410,11,4065410,1,1158000,1,50000,,,66,6504535
Tohoku,2008,210,2422161,8,10800000,,,5,79650,13,10879650,2,3274000,4,223800,,,229,16799611
Tokyo,2008,160,8986380,15,37458000,,174000,10,50920,25,37682920,3,17308000,2,3800,,,190,63981100
Chubu,2008,182,5218640,10,23903400,,,1,400,11,23903800,1,3504000,,,,,194,32626440
Hokuriku,2008,115,1816100,5,4400000,,,1,288,6,4400288,1,1746000,,,,,122,7962388
Kansai,2008,148,8189681,11,15867000,1,40000,,,12,15907000,3,9768000,,,,,163,33864681
Chugoku,2008,97,2905285,9,7605000,,,3,35600,12,7800600,1,1280000,,,,,110,11985885
Shikoku,2008,58,1141046,4,3501000,,,,,4,3501000,1,2022000,2,600,,,65,6664646
Kyushu,2008,139,2977096,11,11182000,3,3300,31,391970,45,11577270,2,5258000,7,210750,,,193,20023116
Okinawa,2008,0,0,4,1467000,4,291000,13,166610,21,1924610,,,,,,,21,1924610
Hokkaido,2007,53,1231125,6,3900000,1,148000,4,17410,11,4065410,1,1158000,1,50000,,,66,6504535
Tohoku,2007,211,2417161,8,10800000,,,5,83390,13,10883390,2,3274000,4,223800,,,230,16798351
Tokyo,2007,160,8985180,15,35951000,,174000,10,50920,25,36175920,3,17308000,2,3800,,,190,62472900
Chubu,2007,182,5217640,10,22369000,,,1,400,11,22369400,1,4884000,,,,,194,32471040
Hokuriku,2007,115,1816100,5,4400000,,,1,288,6,4400288,1,1898000,,,,,122,8114388
Kansai,2007,148,8189080,11,16367000,1,40000,,,12,16407000,3,9768000,,,,,163,34364080
Chugoku,2007,97,2905285,9,7605000,,,3,35600,12,7640600,1,1280000,,,,,110,11825885
Shikoku,2007,58,1140946,4,3501000,,,,,4,3501000,1,2022000,2,600,,,65,6664546
Kyushu,2007,138,2676766,11,11182000,3,3300,32,385670,46,11570970,2,5258000,7,210750,,,193,19716486
Okinawa,2007,0,0,4,1467000,4,291000,13,167325,21,1925325,,,,,,,21,1925325
Hokkaido,2006,53,1231125,6,3900000,1,148000,4,17410,11,4065410,1,1158000,1,50000,,,66,6504535
Tohoku,2006,210,2414081,8,11150000,,,5,79550,13,11229550,2,3274000,4,223800,,,229,17141431
Tokyo,2006,161,8992980,15,35451000,,30000,10,48920,25,35529920,3,17308000,2,3800,,,191,61834700
Chubu,2006,182,5219730,10,22369000,,,1,400,11,22369400,1,4884000,,,,,194,32473130
Hokuriku,2006,115,1815600,5,4400000,,,1,288,6,4400288,1,1898000,,,,,122,8113888
Kansai,2006,148,8189080,11,16867000,1,40000,,,12,16907000,3,9768000,,,,,163,34864080
Chugoku,2006,97,2905265,9,7980000,,,3,35600,12,8015600,1,1280000,,,,,110,12200865
Shikoku,2006,58,1140526,4,3696000,,,,,4,3696000,1,2022000,2,600,,,65,6859126
Kyushu,2006,139,2377716,11,11182000,3,3300,32,385670,46,11570970,2,5258000,7,210750,,,194,19417436
Okinawa,2006,,,4,1467000,4,291000,13,166025,21,1924025,,,,,,,21,1924025
Hokkaido,2005,52,1225925,6,3900000,1,148000,4,17410,11,4065410,1,1158000,1,50000,,,65,6499335
Tohoku,2005,210,2415281,8,10616000,,,5,79550,13,10695550,2,3274000,4,223800,,,229,16608631
Tokyo,2005,161,8992980,15,35451000,,30000,10,51520,25,35532520,3,17308000,2,3800,,,191,61837300
Chubu,2005,182,5219630,10,22369000,,,1,400,11,22369400,1,4997000,,,,,194,32586030
Hokuriku,2005,115,1815580,5,4400000,,,1,288,6,4400288,1,1898000,,,,,122,8113868
Kansai,2005,148,8185680,12,17767000,1,40000,,,13,17807000,3,9768000,,,,,164,35760680
Chugoku,2005,95,2894145,9,7990000,,,3,35600,12,8025600,1,1280000,,,,,108,12199745
Shikoku,2005,58,1143426,4,3696000,,,,,4,3696000,1,2022000,2,600,,,65,6862026
Kyushu,2005,139,2377716,10,11182750,3,3300,32,376670,45,11562720,2,5258000,7,210750,,,193,19409186
Okinawa,2005,,,4,1467000,4,291000,14,167825,22,1925825,,,,,,,22,1925825
Hokkaido,2004,52,1225925,6,3985000,1,148000,4,17410,11,4150410,1,1158000,1,50000,,,65,6584335
Tohoku,2004,210,2415281,8,10616000,,,5,85700,13,10701700,1,2174000,4,223800,,,228,15514781
Tokyo,2004,160,8521380,15,36766000,,174000,10,51520,25,36991520,3,17308000,2,3800,,,190,62824700
Chubu,2004,182,5218630,10,22369000,,,1,720,11,22369720,1,4997000,,,,,194,32585350
Hokuriku,2004,115,1813980,5,4400000,,,1,288,6,4400288,1,540000,,,,,122,6754268
Kansai,2004,148,8185680,12,17767000,1,40000,,,13,17807000,3,9768000,,,,,164,35760680
Chugoku,2004,95,2899685,9,7990000,,,3,35600,12,8025600,1,1280000,,,,,108,12205285
Shikoku,2004,58,1142726,4,3696000,,,,,4,3696000,1,2022000,2,600,,,65,6861326
Kyushu,2004,138,2371096,10,11182750,3,3300,36,395644,49,11581694,2,5258000,7,210750,,,196,19421540
Okinawa,2004,,,4,1467000,4,291000,14,158125,22,1916125,,,,,,,22,1916125
Hokkaido,2003,56,1241625,6,3985000,1,148000,4,17410,11,4150410,1,1158000,1,50000,,,69,6600035
Tohoku,2003,210,2414306,8,10616000,,,5,85700,13,10701700,1,2174000,4,223800,,,228,15513806
Tokyo,2003,160,8520480,15,36606000,,174000,10,47520,25,36827520,3,17308000,2,3800,,,190,62659800
Chubu,2003,182,5217700,11,22900000,,,1,720,12,22900720,1,3617000,,,,,195,31735420
Hokuriku,2003,115,1812380,5,3650000,,,1,288,6,3650288,1,540000,,,,,122,6002668
Kansai,2003,145,8148580,11,16867000,1,40000,,,12,16907000,3,9768000,,,,,160,34823580
Chugoku,2003,95,2899685,9,7990000,,,3,35600,12,8025600,1,1280000,,,,,108,12205285
Shikoku,2003,58,1141026,4,3696000,,,,,4,3696000,1,2022000,2,600,,,65,6859626
Kyushu,2003,138,2371096,11,11650750,3,3300,36,395494,50,12049544,2,5258000,7,210750,,,197,19889390
Okinawa,2003,,,4,1467000,4,291000,14,160125,22,1918125,,,,,,,22,1918125
Hokkaido,2002,62,1245272,6,3985000,1,148000,4,17410,11,4150410,1,1158000,1,50000,,,75,6603682
Tohoku,2002,211,2423306,8,11141000,,,5,85700,13,11226700,1,2174000,4,223800,,,229,16047806
Tokyo,2002,160,8520480,14,34466000,,30000,10,49120,24,34545120,3,17308000,2,3800,,,189,60377400
Chubu,2002,180,5215650,11,23900000,,,1,720,12,23900720,1,3617000,,,,,193,32733370
Hokuriku,2002,116,1812300,5,4406000,,,1,288,6,4406288,1,540000,,,,,123,6758588
Kansai,2002,145,8134739,12,17491000,1,40000,,,13,17531000,3,9768000,,,,,161,35433739
Chugoku,2002,94,2900385,9,7981000,,,3,33900,12,8023900,1,1280000,,,,,107,12204285
Shikoku,2002,58,1140626,4,3696000,,34000,,,4,3730000,1,2022000,2,600,,,65,6893226
Kyushu,2002,139,2372506,12,11106750,3,3300,36,395494,51,11505544,2,5258000,7,210750,,,199,19346800
Okinawa,2002,,,4,1247000,3,276000,14,153325,21,1676325,,,,,,,21,1676325
Hokkaido,2001,62,1245272,6,3285000,1,148000,4,17410,11,3450410,1,1158000,1,50000,,,75,5903682
Tohoku,2001,211,2451706,8,11141000,,,5,85740,13,11226740,1,2174000,4,223800,,,229,16076246
Tokyo,2001,160,8518680,14,34466000,,30000,10,48880,24,34544880,3,17308000,2,3800,,,189,60375360
Chubu,2001,180,5213390,11,23400000,,,1,720,12,23400720,1,3617000,,,,,193,32231110
Hokuriku,2001,116,1812300,5,4406000,,,1,288,6,4406288,1,540000,,,,,123,6758588
Kansai,2001,145,8130439,13,17647000,1,40000,,,14,17687000,3,9768000,,,,,162,35585439
Chugoku,2001,93,2883755,9,7981000,,,3,33900,12,8023900,1,1280000,,,,,106,12187655
Shikoku,2001,58,1124826,4,3730000,,0,,,4,3730000,1,2022000,,,,,63,6876826
Kyushu,2001,138,2371206,12,11106750,3,3300,36,389494,51,11499544,2,5258000,5,207500,,,196,19336250
Okinawa,2001,,,4,1247000,3,276000,14,152925,21,1675925,,,,,,,21,1675925
Hokkaido,2000,66,1277972,6,3285000,1,148000,4,17410,11,3450410,1,1158000,1,50000,,,79,5936382
Tohoku,2000,210,2442106,8,11120000,,,5,85740,13,11205740,1,1349000,4,223800,,,228,15220646
