Company,Year_term,Lighting_Fixed rate lighting (MWh),Lighting_Meter rate lighting A/B (MWh),Lighting_Meter rate lighting C (MWh),Lighting_Temporary power (MWh),Lighting_Agricultural power (MWh),Lighting_Public street lighting (MWh),Lighting_Total Lighting - optional contracs (MWh),Lighting_Total Lighting - optional contracs2 (MWh),Lighting_Total Lighting (MWh),Power_Commercial use power - optional contracts (MWh),Power_Commercial use power (MWh),Power_Small use power_Low voltage power - optipnal contracts (MWh),Power_Small use power_Low voltage power (MWh),Power_Small use power_High voltage power A - optinal contracts (MWh),Power_Small use power_High voltage power A (MWh),Power_Small use power_Total Small use power - optional contracts (MWh),Power_Small use power_Total Small use power (MWh),Power_High voltage power B - optional contracts (MWh),Power_High voltage power B (MWh),Power_Other power services_Temporary power (MWh),Power_Other power services_Agricultural power (MWh),Power_Other power services_Construction power (MWh),Power_Other power services_Business use power (MWh),Power_Other power services_High voltage power B - optional contracts (MWh),Power_Other power services_High voltage power B (MWh),Power_Other power services_Commercial use power (MWh),Power_Other power services_High voltage power A/B (MWh),Power_Other power services_Other power services - optional contracts (MWh),Power_Other power services_Total Other power services (MWh),Power_Total Power - optional contracts (MWh),Power_Total Power (MWh),Total of Lighting and Power (MWh),Specific scale demands (MWh),Total Electricity sales (MWh)
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_小口電力計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計,特定規模需要,販売電力合計
Tohoku,199710,5455,1193566,266715,12608,,49366,,,1547050,,,,284582,,643003,,927585,,,,,,,,,,,,,,,,,5494816
Tokyo,199710,21157,4216153,1112421,28478,,186974,,,5637062,,,,887222,,1525149,,2412371,,,,,,,,,,,,,,,,,20860701
Chubu,199710,7069,1557235,485885,9505,210,68705,,,2163065,,,,490823,,1068170,,1558993,,,,,,,,,,,,,,,,,9636647
Hokuriku,199710,1225,307080,87460,4166,3,17683,,,430437,,,,99537,,251769,,351306,,,,,,,,,,,,,,,,,1976395
Kansai,199710,7815,2433303,394593,13190,,80693,,,2972028,,,,551898,,947779,,1499677,,,,,,,,,,,,,,,,,11077520
Chugoku,199710,3180,871260,107602,2919,45,29284,,,1077195,,,,179009,,375266,,554275,,,,,,,,,,,,,,,,,4205427
Shikoku,199710,1369,497088,74061,1689,0,16648,,,601789,,,,118695,,202907,,321602,,,,,,,,,,,,,,,,,1902381
Kyushu,199710,5423,1353655,255149,5122,171,42814,,,1686613,,,,378367,,523238,,901605,,,,,,,,,,,,,,,,,5702069
Okinawa,199710,227,198198,,904,,3965,,,207023,,,,54579,,28133,,82712,,,,,,,,,,,,,,,,,563389
Hokkaido,199709,3199,540144,118691,5546,,42272,,,741600,,,,121214,,231775,,352989,,,,,,,,,,,,,,,,,2190395
Tohoku,199709,5230,1193896,262367,11476,,46184,,,1535761,,,,341202,,680297,,1021499,,,,,,,,,,,,,,,,,5718621
Tokyo,199709,20385,5141451,1225281,27893,,175301,,,6657732,,,,1367308,,1711195,,3078503,,,,,,,,,,,,,,,,,23928442
Chubu,199709,6810,1893397,525300,9527,188,64853,,,2531305,,,,748666,,1151573,,1900239,,,,,,,,,,,,,,,,,10794694
Hokuriku,199709,1177,362422,95429,4182,4,16663,,,491968,,,,153123,,259780,,412903,,,,,,,,,,,,,,,,,2115055
Kansai,199709,7567,3270155,436038,14246,,75496,,,3848494,,,,905966,,1065612,,1971578,,,,,,,,,,,,,,,,,13109273
Chugoku,199709,3076,1084587,113768,3039,27,27802,,,1294652,,,,301307,,398606,,699913,,,,,,,,,,,,,,,,,4690788
Shikoku,199709,1327,629418,78100,1704,0,15996,,,737492,,,,192073,,215265,,407338,,,,,,,,,,,,,,,,,2139782
Kyushu,199709,5241,1774534,280458,5735,647,40924,,,2130244,,,,619019,,571145,,1190164,,,,,,,,,,,,,,,,,6662550
Okinawa,199709,208,235984,,865,,3732,,,243636,,,,66661,,28176,,94837,,,,,,,,,,,,,,,,,635224
Hokkaido,199708,3069,571449,125735,5018,,39590,,,776495,,,,140359,,239896,,380255,,,,,,,,,,,,,,,,,2258493
Tohoku,199708,4999,1401317,299657,12563,,44065,,,1780547,,,,421883,,711648,,1133531,,,,,,,,,,,,,,,,,6190049
Tokyo,199708,19545,5905342,1374881,30475,,167679,,,7569687,,,,1591647,,1759175,,3350822,,,,,,,,,,,,,,,,,25297066
Chubu,199708,6502,2022957,570560,9528,73,61861,,,2704163,,,,785094,,1187020,,1972114,,,,,,,,,,,,,,,,,10716905
Hokuriku,199708,1123,402885,101205,4362,0,15744,,,537746,,,,165925,,268470,,434395,,,,,,,,,,,,,,,,,2229674
Kansai,199708,7299,3473670,468557,13388,,72805,,,4084358,,,,955507,,1084563,,2040070,,,,,,,,,,,,,,,,,13484291
Chugoku,199708,2972,1166935,123955,3264,4,27122,,,1391198,,,,321449,,417553,,739002,,,,,,,,,,,,,,,,,4847624
Shikoku,199708,1283,638228,80075,1715,0,15346,,,747958,,,,192490,,221373,,413863,,,,,,,,,,,,,,,,,2233555
Kyushu,199708,5046,1883286,295515,5772,896,39184,,,2251231,,,,669412,,588718,,1258130,,,,,,,,,,,,,,,,,6936983
Okinawa,199708,201,250702,,880,,3623,,,257914,,,,72593,,30334,,102927,,,,,,,,,,,,,,,,,667284
Hokkaido,199707,2990,528457,117816,4620,,37813,,,723575,,,,116488,,217887,,334375,,,,,,,,,,,,,,,,,2094225
Tohoku,199707,4821,1190585,267824,11140,,41467,,,1532488,,,,315727,,673165,,988892,,,,,,,,,,,,,,,,,5748727
Tokyo,199707,18991,5040870,1237615,31400,,159261,,,6555141,,,,1325387,,1706587,,3031974,,,,,,,,,,,,,,,,,24113343
Chubu,199707,6300,1585651,477627,8510,21,58804,,,2165344,,,,578475,,1133056,,1711531,,,,,,,,,,,,,,,,,10231104
Hokuriku,199707,1081,324070,88776,3739,0,14825,,,443652,,,,129719,,283244,,412963,,,,,,,,,,,,,,,,,2155866
Kansai,199707,7100,2653760,398530,11767,,68276,,,3180449,,,,725176,,1029360,,1754536,,,,,,,,,,,,,,,,,12258733
Chugoku,199707,2873,919372,108278,2675,2,25357,,,1116314,,,,238943,,378342,,617285,,,,,,,,,,,,,,,,,4357617
Shikoku,199707,1249,534641,74428,1427,0,14558,,,636895,,,,154942,,231783,,386725,,,,,,,,,,,,,,,,,2105640
Kyushu,199707,4918,1577042,274898,-4829,564,37769,,,1910575,,,,553385,,532348,,1085733,,,,,,,,,,,,,,,,,6271969
Okinawa,199707,197,203960,,784,,3428,,,210426,,,,57986,,27205,,85191,,,,,,,,,,,,,,,,,583490
Hokkaido,199706,3132,492718,110215,4418,,41145,,,685309,,,,95078,,211196,,306274,,,,,,,,,,,,,,,,,1997916
Tohoku,199706,5071,1057562,236741,8895,,44635,,,1368663,,,,216424,,623756,,840180,,,,,,,,,,,,,,,,,5230079
Tokyo,199706,19919,3738890,993263,24281,,168621,,,5004937,,,,787833,,1533059,,2320892,,,,,,,,,,,,,,,,,20452447
Chubu,199706,6578,1312618,421667,7696,43,63208,,,1838976,,,,378292,,1053064,,1431356,,,,,,,,,,,,,,,,,9123225
Hokuriku,199706,1128,286032,82189,3209,0,16141,,,399728,,,,93613,,250939,,344552,,,,,,,,,,,,,,,,,1947806
Kansai,199706,7339,2086649,344551,11403,,72246,,,2559835,,,,447098,,938719,,1385817,,,,,,,,,,,,,,,,,10591645
Chugoku,199706,2950,840388,106063,2360,5,27838,,,1039522,,,,162449,,353981,,516430,,,,,,,,,,,,,,,,,4049968
Shikoku,199706,1289,436612,67500,1281,0,15850,,,532845,,,,102327,,204954,,307281,,,,,,,,,,,,,,,,,1841948
Kyushu,199706,5118,1223932,233996,14113,41,39952,,,1535607,,,,350336,,500399,,850735,,,,,,,,,,,,,,,,,5402702
Okinawa,199706,202,188350,,752,,3744,,,195188,,,,49124,,27449,,76573,,,,,,,,,,,,,,,,,539834
Hokkaido,199705,3223,593313,128892,4323,,43517,,,816733,,,,112689,,207922,,320611,,,,,,,,,,,,,,,,,2141746
Tohoku,199705,5201,1267717,272713,8759,,47535,,,1621452,,,,252057,,586180,,838237,,,,,,,,,,,,,,,,,5383177
Tokyo,199705,20463,4382292,1127549,24663,,181913,,,5807771,,,,795278,,1415557,,2210835,,,,,,,,,,,,,,,,,20200701
Chubu,199705,6759,1635144,503454,7714,83,67520,,,2254029,,,,412630,,971983,,1384613,,,,,,,,,,,,,,,,,9209065
Hokuriku,199705,1152,332665,91385,3229,0,17130,,,458507,,,,95565,,240242,,335807,,,,,,,,,,,,,,,,,1931704
Kansai,199705,7478,2551247,406664,12235,,79198,,,3104806,,,,452035,,869015,,1321050,,,,,,,,,,,,,,,,,10766594
Chugoku,199705,2999,872817,105397,2262,8,28552,,,1076205,,,,140290,,340023,,480313,,,,,,,,,,,,,,,,,3957334
Shikoku,199705,1306,471152,70160,1399,0,16290,,,571688,,,,94077,,197395,,291472,,,,,,,,,,,,,,,,,1845216
Kyushu,199705,5250,1359733,252539,4309,42,41993,,,1685277,,,,321866,,461988,,783854,,,,,,,,,,,,,,,,,5324484
Okinawa,199705,199,165847,,706,,3862,,,172661,,,,36555,,25570,,62125,,,,,,,,,,,,,,,,,465957
Hokkaido,199704,3456,595343,132241,3620,,48883,,,829606,,,,108132,,214192,,322324,,,,,,,,,,,,,,,,,2250632
Tohoku,199704,5568,1372911,286503,9527,,52643,,,1748323,,,,269530,,652559,,922089,,,,,,,,,,,,,,,,,5562050
Tokyo,199704,21923,4764072,1181112,30095,,200518,,,6270561,,,,819011,,1573211,,2392222,,,,,,,,,,,,,,,,,20866510
Chubu,199704,7191,1633782,484002,8330,127,74018,,,2238326,,,,402402,,1075632,,1478034,,,,,,,,,,,,,,,,,9204161
Hokuriku,199704,1245,363991,95524,3510,0,18800,,,496726,,,,103072,,242147,,345219,,,,,,,,,,,,,,,,,1962549
Kansai,199704,7832,2557836,386218,14574,,84588,,,3098481,,,,423900,,951007,,1374907,,,,,,,,,,,,,,,,,10629825
Chugoku,199704,3152,964304,111348,3086,17,30835,,,1183100,,,,153246,,369468,,522714,,,,,,,,,,,,,,,,,4149151
Shikoku,199704,1365,521207,73602,1922,0,17585,,,628236,,,,95819,,193327,,289146,,,,,,,,,,,,,,,,,1850111
Kyushu,199704,5585,1404946,253594,5374,16,45261,,,1736479,,,,301233,,492787,,794020,,,,,,,,,,,,,,,,,5346932
Okinawa,199704,202,163378,,931,,4221,,,171219,,,,27488,,25848,,53336,,,,,,,,,,,,,,,,,429980
Hokkaido,199703,3375,614574,133399,4249,,47921,,,852277,,,,99691,,197057,,296748,,,,,,,,,,,,,,,,,2253212
Tohoku,199703,5421,1365096,277417,14838,,51250,,,1734605,,,,266378,,612188,,878566,,,,,,,,,,,,,,,,,5628606
Tokyo,199703,21444,4933559,1173782,35373,,194317,,,6429308,,,,890591,,1489921,,2380512,,,,,,,,,,,,,,,,,21016718
Chubu,199703,6993,1770930,502101,11118,328,72064,,,2395090,,,,472388,,1022878,,1495266,,,,,,,,,,,,,,,,,9719888
Hokuriku,199703,1223,366263,93464,4300,0,18269,,,496760,,,,106773,,257172,,363945,,,,,,,,,,,,,,,,,2028479
Kansai,199703,7636,2783478,396853,17497,,82493,,,3337753,,,,491412,,904351,,1395763,,,,,,,,,,,,,,,,,11053358
Chugoku,199703,3071,991174,110188,4249,36,30129,,,1209225,,,,174486,,352644,,527130,,,,,,,,,,,,,,,,,4227605
Shikoku,199703,1335,536168,72174,2419,0,17044,,,641944,,,,106582,,200566,,307148,,,,,,,,,,,,,,,,,1920232
Kyushu,199703,5427,1461297,256055,7164,13,44303,,,1797654,,,,336652,,463656,,800308,,,,,,,,,,,,,,,,,5461389
Okinawa,199703,199,147206,,982,,4054,,,155216,,,,19357,,23077,,42434,,,,,,,,,,,,,,,,,379178
Hokkaido,199702,3688,645949,139460,4918,,56839,,,901831,,,,102786,,204288,,307074,,,,,,,,,,,,,,,,,2323339
Tohoku,199702,5939,1516265,301483,15578,,59142,,,1920510,,,,303036,,663717,,966753,,,,,,,,,,,,,,,,,5880994
Tokyo,199702,23540,5733668,1320696,37520,,224381,,,7417334,,,,1059436,,1642352,,2701788,,,,,,,,,,,,,,,,,22508275
Chubu,199702,7591,2059250,558495,12733,541,82771,,,2755979,,,,564966,,1120839,,1685805,,,,,,,,,,,,,,,,,10143811
Hokuriku,199702,1349,425087,105292,4928,0,21178,,,572615,,,,127721,,246405,,374126,,,,,,,,,,,,,,,,,2070584
Kansai,199702,8188,3274710,444399,16625,,94842,,,3895139,,,,588637,,983486,,1572123,,,,,,,,,,,,,,,,,11692409
Chugoku,199702,3263,1202737,126280,5085,62,34302,,,1453158,,,,217785,,369889,,587674,,,,,,,,,,,,,,,,,4477554
Shikoku,199702,1426,623128,78716,2764,0,19537,,,739762,,,,127593,,188732,,316325,,,,,,,,,,,,,,,,,1999996
Kyushu,199702,5883,1670094,279240,8204,16,49563,,,2039698,,,,415777,,485752,,901529,,,,,,,,,,,,,,,,,5753320
Okinawa,199702,212,176623,,1098,,4622,,,186241,,,,20300,,23974,,44274,,,,,,,,,,,,,,,,,415268
Hokkaido,199701,3679,755020,153230,5459,,55225,,,1030482,,,,110875,,221785,,332660,,,,,,,,,,,,,,,,,2464193
Tohoku,199701,5922,1752789,338992,16116,,61019,,,2199823,,,,315150,,613430,,928580,,,,,,,,,,,,,,,,,6149593
Tokyo,199701,23523,6507357,1467909,35724,,233475,,,8356716,,,,1104667,,1462250,,2566917,,,,,,,,,,,,,,,,,22914293
Chubu,199701,7518,2326451,621372,12186,653,84721,,,3093256,,,,575058,,979178,,1554236,,,,,,,,,,,,,,,,,10405116
Hokuriku,199701,1335,485454,115856,5567,0,21839,,,646615,,,,127666,,248196,,375862,,,,,,,,,,,,,,,,,2187924
Kansai,199701,8125,3675038,489367,17358,,99575,,,4351651,,,,590037,,861546,,1451583,,,,,,,,,,,,,,,,,12051311
Chugoku,199701,3250,1246580,126529,4335,70,35886,,,1499353,,,,202076,,357012,,559088,,,,,,,,,,,,,,,,,4500443
Shikoku,199701,1414,691010,84858,2596,0,20078,,,815170,,,,128601,,196718,,325319,,,,,,,,,,,,,,,,,2139398
Kyushu,199701,5853,1935264,313683,7967,16,50984,,,2345137,,,,444559,,488061,,932620,,,,,,,,,,,,,,,,,6191321
Okinawa,199701,211,168477,,948,,4693,,,178686,,,,22133,,25005,,47138,,,,,,,,,,,,,,,,,425234
Hokkaido,199612,3460,598829,132580,6820,,51393,,,836676,,,,97925,,232114,,330039,,,,,,,,,,,,,,,,,2179691
Tohoku,199612,5568,1246265,260299,14816,0,54186,,,1598636,,,,234333,,643912,,878245,,,,,,,,,,,,,,,,,5418915
Tokyo,199612,22190,4863016,1176957,36463,,210032,,,6376320,,,,855073,,1555110,,2410183,,,,,,,,,,,,,,,,,20994951
Chubu,199612,7044,1712373,494088,11889,444,77274,,,2333856,,,,438416,,1053120,,1491536,,,,,,,,,,,,,,,,,9292056
Hokuriku,199612,1257,370382,95425,5087,0,19535,,,504002,,,,106764,,253491,,360255,,,,,,,,,,,,,,,,,2021976
Kansai,199612,7694,2692227,395591,18754,,88845,,,3247558,,,,458826,,932530,,1391356,,,,,,,,,,,,,,,,,10878921
Chugoku,199612,3057,1030663,116401,4291,44,32663,,,1251942,,,,171923,,356130,,528053,,,,,,,,,,,,,,,,,4146656
Shikoku,199612,1341,531215,72946,2245,0,18436,,,637654,,,,100756,,197774,,298530,,,,,,,,,,,,,,,,,1898050
Kyushu,199612,5499,1463978,258126,7094,18,46982,,,1805066,,,,336088,,487503,,823591,,,,,,,,,,,,,,,,,5437367
Okinawa,199612,197,162245,,932,,4361,,,172104,,,,31039,,25748,,56787,,,,,,,,,,,,,,,,,443775
Hokkaido,199611,3341,594506,130850,6394,,49191,,,821800,,,,110333,,247903,,358236,,,,,,,,,,,,,,,,,2150167
Tohoku,199611,5394,1272897,276287,15119,0,53275,,,1639974,,,,248767,,641975,,890742,,,,,,,,,,,,,,,,,5371307
Tokyo,199611,21469,4674240,1193652,33692,,206363,,,6198681,,,,812798,,1531191,,2343989,,,,,,,,,,,,,,,,,20705301
Chubu,199611,6804,1610482,502226,11415,205,74902,,,2238001,,,,399898,,1045900,,1445798,,,,,,,,,,,,,,,,,9224819
Hokuriku,199611,1217,332851,89849,5164,0,19085,,,459069,,,,92719,,248897,,341616,,,,,,,,,,,,,,,,,1927507
Kansai,199611,7415,2506341,403673,16124,,88155,,,3061996,,,,427735,,925754,,1353489,,,,,,,,,,,,,,,,,10568937
Chugoku,199611,2953,901168,110669,3584,23,31759,,,1104638,,,,141549,,361021,,502570,,,,,,,,,,,,,,,,,3959138
Shikoku,199611,1304,481953,73074,1888,0,17881,,,586368,,,,91079,,195116,,286195,,,,,,,,,,,,,,,,,1774314
Kyushu,199611,5325,1338343,254557,6267,82,45652,,,1671392,,,,315379,,505467,,820846,,,,,,,,,,,,,,,,,5286806
Okinawa,199611,186,179621,,1012,,4186,,,189103,,,,45696,,27319,,73015,,,,,,,,,,,,,,,,,511600
Hokkaido,199610,3081,534922,117630,5724,,43467,,,732527,,,,119417,,239343,,358760,,,,,,,,,,,,,,,,,2078235
Tohoku,199610,4977,1190216,267626,14420,0,47865,,,1540065,,,,300885,,628958,,929843,,,,,,,,,,,,,,,,,5364142
Tokyo,199610,19772,3882238,1024030,29817,,180958,,,5193835,,,,823239,,1471204,,2294443,,,,,,,,,,,,,,,,,19835917
Chubu,199610,6268,1388412,442914,10054,210,66448,,,1941124,,,,428440,,1031262,,1459702,,,,,,,,,,,,,,,,,9139092
Hokuriku,199610,1111,299458,84828,4958,2,17187,,,417021,,,,101594,,248381,,349975,,,,,,,,,,,,,,,,,1921440
Kansai,199610,6878,2187326,357426,14339,,77288,,,2675097,,,,482498,,919037,,1401535,,,,,,,,,,,,,,,,,10526518
Chugoku,199610,2729,832705,104262,3097,45,28263,,,1016500,,,,172737,,364387,,537124,,,,,,,,,,,,,,,,,4052195
Shikoku,199610,1223,460771,70009,1707,0,16044,,,558819,,,,112503,,203272,,315775,,,,,,,,,,,,,,,,,1788589
Kyushu,199610,4950,1340454,249728,5925,180,41508,,,1661906,,,,397828,,522254,,920082,,,,,,,,,,,,,,,,,5619539
Okinawa,199610,177,205251,,942,,3793,,,213328,,,,58277,,26869,,85146,,,,,,,,,,,,,,,,,577233
Hokkaido,199609,2966,524645,115745,5560,,41111,,,714994,,,,122072,,231694,,353766,,,,,,,,,,,,,,,,,2129338
Tohoku,199609,4762,1176490,257371,12317,0,44692,,,1508602,,,,327542,,636598,,964140,,,,,,,,,,,,,,,,,5446893
Tokyo,199609,18964,4749575,1172950,28822,,172877,,,6200549,,,,1249866,,1596990,,2846856,,,,,,,,,,,,,,,,,22385372
Chubu,199609,6021,1753415,510350,9746,201,63354,,,2369305,,,,680813,,1076520,,1757333,,,,,,,,,,,,,,,,,10108178
Hokuriku,199609,1065,331991,87622,4525,3,16147,,,450026,,,,138348,,245998,,384346,,,,,,,,,,,,,,,,,1981638
Kansai,199609,6592,2999636,414705,16021,,73825,,,3546137,,,,823823,,1018143,,1841966,,,,,,,,,,,,,,,,,12263616
Chugoku,199609,2641,1031676,113098,3071,30,27589,,,1222780,,,,285223,,389099,,674322,,,,,,,,,,,,,,,,,4514265
Shikoku,199609,1191,564562,74073,1722,0,15718,,,666425,,,,177883,,205812,,383695,,,,,,,,,,,,,,,,,1981251
Kyushu,199609,4779,1684670,268154,6110,629,39821,,,2021672,,,,603940,,555410,,1159350,,,,,,,,,,,,,,,,,6423440
Okinawa,199609,171,245495,,914,,3660,,,252860,,,,69931,,28126,,98057,,,,,,,,,,,,,,,,,647022
Hokkaido,199608,2846,555430,122271,5274,,38494,,,750235,,,,130195,,233238,,363433,,,,,,,,,,,,,,,,,2129347
Tohoku,199608,4539,1231200,258557,12045,0,41619,,,1560146,,,,372515,,673283,,1045798,,,,,,,,,,,,,,,,,5676560
Tokyo,199608,18063,5684828,1302430,31340,,162658,,,7257081,,,,1557286,,1716162,,3273448,,,,,,,,,,,,,,,,,24431141
Chubu,199608,5729,2198060,578790,9948,74,59950,,,2879024,,,,875499,,1191329,,2066828,,,,,,,,,,,,,,,,,10888710
Hokuriku,199608,1013,435297,101846,4812,0,15271,,,567751,,,,183600,,263312,,446912,,,,,,,,,,,,,,,,,2249980
Kansai,199608,6289,4077193,493666,14983,,70681,,,4705713,,,,1100820,,1120424,,2221244,,,,,,,,,,,,,,,,,14261048
Chugoku,199608,2540,1352090,130221,3610,5,26209,,,1566354,,,,375446,,419893,,795339,,,,,,,,,,,,,,,,,5053989
Shikoku,199608,1148,727508,84506,1846,0,14955,,,840648,,,,221439,,222684,,444123,,,,,,,,,,,,,,,,,2332323
Kyushu,199608,4593,2061511,294255,6345,846,37934,,,2422838,,,,733326,,587599,,1320925,,,,,,,,,,,,,,,,,7073304
Okinawa,199608,167,264298,,960,,3513,,,271199,,,,77223,,29651,,106874,,,,,,,,,,,,,,,,,683821
Hokkaido,199607,2751,490254,109962,4674,,36510,,,668575,,,,102258,,211659,,313917,,,,,,,,,,,,,,,,,1938740
Tohoku,199607,4366,1124091,253223,11451,0,39948,,,1445685,,,,276890,,625009,,901899,,,,,,,,,,,,,,,,,5334173
Tokyo,199607,17489,4264548,1085376,30794,,154303,,,5604379,,,,1101539,,1583319,,2684858,,,,,,,,,,,,,,,,,22022451
Chubu,199607,5546,1410988,432502,8546,27,56869,,,1936197,,,,511412,,1059866,,1571278,,,,,,,,,,,,,,,,,9637152
Hokuriku,199607,975,301595,81641,4062,0,14298,,,410726,,,,117364,,278984,,396348,,,,,,,,,,,,,,,,,2085887
Kansai,199607,6068,2378174,359770,12770,,65467,,,2852631,,,,637691,,984137,,1621828,,,,,,,,,,,,,,,,,11571194
Chugoku,199607,2479,849917,101525,2607,2,24360,,,1019016,,,,209119,,357483,,566602,,,,,,,,,,,,,,,,,4093660
Shikoku,199607,1115,494451,70275,1422,0,14032,,,590294,,,,141035,,234632,,375667,,,,,,,,,,,,,,,,,2057003
Kyushu,199607,4445,1465684,253615,5488,558,36456,,,1781557,,,,499226,,516039,,1015265,,,,,,,,,,,,,,,,,5937657
Okinawa,199607,163,227496,,855,,3328,,,233745,,,,67246,,27608,,94854,,,,,,,,,,,,,,,,,621717
Hokkaido,199606,2864,498632,112053,4138,,39993,,,684906,,,,97679,,206262,,303941,,,,,,,,,,,,,,,,,1938922
Tohoku,199606,4623,1066149,238513,9467,0,43324,,,1374608,,,,231760,,602546,,834306,,,,,,,,,,,,,,,,,5091114
Tokyo,199606,18392,3861000,1017803,24036,,166508,,,5140519,,,,844604,,1488658,,2333262,,,,,,,,,,,,,,,,,20207395
Chubu,199606,5807,1279579,409463,7676,41,61361,,,1785805,,,,388333,,1002081,,1390414,,,,,,,,,,,,,,,,,8771507
Hokuriku,199606,1036,274243,77645,3602,0,15612,,,380281,,,,94233,,241793,,336026,,,,,,,,,,,,,,,,,1857197
Kansai,199606,6267,2046750,332713,12929,,70172,,,2498407,,,,459804,,911157,,1370961,,,,,,,,,,,,,,,,,10301645
Chugoku,199606,2570,858341,107909,2388,5,27392,,,1039924,,,,169301,,342085,,511386,,,,,,,,,,,,,,,,,3897674
Shikoku,199606,1158,414758,64448,1243,0,15531,,,505979,,,,100871,,197971,,298842,,,,,,,,,,,,,,,,,1784477
Kyushu,199606,4609,1207118,227016,4378,41,38840,,,1496555,,,,351766,,476820,,828586,,,,,,,,,,,,,,,,,5193079
Okinawa,199606,166,175287,,731,,3629,,,181666,,,,39757,,25319,,65076,,,,,,,,,,,,,,,,,479550
Hokkaido,199605,2937,588063,127391,4011,,42206,,,799362,,,,111636,,205200,,316836,,,,,,,,,,,,,,,,,2059085
Tohoku,199605,4747,1268471,265320,8789,0,45764,,,1608307,,,,251208,,564800,,816008,,,,,,,,,,,,,,,,,5201527
Tokyo,199605,18913,4414745,1105212,23784,,177428,,,5800078,,,,782093,,1358154,,2140247,,,,,,,,,,,,,,,,,19511464
Chubu,199605,5950,1711752,512395,7621,76,65752,,,2332014,,,,427654,,939465,,1367119,,,,,,,,,,,,,,,,,9101779
Hokuriku,199605,1059,339583,89628,3624,0,16621,,,460769,,,,97424,,230656,,328080,,,,,,,,,,,,,,,,,1872432
Kansai,199605,6359,2657062,407973,12719,,77298,,,3202918,,,,451540,,854053,,1305593,,,,,,,,,,,,,,,,,10611835
Chugoku,199605,2623,887456,104730,2230,8,27877,,,1068549,,,,139816,,334197,,474013,,,,,,,,,,,,,,,,,3836397
Shikoku,199605,1177,487344,71064,1353,0,15925,,,587518,,,,93467,,190985,,284452,,,,,,,,,,,,,,,,,1818763
Kyushu,199605,4736,1405491,253483,4483,27,40869,,,1726439,,,,317531,,458094,,775625,,,,,,,,,,,,,,,,,5275242
Okinawa,199605,169,152169,,584,,3737,,,158364,,,,26966,,24264,,51230,,,,,,,,,,,,,,,,,410285
Hokkaido,199604,3152,605115,133976,3731,,47265,,,829689,,,,107005,,209849,,316854,,,,,,,,,,,,,,,,,2158097
Tohoku,199604,5101,1444007,295539,9392,0,51112,,,1822081,,,,291757,,639325,,931082,,,,,,,,,,,,,,,,,5570886
Tokyo,199604,20325,5030642,1216579,28432,,196607,,,6555878,,,,900557,,1542455,,2443012,,,,,,,,,,,,,,,,,20892378
Chubu,199604,6388,1699265,488355,8248,135,71895,,,2300032,,,,441249,,1040475,,1481724,,,,,,,,,,,,,,,,,9148339
Hokuriku,199604,1143,371515,94499,3823,0,18185,,,499897,,,,111248,,239612,,350860,,,,,,,,,,,,,,,,,1946450
Kansai,199604,6701,2669946,385796,15081,,81864,,,3199213,,,,459399,,929982,,1389381,,,,,,,,,,,,,,,,,10598126
Chugoku,199604,2731,979101,110941,3024,17,30309,,,1171893,,,,164519,,361619,,526138,,,,,,,,,,,,,,,,,4034722
Shikoku,199604,1244,532739,73351,1766,0,17402,,,637919,,,,102610,,189902,,292512,,,,,,,,,,,,,,,,,1840952
Kyushu,199604,5065,1441811,251619,5482,15,44001,,,1764517,,,,324201,,487610,,811811,,,,,,,,,,,,,,,,,5340306
Okinawa,199604,174,158799,,775,,4091,,,165737,,,,24298,,25240,,49538,,,,,,,,,,,,,,,,,411132
Hokkaido,199603,3143,644371,139275,4849,,47899,,,878191,,,,103918,,202151,,306069,,,,,,,,,,,,,,,,,2235791
Tohoku,199603,5057,1353948,270900,13216,0,51119,,,1709411,,,,272930,,607443,,880373,,,,,,,,,,,,,,,,,5531659
Tokyo,199603,20242,5321550,1234333,33640,,196339,,,6868079,,,,1001736,,1520229,,2521965,,,,,,,,,,,,,,,,,21567074
Chubu,199603,6346,1919539,528512,10484,394,72431,,,2565096,,,,532220,,1034347,,1566567,,,,,,,,,,,,,,,,,9792063
Hokuriku,199603,1130,392002,96487,4420,0,18365,,,523149,,,,119040,,255264,,374304,,,,,,,,,,,,,,,,,2042807
