Company,Year_term,Assets_Noncurrent assets (M. JPY),Assets_Electric utility plants and equipment (M. JPY),Assets_Hydroelectric power production facilities (M. JPY),Assets_Thermal power production facilities (M. JPY),Assets_Nuclear power production facilities (M. JPY),Assets_Internal-combustion power production facilities (M. JPY),Assets_Renewable energy power production facilities &c. (M. JPY),Assets_Transmission facilities (M. JPY),Assets_Transformation facilities (M. JPY),Assets_Distribution facilities (M. JPY),Assets_General facilities (M. JPY),Assets_Inactive facillites (M. JPY),Assets_Loaned faciliteis (M. JPY),Assets_Incidental business facillities (M. JPY),Assets_Non-operating facillities (M. JPY),Assets_Construction/Retirement in progress (M. JPY),Assets_Construction in progress (M. JPY),Assets_Retirement in progress (M. JPY),Assets_Nuclear power aboltion related in progress (M. JPY),Assets_Nuclear fuel (M. JPY),Assets_Loaded nuclear fuel (M. JPY),Assets_Nuclear fuel in processing (M. JPY),Assets_Investments and other assets (M. JPY),Assets_Long-term investments (M. JPY),Assets_Long-term investments to affiliates &c. (M. JPY),Assets_Fund for reprocessing of spent fuel (M. JPY),Receivable Nuclear Damage Compensation Support Organization Fund Grant (M. JPY),Receivable Nuclear Decomissioning Compensation Support Organization Fund Grant (M. JPY),Assets_Long-term prepaid expences (M. JPY),Assets_prepaid pension expences (M. JPY),Assets_Deferred tax assets (M. JPY),"Assets_Allowance for 
doubtful accounts (subtract) (M. JPY)",Assets_Current assets (M. JPY),Assets_Cash and deposits (M. JPY),Assets_Accounts recievable trade (M. JPY),Assets_Other accounts receivable (M. JPY),Assets_short-term investment (M. JPY),Assets_Inventories (M. JPY),Assets_Prepaid money (M. JPY),Assets_Prepaid expenses (M. JPY),Assets_Short-term receivables from affiliates &c. (M. JPY),Assets_Deferred tax assets2 (M. JPY),Assets_Other current assets (M. JPY),"Assets_Allowance for 
doubtful accounts (subtract)2 (M. JPY)",Assets_Total (M. JPY)
会社名,年期,1_固定資産,Ｉ電気事業固定資産,水力発電設備,汽力発電設備,原子力発電設備,内燃力発電設備,新エネルギー等発電設備,送電設備,変電設備,配電設備,業務設備,休止設備,貸付設備,II附帯事業固定資産,III事業外固定資産,IV固定資産仮勘定,建設仮勘定,除却仮勘定,原子力廃止関連仮勘定,Ｖ核燃料,装荷核燃料,加工中等核燃料,VI投資その他の資産,長期投資,関係会社長期投資,使用済燃料再処理等積立金,未収原子力損害賠償支援機構資金交付金,未収原賠廃炉等支援機構資金交付金,長期前払費用,前払年金費用,繰延税金資産,貸倒引当金貸方,2_流動資産,現金および預金,売掛金,諸未収入金,短期投資,貯蔵品,前払金,前払費用,関係会社短期債権,繰延税金資産2,雑流動資産,貸倒引当金貸方2,合計
Tokyo,2000,13737425,10597701,789141,1301761,1260332,12324,,3264154,1300160,2429647,238484,,1695,13949,7024,1139028,1128375,10652,,713930,179706,534224,1265791,644645,310523,,,,44339,,268650,2367,560201,55187,347395,35175,,73904,,880,7162,21380,25363,6268,14297626
Chubu,2000,6057376,4792092,441118,980114,257765,216,,1403253,600749,901352,206123,,1399,840,30452,659549,659461,88,,175080,37328,137751,399360,192319,112872,,,,37474,,56995,301,190519,18742,97819,11912,,46670,,80,99,10854,4901,574,6247961
Hokuriku,2000,1485142,1093724,145024,315333,110311,36,,175953,141437,160350,44589,,687,,1164,195293,195188,104,,79156,10552,68604,115802,57159,35112,,,,993,,22574,37,59128,8710,35637,1316,,10805,,36,150,1980,656,167,1544270
Kansai,2000,6966423,5117372,539600,573266,554158,4529,,1513779,635679,1105426,189931,,1000,9057,2538,861056,860902,154,,495396,102307,393089,481001,267850,97467,,,,10847,,104957,121,246091,40528,117749,13698,,52501,,276,2799,12259,8162,1901,7212514
Chugoku,2000,2725281,2271135,199023,553102,89451,3999,,537035,242645,483457,162317,102,,2529,5142,229654,227561,2093,,104052,21077,82974,112766,74499,14282,,,,509,,23534,59,99505,10322,43253,3813,,25583,,1605,2070,12639,866,653,2824786
Shikoku,2000,1429832,1222136,97539,214994,192453,678,,282990,166768,218925,46549,-,1233,2673,567,9544,9428,115,,92144,19348,72796,102767,48808,30486,,,,725,,22777,-30,54878,6368,34606,721,-,8642,-,1427,57,2819,406,-172,1484710
Kyushu,2000,3837013,2984795,232705,403154,432790,35866,,743292,320270,654560,156374,,5782,10231,7686,337160,336250,910,,201023,40876,160146,296115,159235,83238,,,,1996,,51998,353,169233,54238,69672,4920,,29059,,657,144,10269,1291,1023,4006256
Okinawa,2000,373803,273472,,64142,,17850,,70084,37788,68272,14788,,545,,1051,86205,86205,,,,,,13073,3395,7547,,,,24,,5178,3073,13829,5710,3088,573,,3067,,42,336,1104,20,115,387632
Hokkaido,1999,1312249,1112585,173849,147492,136140,2772,,216600,110662,255646,69083,,338,,4374,75902,75844,57,,45873,11612,34261,73514,33510,15071,,,,1872,,23208,-147,52302,8334,22727,865,,9948,,159,161,7790,2826,-511,1364552
Tohoku,1999,3858739,2878474,175041,625018,207469,8072,,752998,336943,632779,139649,,501,1995,9111,556975,556446,528,,109334,19559,89774,302848,61108,154595,,,,2630,,84557,-42,211567,78323,81676,3213,,25023,,1578,1361,15524,5362,-499,4070307
Tokyo,1999,13766856,10789318,814980,1373149,1385647,17195,,3311014,1230066,2405217,250419,,1628,9723,7282,1159071,1150656,8414,,683137,181789,501348,1118322,519951,287467,,,,42713,,268523,-333,527955,52097,302030,24614,,84233,,444,8290,38705,21501,-3996,14294811
Chubu,1999,5913058,4982024,456992,1096102,278261,243,,1432385,622564,891628,202425,1,1419,144,8616,505671,505570,101,,155580,46936,108643,261020,122581,62832,,,,4791,,70944,-129,185152,30863,92068,3269,,37467,,2118,79,16432,3291,-449,6098210
Hokuriku,1999,1473441,1050937,151823,247419,123437,41,,176356,145007,159940,46223,,687,,1582,236939,236806,132,,77325,8045,69280,106656,41324,36758,,,,3446,,25170,-42,57250,9894,35737,1189,,7973,,8,100,1741,782,-178,1530692
Kansai,1999,6922207,5029010,542978,612855,595781,9729,,1388439,566436,1112319,199469,,1000,8205,1905,1013367,1013145,221,,497790,92606,405184,371927,117839,76210,,,,10138,,167802,-62,244640,45166,113712,8668,,49867,,126,12434,13892,13679,-12923,7166847
Chugoku,1999,2776821,2275603,206461,499478,97126,4508,,550699,255581,493985,167652,109,,1604,5346,296436,293728,2708,,96513,16329,80184,101315,42658,17274,,,,631,,40775,-25,93210,13604,47631,2853,,21023,,1493,1861,4346,690,-297,2870031
Shikoku,1999,1450372,1060154,100400,52873,204629,730,,295090,140588,215648,48257,621,1314,2992,576,216272,216242,30,,85348,22631,62717,85026,31083,30831,,,,1129,,22021,-39,49163,6647,30155,1015,,8220,,210,43,2231,770,-133,1499535
Kyushu,1999,3806518,3093643,237468,444546,482413,35818,,741245,333598,653918,158850,,5782,6570,6578,289669,287029,2639,,183103,45178,137925,226952,72962,80607,,,,1082,,72380,-80,152725,41104,72210,4717,391,24445,,175,103,9104,1208,-737,3959243
Okinawa,1999,351791,265888,,69231,,18037,,56428,38895,67062,15687,,545,,2120,71816,71816,,,,,,11965,3459,7643,,,,29,,3832,-3000,17440,9713,3023,279,,3718,,30,41,706,19,-93,369232
Hokkaido,1998,1282095,1121478,148242,162556,151147,2645,,218241,112662,255307,70337,,338,,3319,66579,66531,48,,42276,14176,28099,48440,31825,15245,,,,,,,-155,47265,10454,19768,1257,,11997,,167,327,,3737,-446,1329360
Tohoku,1998,3760556,2817608,181380,621629,235034,8853,,681320,322217,622101,144570,,501,2249,5752,621563,620915,647,,100541,19329,81211,212841,68794,141740,,,,,,,-103,197646,55975,74307,4049,29945,25957,,1023,1814,,5017,-450,3958203
Tokyo,1998,13657206,10372772,557273,1366623,1535533,32176,,3006636,1184751,2428622,259480,,1674,9602,6370,1804460,1800102,4357,,613320,182470,430850,850680,565956,238240,,,,,,,-403,479744,58439,295308,17611,,78594,,479,7533,,25079,-3323,14136950
Chubu,1998,5867394,5159701,475148,1228515,310183,196,,1465477,588039,877678,213042,1,1417,21,6738,386106,385843,263,,144364,48988,95375,170461,114320,51230,,,,,,,-195,157709,28467,88457,3649,,34244,,1461,45,,1937,-562,6025104
Hokuriku,1998,1408416,1103406,157211,278472,136415,48,,177748,145495,157527,49597,,888,,1629,145657,145651,6,,78383,6145,72238,79339,41847,35698,,,,,,,-33,56359,11518,34327,1090,,8176,,,359,,1113,-226,1464776
Kansai,1998,6695763,5092582,557819,668326,629707,10807,,1342330,582316,1096457,203817,,1000,8573,1869,902735,902424,311,,470991,103448,367543,219011,147379,63954,,,,,,,-208,218823,34976,107578,11297,,50344,,110,3384,,11880,-771,6914587
Chugoku,1998,2803951,2393406,216426,558131,108196,4088,,566328,267206,498613,174298,117,,1834,5348,222954,220642,2311,,93500,19772,73728,86907,67395,17247,,,,,,,-35,85836,13820,43829,1593,,22280,,1786,1995,,823,-293,2889787
Shikoku,1998,1425865,993565,104818,53758,230695,426,,232314,105583,213996,49948,630,1392,2158,586,285413,285372,41,,82991,23970,59021,61149,32083,28845,,,,,,,-46,47708,8254,30309,698,,6465,,976,40,,1137,-173,1473573
Kyushu,1998,3787628,3204730,230811,489410,530582,35677,,737332,343857,667884,163390,,5782,3872,5618,239142,237770,1371,,172659,50527,122132,161605,74987,86672,,,,,,,-112,161263,63264,68406,4980,,22071,,1061,238,,1629,-390,3948892
Okinawa,1998,317475,270349,,77465,,19612,,54284,38983,65125,14333,,545,,708,39992,39992,,,,,,6424,2388,4099,,,,,,,-77,20804,14177,2918,835,,2782,,28,127,,10,-75,338280
Hokkaido,1997,1298226,1134112,141239,173728,168971,2783,,205536,113489,253238,74786,,338,,2752,85325,85222,103,,42490,17822,24668,33544,22218,10148,,,,,,,-97,44923,10520,18342,950,,11945,,154,174,,2986,-153,1343149
Tohoku,1997,3718710,2802363,188483,567170,266575,9697,,682144,325712,608296,153781,,501,2353,4797,596543,594895,1648,,102212,25933,76278,210439,74755,133750,,,,,,,-61,184206,38060,74501,4958,29941,28914,,557,1624,,6236,-597,3902916
Tokyo,1997,13592293,10573486,565743,1355496,1695845,36835,,3040718,1217975,2390917,268440,,1512,8970,5430,1683840,1682772,1067,,578038,208109,369929,742527,488481,212707,,,,,,,-475,486089,70401,290423,13839,,77111,,959,6615,,29154,-2438,14078382
Chubu,1997,5937535,4905648,496429,1160184,349412,174,,1232532,580828,867276,217391,2,1417,0,6584,736837,736365,471,,148050,49680,98369,140413,93510,41557,,,,,,,-251,181496,39668,89780,4953,,44621,,758,71,,2339,-702,6119032
Hokuriku,1997,1439347,1039608,164918,209210,154347,55,,168170,134471,156169,51375,,890,,1188,241897,241775,121,,79266,10641,68624,77387,39507,35012,,,,,,,-23,55755,10866,32559,1377,,10342,,,366,,506,-263,1495103
Kansai,1997,6461962,5039294,474328,719984,700168,12137,,1291756,583230,1068464,188222,,1000,9685,1772,733839,733658,180,,466495,109718,356777,210874,150065,51960,,,,,,,-335,231837,51656,107015,8523,,54831,,901,844,,9004,-959,6693800
Chugoku,1997,2878683,2041927,223874,299003,121040,4521,,451287,269568,497151,175480,,,,5759,648321,646252,2068,,101402,26268,75133,81272,65348,14325,,,,,,,-54,85936,13943,41702,2078,,24818,17,1351,1837,,531,-346,2964620
Shikoku,1997,1378099,1023265,107311,57207,244461,370,,236899,109394,212250,53101,640,1628,2433,374,215203,215126,76,,81134,23752,57381,55688,31236,24122,,,,,,,-72,49505,8314,29435,2473,,7588,,515,30,,1351,-207,1427605
Kyushu,1997,3828681,3247500,231533,436822,603458,33546,,749347,354415,660756,171837,,5782,2336,5650,268196,267549,646,,157673,49377,108296,147323,77068,70351,,,,,,,-167,165669,65866,64405,7086,,26078,,583,203,,1911,-468,3994351
Okinawa,1997,303331,277458,,82608,,21257,,56432,40282,63424,12905,,545,,688,21808,21808,,,,,,3376,2370,988,,,,,,,,19332,11395,3090,102,999,3778,,19,0,,41,-94,322663
Hokkaido,1996,1319001,1069101,145829,94406,190904,2595,,209602,104079,247857,73486,,338,,2361,167989,167614,375,,43119,14263,28856,36429,25670,9759,,,,,,,-49,44934,10869,18314,620,,12009,,269,290,,2712,-152,1363936
Tohoku,1996,3629398,2555982,194251,315333,302551,10753,,659947,322813,591551,158277,,501,491,4478,745566,745068,497,,102775,23184,79591,220103,84506,133747,,,,,,,-44,153308,35093,77657,2659,,30579,,142,1760,,6020,-609,3782706
Tokyo,1996,13502867,10342791,568201,1367694,1515254,38726,,3040696,1220930,2320512,269200,,1574,8194,4861,1917112,1912747,4364,,550437,234501,315935,679471,421696,209999,,,,,,,-759,456969,42712,292575,15159,,83866,40,607,2488,,21859,-2355,13959837
Chubu,1996,5884397,4682575,510219,911741,388460,35,,1202893,598401,845977,223388,2,1455,,5951,902259,902006,252,,151196,46882,104313,142413,92425,42931,,,,,,,-257,190210,37675,97414,5213,,45375,82,450,51,,4705,-766,6074607
Hokuriku,1996,1415116,1071175,171533,229172,175388,64,,171671,116997,152887,52568,,890,,554,187577,187500,76,,76922,8908,68014,78886,39832,35206,,,,,,,-27,57635,10462,35332,1037,,10328,,,391,,363,-285,1472751
Kansai,1996,6396092,5044872,477742,775752,727204,12781,,1260249,572997,1032107,185037,,1000,11021,1739,621465,619700,1764,,497283,114874,382408,219710,159601,51773,,,,,,,-418,257344,60737,114404,11666,,54960,,1031,1190,,14366,-1021,6653437
Chugoku,1996,2759524,2003762,233662,329392,133369,4595,,385715,245597,491484,179945,,,,5649,568114,566134,1980,,100834,23878,76956,81162,65568,14323,,,,,,,-67,84021,14427,42390,2074,,21837,,854,1872,,911,-349,2843545
Shikoku,1996,1342950,1066976,111975,51412,276805,418,,244056,114000,209958,55985,653,1709,2318,380,124383,124190,193,,92499,23689,68809,56393,33678,22514,,,,,,,-88,61235,8209,32962,774,8985,7927,,127,23,,2519,-295,1404186
Kyushu,1996,3852853,3049233,241892,482723,384043,32746,,742096,362174,648789,148985,,5782,935,6443,504448,503736,711,,149529,59034,90495,142262,73957,66848,,,,,,,-150,139748,42319,65524,5014,,24304,,258,200,,2576,-462,3992601
Okinawa,1996,306108,281782,,90004,,20350,,57217,41270,62887,9506,,545,,3968,17319,17291,27,,,,,3037,2339,672,,,,,,,,17419,8775,3134,250,1998,3281,,25,,,45,-93,323528
Hokkaido,1995,1286642,1088173,148246,102536,211729,2323,,211987,102265,239841,68906,,338,,2403,115624,115481,143,,43583,11269,32314,36856,24952,8734,,,,2264,,,-41,49849,15177,17380,1019,,13392,,353,151,,2519,-147,1336492
Tohoku,1995,3472303,2604036,195962,345184,346147,10447,,642719,325510,573361,164199,,501,481,4298,526550,526220,330,,103970,29534,74436,232965,94726,133769,,,,2879,,,-61,172643,44095,71456,2385,21985,27554,,54,1890,,3764,-553,3644946
Tokyo,1995,13273725,9654546,589118,1121256,1305070,40700,,2890255,1205448,2247033,254032,,1629,9045,4709,2404400,2401224,3175,,574194,238450,335744,626829,361404,203883,,,,15137,,,-875,526671,118940,289347,14878,,73375,,479,2364,,29582,-2333,13800396
Chubu,1995,5784207,4475649,525374,747880,433081,38,,1113206,599853,832585,222121,2,1504,,5552,1011241,1011041,200,,136285,60653,75631,155478,95424,43669,,,,10157,,,-289,200002,49811,97891,8921,907,37932,,226,393,,4678,-770,5984209
Hokuriku,1995,1385119,1049372,177740,252083,199545,75,,151914,68152,148006,50903,,950,,441,182265,182207,58,,73658,7673,65984,79382,38642,34885,,,,3803,,,-31,69981,9655,34289,1326,15003,8837,,,358,,905,-398,1455101
Kansai,1995,6320484,4918320,485574,758142,735431,11921,,1206158,553629,987078,179384,,1000,12560,1677,617606,616341,1264,,526640,112850,413790,243678,166154,51969,,,,11292,,,-485,272411,71653,119327,8869,,53610,,1438,1515,,16948,-977,6592895
Chugoku,1995,2581561,1988958,230086,363711,145412,3702,,357681,231217,478497,178648,,,,5060,395033,393112,1921,,110618,21531,89087,81890,63392,13606,,,,4095,,,-81,98242,26852,42893,3631,,22090,,873,1665,,594,-367,2679804
Shikoku,1995,1325544,1103650,116117,50128,309609,479,,248034,114984,205661,56158,669,1807,35,321,64694,64509,184,,94019,29937,64081,62822,35413,21110,,,,5784,,,-105,50784,7150,31776,813,,9587,30,101,21,,1516,-223,1376328
Kyushu,1995,3804786,3019394,229792,534569,424701,34326,,698796,304656,634254,152515,,5782,186,6413,498541,498482,58,,137374,41075,96298,142874,75662,56881,,,,9024,,,-179,155249,49262,63889,4502,12006,22917,,58,146,,2985,-526,3960035
Okinawa,1995,307412,281391,,101609,,22113,,54797,32394,60280,9127,523,545,,599,22629,22629,,,,,,2791,2149,622,,,,,,,,25800,10087,2875,463,8996,3442,,25,,,14,-106,333212
Hokkaido,1994,1266937,1095174,152791,104980,239023,2498,,210078,96495,230365,58602,,338,,2046,85151,85073,77,,47255,14471,32783,37309,25385,8334,,,,2592,,,-15,44030,13324,11886,785,98,14400,,724,158,,2753,-101,1310968
Tohoku,1994,3305211,2204468,199091,355479,79971,11391,,550093,292408,548568,166962,,501,566,4051,746210,745119,1091,,110072,33794,76278,239841,106886,129381,,,,2889,,,-501,143707,41159,67256,3014,,28242,,83,1692,,2763,-508,3448919
Tokyo,1994,12786043,9602307,598467,1143092,1458047,46675,,2763038,1178850,2167240,245245,,1650,9698,2771,2051206,2049399,1807,,586540,231995,354544,533519,278498,199513,,,,14049,,,-984,593367,209508,282814,13426,,61746,,979,1812,,25341,-2269,13379411
Chubu,1994,5584166,4426181,465538,784594,491787,39,,1058349,586480,820880,216944,2,1563,,5363,845809,845396,412,,146436,56294,90142,160375,101126,42577,,,,11562,,,-343,178249,45088,87657,8006,1423,33828,,117,40,,2771,-692,5762416
Hokuriku,1994,1353775,1101678,183993,282003,227711,82,,149257,66781,143094,47798,,956,,437,99015,98848,166,,74944,6900,68044,77700,38852,32716,,,,3289,,,-36,72186,11513,32212,1696,17747,8686,,,385,,348,-406,1425961
Kansai,1994,6129031,4670113,473724,661712,770159,13035,,1130462,504462,941586,173969,,1000,14260,1555,659734,657920,1814,,530095,121750,408345,253272,183773,48828,,,,10396,,,-606,245839,57410,121038,9312,,47004,,2490,559,,8997,-982,6374871
Chugoku,1994,2424110,1815040,183049,325134,152518,3361,,326610,207213,454522,162628,,,,4697,412509,409184,3324,,112720,22652,90067,79142,64056,10485,,,,4303,,,-97,100620,33475,42293,2138,,19423,,694,2057,,885,-350,2524730
Shikoku,1994,1345407,1147598,120136,48481,350115,548,,250992,115454,200795,58485,682,1906,46,270,38556,38060,496,,93816,34189,59627,65117,37961,19806,,,,6570,,,-123,67156,6645,32825,640,17373,8673,,247,294,,806,-353,1412563
Kyushu,1994,3778612,2853891,235070,327931,477748,37530,,694195,307355,612982,155294,,5782,38,6171,635402,635325,76,,140676,51310,89366,142432,80236,52256,,,,9778,,,-212,163221,53536,64674,6410,13045,22105,,316,271,,3412,-551,3941834
Okinawa,1994,305726,287570,,110100,,21578,,56629,30612,59196,8379,527,545,,580,15094,15094,,,,,,2481,1896,557,,,,,,,,25415,8354,2338,2249,8979,3518,,36,,,13,-74,331142
Hokkaido,1993,1260957,1112410,146152,114541,269906,2127,,212270,92604,218302,56167,,338,,1915,58315,58166,148,,50636,18971,31665,37679,26210,8421,,,,2226,,,-1,53686,16888,10945,907,7877,14623,,704,115,,1717,-94,1314643
Tohoku,1993,3078049,2013744,202684,270992,79845,9520,,512002,241569,515743,180865,,520,666,3866,697587,697323,263,,109873,7054,102818,252310,120585,126797,,,,3730,,,-597,187093,50155,66113,1325,35867,27905,,59,1654,,4483,-474,3265142
Tokyo,1993,12372896,9185700,417311,1204827,1314955,53351,,2712454,1184060,2087938,209112,,1687,10455,2965,2042507,2039267,3239,,585782,240078,345703,545485,283998,199780,,,,23202,,,-1069,525491,122735,273832,9343,,67454,,407,2148,,51724,-2172,12898388
Chubu,1993,5289681,4273844,321420,783974,535443,44,,1035854,579942,803069,212453,6,1634,,5025,694148,693744,404,,160110,55140,104969,156552,104725,36260,,,,12186,,,-339,186695,58690,84555,4078,1420,36045,,195,41,,2326,-667,5476376
Hokuriku,1993,1333958,969676,190967,121595,259173,85,,149455,61963,137739,47733,,962,,414,209154,209115,38,,77049,6124,70924,77664,41578,31262,,,,2780,,,-30,60443,11419,31182,3115,7011,7339,,,332,,353,-312,1394401
Kansai,1993,5970363,4620771,477445,657348,806978,14098,,1107775,478377,907559,170187,,1000,1371,1277,534583,533139,1444,,555142,130509,424633,257215,192808,45533,,,,10639,,,-683,233652,64873,103255,9306,,46758,,2673,556,,7052,-839,6204016
Chugoku,1993,2275620,1755487,184973,339435,164869,2986,,308817,190570,435651,128183,,,,3990,324586,321667,2919,,114709,29294,85415,76845,62307,9637,,,,4839,,,-105,107536,43510,40936,1630,,17837,,1231,2103,,621,-336,2383157
Shikoku,1993,1373124,829521,124344,49557,53087,496,,244553,100451,193417,60886,701,2025,,238,381590,381128,461,,95787,38124,57663,65986,40007,19010,,,,6568,,,-135,50326,7158,28159,538,4994,8560,2,137,38,,966,-233,1423451
Kyushu,1993,3611702,2749940,238915,302082,524305,35817,,610105,307868,589345,135717,,5782,,6059,576186,576134,51,,138763,54652,84111,140753,84722,45857,,,,10021,,,-232,172997,55725,62152,8228,20024,25140,,155,126,,2008,-567,3784700
Okinawa,1993,302809,254661,,83164,,21821,,54130,29747,57804,7447,,545,,589,45244,45237,7,,,,,2314,1775,525,,,,,,,,19181,10869,2210,3674,,2449,,35,,,15,-72,321991
Hokkaido,1992,1257647,1094046,140429,124808,305269,1731,,188592,80073,205171,47630,,338,,1824,68975,68899,75,,55568,15459,40108,37233,26945,7908,,,,1848,,,-1,56625,15796,10725,2515,7882,16781,,874,127,,2026,-105,1314273
Tohoku,1992,2782485,1756593,203211,127022,79612,10006,,476992,216459,479907,162879,,501,785,4139,656786,656400,385,,107106,6490,100616,257072,135974,115783,,,,4447,,,-720,165729,47446,61613,808,14973,30964,,106,1194,,9057,-441,2948214
Tokyo,1992,11712622,8636618,429536,1172662,1156322,60872,,2493108,1140966,1981408,200097,,1643,9868,3172,1918206,1916103,2103,,617328,226656,390672,527428,280842,188640,,,,21014,,,-1105,581221,164840,271070,10213,,79429,1970,488,2186,,53159,-2157,12293843
Chubu,1992,5024247,3626660,326340,715385,247623,47,,889003,504702,770916,170921,7,1712,,3805,1066574,1066181,393,,170134,63483,106650,157071,107641,34404,,,,11264,,,-381,202146,66431,82166,2886,1405,46154,,98,95,,3547,-646,5226394
Hokuriku,1992,1300512,688365,181612,137377,,93,,139993,55060,128691,44567,,969,,420,457322,457090,232,,79231,9986,69244,75172,41717,29330,,,,2331,,,-38,72987,13480,31081,748,18709,8519,,,299,,550,-402,1373499
Kansai,1992,5821043,4613203,447772,706307,899927,2945,,1076076,448814,871220,159139,,1000,,1222,387201,386117,1084,,554834,140062,414771,264581,194839,44784,,,,16097,,,-716,236635,62822,99462,11757,,52181,,3415,407,,7385,-811,6057679
Chugoku,1992,2114077,1672523,191416,307621,180473,3067,,285554,169649,412564,120804,1371,,,3351,249047,246567,2479,,116389,25727,90662,72764,59206,8387,,,,5051,,,-110,134805,59997,44651,2021,2995,22631,289,413,1692,,477,-365,2248882
Shikoku,1992,1249067,763511,129672,51503,55953,453,,205710,70675,186637,60024,724,2156,,191,334331,334067,263,,88856,12996,75860,62177,40737,15105,,,,6336,,,-141,51985,7178,27751,459,6413,9654,,33,100,,632,-240,1301053
Kyushu,1992,3380248,2279084,244207,284286,188420,32118,,526448,295712,569126,132982,,5782,,6194,817449,817376,73,,136598,37185,99412,140920,89484,41461,,,,9494,,,-228,167591,55078,61897,1972,23052,24709,,154,144,,1147,-569,3547839
Okinawa,1992,274286,162782,,14806,,21514,,35539,27511,55513,7351,,545,,631,108746,108746,,,,,,2126,1579,525,,,,,,,-,25284,9850,2159,3464,6970,2854,,53,,,4,-71,299571
Hokkaido,1991,1264036,1113184,143903,136698,346666,1371,,173625,73190,192702,44687,,338,,1483,52284,52121,162,,60726,13157,47569,36357,26486,7995,,,,1489,,,-1,56901,17305,10238,610,8234,17603,,1262,100,,1631,-86,1320938
Tohoku,1991,2488069,1619064,184613,131875,86962,4979,,433363,187070,447570,142127,,501,,3349,503886,503699,186,,104590,11232,93357,257178,153669,97583,,,,5202,,,-860,169043,51177,61087,914,17962,31067,,151,1373,,5743,-437,2657112
Tokyo,1991,11112138,8245583,442206,1123917,1291605,9413,,2207941,1087386,1875858,205755,,1498,10092,2527,1716875,1713847,3028,,642123,205701,436421,494935,259318,183319,,,,22322,,,-1089,514992,110273,262180,13004,,84834,2236,530,2501,,41534,-2112,11627131
Chubu,1991,4705160,3474260,326871,683671,257831,52,,859972,460770,736447,146834,7,1801,,2866,905381,904610,770,,158232,35530,122702,164419,108043,33222,,,,19020,,,-385,191153,49084,87946,4250,1387,45610,2,162,251,,3135,-684,4896313
Hokuriku,1991,1176254,687979,179672,155002,,48,,136139,53687,121507,40974,,947,,384,336065,336048,17,,78196,,78196,73627,41107,27573,,,,1914,,,-32,76639,12907,31674,458,22706,8343,,,263,,720,-435,1252893
Kansai,1991,5690322,4314135,334086,781374,741662,2473,,1049209,428574,831738,144015,,1000,,1069,553522,552284,1237,,565460,107396,458064,256134,192358,38665,,,,16092,,,-728,240772,68460,100689,8272,,51145,,5343,508,,7164,-818,5931094
Chugoku,1991,2029480,1625739,199769,287290,201797,1971,,278667,161468,380973,112323,1477,,,3661,208964,207354,1610,,119426,17406,102020,71688,57182,8146,,,,5434,,,-111,119237,40211,40464,1426,10496,24219,302,564,1434,,448,-331,2148717
Shikoku,1991,1152465,759486,133618,51847,60987,417,,205466,67191,178544,58432,749,2230,,190,248928,248820,108,,83966,16227,67739,59892,39856,13978,,,,6075,,,-143,62219,7493,27910,303,16262,9885,,141,91,,440,-310,1214685
Kyushu,1991,3135186,2264840,242995,316092,212276,30535,,527491,277546,544617,107502,,5782,,5286,599527,599179,347,,127874,34535,93338,137658,93374,35126,,,,8925,,,-234,170500,59095,56077,2605,27125,25141,,147,175,,693,-561,3305687
Okinawa,1991,216318,148633,,16797,,16010,,28271,26826,53093,7089,,545,,694,65342,65342,,,,,,1647,1406,235,,,,,,,,27254,9512,2108,2967,9294,3320,,31,,,96,-76,243572
Hokkaido,1990,1293304,975181,143216,153522,221516,1425,,166816,69820,179096,39430,,338,,1305,215378,215153,224,,65917,16564,49353,35521,26423,7619,,,,1137,,,-1,59683,17929,10476,1460,6607,19511,,1508,130,,2152,-95,1352988
Tohoku,1990,2274730,1587201,179711,139590,97442,5236,,433264,175399,424255,131799,,501,,3646,302380,302109,271,,106000,9897,96103,275501,178289,91097,,,,5595,,,-1026,164304,43365,60116,550,14932,35159,,16,988,,9631,-464,2439035
Tokyo,1990,10559189,8153687,432918,1148990,1450323,7897,,2146635,996491,1768759,200155,,1514,7092,2494,1266330,1264098,2231,,657793,203705,454088,471792,253191,168578,,,,21645,,,-1077,528773,125935,251992,6638,124,97219,2184,391,1937,,44298,-1983,11087963
Chubu,1990,4411384,3198644,321179,521012,284590,59,,819811,409779,701561,138806,8,1835,,3439,883462,882915,546,,172185,37544,134640,153652,108867,29065,,,,12476,,,-395,205007,59194,86317,2259,1370,53470,2,210,30,,2815,-677,4616391
Hokuriku,1990,1092863,563150,186098,36297,,55,,131775,49064,116357,42550,,951,,393,379900,379877,22,,77979,,77979,71438,41305,26334,,,,1507,,,-29,67487,12789,27387,568,14080,12706,,,74,,208,-331,1160350
Kansai,1990,5561171,3872753,342897,808723,365214,2697,,1023622,407725,794161,126710,,1000,,975,864746,863418,1327,,571954,96877,475077,250741,189592,36830,,,,15200,,,-682,242752,63159,98888,6378,,59384,,8202,424,,7102,-804,5803923
Chugoku,1990,2017395,1652866,210389,325424,229368,2042,,275261,161259,358312,90807,,,,3696,166482,165253,1228,,123307,18674,104632,71042,56695,7916,,,,5381,,,-110,118796,38545,39811,1530,8475,28254,,429,1767,,305,-326,2136191
