Company,Year_term,Assets_Noncurrent assets (M. JPY),Assets_Electric utility plants and equipment (M. JPY),Assets_Hydroelectric power production facilities (M. JPY),Assets_Thermal power production facilities (M. JPY),Assets_Nuclear power production facilities (M. JPY),Assets_Internal-combustion power production facilities (M. JPY),Assets_Renewable energy power production facilities &c. (M. JPY),Assets_Transmission facilities (M. JPY),Assets_Transformation facilities (M. JPY),Assets_Distribution facilities (M. JPY),Assets_General facilities (M. JPY),Assets_Inactive facillites (M. JPY),Assets_Loaned faciliteis (M. JPY),Assets_Incidental business facillities (M. JPY),Assets_Non-operating facillities (M. JPY),Assets_Construction/Retirement in progress (M. JPY),Assets_Construction in progress (M. JPY),Assets_Retirement in progress (M. JPY),Assets_Nuclear power aboltion related in progress (M. JPY),Assets_Nuclear fuel (M. JPY),Assets_Loaded nuclear fuel (M. JPY),Assets_Nuclear fuel in processing (M. JPY),Assets_Investments and other assets (M. JPY),Assets_Long-term investments (M. JPY),Assets_Long-term investments to affiliates &c. (M. JPY),Assets_Fund for reprocessing of spent fuel (M. JPY),Receivable Nuclear Damage Compensation Support Organization Fund Grant (M. JPY),Receivable Nuclear Decomissioning Compensation Support Organization Fund Grant (M. JPY),Assets_Long-term prepaid expences (M. JPY),Assets_prepaid pension expences (M. JPY),Assets_Deferred tax assets (M. JPY),"Assets_Allowance for 
doubtful accounts (subtract) (M. JPY)",Assets_Current assets (M. JPY),Assets_Cash and deposits (M. JPY),Assets_Accounts recievable trade (M. JPY),Assets_Other accounts receivable (M. JPY),Assets_short-term investment (M. JPY),Assets_Inventories (M. JPY),Assets_Prepaid money (M. JPY),Assets_Prepaid expenses (M. JPY),Assets_Short-term receivables from affiliates &c. (M. JPY),Assets_Deferred tax assets2 (M. JPY),Assets_Other current assets (M. JPY),"Assets_Allowance for 
doubtful accounts (subtract)2 (M. JPY)",Assets_Total (M. JPY)
会社名,年期,1_固定資産,Ｉ電気事業固定資産,水力発電設備,汽力発電設備,原子力発電設備,内燃力発電設備,新エネルギー等発電設備,送電設備,変電設備,配電設備,業務設備,休止設備,貸付設備,II附帯事業固定資産,III事業外固定資産,IV固定資産仮勘定,建設仮勘定,除却仮勘定,原子力廃止関連仮勘定,Ｖ核燃料,装荷核燃料,加工中等核燃料,VI投資その他の資産,長期投資,関係会社長期投資,使用済燃料再処理等積立金,未収原子力損害賠償支援機構資金交付金,未収原賠廃炉等支援機構資金交付金,長期前払費用,前払年金費用,繰延税金資産,貸倒引当金貸方,2_流動資産,現金および預金,売掛金,諸未収入金,短期投資,貯蔵品,前払金,前払費用,関係会社短期債権,繰延税金資産2,雑流動資産,貸倒引当金貸方2,合計
Hokuriku,2013,1136021,856911,102408,113204,192973,45,3056,169864,88177,154100,33022,,57,2983,2348,34330,34258,71,,99844,26219,73625,139603,62052,23546,13312,,,1780,6377,32560,-26,271903,182208,40601,1755,,23254,,4025,949,6755,12517,-164,1407925
Kansai,2013,6222889,3580674,312019,509867,339480,7565,1824,971927,411183,891583,117189,,18034,15436,7737,435646,434489,1156,,528955,81470,447484,1654439,178477,421888,574553,,,22307,,457849,-635,693312,66773,171766,36395,230000,107456,,1306,12339,42109,27129,-1964,6916202
Chugoku,2013,2459964,1403321,131388,189451,75182,2117,1807,348626,153597,391326,85149,24673,,383,4411,592616,591451,1165,,182889,13877,169012,276342,82009,34156,57618,,,9783,24493,68341,-61,279267,101639,72961,5138,9000,64517,5,1554,10735,8675,5502,-463,2739232
Shikoku,2013,1220055,736027,66189,76463,107860,463,673,152754,88896,211847,29625,,1253,3521,316,30710,30638,71,,139559,,139559,309919,54979,88865,110456,,,2880,18778,34027,-68,114400,10399,44081,9002,,31357,,271,9867,9823,2239,-2642,1334456
Kyushu,2013,3625432,2341919,305026,171135,213428,18779,13854,646720,220264,625675,121252,,5782,31412,3900,310704,308768,1935,,281522,84127,197395,655973,98546,149634,261058,,,5953,,141299,-519,592605,334476,132598,15768,,67306,,593,5087,29225,8066,-519,4218037
Okinawa,2013,378925,345724,,152461,,11618,194,53021,35374,76696,14961,851,545,192,868,9326,9326,a,,,,,22812,9831,4618,,,,2659,,5748,-45,29644,1931,6651,1608,,15967,,119,62,1433,2004,-134,408570
Hokkaido,2012,1442638,1042502,103899,90919,257998,5520,2640,180337,80850,278074,41923,,338,114,3331,153249,153067,181,,111625,7891,103733,131815,42065,24309,65221,,,392,,,-172,164363,69399,32268,6839,,39843,,528,12124,,4131,-770,1607002
Tohoku,2012,3529589,2616464,146380,283742,348943,81744,13147,707079,253484,673831,107608,,501,1705,9090,184538,182841,1697,,147412,34729,112682,570377,83954,195330,92334,,,19799,,179260,-302,466970,79794,104084,10636,134000,57504,,219,2738,61745,16749,-501,3996559
Tokyo,2012,12099663,7379570,632833,848663,749169,136539,13434,1954231,768482,2139063,134657,,2495,44335,4547,953304,950248,3056,,807639,141957,665681,2910265,117711,643527,1070846,891779,,186851,,,-450,2520109,1583620,455160,50696,,210351,1170,2591,21663,,198203,-3348,14619772
Chubu,2012,4707721,3377465,255336,648691,242882,89,7086,866266,416941,816155,123165,,850,12217,7737,301862,301517,344,,253641,40040,213601,754796,156484,168555,216824,,,11240,,201969,-277,885085,63452,142738,13848,501000,121727,,222,4573,18804,19845,-1127,5592806
Hokuriku,2012,1162030,887102,105291,111806,217063,53,3401,173403,89601,154985,31433,,62,3494,2475,34749,34584,165,,96994,26219,70775,137213,61205,23886,17231,,,1827,,33096,-33,204113,113702,35744,2251,,27610,,3176,957,7842,12988,-160,1366144
Kansai,2012,6316279,3613989,317843,427494,383531,9157,1846,1018443,418374,901644,117111,,18542,15707,7764,480672,480107,565,,536691,86273,450418,1661453,176497,429383,593530,,,18385,,444219,-562,441382,121978,132561,27285,,94502,,1177,4342,38173,22792,-1431,6757662
Chugoku,2012,2451774,1429075,137372,187086,77451,2067,1887,362044,152818,394095,87209,27042,,759,4665,569439,567968,1470,,168104,13877,154227,279730,86095,34148,64800,,,29177,,65570,-61,263425,108627,60603,11095,,55021,2,1622,10945,10954,5038,-485,2715200
Shikoku,2012,1231157,758170,68002,83955,107947,541,768,159903,91764,212558,31638,,1091,3953,323,22974,22974,,,140802,15561,125240,304933,51287,76221,116146,,,17856,,43502,-80,87573,13407,34490,2259,,27274,,605,7138,2605,2456,-2664,1318731
Kyushu,2012,3662870,2449405,323129,185834,234529,19475,13766,675042,232561,627512,130886,883,5782,34015,4976,215616,213515,2100,,278941,84103,194837,679914,126661,150372,240155,,,4890,,158382,-548,538834,324155,98816,18065,,59839,,547,3493,28283,6144,-512,4201704
Okinawa,2012,382907,339284,,146597,,12354,228,54023,33451,75934,15230,919,545,215,808,20357,20357,a,,,,,22240,9421,5043,,,,2971,,4848,-45,32179,8825,5425,4003,,12236,,112,62,1392,258,-138,415087
Hokkaido,2011,1437080,1059888,104372,94118,281870,1323,2171,181832,81159,275675,37026,,338,121,2411,144198,144055,142,,95517,18648,76869,134942,41551,22930,70283,,,350,,,-173,116393,43474,31302,1374,,32237,,255,4874,,3617,-742,1553474
Tohoku,2011,3478304,2575208,147861,258017,362333,20917,13338,731152,257310,677365,106410,,501,1980,10732,212701,209109,3592,,153167,34729,118437,524512,78225,194668,99609,,,10158,,142458,-608,396733,68610,90498,6645,77000,55228,,4435,3057,70658,21015,-416,3875038
