Company,Year_term,Peak demand (MW),Time and date of occurrence (Y/M/D/H)
会社名,年期,総合計,最大発生日時
Chugoku,201312,9941,2013.12.20.10
Shikoku,201312,4626,2013.12.20.18
Kyushu,201312,13812,2013.12.19.19
Okinawa,201312,1044,2013.12.29.19
Hokkaido,201311,4878,2013.11.28.18
Tohoku,201311,12064,2013.11.12.18
Tokyo,201311,39842,2013.11.15.18
Chubu,201311,20354,2013.11.28.18
Hokuriku,201311,4589,2013.11.29.17
Kansai,201311,21605,2013.11.29.18
Chugoku,201311,9170,2013.11.28.19
Shikoku,201311,4266,2013.11.28.19
Kyushu,201311,13010,2013.11.28.19
Okinawa,201311,1137,2013.11.02.19
Hokkaido,201310,4520,2013.10.16.18
Tohoku,201310,11010,2013.10.09.18
Tokyo,201310,39642,2013.10.11.15
Chubu,201310,21224,2013.10.02.15
Hokuriku,201310,4380,2013.10.09.12
Kansai,201310,22326,2013.10.10.15
Chugoku,201310,8720,2013.10.10.15
Shikoku,201310,4275,2013.10.10.15
Kyushu,201310,12655,2013.10.10.19
Okinawa,201310,1312,2013.10.09.17
Hokkaido,201309,4410,2013.09.14.19
Tohoku,201309,11823,2013.09.04.15
Tokyo,201309,47282,2013.09.03.15
Chubu,201309,23588,2013.09.13.15
Hokuriku,201309,4825,2013.09.13.15
Kansai,201309,24861,2013.09.13.15
Chugoku,201309,9844,2013.09.13.15
Shikoku,201309,4708,2013.09.13.15
Kyushu,201309,14229,2013.09.13.17
Okinawa,201309,1462,2013.09.13.17
Hokkaido,201308,4495,2013.08.07.15
Tohoku,201308,13216,2013.08.19.15
Tokyo,201308,50928,2013.08.09.15
Chubu,201308,26234,2013.08.22.15
Hokuriku,201308,5263,2013.08.19.15
Kansai,201308,28158,2013.08.22.15
Chugoku,201308,11122,2013.08.22.15
Shikoku,201308,5494,2013.08.22.15
Kyushu,201308,16338,2013.08.20.17
Okinawa,201308,1531,2013.08.08.17
Hokkaido,201307,4410,2013.07.08.17
Tohoku,201307,11900,2013.07.09.15
Tokyo,201307,50237,2013.07.11.17
Chubu,201307,25109,2013.07.12.15
Hokuriku,201307,4966,2013.07.12.15
Kansai,201307,26166,2013.07.11.17
Chugoku,201307,10524,2013.07.25.15
Shikoku,201307,5201,2013.07.25.15
Kyushu,201307,15397,2013.07.25.15
Okinawa,201307,1486,2013.07.05.17
Hokkaido,201306,3986,2013.06.14.20
Tohoku,201306,11261,2013.06.14.15
Tokyo,201306,40617,2013.06.18.15
Chubu,201306,21500,2013.06.13.15
Hokuriku,201306,4406,2013.06.13.15
Kansai,201306,23710,2013.06.14.15
Chugoku,201306,9366,2013.06.14.15
Shikoku,201306,4568,2013.06.14.15
Kyushu,201306,13261,2013.06.18.15
Okinawa,201306,1454,2013.06.28.17
Hokkaido,201305,4386,2013.05.01.19
Tohoku,201305,10193,2013.05.28.15
Tokyo,201305,35908,2013.05.22.15
Chubu,201305,18919,2013.05.22.15
Hokuriku,201305,3765,2013.05.28.15
Kansai,201305,19610,2013.05.22.15
Chugoku,201305,8011,2013.05.29.12
Shikoku,201305,3830,2013.05.30.12
Kyushu,201305,11055,2013.05.24.15
Okinawa,201305,1292,2013.05.30.20
Hokkaido,201304,4495,2013.04.30.19
Tohoku,201304,10822,2013.04.03.11
Tokyo,201304,38871,2013.04.02.12
Chubu,201304,18381,2013.04.03.11
Hokuriku,201304,4116,2013.04.12.11
Kansai,201304,19478,2013.04.11.20
Chugoku,201304,8194,2013.04.11.12
Shikoku,201304,3850,2013.04.11.20
Kyushu,201304,11396,2013.04.11.20
Okinawa,201304,1124,2013.04.30.20
Hokkaido,201303,5018,2013.03.01.19
Tohoku,201303,12141,2013.03.11.10
Tokyo,201303,42377,2013.03.04.19
Chubu,201303,20170,2013.03.04.10
Hokuriku,201303,4368,2013.03.14.10
Kansai,201303,21756,2013.03.04.10
Chugoku,201303,8643,2013.03.01.12
Shikoku,201303,4111,2013.03.04.19
Kyushu,201303,12174,2013.03.04.20
Okinawa,201303,1055,2013.03.23.20
Hokkaido,201302,5374,2013.02.07.18
Tohoku,201302,13404,2013.02.20.19
Tokyo,201302,47432,2013.02.19.18
Chubu,201302,22580,2013.02.18.11
Hokuriku,201302,5048,2013.02.08.10
Kansai,201302,24320,2013.02.19.11
Chugoku,201302,9720,2013.02.08.19
Shikoku,201302,4773,2013.02.19.12
Kyushu,201302,14228,2013.02.08.19
Okinawa,201302,1026,2013.02.11.20
Hokkaido,201301,5515,2013.01.18.18
Tohoku,201301,13716,2013.01.18.18
Tokyo,201301,47019,2013.01.15.18
Chubu,201301,21942,2013.01.18.10
Hokuriku,201301,4955,2013.01.18.11
Kansai,201301,24156,2013.01.18.18
Chugoku,201301,9893,2013.01.18.10
Shikoku,201301,4764,2013.01.17.19
Kyushu,201301,14137,2013.01.17.19
Okinawa,201301,1038,2013.01.17.19
Hokkaido,201212,5481,2012.12.27.19
Tohoku,201212,13543,2012.12.26.18
Tokyo,201212,46155,2012.12.26.18
Chubu,201212,22309,2012.12.10.18
Hokuriku,201212,4931,2012.12.26.11
Kansai,201212,24172,2012.12.10.18
Chugoku,201212,9949,2012.12.25.10
Shikoku,201212,4599,2012.12.10.19
Kyushu,201212,13956,2012.12.11.19
Okinawa,201212,1022,2012.12.27.19
Hokkaido,201211,4985,2012.11.27.17
Tohoku,201211,11992,2012.11.27.18
Tokyo,201211,42789,2012.11.26.18
Chubu,201211,19632,2012.11.26.11
Hokuriku,201211,4324,2012.11.15.11
Kansai,201211,21330,2012.11.27.18
Chugoku,201211,8608,2012.11.27.19
Shikoku,201211,4148,2012.11.29.18
Kyushu,201211,12650,2012.11.27.19
Okinawa,201211,1062,2012.11.22.19
Hokkaido,201210,4502,2012.10.25.18
Tohoku,201210,10445,2012.10.25.18
Tokyo,201210,41583,2012.10.01.15
Chubu,201210,20363,2012.10.04.15
Hokuriku,201210,3970,2012.10.04.15
Kansai,201210,19705,2012.10.03.15
Chugoku,201210,7788,2012.10.17.12
Shikoku,201210,3812,2012.10.04.15
Kyushu,201210,11058,2012.10.10.19
Okinawa,201210,1185,2012.10.16.19
Hokkaido,201209,4828,2012.09.18.19
Tohoku,201209,12780,2012.09.18.15
Tokyo,201209,47243,2012.09.13.15
Chubu,201209,23620,2012.09.05.15
Hokuriku,201209,4905,2012.09.14.15
Kansai,201209,24944,2012.09.07.15
Chugoku,201209,9938,2012.09.07.15
Shikoku,201209,4764,2012.09.07.15
Kyushu,201209,13752,2012.09.04.17
Okinawa,201209,1406,2012.09.05.20
Hokkaido,201208,4633,2012.08.22.17
Tohoku,201208,13644,2012.08.22.15
Tokyo,201208,50783,2012.08.30.15
Chubu,201208,24403,2012.08.30.15
Hokuriku,201208,5264,2012.08.22.15
Kansai,201208,26816,2012.08.03.16
