Company,Year_term,Peak demand (MW),Time and date of occurrence (Y/M/D/H)
会社名,年期,総合計,最大発生日時
Shikoku,200504,3827,2005.04.12.14
Kyushu,200504,10775,2005.04.28.15
Okinawa,200504,1125,2005.04.30.20
Hokkaido,200503,5111,2005.03.01.19
Tohoku,200503,13140,2005.03.04.11
Tokyo,200503,51858,2005.03.04.11
Chubu,200503,21619,2005.03.04.10
Hokuriku,200503,4562,2005.03.01.10
Kansai,200503,23763,2005.03.15.11
Chugoku,200503,9484,2004.03.15.10
Shikoku,200503,4416,2005.03.15.10
Kyushu,200503,12508,2005.03.03.19
Okinawa,200503,1090,2005.03.05.20
Hokkaido,200502,5291,2005.02.23.19
Tohoku,200502,13563,2005.02.01.18
Tokyo,200502,50505,2005.02.08.18
Chubu,200502,22741,2005.02.02.11
Hokuriku,200502,5036,2005.02.01.17
Kansai,200502,25464,2005.02.02.10
Chugoku,200502,9955,2004.02.01.12
Shikoku,200502,4965,2005.02.01.19
Kyushu,200502,14170,2005.02.01.19
Okinawa,200502,1047,2005.02.02.20
Hokkaido,200501,5255,2005.01.12.18
Tohoku,200501,13922,2005.01.12.18
Tokyo,200501,50468,2005.01.12.18
Chubu,200501,22418,2005.01.12.18
Hokuriku,200501,4897,2005.01.31.11
Kansai,200501,24774,2005.01.12.18
Chugoku,200501,9851,2004.01.13.10
Shikoku,200501,4720,2005.01.06.12
Kyushu,200501,13293,2005.01.20.19
Okinawa,200501,1021,2005.01.20.19
Hokkaido,200412,5286,2004.12.22.18
Tohoku,200412,13054,2004.12.22.18
Tokyo,200412,45953,2004.12.09.18
Chubu,200412,20673,2004.12.24.10
Hokuriku,200412,4415,2004.12.27.11
Kansai,200412,22645,2004.12.24.18
Chugoku,200412,9033,2004.12.28.10
Shikoku,200412,4409,2004.12.24.18
Kyushu,200412,12355,2004.12.24.18
Okinawa,200412,1082,2004.12.04.19
Hokkaido,200411,5096,2004.11.29.18
Tohoku,200411,12001,2004.11.30.18
Tokyo,200411,43946,2004.11.18.18
Chubu,200411,19850,2004.11.18.17
Hokuriku,200411,4127,2004.11.30.18
Kansai,200411,21727,2004.11.18.17
Chugoku,200411,8340,2004.11.30.18
Shikoku,200411,4041,2004.11.18.18
Kyushu,200411,11237,2004.11.30.19
Okinawa,200411,1160,2004.11.19.
Hokkaido,200410,4808,2004.10.27.18
Tohoku,200410,11279,2004.10.20.18
Tokyo,200410,43126,2004.10.01.15
Chubu,200410,20543,2004.10.01.15
Hokuriku,200410,4036,2004.10.01.15
Kansai,200410,22835,2004.10.01.15
Chugoku,200410,8201,2004.10.01.15
Shikoku,200410,4006,2004.10.01.15
Kyushu,200410,11876,2004.10.01.15
Okinawa,200410,1213,2004.10.01.15
Hokkaido,200409,4842,2004.09.24.18
Tohoku,200409,12278,2004.09.01.15
Tokyo,200409,55005,2004.09.01.15
Chubu,200409,24246,2004.09.01.15
Hokuriku,200409,4974,2004.09.13.15
Kansai,200409,27593,2004.09.07.12
Chugoku,200409,10244,2004.09.14.12
Shikoku,200409,5035,2004.09.14.15
Kyushu,200409,14733,2004.09.15.15
Okinawa,200409,1445,2004.09.03.15
Hokkaido,200408,4899,2004.08.06.15
Tohoku,200408,14442,2004.08.05.15
Tokyo,200408,58394,2004.08.19.15
Chubu,200408,25344,2004.08.06.15
Hokuriku,200408,5389,2004.08.19.12
Kansai,200408,29253,2004.08.27.15
Chugoku,200408,11085,2004.08.06.14
Shikoku,200408,5433,2004.08.27.15
Kyushu,200408,16396,2004.08.06.15
Okinawa,200408,1466,2004.08.06.15
Hokkaido,200407,4970,2004.07.30.15
Tohoku,200407,14552,2004.07.30.15
Tokyo,200407,61499,2004.07.20.15
Chubu,200407,26426,2004.07.28.15
Hokuriku,200407,5349,2004.07.08.15
Kansai,200407,30470,2004.07.28.15
Chugoku,200407,11576,2004.07.30.14
Shikoku,200407,5686,2004.07.29.15
Kyushu,200407,16710,2004.07.23.15
Okinawa,200407,1483,2004.07.20.15
Hokkaido,200406,4265,2004.06.29.15
Tohoku,200406,12431,2004.06.24.15
Tokyo,200406,53495,2004.06.24.15
Chubu,200406,23705,2004.06.29.15
Hokuriku,200406,4665,2004.06.24.14
Kansai,200406,27115,2004.06.30.15
Chugoku,200406,9885,2003.06.30.15
Shikoku,200406,4803,2004.06.30.15
Kyushu,200406,14115,2004.06.30.15
Okinawa,200406,1427,2004.06.25.15
Hokkaido,200405,4261,2004.06.07.20
Tohoku,200405,10838,2004.05.28.15
Tokyo,200405,49560,2004.05.31.15
Chubu,200405,21358,2004.05.31.12
Hokuriku,200405,4012,2004.05.28.15
Kansai,200405,24555,2004.05.31.12
Chugoku,200405,8316,2003.05.28.14
Shikoku,200405,4206,2004.05.31.12
Kyushu,200405,11832,2004.05.28.15
Okinawa,200405,1318,2004.05.31.16
Hokkaido,200404,4646,2004.04.02.19
Tohoku,200404,11425,2004.04.02.11
Tokyo,200404,40842,2004.04.22.15
Chubu,200404,18703,2004.04.02.10
Hokuriku,200404,3842,2004.04.02.12
Kansai,200404,20335,2004.04.22.15
Chugoku,200404,7648,2004.04.05.10
Shikoku,200404,3680,2004.04.22.15
Kyushu,200404,10631,2004.04.26.19
Okinawa,200404,1119,2004.04.22.20
Hokkaido,200403,5122,2004.03.04.19
Tohoku,200403,12562,2004.03.04.19
Tokyo,200403,47905,2004.03.22.18
Chubu,200403,21007,2004.03.02.10
Hokuriku,200403,4550,2004.03.04.12
Kansai,200403,23236,2004.03.08.11
Chugoku,200403,8915,2003.03.05.10
Shikoku,200403,4285,2004.03.04.19
Kyushu,200403,12268,2004.03.04.20
Okinawa,200403,978,2004.03.06.20
Hokkaido,200402,5170,2004.02.04.18
Tohoku,200402,13307,2004.02.05.18
Tokyo,200402,49170,2004.02.02.18
Chubu,200402,21988,2004.02.06.10
Hokuriku,200402,4749,2004.02.05.17
Kansai,200402,24212,2004.02.06.10
Chugoku,200402,9516,2003.02.06.10
Shikoku,200402,4663,2004.02.05.19
Kyushu,200402,13175,2004.02.05.19
Okinawa,200402,1055,2004.02.05.20
Hokkaido,200401,5129,2004.01.26.18
Tohoku,200401,13535,2004.01.15.18
Tokyo,200401,49676,2004.01.19.11
Chubu,200401,22699,2004.01.22.18
Hokuriku,200401,4837,2004.01.23.11
Kansai,200401,26241,2004.01.22.18
Chugoku,200401,9890,2003.01.22.10
Shikoku,200401,4954,2004.01.22.19
Kyushu,200401,13620,2004.01.22.19
Okinawa,200401,1078,2004.01.24.20
Hokkaido,200312,5160,2003.12.10.17
Tohoku,200312,12707,2003.12.09.18
Tokyo,200312,49179,2003.12.11.17
Chubu,200312,21059,2003.12.22.10
Hokuriku,200312,4512,2003.12.19.17
Kansai,200312,23652,2003.12.19.18
Chugoku,200312,9231,2003.12.22.10
Shikoku,200312,4575,2003.12.19.18
Kyushu,200312,13154,2003.12.19.19
Okinawa,200312,1020,2003.12.05.19
Hokkaido,200311,4875,2003.11.26.18
Tohoku,200311,12037,2003.11.25.17
Tokyo,200311,45365,2003.11.25.17
Chubu,200311,19119,2003.11.25.11
Hokuriku,200311,4051,2003.11.25.17
Kansai,200311,20963,2003.11.27.18
Chugoku,200311,8230,2003.11.27.18
Shikoku,200311,3869,2003.11.27.18
Kyushu,200311,11065,2003.11.27.18
Okinawa,200311,1195,2003.11.05.19
Hokkaido,200310,4674,2003.10.22.18
Tohoku,200310,11156,2003.10.28.18
Tokyo,200310,42177,2003.10.02.15
Chubu,200310,18797,2003.10.02.15
Hokuriku,200310,3794,2003.10.23.12
Kansai,200310,20866,2003.10.02.15
Chugoku,200310,7899,2002.10.02.15
Shikoku,200310,3846,2003.10.02.15
Kyushu,200310,11345,2003.10.02.15
Okinawa,200310,1260,2003.10.03.15
Hokkaido,200309,4669,2003.09.22.19
Tohoku,200309,12361,2003.09.11.15
Tokyo,200309,57360,2003.09.11.15
Chubu,200309,25930,2003.09.03.15
Hokuriku,200309,4978,2003.09.09.15
Kansai,200309,30550,2003.09.03.15
Chugoku,200309,10998,2002.09.03.15
Shikoku,200309,5598,2003.09.03.15
Kyushu,200309,16137,2003.09.03.15
Okinawa,200309,1482,2003.09.02.15
Hokkaido,200308,4617,2003.08.22.19
Tohoku,200308,13238,2003.08.07.15
Tokyo,200308,56498,2003.08.05.12
Chubu,200308,25745,2003.08.25.15
Hokuriku,200308,5229,2003.08.07.15
Kansai,200308,30088,2003.08.22.15
Chugoku,200308,11204,2002.08.22.15
Shikoku,200308,5636,2003.08.22.15
Kyushu,200308,16293,2003.08.22.15
Okinawa,200308,1516,2003.08.06.12
Hokkaido,200307,4243,2003.07.29.20
Tohoku,200307,11499,2003.07.31.15
Tokyo,200307,50234,2003.07.11.15
Chubu,200307,22515,2003.07.11.12
Hokuriku,200307,4363,2003.07.10.15
Kansai,200307,27493,2003.07.11.15
Chugoku,200307,9603,2002.07.09.15
Shikoku,200307,5019,2003.07.11.14
Kyushu,200307,14433,2003.07.22.15
Okinawa,200307,1512,2003.07.31.21
Hokkaido,200306,4281,2003.06.19.15
Tohoku,200306,12091,2003.06.19.15
Tokyo,200306,49486,2003.06.20.15
Chubu,200306,21340,2003.06.20.15
Hokuriku,200306,4315,2003.06.19.15
Kansai,200306,23632,2003.06.13.15
Chugoku,200306,8866,2002.06.24.15
Shikoku,200306,4287,2003.06.24.15
Kyushu,200306,12382,2003.06.27.15
Okinawa,200306,1399,2003.06.27.15
Hokkaido,200305,4293,2003.05.01.20
Tohoku,200305,10888,2003.05.29.15
Tokyo,200305,42323,2003.05.08.12
Chubu,200305,18843,2003.05.29.15
Hokuriku,200305,3885,2003.05.29.15
Kansai,200305,21604,2003.05.29.15
Chugoku,200305,7923,2002.05.28.15
Shikoku,200305,3697,2003.05.29.15
Kyushu,200305,11190,2003.05.29.15
Okinawa,200305,1221,2003.05.29.15
Hokkaido,200304,4405,2003.04.08.19
Tohoku,200304,10676,2003.04.05.19
Tokyo,200304,42040,2003.04.02.12
Chubu,200304,18906,2003.04.11.11
Hokuriku,200304,3919,2003.04.02.12
Kansai,200304,20552,2003.04.11.14
Chugoku,200304,8013,2002.04.04.12
Shikoku,200304,3756,2003.04.04.12
Kyushu,200304,10640,2003.04.25.15
Okinawa,200304,1109,2003.04.24.20
Hokkaido,200303,5060,2003.03.04.19
Tohoku,200303,12507,2003.03.04.19
Tokyo,200303,49187,2003.03.07.11
Chubu,200303,21553,2003.03.05.10
Hokuriku,200303,4403,2003.03.04.11
Kansai,200303,23843,2003.03.05.11
Chugoku,200303,9106,2002.03.06.12
Shikoku,200303,4333,2003.03.06.17
Kyushu,200303,11955,2003.03.06.11
Okinawa,200303,960,2003.03.17.20
Hokkaido,200302,5180,2003.02.20.19
Tohoku,200302,12715,2003.02.06.18
Tokyo,200302,50345,2003.02.24.18
Chubu,200302,22078,2003.02.04.10
Hokuriku,200302,4546,2003.02.06.10
Kansai,200302,23956,2003.02.06.11
Chugoku,200302,9370,2002.02.05.10
Shikoku,200302,4408,2003.02.04.10
Kyushu,200302,12478,2003.02.05.19
Okinawa,200302,972,2003.02.05.20
Hokkaido,200301,5281,2003.01.21.18
Tohoku,200301,13466,2003.01.29.18
Tokyo,200301,51937,2003.01.23.18
Chubu,200301,22775,2003.01.23.11
Hokuriku,200301,4801,2003.01.29.17
Kansai,200301,25610,2003.01.29.18
Chugoku,200301,9750,2002.01.29.12
Shikoku,200301,4751,2003.01.29.12
Kyushu,200301,13590,2003.01.07.10
Okinawa,200301,1003,2003.01.29.20
Hokkaido,200212,5345,2002.12.11.17
Tohoku,200212,13206,2002.12.11.18
Tokyo,200212,52200,2002.12.09.17
Chubu,200212,21528,2002.12.11.18
Hokuriku,200212,4678,2002.12.11.17
Kansai,200212,23959,2002.12.11.18
Chugoku,200212,9242,2002.12.11.10
Shikoku,200212,4436,2002.12.10.18
Kyushu,200212,12853,2002.12.27.19
Okinawa,200212,1046,2002.12.06.19
Hokkaido,200211,5119,2002.11.21.17
Tohoku,200211,12333,2002.11.27.17
Tokyo,200211,45847,2002.11.22.18
Chubu,200211,20169,2002.11.28.18
Hokuriku,200211,4291,2002.11.27.17
Kansai,200211,22436,2002.11.27.18
Chugoku,200211,8597,2002.11.27.18
Shikoku,200211,4050,2002.11.27.18
Kyushu,200211,11775,2002.11.27.19
Okinawa,200211,1048,2002.11.14.19
Hokkaido,200210,4660,2002.10.30.18
Tohoku,200210,11372,2002.10.29.18
Tokyo,200210,45669,2002.10.07.15
Chubu,200210,19952,2002.10.04.15
Hokuriku,200210,3905,2002.10.29.18
Kansai,200210,22649,2002.10.04.15
Chugoku,200210,8348,2002.10.03.15
Shikoku,200210,4032,2002.10.04.15
Kyushu,200210,11620,2002.10.04.15
Okinawa,200210,1221,2002.10.04.15
Hokkaido,200209,4672,2002.09.02.19
Tohoku,200209,13841,2002.09.03.15
Tokyo,200209,58604,2002.09.03.15
Chubu,200209,25893,2002.09.04.15
Hokuriku,200209,5156,2002.09.03.15
Kansai,200209,30229,2002.09.04.15
Chugoku,200209,10868,2002.09.04.15
Shikoku,200209,5203,2002.09.04.15
Kyushu,200209,14966,2002.09.04.15
Okinawa,200209,1366,2002.09.17.15
Hokkaido,200208,4609,2002.08.01.12
Tohoku,200208,14489,2002.08.08.15
Tokyo,200208,63200,2002.08.01.15
Chubu,200208,27283,2002.08.06.15
Hokuriku,200208,5394,2002.08.09.15
Kansai,200208,31610,2002.08.06.15
Chugoku,200208,11488,2002.08.09.15
Shikoku,200208,5738,2002.08.06.15
Kyushu,200208,15966,2002.08.01.15
Okinawa,200208,1411,2002.08.28.15
Hokkaido,200207,4555,2002.07.30.14
Tohoku,200207,14235,2002.07.26.15
Tokyo,200207,61300,2002.07.31.15
Chubu,200207,26925,2002.07.31.15
Hokuriku,200207,5207,2002.07.26.15
Kansai,200207,31390,2002.07.30.15
Chugoku,200207,11299,2002.07.30.15
Shikoku,200207,5564,2002.07.30.15
Kyushu,200207,15815,2002.07.30.15
Okinawa,200207,1428,2002.07.01.16
Hokkaido,200206,4098,2002.06.08.20
Tohoku,200206,11223,2002.06.07.15
Tokyo,200206,49024,2002.06.11.15
Chubu,200206,21463,2002.06.12.15
Hokuriku,200206,4207,2002.06.11.15
Kansai,200206,25146,2002.06.14.
Chugoku,200206,9108,2002.06.21.15
Shikoku,200206,4489,2002.06.11.16
Kyushu,200206,12852,2002.06.21.15
Okinawa,200206,1412,2002.06.25.16
Hokkaido,200205,4201,2002.05.01.20
Tohoku,200205,10449,2002.05.31.15
Tokyo,200205,42012,2002.05.30.15
Chubu,200205,19027,2002.05.30.15
Hokuriku,200205,3711,2002.05.30.15
Kansai,200205,21303,2002.05.30.15
Chugoku,200205,7829,2002.05.31.15
Shikoku,200205,3646,2002.05.29.15
Kyushu,200205,10832,2002.05.29.15
Okinawa,200205,1266,2002.05.15.16
Hokkaido,200204,4407,2002.04.30.19
Tohoku,200204,10536,2002.04.12.11
Tokyo,200204,39929,2002.04.17.15
Chubu,200204,18212,2002.04.17.15
Hokuriku,200204,3679,2002.04.09.11
Kansai,200204,19941,2002.04.17.11
Chugoku,200204,7285,2002.04.23.12
Shikoku,200204,3571,2002.04.11.17
Kyushu,200204,10238,2002.04.11.19
Okinawa,200204,1117,2002.04.30.20
Hokkaido,200203,4976,2002.03.02.19
Tohoku,200203,11487,2002.03.08.11
Tokyo,200203,44515,2002.03.05.11
Chubu,200203,20677,2002.03.05.10
Hokuriku,200203,4282,2002.03.07.11
Kansai,200203,22233,2002.03.05.14
Chugoku,200203,8468,2002.03.05.11
Shikoku,200203,3996,2002.03.05.12
Kyushu,200203,11068,2002.03.07.20
Okinawa,200203,983,2002.03.22.20
Hokkaido,200202,5058,2002.02.14.19
Tohoku,200202,12640,2002.02.12.18
Tokyo,200202,46462,2002.02.05.18
Chubu,200202,21839,2002.02.19.10
Hokuriku,200202,4579,2002.02.19.11
Kansai,200202,23769,2002.02.19.11
Chugoku,200202,9056,2002.02.19.10
Shikoku,200202,4218,2002.02.19.12
Kyushu,200202,12132,2002.02.13.10
Okinawa,200202,955,2002.02.02.20
Hokkaido,200201,5034,2002.01.21.18
Tohoku,200201,12575,2002.01.09.18
Tokyo,200201,47605,2002.01.07.11
Chubu,200201,21912,2002.01.09.11
Hokuriku,200201,4636,2002.01.08.17
Kansai,200201,24151,2002.01.09.11
Chugoku,200201,9026,2002.01.29.10
Shikoku,200201,4380,2002.01.08.18
Kyushu,200201,12504,2002.01.08.19
Okinawa,200201,965,2002.01.29.20
Hokkaido,200112,5297,2001.12.14.17
Tohoku,200112,12770,2001.12.14.17
Tokyo,200112,50380,2001.12.21.17
Chubu,200112,21907,2001.12.21.12
Hokuriku,200112,4367,2001.12.14.17
Kansai,200112,23780,2001.12.21.12
Chugoku,200112,9216,2001.12.27.10
Shikoku,200112,4400,2001.12.25.14
Kyushu,200112,12548,2001.12.25.18
Okinawa,200112,1015,2001.12.05.19
Hokkaido,200111,5065,2001.11.30.17
Tohoku,200111,11870,2001.11.27.17
Tokyo,200111,43851,2001.11.27.18
Chubu,200111,19673,2001.11.27.17
Hokuriku,200111,4178,2001.11.27.17
Kansai,200111,21850,2001.11.27.18
Chugoku,200111,8204,2001.11.28.10
Shikoku,200111,3991,2001.11.27.18
Kyushu,200111,11478,2001.11.27.19
Okinawa,200111,1129,2001.11.05.19
Hokkaido,200110,4605,2001.10.11.18
Tohoku,200110,10186,2001.10.11.18
Tokyo,200110,43069,2001.10.02.15
Chubu,200110,19451,2001.10.05.15
Hokuriku,200110,3753,2001.10.04.15
Kansai,200110,21798,2001.10.01.15
Chugoku,200110,7732,2001.10.01.15
Shikoku,200110,3990,2001.10.01.15
Kyushu,200110,11137,2001.10.03.15
Okinawa,200110,1228,2001.10.15.19
Hokkaido,200109,4599,2001.09.10.19
Tohoku,200109,12377,2001.09.10.12
Tokyo,200109,52133,2001.09.12.15
Chubu,200109,23442,2001.09.18.15
Hokuriku,200109,4368,2001.09.10.12
Kansai,200109,25924,2001.09.18.15
Chugoku,200109,9212,2001.09.10.14
Shikoku,200109,4637,2001.09.11.15
Kyushu,200109,14204,2001.09.10.15
Okinawa,200109,1460,2001.09.05.15
Hokkaido,200108,4547,2001.08.24.15
Tohoku,200108,13159,2001.08.03.15
Tokyo,200108,42558,2001.08.01.15
Chubu,200108,27392,2001.08.01.15
Hokuriku,200108,5508,2001.08.03.15
Kansai,200108,33060,2001.08.02.14
Chugoku,200108,12002,2001.08.03.14
Shikoku,200108,5925,2001.08.03.15
Kyushu,200108,17061,2001.08.03.15
Okinawa,200108,1477,2001.08.09.15
Hokkaido,200107,4478,2001.07.23.15
Tohoku,200107,17870,2001.07.24.15
Tokyo,200107,45314,2001.07.24.14
Chubu,200107,27500,2001.07.24.15
Hokuriku,200107,5280,2001.07.31.15
Kansai,200107,32177,2001.07.24.15
Chugoku,200107,11311,2001.07.24.15
Shikoku,200107,5749,2001.07.24.15
Kyushu,200107,16572,2001.07.24.15
Okinawa,200107,1470,2001.07.30.15
Hokkaido,200106,4413,2001.06.28.15
Tohoku,200106,11933,2001.06.28.15
Tokyo,200106,37529,2001.06.27.15
Chubu,200106,24503,2001.06.26.15
Hokuriku,200106,4547,2001.06.29.15
Kansai,200106,28291,2001.06.26.15
Chugoku,200106,9784,2001.06.26.15
Shikoku,200106,5035,2001.06.26.15
Kyushu,200106,14228,2001.06.26.
Okinawa,200106,1478,2001.06.28.16
Hokkaido,200105,4116,2001.05.01.20
Tohoku,200105,10750,2001.05.15.15
Tokyo,200105,30764,2001.05.21.15
Chubu,200105,19544,2001.05.25.15
Hokuriku,200105,3979,2001.05.21.15
Kansai,200105,22069,2001.05.29.15
Chugoku,200105,7884,2001.05.29.15
Shikoku,200105,3774,2001.05.29.15
Kyushu,200105,10763,2001.05.29.
Okinawa,200105,1164,2001.05.30.15
Hokkaido,200104,4347,2001.04.05.19
Tohoku,200104,11136,2001.04.03.11
Tokyo,200104,22025,2001.04.02.11
Chubu,200104,19269,2001.04.04.10
Hokuriku,200104,4108,2001.04.03.12
Kansai,200104,21436,2001.04.03.15
Chugoku,200104,7828,2000.04.03.12
Shikoku,200104,3720,2001.04.03.17
Kyushu,200104,9884,2001.04.03.12
Okinawa,200104,998,2001.04.29.20
Hokkaido,200103,4987,2001.03.07.19
Tohoku,200103,12216,2001.03.05.11
Tokyo,200103,29580,2001.03.12.11
Chubu,200103,21744,2001.03.05.11
Hokuriku,200103,4560,2001.03.05.11
Kansai,200103,24344,2001.03.09.11
Chugoku,200103,9105,2001.03.09.11
Shikoku,200103,4389,2001.03.08.19
Kyushu,200103,12498,2001.03.08.19
Okinawa,200103,932,2001.03.08.20
Hokkaido,200102,5169,2001.02.02.18
Tohoku,200102,12999,2001.02.02.18
Tokyo,200102,35488,2001.02.14.11
Chubu,200102,22706,2001.02.01.11
Hokuriku,200102,4601,2001.02.09.11
Kansai,200102,24943,2001.02.01.11
Chugoku,200102,9108,2001.02.01.11
Shikoku,200102,4344,2001.02.06.11
Kyushu,200102,12187,2001.02.16.19
Okinawa,200102,947,2001.02.23.19
Hokkaido,200101,5228,2001.01.18.18
Tohoku,200101,13559,2001.01.18.18
Tokyo,200101,37951,2001.01.15.18
Chubu,200101,22931,2001.01.16.10
Hokuriku,200101,4801,2001.01.18.11
Kansai,200101,25690,2001.01.16.11
Chugoku,200101,9660,2001.01.16.10
Shikoku,200101,4637,2001.01.16.19
Kyushu,200101,13186,2001.01.16.19
Okinawa,200101,952,2001.01.16.20
Hokkaido,200012,5255,2000.12.12.17
Tohoku,200012,13323,2000.12.26.17
Tokyo,200012,32403,2000.12.14.18
Chubu,200012,22340,2000.12.26.11
Hokuriku,200012,4674,2000.12.26.11
Kansai,200012,24195,2000.12.26.11
Chugoku,200012,9009,2000.12.26.10
Shikoku,200012,4281,2000.12.25.18
Kyushu,200012,12363,2000.12.27.10
Okinawa,200012,988,2000.12.20.18
Hokkaido,200011,4971,2000.11.30.17
Tohoku,200011,12276,2000.11.24.18
Tokyo,200011,28487,2000.11.20.17
Chubu,200011,19928,2000.11.02.15
Hokuriku,200011,4065,2000.11.27.17
Kansai,200011,21977,2000.11.28.18
Chugoku,200011,8134,2000.11.30.10
Shikoku,200011,3889,2000.11.24.18
Kyushu,200011,11195,2000.11.30.19
Okinawa,200011,1217,2000.11.01.19
Hokkaido,200010,4577,2000.10.30.18
Tohoku,200010,11033,2000.10.20.17
Tokyo,200010,27566,2000.10.12.15
Chubu,200010,20439,2000.10.12.15
Hokuriku,200010,3916,2000.10.11.15
Kansai,200010,22597,2000.10.12.15
Chugoku,200010,8202,2000.10.11.15
Shikoku,200010,3956,2000.10.12.15
Kyushu,200010,11505,2000.10.11.15
Okinawa,200010,1275,2000.10.25.19
Hokkaido,200009,4701,2000.09.16.19
Tohoku,200009,13875,2000.09.01.15
Tokyo,200009,55825,2000.09.01.16
Chubu,200009,25405,2000.09.01.15
Hokuriku,200009,5482,2000.09.01.14
Kansai,200009,29882,2000.09.01.15
Chugoku,200009,10849,2000.09.01.14
Shikoku,200009,5504,2000.09.01.14
Kyushu,200009,15492,2000.09.01.15
Okinawa,200009,1371,2000.09.01.16
Hokkaido,200008,4822,2000.08.01.15
Tohoku,200008,14700,2000.08.01.15
Tokyo,200008,59240,2000.08.03.15
Chubu,200008,26364,2000.08.22.15
Hokuriku,200008,5452,2000.08.22.15
Kansai,200008,31033,2000.08.04.15
Chugoku,200008,11175,2000.08.25.15
Shikoku,200008,5613,2000.08.25.15
Kyushu,200008,15963,2000.08.09.15
Okinawa,200008,1379,2000.08.18.17
Hokkaido,200007,4759,2000.07.31.15
Tohoku,200007,14413,2000.07.31.15
Tokyo,200007,58620,2000.07.17.15
Chubu,200007,26188,2000.07.21.15
Hokuriku,200007,5310,2000.07.31.15
Kansai,200007,31060,2000.07.21.15
Chugoku,200007,11293,2000.07.21.15
Shikoku,200007,5609,2000.07.21.15
Kyushu,200007,16284,2000.07.21.15
Okinawa,200007,1367,2000.07.17.15
Hokkaido,200006,4196,2000.06.23.15
Tohoku,200006,12526,2000.06.31.15
Tokyo,200006,51510,2000.06.30.15
Chubu,200006,22755,2000.06.30.15
Hokuriku,200006,4632,2000.06.30.15
Kansai,200006,27053,2000.06.30.15
Chugoku,200006,9817,2000.06.30.15
Shikoku,200006,4711,2000.06.30.15
Kyushu,200006,14093,2000.06.30.16
Okinawa,200006,1416,2000.06.30.14
Hokkaido,200005,4215,2000.05.01.20
Tohoku,200005,11027,2000.05.30.15
Tokyo,200005,46050,2000.05.30.15
Chubu,200005,20288,2000.05.24.15
Hokuriku,200005,3971,2000.05.26.15
Kansai,200005,22865,2000.05.25.15
Chugoku,200005,8191,2000.05.25.15
Shikoku,200005,3856,2000.05.25.15
Kyushu,200005,11689,2000.05.25.15
Okinawa,200005,1219,2000.05.31.15
Hokkaido,200004,4458,2000.04.28.19
Tohoku,200004,10840,2000.04.05.11
Tokyo,200004,41942,2000.04.05.12
Chubu,200004,18993,2000.04.05.11
Hokuriku,200004,3863,2000.04.11.12
Kansai,200004,20415,2000.04.05.12
Chugoku,200004,7696,2000.04.05.11
Shikoku,200004,3702,2000.04.03.10
Kyushu,200004,9986,2000.04.04.11
Okinawa,200004,953,2000.04.19.20
Hokkaido,200003,4771,2000.03.13.19
Tohoku,200003,12434,2000.03.09.19
Tokyo,200003,46696,2000.03.16.12
Chubu,200003,21564,2000.03.09.10
Hokuriku,200003,4506,2000.03.09.11
Kansai,200003,23590,2000.03.09.12
Chugoku,200003,8835,2000.03.10.10
Shikoku,200003,4137,2000.03.01.10
Kyushu,200003,11326,2000.03.01.10
Okinawa,200003,915,2000.03.02.20
Hokkaido,200002,4936,2000.02.28.19
Tohoku,200002,12558,2000.02.24.18
Tokyo,200002,47155,2000.02.16.19
Chubu,200002,22501,2000.02.16.11
Hokuriku,200002,4607,2000.02.16.11
Kansai,200002,25003,2000.02.09.11
Chugoku,200002,9280,2000.02.16.10
Shikoku,200002,4404,2000.02.08.19
Kyushu,200002,12710,2000.02.08.19
Okinawa,200002,930,2000.02.26.20
Hokkaido,200001,5112,2000.01.26.18
Tohoku,200001,12806,2000.01.25.18
Tokyo,200001,50050,2000.01.12.17
Chubu,200001,21973,2000.01.28.10
Hokuriku,200001,4626,2000.01.21.11
Kansai,200001,24969,2000.01.21.11
Chugoku,200001,9488,2000.01.21.11
Shikoku,200001,4434,2000.01.20.19
Kyushu,200001,12521,2000.01.20.19
Okinawa,200001,937,2000.01.27.20
Hokkaido,199912,5076,1999.12.07.17
Tohoku,199912,12738,1999.12.21.17
Tokyo,199912,47058,1999.12.21.18
Chubu,199912,21773,1999.12.21.10
Hokuriku,199912,4694,1999.12.21.17
Kansai,199912,24515,1999.12.20.18
Chugoku,199912,9186,1999.12.21.10
Shikoku,199912,4441,1999.12.20.18
Kyushu,199912,12750,1999.12.20.19
Okinawa,199912,957,1999.12.01.19
Hokkaido,199911,4826,1999.11.29.17
Tohoku,199911,11858,1999.11.29.17
Tokyo,199911,43452,1999.11.24.17
Chubu,199911,19756,1999.11.30.10
Hokuriku,199911,4117,1999.11.29.11
Kansai,199911,21937,1999.11.29.18
Chugoku,199911,8457,1999.11.30.10
Shikoku,199911,3907,1999.11.29.18
Kyushu,199911,11344,1999.11.29.19
Okinawa,199911,1024,1999.11.01.11
Hokkaido,199910,4519,1999.10.27.18
Tohoku,199910,10919,1999.10.27.17
Tokyo,199910,46927,1999.10.14.15
Chubu,199910,21746,1999.10.01.15
Hokuriku,199910,4004,1999.10.01.15
Kansai,199910,25803,1999.10.01.
Chugoku,199910,8876,1999.10.01.15
Shikoku,199910,4532,1999.10.01.15
Kyushu,199910,13201,1999.10.01.15
Okinawa,199910,1306,1999.10.15.15
Hokkaido,199909,4728,1999.09.24.19
Tohoku,199909,12512,1999.09.10.15
