Company,Year_term,Electricity generated_Hydroelectric_Run-of-river (MWh),Electricity generated_Hydroelectric_With reservoir (MWh),Electricity generated_Hydroelectric_Pumped-storage (MWh),Electricity generated_Hydroelectric_Total hydroelectric (MWh),Electricity generated_Thermal power_Conventional (MWh),Electricity generated_Thermal power_Gas turbine (MWh),Electricity generated_Thermal power_Internal-combustion engine (MWh),Electricity generated_Thermal power_Total Thermal Power (MWh),Electricity generated_Nuclear power (MWh),Electricity generated_Renewable energy (MWh),Electricity generated_Other power sources (MWh),Electricity generated_Total Electricity generated (MWh),Electricity generated_Electricity purchesed_Total (MWh),Electricity generated_Electricity purchesed_Total surplus electricity (MWh),Electricity generated_Exchange among General Electricity Utilities (Net) (MWh),Electricity generated_Consumption by pumping at pumped-starage PSs_Total (MWh),Electricity generated_Grand total (MWh),Consumption in power stations_Hydroelectric (MWh),Consumption in power stations_Thermal power (MWh),Consumption in power stations_Nuclear power (MWh),Consumption in power stations_Renewable energy (MWh),Consumption in power stations_Other power sources (MWh),Consumption in power stations_Total (MWh),Electricity supply (at sending end) (MWh),Electricity supply (at user end) (MWh),Consuption at substations (MWh),Demand (MWh)
会社名,年期,供給力_水力発電所_自流式_自流式発電,供給力_水力発電所_貯水池式_貯水池式発電,供給力_水力発電所_揚水式_揚水式発電,供給力_水力発電所_揚水式_水力計,供給力_火力発電所_汽力,供給力_火力発電所_ガスタービン,供給力_火力発電所_内燃力,供給力_火力発電所_火力計,供給力_原子力発電所,供給力_新エネルギー等発電所,供給力_その他,供給力_発電計,供給力_他社受電_計,供給力_他社受電_自社余剰計,供給力_一般電気事業者間融通差引,供給力_揚水式発電所の揚水用電力_計,供給力_総合計,自社発電所所内用_水力,自社発電所所内用_火力,自社発電所所内用_原子力,自社発電所所内用_新エネルギー等,自社発電所所内用_その他,自社発電所所内用_計,送電端供給力,需要端供給力,変電所所内用,需要電力量
Okinawa,201111,,,,,470597,474,51776,522847,,78,,522925,136989,,,-5881,654033,,51126,,a,,51126,602907,606682,392,606290
Hokkaido,201110,256718,24519,24621,305858,1463063,5297,5429,1473789,701686,9715,,2491048,308143,,,-5801,2793390,1220,88383,35584,2350,,127537,2665853,2451638,4445,2447193
Tohoku,201110,317592,36744,5,354341,4100606,0,22758,4123364,0,87032,,4564737,1801131,,,-19981,6345887,1705,144436,34240,9799,,190180,6155707,5783595,5963,5777632
Tokyo,201110,612449,35528,96035,744012,15858178,18830,12825,15889833,1869220,2503,,18505568,3507040,0,,-102341,21910267,4383,514602,126173,277,,645435,21264832,20546141,36055,20510086
Chubu,201110,697052,0,98148,795200,9003254,,0,9003254,0,3316,,9801770,1056294,5,,-122506,10735563,3891,333852,36242,95,,374080,10361483,10257960,12329,10245631
Hokuriku,201110,322273,127946,0,450219,1843458,,62,1843520,0,449,,2294188,106453,,,-100,2400541,1658,107676,13014,43,,122391,2278150,2166914,2172,2164742
Kansai,201110,821948,56465,41545,919958,5576415,67,17,5576499,2592381,973,,9089811,2915264,0,,-73897,11931178,5508,201072,167067,46,0,373693,11557485,11438445,13507,11424938
Chugoku,201110,205532,0,67052,272584,3103860,0,9856,3113716,608268,0,0,3994568,1096237,0,,-94179,4996626,1714,167376,25603,0,0,194693,4801933,4668762,3830,4664932
Shikoku,201110,120518,51395,13536,185449,1302562,0,3,1302565,420089,267,0,1908370,469862,0,,-1,2378231,1060,66120,29257,6,0,96443,2281788,2207307,2954,2204353
Kyushu,201110,301349,28589,53145,383083,4320464,70,85115,4405649,533172,96140,,5418044,1708715,20,,-81945,7044834,2488,163671,70831,7061,,244051,6800783,6782977,5993,6776984
Okinawa,201110,,,,,535202,494,56823,592519,,40,,592559,131603,,,-5929,718233,,58982,,1,,58983,659250,691528,434,691094
Hokkaido,201109,383851,48883,77359,510093,1426783,0,5397,1432180,674919,8002,,2625194,122933,,,-3566,2744561,1375,83305,34800,2164,,121644,2622917,2554836,4591,2550245
Tohoku,201109,307362,36858,104,344324,4139042,778,23080,4162900,0,75599,,4582823,1885924,,,-30823,6437924,2006,145899,30673,8992,,187570,6250354,6175873,6606,6169267
Tokyo,201109,752416,78677,138492,969585,17313806,39529,15305,17368640,1796630,2515,,20137370,4033875,0,,-61504,24109741,4584,594062,125950,267,,724863,23384878,23990687,37894,23952793
Chubu,201109,852797,,194243,1047040,9313802,,8,9313810,0,3394,,10364244,1465032,13,,-140931,11688358,4173,363404,39154,85,,406816,11281542,11554625,13505,11541120
Hokuriku,201109,405588,166944,0,572532,1871688,,73,1871761,0,537,,2444830,112696,,,-1106,2556420,1893,113919,14736,43,,130591,2425829,2364365,2322,2362043
Kansai,201109,1234190,165887,246378,1646455,5420380,0,242,5420622,2487590,1047,0,9555714,3863574,0,,-347092,13072196,7211,202789,157565,49,0,367614,12704582,13209609,14265,13195344
Chugoku,201109,334801,0,133968,468769,2917928,0,10528,2928456,587164,0,0,3984389,1463857,0,,-157035,5291211,2142,158374,24883,0,0,185399,5105812,5273108,4534,5268574
Shikoku,201109,153884,85250,41109,280243,1239796,0,3,1239799,444664,250,0,1964956,596245,0,,-18772,2542429,1226,77233,31225,7,0,109691,2432738,2450494,3158,2447336
Kyushu,201109,354816,90294,119406,564516,4208769,24,100253,4309046,1270483,113404,,6257449,1623464,26,,-173856,7707083,3374,161419,73860,9231,,247884,7459199,7694742,6654,7688088
Okinawa,201109,,,,,567837,368,65365,633570,,47,,633617,173276,,,-5738,801155,,61167,,a,,61167,739988,736027,498,735529
Hokkaido,201108,297165,12946,42238,352349,1427682,5553,5987,1439222,1043722,122,,2835415,30495,,,-1481,2864429,1174,81853,52530,141,,135698,2728731,2470347,4730,2465617
Tohoku,201108,317820,58099,485,376404,4258060,699,27310,4286069,0,84365,,4746838,2110766,,,-33393,6824211,1974,152033,32783,9657,,196447,6627764,6171679,6731,6164948
Tokyo,201108,864941,73252,119028,1057221,17991134,30047,18811,18039992,2610190,2494,,21709897,4188393,0,,-74002,25824288,4692,622678,158639,266,,786275,25038013,23145989,38448,23107541
Chubu,201108,846526,,208235,1054761,10386507,,0,10386507,0,2944,,11444212,1337382,4,,-221795,12559803,4469,408058,41484,107,,454118,12105685,11193601,13383,11180218
Hokuriku,201108,438775,183632,0,622407,2076666,,71,2076737,0,539,,2699683,57066,,,-2695,2754054,1953,125033,16188,43,,143217,2610837,2473250,2452,2470798
Kansai,201108,1155100,153837,262276,1571213,7326831,0,0,7326831,2551035,1188,0,11450267,3874808,0,,-364755,14960320,7493,273167,166354,51,0,447065,14513255,13307919,15537,13292382
Chugoku,201108,202060,0,152557,354617,3433265,0,12418,3445683,601912,0,0,4402212,1756472,0,,-206472,5952212,2336,179531,25910,0,0,207777,5744435,5288284,4487,5283797
Shikoku,201108,115450,66390,17999,199839,1481227,0,4,1481231,841013,289,0,2522372,443481,0,,-13426,2952427,1193,87764,49841,6,0,138804,2813623,2563818,3401,2560417
Kyushu,201108,408620,79992,170583,659195,4426261,29,112334,4538624,1984484,120927,,7303230,1663600,33,,-251667,8715196,3716,176373,94851,9680,,284620,8430576,8026300,7463,8018837
Okinawa,201108,,,,,601858,395,74947,677200,,18,,677218,179576,,,-6005,850789,,64153,,2,,64155,786634,783105,581,782524
Hokkaido,201107,331261,30831,37083,399175,1199246,323,5701,1205270,1140099,117,,2744661,69493,,,-155,2813999,1121,75983,53682,69,,130855,2683144,2367549,4495,2363054
Tohoku,201107,637591,51306,10920,699817,3746911,,25398,3772309,0,95092,,4567218,2197435,,,-26091,6738562,2344,139906,34176,11133,,187559,6551003,5926412,6644,5919768
Tokyo,201107,841290,64380,164645,1070315,17435203,7728,20639,17463570,3668598,1980,,22204463,3705475,0,,-92738,25817200,4531,610046,182092,233,,796902,25020298,22963873,37501,22926372
Chubu,201107,808010,,158535,966545,10226563,,0,10226563,0,2730,,11195838,1464213,6,,-156583,12503474,4092,397407,40837,90,,442426,12061048,11113759,12925,11100834
Hokuriku,201107,456808,187070,0,643878,1953864,,81,1953945,0,468,,2598291,181828,,,-4182,2775937,2027,119175,27997,37,,149236,2626701,2453332,2413,2450919
Kansai,201107,1192456,184622,208108,1585186,5690709,273,1,5690983,4092010,380,0,11368559,3460458,0,,-304345,14524672,7164,221642,224346,23,0,453175,14071497,12871240,15287,12855953
Chugoku,201107,286972,0,163926,450898,3003382,0,11556,3014938,606839,0,0,4072675,1937653,0,,-212270,5798058,2349,169233,25702,0,0,197284,5600774,5077500,4788,5072712
Shikoku,201107,167187,97400,60360,324947,1174033,0,3,1174036,843552,271,0,2342806,538253,0,,-54539,2826520,1276,76838,56046,7,0,134167,2692353,2483848,3358,2480490
Kyushu,201107,469513,107078,144158,720749,4103056,14,108715,4211785,1995936,120807,,7049277,1726416,41,,-203432,8572302,3615,165118,100182,9725,,278640,8293662,7198757,7316,7191441
Okinawa,201107,,,,,626449,500,74492,701441,,41,,701482,183744,,,-6691,878535,,65703,,a,,65703,812832,742663,541,742122
Hokkaido,201106,354548,24180,43909,422637,1208147,0,5025,1213172,1107688,4555,,2748052,-110165,,,-26,2637861,1534,83394,51805,1214,,137947,2499914,2281070,4553,2276517
Tohoku,201106,776362,62279,8314,846955,3313433,,18903,3332336,0,75144,,4254435,1813309,,,-25869,6041875,2004,118949,28663,10280,,159896,5881979,5525411,5706,5519705
Tokyo,201106,836532,47314,189090,1072936,14861302,1562,13374,14876238,3608672,1633,,19559479,2930621,0,,-102824,22387276,4889,496237,167884,223,,669233,21718043,19641145,35109,19606036
Chubu,201106,931780,,194453,1126233,8758979,,0,8758979,0,3227,,9888439,1409447,4,,-195903,11101987,4272,337646,38770,77,,380765,10721222,9637989,11557,9626432
Hokuriku,201106,493473,196107,0,689580,1590133,,52,1590185,0,567,,2280332,176746,,,-3852,2453226,1867,100128,14275,29,,116299,2336927,2232085,2127,2229958
Kansai,201106,1373554,201787,151810,1727151,4324686,0,1,4324687,4892227,628,0,10944693,2177169,0,,-226002,12895860,6429,163571,227116,33,0,397149,12498711,11029499,13851,11015648
Chugoku,201106,332879,0,67383,400262,2568628,0,9588,2578216,591011,0,0,3569489,1728731,0,,-79992,5218228,1838,142529,24391,0,0,168758,5049470,4603830,4297,4599533
Shikoku,201106,182081,99327,48425,329833,1054207,9,43,1054259,820145,221,0,2204458,362696,0,,-17944,2549210,1214,64053,48480,2,0,113749,2435461,2177490,3009,2174481
Kyushu,201106,461667,115093,46953,623713,3432621,51,92605,3525277,1939349,117673,,6206012,1334057,21,,-63392,7476698,2630,136750,91342,9325,,240047,7236651,6515439,6363,6509076
Okinawa,201106,,,,,571138,1223,67022,639383,,53,,639436,178290,,,-4261,813465,,60526,,a,,60526,752939,617912,561,617351
Hokkaido,201105,426557,48122,69053,543732,1117791,0,5104,1122895,1144635,9194,,2820456,-99765,,,-4683,2716008,1702,81147,52913,2342,,138104,2577904,2511925,4792,2507133
Tohoku,201105,985507,67918,1054,1054479,2949372,,20838,2970210,0,70447,,4095136,1842017,,,-44237,5892916,2404,105205,26722,9971,,144302,5748614,5550072,5866,5544206
Tokyo,201105,846878,55297,190427,1092602,13765907,1014,13293,13780214,3739140,355,,18612311,2523422,0,,-32539,21103194,4910,460619,164724,81,,630334,20472860,19664354,34895,19629459
Chubu,201105,875874,,124275,1000149,7456104,,0,7456104,781425,3909,,9241587,807709,1,,-79141,9970156,4108,292232,61057,106,,357503,9612653,9368977,12093,9356884
Hokuriku,201105,579219,165451,0,744670,1303624,,55,1303679,0,585,,2048934,253708,,,0,2302642,2025,83982,11973,38,,98018,2204624,2198004,2123,2195881
Kansai,201105,1468625,168922,134018,1771565,3865025,0,2,3865027,5347937,393,0,10984922,1217781,0,,-211606,11991097,6266,163189,234096,18,0,403569,11587528,11244370,13386,11230984
Chugoku,201105,363313,0,76306,439619,1999468,0,9497,2008965,614313,0,0,3062897,1924624,0,,-80629,4906892,1572,114344,24853,0,0,140769,4766123,4610877,3816,4607061
Shikoku,201105,126451,71470,15238,213159,1240558,0,2,1240560,853405,282,0,2307406,86170,0,,-88,2393488,1066,71484,47859,2,0,120411,2273077,2202461,2782,2199679
Kyushu,201105,188930,3767,27113,219810,3124124,3,82564,3206691,2212846,120736,,5760083,1271188,27,,-43153,6988145,2162,128478,102426,9405,,242471,6745674,6550502,6050,6544452
Okinawa,201105,,,,,468029,374,56581,524984,,42,,525026,162807,,,-4280,683553,,54546,,1,,54547,629006,550176,439,549737
Hokkaido,201104,250236,17229,36619,304084,1256601,224,4771,1261596,1402966,8661,,2977307,-82856,,,-28927,2865524,1699,84653,65900,2228,,154480,2711044,2707984,5314,2702670
Tohoku,201104,874744,36310,5545,916599,3284376,,19443,3303819,0,73056,,4293474,1553101,,,-24896,5821679,2748,115760,21327,9298,,149133,5672546,5575009,6480,5568529
Tokyo,201104,710962,56119,67595,834676,12879566,7788,13196,12900550,3622202,77,,17357505,3307321,,,-5631,20659195,4833,423435,157228,25,,585521,20073674,20990491,33519,20956972
Chubu,201104,556577,,35720,592297,6743997,,0,6743997,1834801,4810,,9175905,1060148,9,,-25655,10210407,3955,262034,88944,109,,355042,9855365,10399231,11860,10387371
Hokuriku,201104,480635,103847,0,584482,1513952,,46,1513998,0,458,,2098938,384727,,,0,2483665,2180,93446,11426,41,,107093,2376572,2382732,2236,2380496
Kansai,201104,889469,29545,102580,1021594,3935010,22,2,3935034,5534584,791,0,10492003,1804849,0,,-129874,12166978,6028,155310,238981,30,0,400349,11766629,12326201,12890,12313311
Chugoku,201104,333545,0,14256,347801,2572298,0,10012,2582310,596022,0,0,3526133,1548783,0,,-19762,5055154,1478,129387,24156,0,0,155021,4900133,5143704,3932,5139772
Shikoku,201104,64233,27895,8541,100669,906258,0,2,906260,1462974,320,0,2470223,-16362,0,,-4699,2449162,947,55580,67514,4,0,124045,2325117,2350525,2541,2347984
Kyushu,201104,101248,6002,2171,109421,2680748,9,77374,2758131,2629687,107846,,5605085,1281819,42,,-3386,6883560,1809,101358,111404,8539,,223110,6660450,7025471,5550,7019921
Okinawa,201104,,,,,388592,486,48482,437560,,43,,437603,148071,,,-4476,581198,,44513,,1,,44514,536684,535497,325,535172
Hokkaido,201103,119527,5206,27405,152138,1588867,2630,5536,1597033,1404349,8382,,3161902,189658,,,-24453,3327107,1663,103337,73151,2278,,180429,3146678,2923504,6019,2917485
Tohoku,201103,542594,30704,14810,588108,4331212,,24490,4355702,354896,71455,,5370161,1376588,,,-18147,6728602,3258,150670,40160,9375,,203463,6252139,6234710,8216,6226494
Tokyo,201103,572822,78428,119156,770406,13982555,0,14224,13996779,5396526,1609,,20165320,4161742,,,-190853,24136209,6084,438980,236747,229,,682040,23454169,22355022,33956,22321046
Chubu,201103,511216,,51379,562595,8242931,,0,8242931,1897498,6378,,,1422635,8,,-43160,,4346,316518,97475,105,,418444,11670441,10655867,11918,10643949
Hokuriku,201103,302983,131592,0,434575,1968811,,51,1968862,281844,184,,2685465,277236,,,-121,2962580,2571,113201,27077,31,,142880,2819700,2636117,2773,2633344
Kansai,201103,731243,64009,130617,925869,4904083,195,5,4904283,5833301,730,0,11664183,2640046,0,,-203731,14100498,7706,178640,256368,33,0,442747,13657751,12331269,14226,12317043
Chugoku,201103,334641,0,16384,351025,3173682,0,12258,3185940,616349,0,0,4153314,1753713,0,,-21755,5885272,1579,152734,25398,0,0,179711,5705561,5195079,4309,5190770
Shikoku,201103,86783,37766,4777,129326,1141339,0,4,1141343,1541331,312,0,2812312,17067,0,,-2832,2826547,1018,66176,69595,6,0,136795,2689752,2437760,2698,2435062
Kyushu,201103,138633,12629,16319,167581,3674906,32,87418,3762356,2717007,118807,,6765751,1333079,31,,-18279,8080582,1960,145790,120154,9288,,277192,7803390,7061775,5880,7055895
Okinawa,201103,,,,,447393,164,48956,496513,,29,,496542,122256,,,-3025,615773,,53577,,1,,53578,562195,503144,351,502793
Hokkaido,201102,156741,33505,23939,214185,1675418,438,5199,1681055,798587,7717,,2701544,476784,,,-105,3177223,1652,104721,47588,2081,,156042,3021181,3030960,6109,3024851
Tohoku,201102,519970,27260,6692,553922,4013824,,22671,4036495,1062900,66553,,5719870,2053644,,,-3,7773511,3283,176173,64359,8717,,252532,7520979,7579824,8554,7571270
Tokyo,201102,417716,117421,75813,610950,13433548,0,14053,13447601,7741442,1053,,21801046,4397672,,,-94490,26104228,5385,460458,347542,169,,813554,25290674,25996015,34539,25961476
Chubu,201102,335055,0,32494,367549,8237133,,,8237133,1532834,3880,,10141396,1570094,6,,-45690,11665806,4505,309987,74325,71,,388888,11276918,11482578,11920,11470658
Hokuriku,201102,202314,148482,0,350796,1448931,,51,1448982,956827,112,,2756717,35688,,,-120,2792285,2675,86571,50289,62,,139597,2652688,2677985,3023,2674962
Kansai,201102,494566,96878,58300,649744,4224422,0,1,4224423,5175575,158,0,10049900,3277551,0,,-80143,13247308,6462,148242,214804,9,0,369517,12877791,13037935,13490,13024445
Chugoku,201102,212117,0,29431,241548,3047272,0,11345,3058617,555802,0,0,3855967,1848910,0,,-42858,5662019,1641,164765,23506,0,0,189912,5472107,5615477,4457,5611020
Shikoku,201102,58444,5619,8848,72911,927523,0,140,927663,1391430,233,0,2392097,277954,0,,-11185,2658866,1001,57698,62668,4,0,121371,2537495,2497997,2655,2495342
Kyushu,201102,111480,11284,5969,128733,3332211,20,83555,3415786,2454720,114283,,6113522,1542231,17,,-14621,7641149,1759,133230,103013,8651,,246653,7394496,7890885,5435,7885450
Okinawa,201102,,,,,341211,708,44780,386699,,35,,386734,178401,,,-687,564448,,39583,,a,,39583,524865,536867,331,536536
Hokkaido,201101,178181,33555,32523,244259,1904434,0,5736,1910170,971382,8846,,3134657,502129,,,-4474,3632312,2118,115319,55283,2270,,174990,3457322,3317206,7021,3310185
Tohoku,201101,596068,33270,4098,633436,4953421,,29150,4982571,1798650,69391,,7484048,1471491,,,-763,8954776,3623,208385,80105,9384,,301497,8653279,7952578,9819,7942759
Tokyo,201101,447792,132569,67560,647921,16449755,0,16592,16466347,6983073,990,,24098331,5070040,,,-127701,29040670,6259,539424,368963,178,,914824,28125846,26420854,37909,26382945
Chubu,201101,372862,0,58777,431639,10723781,,0,10723781,111742,7150,,11274312,1819996,10,,-78129,13016189,4771,374702,53170,90,,432733,12583456,11905181,13848,11891333
Hokuriku,201101,241985,187450,0,429435,1649091,,34,1649125,1021749,96,,3100405,102061,,,-101,3202365,3268,96200,55814,34,,155316,3047049,2841914,3374,2838540
Kansai,201101,716199,129299,104020,949518,4899867,0,5,4899872,5919812,240,0,11769442,3601569,0,,-188521,15182490,7902,181218,247074,15,0,436209,14746281,14030823,15708,14015115
Chugoku,201101,152086,0,13117,165203,3739122,0,13946,3753068,614813,0,0,4533084,1992411,0,,-26184,6499311,1691,188044,26016,0,0,215751,6283560,5813780,5212,5808568
Shikoku,201101,38856,13802,5358,58016,1109462,0,167,1109629,1539717,263,0,2707625,357640,0,,-5111,3060154,1105,65543,69155,6,0,135809,2924345,2774272,2922,2771350
Kyushu,201101,124734,12600,36732,174066,4064510,11,100541,4165062,3115465,133608,,7588201,1628033,3,,-58129,9158108,2168,156933,133020,9709,,301830,8856278,8294812,6254,8288558
Okinawa,201101,,,,,438921,67,51590,490578,,39,,490617,166691,,,-3579,653729,,45885,,1,,45886,607843,600854,402,600452
Hokkaido,201012,191614,22196,24489,238299,1236397,985,5700,1243082,1587824,9120,,3078325,341038,,,-2118,3417245,1731,87370,73875,2277,,165253,3251992,2685956,5385,2680571
Tohoku,201012,691410,48260,1536,741206,4174275,,25476,4199751,1850171,73075,,6864203,1292723,,,-752,8156174,2675,188803,78812,9286,,279576,7876598,6997669,7930,6989739
Tokyo,201012,545285,55009,71800,672094,14375958,,14253,14390211,6713967,1575,,21777847,4950019,,,-33896,26693970,4722,479424,341674,216,,826036,25867934,22948890,34766,22914124
Chubu,201012,540217,0,59922,600139,9531140,,0,9531140,0,2578,,10133857,1988383,11,,-65647,12056604,4230,351581,36384,32,,392227,11664377,10332095,11179,10320916
Hokuriku,201012,356130,116591,0,472721,1494093,,41,1494134,987374,390,,2954619,-52355,,,-116,2902148,2213,92772,49899,36,,144920,2757228,2479135,2516,2476619
Kansai,201012,835263,100764,141421,1077448,4010554,0,2,4010556,6064927,170,0,11153101,2990576,0,,-210312,13933365,7282,155353,270092,15,0,432742,13500623,11756992,14456,11742536
Chugoku,201012,125340,0,22277,147617,3393711,0,12015,3405726,493796,0,0,4047139,1972045,0,,-28099,5991085,1428,166155,24263,0,0,191846,5799239,5042627,4137,5038490
Shikoku,201012,68825,20867,10062,99754,659223,1,155,659379,1534016,220,0,2293369,514395,0,,-3576,2804188,1089,42359,69228,5,0,112681,2691507,2325197,2928,2322269
Kyushu,201012,146188,12718,30791,189697,3056507,11,91032,3147550,3430554,132943,,6900744,1450422,6,,-48297,8302875,2160,126447,150317,9828,,288752,8014123,6849347,5985,6843362
Okinawa,201012,,,,,499267,328,49628,549223,,1,,549224,88432,,,-2970,634686,,54500,,a,,54500,580186,540211,329,539882
Hokkaido,201011,158855,5756,19345,183956,946935,0,5181,952116,1536050,9146,,2681268,284422,,,-10586,2955104,1716,65471,71071,2243,,140501,2814603,2557355,5175,2552180
