Company,Year_term,Time-of-day lighting (customers),Time-of-day lighting (kW),Time-of-day lighting (MWh),High voltage power B/demand response (customers),High voltage power B/demand response (kW),High voltage power B/demand response (MWh),Extra-high voltage power/demand response (customers),Extra-high voltage power/demand response (kW),Extra-high voltage power/demand response (MWh),Midnight power (kW),Midnight power (customers),Midnight power (MWh),Snow melting power (kW),Snow melting power (customers),Snow melting power (MWh)
会社名,年期,時間帯別電灯_契約口数,時間帯別電灯_契約電力,時間帯別電灯_使用電力量,需給調整高圧B_契約口数,需給調整高圧B_契約電力,需給調整高圧B_使用電力量,需給調整特高_契約口数,需給調整特高_契約電力,需給調整特高_使用電力量,深夜電力_契約電力,深夜電力_契約口数,深夜電力_使用電力量,融雪用電力_契約電力,融雪用電力_契約口数,融雪用電力_使用電力量
Chugoku,199811,94799,609092,81873,16,17840,4771,96,2837870,699843,904384,266131,79595,,,
Shikoku,199811,13762,109976,13488,13,33770,11538,47,929780,254198,682400,173154,56350,,,
Kyushu,199811,45265,314372,41567,17,28070,9328,102,2380600,660480,1491492,326134,102853,,,
Okinawa,199811,3889,,5479,2,3000,1474,3,71500,17710,22346,3517,1251,,,
Hokkaido,199810,56278,306297,42478,1,15000,2593,18,963100,182203,210279,54993,15700,25855,1931,559
Tohoku,199810,20556,167466,25293,10,24370,12492,90,2074200,596676,876083,205869,61064,1752,141,2
Tokyo,199810,72811,494961,78365,5,6950,1977,131,4759370,1296809,2028821,488436,143716,,,
Chubu,199810,32027,265177,38433,1,2800,598,54,1939150,689859,2559821,569143,150923,,,
Hokuriku,199810,19835,133984,17228,2,5600,2959,29,711500,187238,373677,86966,27948,990,40,2
Kansai,199810,76366,292675,50952,3,5040,1841,115,3599350,951795,1293328,307749,82139,,,
Chugoku,199810,93609,601451,72685,16,17840,4661,96,2842870,756582,905931,266695,61691,,,
Shikoku,199810,13512,108244,12089,13,33770,11257,47,933780,255894,679102,172433,42929,,,
Kyushu,199810,41844,294830,35785,17,28050,9414,102,2375100,671854,1499496,328229,78767,,,
Okinawa,199810,3837,,4708,2,3000,1152,3,71500,17235,21903,3402,987,,,
Hokkaido,199809,55263,300191,38465,1,15000,3165,18,955100,173858,212087,55474,14502,7360,314,203
Tohoku,199809,20133,163840,25403,10,24270,12245,90,2074200,564462,874967,206240,59512,50,11,
Tokyo,199809,72503,492668,79922,5,6950,1968,131,4759370,1216278,2030879,488928,133275,,,
Chubu,199809,31653,262090,37114,1,2800,561,54,1943150,680465,2561866,569757,131933,,,
Hokuriku,199809,19351,130537,16463,2,5600,2844,29,712100,163254,373940,87118,24674,0,0,0
Kansai,199809,75590,288703,55247,3,5040,1831,115,3599850,903153,1293725,307885,69233,,,
Chugoku,199809,92311,593200,75429,16,17840,4703,94,2836850,741354,909047,267555,52857,,,
Shikoku,199809,13363,107292,12654,13,33670,10649,47,933700,219720,677596,172101,37131,,,
Kyushu,199809,38864,278297,33888,17,28050,8855,102,2375100,591474,1507454,330208,68808,,,
Okinawa,199809,3783,,3588,2,3000,1317,3,71500,14210,21738,3343,668,,,
Hokkaido,199808,54551,295778,39418,1,15000,3031,18,955100,171264,212897,55702,15689,11074,385,196
Tohoku,199808,19917,161573,23950,10,24270,12154,91,2077600,497172,874204,206644,58509,64,7,1
Tokyo,199808,71685,486916,77839,5,6950,2217,131,4759370,1168379,2034841,490142,134843,,,
Chubu,199808,31215,258607,38073,1,2800,533,55,1968150,647825,2564512,570457,144265,,,
Hokuriku,199808,18987,127979,16534,2,5600,2437,29,712100,149620,374723,87364,24330,0,0,0
Kansai,199808,75005,285545,62838,3,5040,1633,115,3599850,866361,1296374,308702,77121,,,
Chugoku,199808,91041,584995,84048,16,17840,4405,92,2831350,756100,912631,268656,58618,,,
Shikoku,199808,13228,106238,14022,13,33670,10516,47,933700,216527,676546,171890,39385,0,0,0
Kyushu,199808,36569,265716,33884,17,28050,8427,102,2373900,618467,1513962,331737,72367,,,
Okinawa,199808,3706,,3306,2,3000,1267,3,71500,17413,21698,3323,627,,,
Hokkaido,199807,53778,291138,39470,1,15000,2635,18,955100,165226,213615,55945,16734,29318,1018,594
Tohoku,199807,19611,158535,23065,10,24270,12171,91,2080400,532365,873661,207091,63632,,,
Tokyo,199807,71124,482875,77092,5,6950,2209,131,4759370,1217817,2037631,490981,152421,,,
Chubu,199807,30867,255417,34463,1,2800,539,55,1965350,677556,2566193,571075,155722,,,
Hokuriku,199807,18588,124844,15489,2,5300,3036,29,712100,175614,375265,87553,26865,0,0,0
Kansai,199807,74271,281530,55314,3,5040,1800,114,3600050,875480,1297428,308928,87484,,,
Chugoku,199807,89677,576215,73864,16,17775,4884,92,2831350,690113,915126,269432,64884,,,
Shikoku,199807,13031,104754,12848,13,33670,11267,47,933700,225308,672996,171047,44461,0,0,0
Kyushu,199807,34536,253897,29410,18,30330,8658,102,2372850,617670,1519324,333064,80236,,,
