Company,Year_term,Time-of-day lighting (customers),Time-of-day lighting (kW),Time-of-day lighting (MWh),High voltage power B/demand response (customers),High voltage power B/demand response (kW),High voltage power B/demand response (MWh),Extra-high voltage power/demand response (customers),Extra-high voltage power/demand response (kW),Extra-high voltage power/demand response (MWh),Midnight power (kW),Midnight power (customers),Midnight power (MWh),Snow melting power (kW),Snow melting power (customers),Snow melting power (MWh)
会社名,年期,時間帯別電灯_契約口数,時間帯別電灯_契約電力,時間帯別電灯_使用電力量,需給調整高圧B_契約口数,需給調整高圧B_契約電力,需給調整高圧B_使用電力量,需給調整特高_契約口数,需給調整特高_契約電力,需給調整特高_使用電力量,深夜電力_契約電力,深夜電力_契約口数,深夜電力_使用電力量,融雪用電力_契約電力,融雪用電力_契約口数,融雪用電力_使用電力量
Tohoku,198905,,,,,,8571,,,579212,,,100570,,,8
Tokyo,198905,,,,,,1752,,,1386846,,,248074,,,
Chubu,198905,,,,,,1668,,,783403,,,262660,,,
Hokuriku,198905,,,,,,1172,,,316737,,,38196,,,-54
Kansai,198905,,,,,,1755,,,1231712,,,181201,,,
Chugoku,198905,,,,,,7437,,,577185,,,154630,,,
Shikoku,198905,,,,,,8310,,,293745,,,66697,,,
Kyushu,198905,,,,,,5547,,,596825,,,106064,,,
Okinawa,198905,,,,,,1340,,,10759,,,40,,,
Hokkaido,198904,,,,,,6691,,,151107,,,35691,,,9074
Tohoku,198904,,,,,,8678,,,534541,,,105873,,,1382
Tokyo,198904,,,,,,1786,,,1382720,,,277016,,,
Chubu,198904,,,,,,1759,,,765282,,,315616,,,
Hokuriku,198904,,,,,,1200,,,308585,,,42199,,,249
Kansai,198904,,,,,,1715,,,1180546,,,211147,,,
Chugoku,198904,,,,,,7539,,,561610,,,181937,,,
Shikoku,198904,,,,,,7977,,,245326,,,78871,,,
Kyushu,198904,,,,,,5746,,,615922,,,111377,,,
Okinawa,198904,,,,,,1441,,,13815,,,85,,,
Hokkaido,198903,,,,2,47000,5877,17,738800,121913,290349,84783,35166,125847,12972,16250
Tohoku,198903,,,,10,18120,9102,84,2136200,568790,773465,233537,114516,151703,17538,5538
Tokyo,198903,,,,4,5710,1478,123,3967800,1373123,2082258,499073,255279,,,
Chubu,198903,,,,2,4200,1783,53,1918650,748448,2384664,562272,285536,,,
Hokuriku,198903,,,,1,2000,1260,31,889900,281700,326057,85343,37490,42506,2340,850
Kansai,198903,,,,3,4250,1838,113,3282750,1224855,1554533,369068,200348,,,
Chugoku,198903,,,,7,13700,7728,82,2015470,548822,1314004,389344,172687,,,
Shikoku,198903,,,,8,22350,8050,38,906400,245075,652483,169824,75706,,,
Kyushu,198903,,,,9,16950,5561,74,1913000,576066,1068812,252949,122993,,,
Okinawa,198903,,,,2,2200,1250,2,31000,12641,7609,581,191,,,
Hokkaido,198902,,,,,,5810,,,106798,,,37881,,,20931
Tohoku,198902,,,,,,7381,,,530930,,,103053,,,10261
Tokyo,198902,,,,,,1319,,,1235356,,,270163,,,
Chubu,198902,,,,,,1642,,,673462,,,286325,,,
Hokuriku,198902,,,,,,1136,,,233159,,,40241,,,2501
Kansai,198902,,,,,,1580,,,1104547,,,205056,,,
Chugoku,198902,,,,,,6810,,,536500,,,182558,,,
Shikoku,198902,,,,,,6205,,,228159,,,87491,,,
Kyushu,198902,,,,,,5233,,,530519,,,120411,,,
Okinawa,198902,,,,,,1399,,,13115,,,358,,,
Hokkaido,198901,,,,,,6762,,,124140,,,36342,,,16623
Tohoku,198901,,,,,,7851,,,599646,,,122717,,,12350
Tokyo,198901,,,,,,1334,,,1210087,,,326558,,,
Chubu,198901,,,,,,1373,,,730925,,,341484,,,
Hokuriku,198901,,,,,,981,,,289149,,,48214,,,2331
Kansai,198901,,,,,,1640,,,1139617,,,244442,,,
Chugoku,198901,,,,,,6480,,,574636,,,203282,,,
Shikoku,198901,,,,,,7590,,,270796,,,85140,,,
Kyushu,198901,,,,,,5523,,,570824,,,134333,,,
Okinawa,198901,,,,,,1329,,,12594,,,579,,,
Hokkaido,198812,,,,,,6476,,,121642,,,33350,,,4369
Tohoku,198812,,,,,,8996,,,628877,,,101508,,,2254
Tokyo,198812,,,,,,1392,,,1330024,,,260423,,,
Chubu,198812,,,,,,1535,,,780646,,,274435,,,
Hokuriku,198812,,,,,,1184,,,330108,,,38846,,,1321
Kansai,198812,,,,,,1811,,,1191583,,,198937,,,
Chugoku,198812,,,,,,6943,,,583096,,,176132,,,
Shikoku,198812,,,,,,8651,,,264504,,,78911,,,
Kyushu,198812,,,,,,5594,,,598618,,,111647,,,
Okinawa,198812,,,,,,1424,,,14799,,,502,,,
Hokkaido,198811,,,,,,4857,,,121980,,,29404,,,691
Tohoku,198811,,,,,,8414,,,566942,,,92582,,,63
Tokyo,198811,,,,,,1445,,,1304642,,,230382,,,
Chubu,198811,,,,,,1668,,,740041,,,226850,,,
Hokuriku,198811,,,,,,1166,,,310451,,,35125,,,154
Kansai,198811,,,,,,1694,,,1150737,,,169718,,,
Chugoku,198811,,,,,,7005,,,590078,,,143015,,,
Shikoku,198811,,,,,,8625,,,260645,,,66353,,,
Kyushu,198811,,,,,,6124,,,568790,,,93162,,,
Okinawa,198811,,,,,,1452,,,13145,,,298,,,
Hokkaido,198810,,,,,,7013,,,126824,,,25291,,,6
Tohoku,198810,,,,,,8842,,,591191,,,78923,,,
Tokyo,198810,,,,,,1564,,,1377617,,,194673,,,
Chubu,198810,,,,,,1486,,,753304,,,195262,,,
Hokuriku,198810,,,,,,1212,,,298764,,,29654,,,1
Kansai,198810,,,,,,1743,,,1188212,,,136079,,,
Chugoku,198810,,,,,,7361,,,616919,,,115682,,,
Shikoku,198810,,,,,,8661,,,267693,,,49547,,,
Kyushu,198810,,,,,,5410,,,582165,,,76620,,,
Okinawa,198810,,,,,,1402,,,12755,,,144,,,
Hokkaido,198809,,,,2,47000,6997,17,738800,140849,284398,83787,24101,2,2,
Tohoku,198809,,,,10,18120,8237,84,2129900,553364,776640,236564,65647,,,
Tokyo,198809,,,,4,5710,1628,123,3963300,1220581,2068365,495722,168525,,,
Chubu,198809,,,,2,4200,1710,52,1887150,702312,2359967,559120,181943,,,
Hokuriku,198809,,,,1,2000,1062,31,853400,271330,322336,85216,26263,,,
Kansai,198809,,,,3,4250,2257,115,3345650,1144247,1589886,377657,120780,,,
Chugoku,198809,,,,7,19700,6978,81,1999930,575399,1346400,399237,105388,,,
Shikoku,198809,,,,10,27050,7815,36,900250,230467,658906,171662,46856,,,
Kyushu,198809,,,,9,16950,5182,72,1849200,493978,1065507,252995,63799,,,
Okinawa,198809,,,,2,2200,1424,2,31000,12589,5844,463,45,,,
Hokkaido,198808,,,,,,5407,,,145455,,,25827,,,
Tohoku,198808,,,,,,7891,,,519700,,,74631,,,
Tokyo,198808,,,,,,1663,,,1152452,,,174613,,,
Chubu,198808,,,,,,1256,,,650557,,,166169,,,
Hokuriku,198808,,,,,,775,,,260296,,,27488,,,
Kansai,198808,,,,,,2007,,,1113982,,,116232,,,
Chugoku,198808,,,,,,6525,,,577938,,,99090,,,
Shikoku,198808,,,,,,8251,,,234302,,,45519,,,
Kyushu,198808,,,,,,5010,,,499157,,,65845,,,
Okinawa,198808,,,,,,1236,,,12842,,,16,,,
Hokkaido,198807,,,,,,7741,,,130148,,,27883,,,12
Tohoku,198807,,,,,,7542,,,504032,,,75179,,,
Tokyo,198807,,,,,,1683,,,1191355,,,186419,,,
Chubu,198807,,,,,,1606,,,677973,,,192416,,,
Hokuriku,198807,,,,,,1137,,,275161,,,28110,,,
Kansai,198807,,,,,,2283,,,1165977,,,134858,,,
Chugoku,198807,,,,,,7459,,,575587,,,118459,,,
Shikoku,198807,,,,,,8673,,,221501,,,49748,,,
Kyushu,198807,,,,,,5219,,,502987,,,70050,,,
Okinawa,198807,,,,,,1283,,,10782,,,15,,,
Hokkaido,198806,,,,,,4780,,,119787,,,30400,,,138
Tohoku,198806,,,,,,7792,,,571585,,,88395,,,
Tokyo,198806,,,,,,1435,,,1287358,,,205532,,,
Chubu,198806,,,,,,1560,,,713358,,,200989,,,
Hokuriku,198806,,,,,,1060,,,295479,,,31726,,,
Kansai,198806,,,,,,2130,,,1176889,,,144933,,,
Chugoku,198806,,,,,,7039,,,577065,,,137947,,,
Shikoku,198806,,,,,,8235,,,244122,,,62235,,,
Kyushu,198806,,,,,,5030,,,540829,,,87036,,,
Okinawa,198806,,,,,,1290,,,13898,,,19,,,
Hokkaido,198805,,,,,,5865,,,123796,,,33424,,,290
Tohoku,198805,,,,,,7785,,,568036,,,105100,,,10
Tokyo,198805,,,,,,1150,,,1336241,,,227767,,,
Chubu,198805,,,,,,1596,,,709306,,,269687,,,
Hokuriku,198805,,,,,,997,,,303885,,,38412,,,-7
Kansai,198805,,,,,,1917,,,1209769,,,195802,,,
Chugoku,198805,,,,,,6741,,,583916,,,162906,,,
Shikoku,198805,,,,,,8459,,,321832,,,69828,,,
Kyushu,198805,,,,,,5572,,,559538,,,108871,,,
Okinawa,198805,,,,,,1146,,,10473,,,24,,,
Hokkaido,198804,,,,,,5565,,,114436,,,35761,,,4220
Tohoku,198804,,,,,,7885,,,537606,,,107013,,,3306
Tokyo,198804,,,,,,1335,,,1256943,,,284045,,,
Chubu,198804,,,,,,1547,,,698264,,,311780,,,
Hokuriku,198804,,,,,,1101,,,300852,,,43185,,,436
Kansai,198804,,,,,,2053,,,1143837,,,229348,,,
Chugoku,198804,,,,,,6751,,,533987,,,197287,,,
Shikoku,198804,,,,,,8339,,,257560,,,83912,,,
Kyushu,198804,,,,,,5417,,,536022,,,115497,,,
Okinawa,198804,,,,,,1133,,,13403,,,42,,,
Hokkaido,198803,,,,2,47000,6826,17,754300,121778,280845,83636,36094,65306,12072,9508
Tohoku,198803,,,,10,17970,8367,84,2099800,579838,786070,241671,119101,130899,16976,19026
Tokyo,198803,,,,4,5710,1328,120,3882400,1283716,2043886,489536,263359,,,
Chubu,198803,,,,2,4200,1681,51,1849550,735970,2303189,554123,304341,,,
Hokuriku,198803,,,,1,2000,1148,31,822900,297250,319978,85372,41464,40179,2068,3211
Kansai,198803,,,,5,6190,2497,111,3298900,1162156,1618854,385233,220264,,,
Chugoku,198803,,,,6,9950,5607,79,1965230,558310,1374800,408340,197023,,,
Shikoku,198803,,,,10,26750,9746,36,908750,256380,665307,173563,86098,,,
Kyushu,198803,,,,9,16350,5554,72,1875900,566613,1054905,250763,127907,,,
Okinawa,198803,,,,2,2200,1011,2,31000,12974,5268,422,89,,,
Hokkaido,198802,,,,,,6120,,,115579,,,36774,,,9255
Tohoku,198802,,,,,,7638,,,551939,,,115757,,,24104
Tokyo,198802,,,,,,1244,,,1223160,,,283454,,,
Chubu,198802,,,,,,1576,,,708155,,,287073,,,
Hokuriku,198802,,,,,,1040,,,269662,,,40098,,,5862
Kansai,198802,,,,,,2333,,,1098796,,,218612,,,
Chugoku,198802,,,,,,5357,,,540517,,,193312,,,
Shikoku,198802,,,,,,9169,,,252394,,,88853,,,
Kyushu,198802,,,,,,5316,,,533349,,,125567,,,
Okinawa,198802,,,,,,1259,,,13814,,,187,,,
Hokkaido,198801,,,,,,5969,,,141799,,,36776,,,7673
Tohoku,198801,,,,,,7659,,,572045,,,129874,,,9252
Tokyo,198801,,,,,,1255,,,1222512,,,317894,,,
Chubu,198801,,,,,,1318,,,709127,,,333304,,,
Hokuriku,198801,,,,,,897,,,310283,,,45009,,,2569
Kansai,198801,,,,,,2163,,,1142581,,,255818,,,
Chugoku,198801,,,,,,5020,,,560959,,,217293,,,
Shikoku,198801,,,,,,9405,,,249199,,,89659,,,
Kyushu,198801,,,,,,5245,,,549081,,,137489,,,
Okinawa,198801,,,,,,1286,,,12837,,,341,,,
Hokkaido,198712,,,,,,5203,,,120147,,,32209,,,504
Tohoku,198712,,,,,,8515,,,608749,,,102409,,,3397
Tokyo,198712,,,,,,1282,,,1302841,,,238930,,,
Chubu,198712,,,,,,1444,,,740816,,,248647,,,
Hokuriku,198712,,,,,,1095,,,320621,,,37397,,,709
Kansai,198712,,,,,,2443,,,1180653,,,195856,,,
Chugoku,198712,,,,,,5354,,,528142,,,168634,,,
Shikoku,198712,,,,,,9225,,,260125,,,77839,,,
Kyushu,198712,,,,,,4892,,,582848,,,107032,,,
Okinawa,198712,,,,,,1239,,,14318,,,340,,,
Hokkaido,198711,,,,,,8061,,,129553,,,28985,,,
Tohoku,198711,,,,,,8183,,,585290,,,86474,,,52
Tokyo,198711,,,,,,1316,,,1320801,,,228779,,,
Chubu,198711,,,,,,1610,,,692238,,,231313,,,
Hokuriku,198711,,,,,,916,,,298408,,,34230,,,20
Kansai,198711,,,,,,2406,,,1153944,,,172029,,,
Chugoku,198711,,,,,,5193,,,558456,,,147018,,,
Shikoku,198711,,,,,,9073,,,240521,,,62213,,,
Kyushu,198711,,,,,,4651,,,547607,,,88624,,,
Okinawa,198711,,,,,,1233,,,12002,,,206,,,
Hokkaido,198710,,,,,,9212,,,133597,,,24911,,,
Tohoku,198710,,,,,,8536,,,588994,,,84664,,,1
Tokyo,198710,,,,,,1505,,,1327262,,,174450,,,
Chubu,198710,,,,,,1372,,,716963,,,184550,,,
Hokuriku,198710,,,,,,1034,,,292704,,,29572,,,
Kansai,198710,,,,,,2572,,,1155728,,,136342,,,
Chugoku,198710,,,,,,5602,,,551323,,,122923,,,
Shikoku,198710,,,,,,9222,,,252924,,,54754,,,
Kyushu,198710,,,,,,4962,,,551951,,,79749,,,
Okinawa,198710,,,,,,1246,,,14642,,,87,,,
Hokkaido,198709,,,,2,47000,7687,17,754300,145595,276534,83279,24511,,,
Tohoku,198709,,,,10,17970,7951,84,2137100,544929,793762,246757,65563,,,
Tokyo,198709,,,,4,5710,1529,120,3876400,1211537,2029850,486621,146777,,,
Chubu,198709,,,,2,4200,1514,51,1829550,693865,2279762,552547,159089,,,
Hokuriku,198709,,,,1,2000,1153,31,816900,264961,317218,85445,25148,,,
Kansai,198709,,,,5,6190,2527,111,3304700,1069376,1654099,394272,109673,,,
Chugoku,198709,,,,6,9550,5330,77,1922030,523644,1415875,420795,105888,,,
Shikoku,198709,,,,10,26750,9227,37,858600,219417,672446,175581,46674,,,
Kyushu,198709,,,,9,16350,4340,73,1923900,504338,1056255,252888,62722,,,
Okinawa,198709,,,,2,2200,1152,2,31000,10218,3929,342,4,,,
Hokkaido,198708,,,,,,8339,,,137848,,,24712,,,
Tohoku,198708,,,,,,7839,,,488403,,,67369,,,3
Tokyo,198708,,,,,,1590,,,1141787,,,153512,,,
Chubu,198708,,,,,,1272,,,637188,,,173223,,,
Hokuriku,198708,,,,,,765,,,226200,,,25482,,,
Kansai,198708,,,,,,2390,,,1076208,,,122092,,,
Chugoku,198708,,,,,,4470,,,499953,,,107245,,,
Shikoku,198708,,,,,,9009,,,212474,,,44340,,,
Kyushu,198708,,,,,,4144,,,505052,,,65764,,,
Okinawa,198708,,,,,,1231,,,11139,,,2,,,
Hokkaido,198707,,,,,,7690,,,144706,,,27395,,,
Tohoku,198707,,,,,,7741,,,465675,,,81618,,,1
Tokyo,198707,,,,,,1600,,,1181152,,,167963,,,
Chubu,198707,,,,,,1423,,,641888,,,189137,,,
Hokuriku,198707,,,,,,1101,,,246766,,,27026,,,
Kansai,198707,,,,,,2456,,,1067195,,,136317,,,
Chugoku,198707,,,,,,5528,,,498485,,,123855,,,
Shikoku,198707,,,,,,8997,,,192992,,,53372,,,
Kyushu,198707,,,,,,4214,,,481477,,,77160,,,
Okinawa,198707,,,,,,1135,,,7935,,,a,,,
Hokkaido,198706,,,,,,10561,,,128286,,,30408,,,1
Tohoku,198706,,,,,,7945,,,534038,,,84948,,,
Tokyo,198706,,,,,,1406,,,1217196,,,180791,,,
Chubu,198706,,,,,,1534,,,665007,,,199208,,,
Hokuriku,198706,,,,,,1049,,,278963,,,30374,,,
Kansai,198706,,,,,,2385,,,1091758,,,144793,,,
Chugoku,198706,,,,,,5159,,,508479,,,134661,,,
Shikoku,198706,,,,,,9367,,,228098,,,60371,,,
Kyushu,198706,,,,,,4347,,,505420,,,86805,,,
Okinawa,198706,,,,,,1194,,,10184,,,69,,,
Hokkaido,198705,,,,,,6310,,,134169,,,34192,,,72
Tohoku,198705,,,,,,7592,,,545720,,,108057,,,60
Tokyo,198705,,,,,,1388,,,1245812,,,249465,,,
Chubu,198705,,,,,,1528,,,681880,,,265135,,,
Hokuriku,198705,,,,,,1215,,,292254,,,37924,,,-5
Kansai,198705,,,,,,2307,,,1134997,,,202877,,,
Chugoku,198705,,,,,,4704,,,526773,,,183012,,,
Shikoku,198705,,,,,,9740,,,266442,,,69748,,,
Kyushu,198705,,,,,,4808,,,524371,,,110577,,,
Okinawa,198705,,,,,,1133,,,10030,,,14,,,
Hokkaido,198704,,,,,,6175,,,119092,,,34689,,,3521
Tohoku,198704,,,,,,7950,,,527922,,,112179,,,2655
Tokyo,198704,,,,,,1255,,,1244943,,,281468,,,
Chubu,198704,,,,,,1449,,,651153,,,299574,,,
Hokuriku,198704,,,,,,790,,,276529,,,41708,,,225
Kansai,198704,,,,,,2281,,,1050973,,,224928,,,
Chugoku,198704,,,,,,5185,,,497384,,,201643,,,
Shikoku,198704,,,,,,10072,,,240895,,,87982,,,
Kyushu,198704,,,,,,4631,,,521722,,,114260,,,
Okinawa,198704,,,,,,1219,,,10181,,,27,,,
Hokkaido,198703,,,,1,33000,921,16,731800,114828,277486,84173,35405,63094,11899,7597
Tohoku,198703,,,,7,13030,5058,81,2157600,573581,814127,253100,120940,118917,15532,14180
Tokyo,198703,,,,4,5710,1221,117,3834300,1213895,2009097,481531,243350,,,
Chubu,198703,,,,2,4200,899,49,1855450,625755,2262709,554385,287862,,,
Hokuriku,198703,,,,1,2000,1065,31,818400,258681,315949,85856,39654,31123,1570,3118
Kansai,198703,,,,4,5350,2103,110,3385200,1069234,1681038,401080,219617,,,
Chugoku,198703,,,,3,4380,2485,70,1900730,495903,1461630,434243,195752,,,
Shikoku,198703,,,,5,13550,6706,33,899300,243066,687364,177525,83954,,,
Kyushu,198703,,,,8,15500,4160,74,1977100,519671,1065715,255262,125957,,,
Okinawa,198703,,,,2,2200,1135,2,31000,10821,3548,308,73,,,
Hokkaido,198702,,,,,,1240,,,102690,,,37120,,,10419
Tohoku,198702,,,,,,4302,,,542164,,,120550,,,19361
Tokyo,198702,,,,,,1072,,,1086516,,,270088,,,
Chubu,198702,,,,,,1348,,,575949,,,287111,,,
Hokuriku,198702,,,,,,863,,,241050,,,41556,,,3762
Kansai,198702,,,,,,1769,,,1020438,,,235184,,,
Chugoku,198702,,,,,,2299,,,460429,,,208011,,,
Shikoku,198702,,,,,,5633,,,228645,,,90835,,,
Kyushu,198702,,,,,,3725,,,489127,,,130897,,,
Okinawa,198702,,,,,,1251,,,12073,,,159,,,
Hokkaido,198701,,,,,,2442,,,120112,,,36181,,,7164
Tohoku,198701,,,,,,3893,,,586872,,,138125,,,12175
Tokyo,198701,,,,,,1116,,,1121440,,,324117,,,
Chubu,198701,,,,,,1190,,,585866,,,338522,,,
Hokuriku,198701,,,,,,676,,,294329,,,47248,,,3167
Kansai,198701,,,,,,1737,,,1030749,,,267841,,,
Chugoku,198701,,,,,,2090,,,479518,,,237293,,,
Shikoku,198701,,,,,,6387,,,237354,,,94132,,,
Kyushu,198701,,,,,,3569,,,509281,,,144808,,,
Okinawa,198701,,,,,,1281,,,8755,,,218,,,
Hokkaido,198612,,,,,,1208,,,115880,,,32352,,,325
Tohoku,198612,,,,,,4867,,,597615,,,113954,,,825
Tokyo,198612,,,,,,1258,,,1205324,,,250472,,,
Chubu,198612,,,,,,1275,,,616152,,,249906,,,
Hokuriku,198612,,,,,,1095,,,308952,,,35729,,,453
Kansai,198612,,,,,,1889,,,1042286,,,198748,,,
Chugoku,198612,,,,,,2270,,,463271,,,179998,,,
Shikoku,198612,,,,,,6444,,,247426,,,80169,,,
Kyushu,198612,,,,,,4298,,,546214,,,111757,,,
Okinawa,198612,,,,,,1223,,,13976,,,207,,,
Hokkaido,198611,,,,,,5161,,,127426,,,29897,,,
Tohoku,198611,,,,,,4894,,,598088,,,97769,,,18
Tokyo,198611,,,,,,1351,,,1187447,,,231115,,,
Chubu,198611,,,,,,1353,,,624582,,,248269,,,
Hokuriku,198611,,,,,,1057,,,304793,,,34768,,,17
Kansai,198611,,,,,,1911,,,1058512,,,192615,,,
Chugoku,198611,,,,,,2170,,,519066,,,169888,,,
Shikoku,198611,,,,,,6229,,,232039,,,69808,,,
Kyushu,198611,,,,,,4244,,,538312,,,97792,,,
Okinawa,198611,,,,,,1324,,,13558,,,124,,,
Hokkaido,198610,,,,,,8258,,,150385,,,25334,,,
Tohoku,198610,,,,,,4810,,,608478,,,86279,,,3
Tokyo,198610,,,,,,1428,,,1190514,,,182320,,,
Chubu,198610,,,,,,1206,,,635549,,,195520,,,
Hokuriku,198610,,,,,,1137,,,289003,,,29916,,,
Kansai,198610,,,,,,2017,,,1085851,,,144142,,,
Chugoku,198610,,,,,,2475,,,544147,,,134689,,,
Shikoku,198610,,,,,,6499,,,229140,,,57738,,,
Kyushu,198610,,,,,,4173,,,545444,,,83706,,,
Okinawa,198610,,,,,,1203,,,12996,,,23,,,
Hokkaido,198609,,,,1,33000,8521,16,738800,164009,274610,84209,23790,,,
Tohoku,198609,,,,6,11630,4667,80,2159600,571941,827450,258814,67328,,,
Tokyo,198609,,,,4,5710,1471,117,3832300,1137194,1987317,477245,150143,,,
Chubu,198609,,,,2,4200,1379,49,1853950,595743,2237559,555192,165000,,,
Hokuriku,198609,,,,1,2000,826,31,808900,241118,316073,86472,26261,,,
Kansai,198609,,,,4,5350,1856,110,3402200,1055706,1706691,408019,112853,,,
Chugoku,198609,,,,3,4380,2404,71,1912530,520557,1507677,447950,104883,,,
Shikoku,198609,,,,5,13900,6483,34,915300,211158,693972,179499,46853,,,
Kyushu,198609,,,,8,15500,3882,74,1991600,491683,1061013,258028,61903,,,
Okinawa,198609,,,,2,2200,1427,2,31000,12081,293,84,6,,,
Hokkaido,198608,,,,,,10677,,,176351,,,25724,,,
Tohoku,198608,,,,,,4688,,,536505,,,74903,,,
Tokyo,198608,,,,,,1398,,,1049845,,,168602,,,
Chubu,198608,,,,,,976,,,551307,,,182971,,,
Hokuriku,198608,,,,,,819,,,206178,,,27891,,,
Kansai,198608,,,,,,1795,,,1071421,,,132597,,,
Chugoku,198608,,,,,,1871,,,526755,,,121037,,,
Shikoku,198608,,,,,,6753,,,210951,,,48407,,,
Kyushu,198608,,,,,,4054,,,484557,,,62081,,,
Okinawa,198608,,,,,,1513,,,11155,,,4,,,
Hokkaido,198607,,,,,,14848,,,175471,,,28333,,,
Tohoku,198607,,,,,,4634,,,505337,,,90913,,,
Tokyo,198607,,,,,,1532,,,1080737,,,179001,,,
Chubu,198607,,,,,,1216,,,597939,,,192155,,,
Hokuriku,198607,,,,,,1108,,,257818,,,29060,,,
Kansai,198607,,,,,,1949,,,1056041,,,141444,,,
Chugoku,198607,,,,,,2521,,,517857,,,134810,,,
Shikoku,198607,,,,,,6960,,,236235,,,57322,,,
Kyushu,198607,,,,,,3716,,,470350,,,77032,,,
Okinawa,198607,,,,,,1393,,,11730,,,4,,,
Hokkaido,198606,,,,,,11889,,,193729,,,30915,,,
Tohoku,198606,,,,,,5067,,,648467,,,89662,,,
Tokyo,198606,,,,,,1338,,,1219277,,,189604,,,
Chubu,198606,,,,,,1384,,,656021,,,213590,,,
Hokuriku,198606,,,,,,1050,,,317591,,,33281,,,
Kansai,198606,,,,,,1929,,,1146113,,,160586,,,
Chugoku,198606,,,,,,2250,,,571249,,,153413,,,
Shikoku,198606,,,,,,6780,,,276600,,,62835,,,
Kyushu,198606,,,,,,3855,,,539879,,,87295,,,
Okinawa,198606,,,,,,1444,,,14443,,,4,,,
Hokkaido,198605,,,,,,11838,,,179041,,,33175,,,55
Tohoku,198605,,,,,,4555,,,616520,,,114379,,,16
Tokyo,198605,,,,,,1328,,,1269368,,,254239,,,
Chubu,198605,,,,,,1366,,,602049,,,270422,,,
Hokuriku,198605,,,,,,888,,,322465,,,35158,,,-21
Kansai,198605,,,,,,1899,,,1131980,,,207034,,,
Chugoku,198605,,,,,,2285,,,574649,,,189018,,,
Shikoku,198605,,,,,,7069,,,282217,,,73826,,,
Kyushu,198605,,,,,,4355,,,560230,,,108374,,,
Okinawa,198605,,,,,,1464,,,11958,,,3,,,
Hokkaido,198604,,,,,,8467,,,181707,,,36660,,,3578
Tohoku,198604,,,,,,4684,,,610843,,,117763,,,2712
Tokyo,198604,,,,,,1255,,,1261768,,,268698,,,
Chubu,198604,,,,,,1383,,,614415,,,291174,,,
Hokuriku,198604,,,,,,854,,,308646,,,42028,,,181
Kansai,198604,,,,,,2032,,,1158851,,,227133,,,
Chugoku,198604,,,,,,2455,,,578377,,,216570,,,
Shikoku,198604,,,,,,7024,,,307815,,,91971,,,
Kyushu,198604,,,,,,4419,,,561838,,,125106,,,
Okinawa,198604,,,,,,1520,,,13330,,,2,,,
Hokkaido,198603,,,,1,33000,9164,15,717300,198210,277880,85676,34853,66145,12025,7575
Tohoku,198603,,,,4,7530,3409,77,2133700,695894,844227,265329,123086,104960,13854,16012
Tokyo,198603,,,,3,5560,1497,114,3754500,1280948,1966342,472942,249285,,,
Chubu,198603,,,,2,4200,1428,48,1851350,679598,2243953,560946,306785,,,
Hokuriku,198603,,,,1,2000,962,33,837700,285053,316584,87326,41602,25661,1191,2691
Kansai,198603,,,,4,5350,2104,106,3348500,1203799,1724174,412994,232547,,,
Chugoku,198603,,,,3,4130,2550,66,1868440,571532,1548796,460242,216247,,,
Shikoku,198603,,,,5,13500,7220,32,927500,353833,701883,181685,88979,,,
Kyushu,198603,,,,7,14250,4168,73,1970800,598394,1082807,261865,131936,,,
Okinawa,198603,,,,,,,2,31000,12420,28,7,1,,,
Hokkaido,198602,,,,,,7799,,,187048,,,37468,,,11277
Tohoku,198602,,,,,,2766,,,681184,,,128628,,,28424
Tokyo,198602,,,,,,1368,,,1200286,,,275067,,,
Chubu,198602,,,,,,1466,,,628331,,,317239,,,
Hokuriku,198602,,,,,,827,,,294644,,,43834,,,7058
Kansai,198602,,,,,,2248,,,1162384,,,261440,,,
Chugoku,198602,,,,,,2284,,,565228,,,243451,,,
Shikoku,198602,,,,,,6493,,,313969,,,97843,,,
Kyushu,198602,,,,,,3576,,,575866,,,142267,,,
Okinawa,198602,,,,,,,,,13801,,,,,,
Hokkaido,198601,,,,,,8698,,,211309,,,36389,,,8697
Tohoku,198601,,,,,,2469,,,698473,,,144509,,,19219
Tokyo,198601,,,,,,1346,,,1201708,,,325243,,,
Chubu,198601,,,,,,1420,,,651480,,,353154,,,
Hokuriku,198601,,,,,,769,,,327250,,,49294,,,7489
Kansai,198601,,,,,,2118,,,1160555,,,279002,,,
Chugoku,198601,,,,,,2300,,,595417,,,249861,,,
Shikoku,198601,,,,,,7373,,,352038,,,101807,,,
Kyushu,198601,,,,,,3800,,,587473,,,156038,,,
Okinawa,198601,,,,,,,,,13490,,,,,,
Hokkaido,198512,,,,,,9237,,,215423,,,31984,,,168
Tohoku,198512,,,,,,3294,,,729391,,,107375,,,2379
Tokyo,198512,,,,,,1363,,,1312163,,,245594,,,
Chubu,198512,,,,,,1338,,,668467,,,266712,,,
Hokuriku,198512,,,,,,1070,,,353610,,,37008,,,2066
Kansai,198512,,,,,,2342,,,1202825,,,209446,,,
Chugoku,198512,,,,,,2395,,,610344,,,195795,,,
Shikoku,198512,,,,,,6981,,,398745,,,81940,,,
Kyushu,198512,,,,,,4246,,,652856,,,112025,,,
Okinawa,198512,,,,,,,,,14780,,,,,,
Hokkaido,198511,,,,,,9790,,,218201,,,29469,,,-1
