Company,Year_term,Transmission and distribution losses (%),Integrated loss factor (%)
会社名,年期,送配電損失率,総合損失率
Okinawa,199312,4.53,9.55
Hokkaido,199311,8.79,13.44
Tohoku,199311,7.95,10.63
Tokyo,199311,6.92,10.51
Chubu,199311,6.47,10.25
Hokuriku,199311,6.07,9.33
Kansai,199311,7.67,11.5
Chugoku,199311,9.3,12.8
Shikoku,199311,8.7,13.5
Kyushu,199311,7.2,11.32
Okinawa,199311,-3.97,0.73
Hokkaido,199310,9.44,14.6
Tohoku,199310,7.49,10.16
Tokyo,199310,3.81,7.51
Chubu,199310,3.4,7.29
Hokuriku,199310,5.7,8.59
Kansai,199310,2.96,7
Chugoku,199310,4.3,8.2
Shikoku,199310,6.3,10.9
Kyushu,199310,3.04,7.18
Okinawa,199310,-5.9,-1.11
Hokkaido,199309,5.47,10.89
Tohoku,199309,3.47,6.28
Tokyo,199309,-1.26,2.65
Chubu,199309,-2.25,1.84
Hokuriku,199309,3.05,5.77
Kansai,199309,-2.27,1.7
Chugoku,199309,-0.56,3.43
Shikoku,199309,2.05,6.9
Kyushu,199309,-4.01,0.61
Okinawa,199309,-3.78,1.12
Hokkaido,199308,8.97,14.21
Tohoku,199308,8.71,11.46
Tokyo,199308,7.16,10.91
Chubu,199308,6.1,9.82
Hokuriku,199308,5.11,8
Kansai,199308,4.36,8.23
Chugoku,199308,6.11,9.74
Shikoku,199308,8.68,13.39
Kyushu,199308,6.55,10.59
Okinawa,199308,4.69,9.02
Hokkaido,199307,12.99,18.15
Tohoku,199307,8.25,11.05
Tokyo,199307,9.54,13.21
Chubu,199307,9.86,13.41
Hokuriku,199307,9.32,11.89
Kansai,199307,12.55,16.03
Chugoku,199307,12.7,16.22
Shikoku,199307,11.49,16.06
Kyushu,199307,12.65,16.48
Okinawa,199307,14.77,18.68
Hokkaido,199306,8.55,13.53
Tohoku,199306,6.17,8.9
Tokyo,199306,8.64,12.26
Chubu,199306,8.31,12.21
Hokuriku,199306,5.21,8.08
Kansai,199306,11.15,14.68
Chugoku,199306,9.96,13.58
Shikoku,199306,9.22,14.12
Kyushu,199306,12.54,16.32
Okinawa,199306,14.47,18.45
Hokkaido,199305,5.6,10.94
Tohoku,199305,5.45,7.8
Tokyo,199305,3.58,7.34
Chubu,199305,2.15,6.11
Hokuriku,199305,2.9,5.48
Kansai,199305,3.26,7.1
Chugoku,199305,4.45,8.43
Shikoku,199305,6.06,10.78
Kyushu,199305,2.32,6.18
Okinawa,199305,17.93,21.78
Hokkaido,199304,1.94,7.9
Tohoku,199304,-2.65,-0.1
Tokyo,199304,-0.5,3.47
Chubu,199304,-2.73,1.4
Hokuriku,199304,1.11,3.68
Kansai,199304,-3.02,0.99
Chugoku,199304,-2.55,1.67
Shikoku,199304,1.24,5.94
Kyushu,199304,-1.6,2.5
Okinawa,199304,7.31,12.18
Hokkaido,199303,9.74,15.14
Tohoku,199303,9.37,11.76
Tokyo,199303,10.9,14.34
Chubu,199303,9.5,13.05
