Company,Year_term,Transmission and distribution losses (%),Integrated loss factor (%)
会社名,年期,送配電損失率,総合損失率
Shikoku,198212,10.87,14.86
Kyushu,198212,14.37,17.52
Okinawa,198212,3.62,10.76
Hokkaido,198211,9.04,13.44
Tohoku,198211,8.18,11.04
Tokyo,198211,6.68,10.06
Chubu,198211,8.21,11.75
Hokuriku,198211,6.82,9
Kansai,198211,6.78,10.84
Chugoku,198211,7.21,11.14
Shikoku,198211,6.12,9.88
Kyushu,198211,7.39,10.83
Okinawa,198211,-3.27,4.2
Hokkaido,198210,11.47,15.84
Tohoku,198210,6.71,9.77
Tokyo,198210,1.84,5.52
Chubu,198210,1.34,5.1
Hokuriku,198210,5.04,7.1
Kansai,198210,2.79,7.05
Chugoku,198210,5.14,9.17
Shikoku,198210,6.47,9.88
Kyushu,198210,3.29,6.8
Okinawa,198210,-3.89,3.53
Hokkaido,198209,3.1,8
Tohoku,198209,-1.8,1.5
Tokyo,198209,-2.7,1.1
Chubu,198209,-2.1,1.6
Hokuriku,198209,-0.6,0.8
Kansai,198209,-5.5,-1.2
Chugoku,198209,-5.7,-1.2
Shikoku,198209,1.5,5.8
Kyushu,198209,-5.1,-1.3
Okinawa,198209,2.09,9.01
Hokkaido,198208,12.5,16.9
Tohoku,198208,10.1,13.1
Tokyo,198208,10.9,14.2
Chubu,198208,8.3,11.6
Hokuriku,198208,9.2,11.1
Kansai,198208,9,12.8
Chugoku,198208,9.7,13.6
Shikoku,198208,9.5,13.8
Kyushu,198208,9.5,12.9
Okinawa,198208,1.7,8.42
Hokkaido,198207,13.1,17.6
Tohoku,198207,9.8,12.9
Tokyo,198207,8.6,12.1
Chubu,198207,8.9,12.4
Hokuriku,198207,8.7,10.7
Kansai,198207,11.2,15
Chugoku,198207,12.1,15.9
Shikoku,198207,12.4,16.6
Kyushu,198207,13.6,17
Okinawa,198207,18.34,23.79
Hokkaido,198206,9.2,13.4
Tohoku,198206,9.3,12
Tokyo,198206,8.4,11.9
Chubu,198206,9.8,13
Hokuriku,198206,7.2,8.7
Kansai,198206,11.2,15
Chugoku,198206,6.4,10.5
Shikoku,198206,8.6,12.8
Kyushu,198206,8.9,12.6
Okinawa,198206,12.73,18.95
Hokkaido,198205,8.6,12.4
Tohoku,198205,4.7,7.2
Tokyo,198205,5.3,8.8
Chubu,198205,3.5,7.1
Hokuriku,198205,4.3,6.1
Kansai,198205,2,5.9
Chugoku,198205,6.7,10.4
Shikoku,198205,8,11.9
Kyushu,198205,8,11.8
Okinawa,198205,20.75,26.41
Hokkaido,198204,3.1,8.1
Tohoku,198204,3.8,6.2
Tokyo,198204,0.5,4
Chubu,198204,-1.6,2
Hokuriku,198204,2.9,4.7
Kansai,198204,1.2,4.9
Chugoku,198204,1.4,5.6
Shikoku,198204,5.2,9.1
Kyushu,198204,2,5.9
Okinawa,198204,1.87,9.24
Hokkaido,198203,8.7,12.9
Tohoku,198203,8.4,11.2
Tokyo,198203,9.5,12.8
Chubu,198203,8.1,11.5
Hokuriku,198203,7.5,9.6
Kansai,198203,8.1,11.7
Chugoku,198203,8,11.8
Shikoku,198203,7.9,12.1
Kyushu,198203,7.4,10.9
Okinawa,198203,13.51,19.88
Hokkaido,198202,0.9,5.1
Tohoku,198202,2.6,5.7
Tokyo,198202,3.4,7
Chubu,198202,3.5,7.4
Hokuriku,198202,2.6,5.8
Kansai,198202,1.3,5.3
Chugoku,198202,0.8,3.3
Shikoku,198202,1.4,5.8
Kyushu,198202,1.6,5.5
Okinawa,198202,-0.22,7.41
Hokkaido,198201,10.1,14.6
Tohoku,198201,2.7,5.8
Tokyo,198201,1.4,5.2
Chubu,198201,3,7
Hokuriku,198201,3.3,5.5
Kansai,198201,3.4,7.5
Chugoku,198201,7.3,11
Shikoku,198201,7.6,12
Kyushu,198201,4.5,8.3
Okinawa,198201,6.22,13.06
Hokkaido,198112,13.9,18.1
Tohoku,198112,11.2,14
Tokyo,198112,11.8,15.2
Chubu,198112,10.8,14.3
Hokuriku,198112,8.8,11
Kansai,198112,9.7,13.6
Chugoku,198112,10.3,13.8
Shikoku,198112,10.8,15
Kyushu,198112,11.8,15.1
Okinawa,198112,7.65,14.73
Hokkaido,198111,10.2,14
Tohoku,198111,10.2,13.1
Tokyo,198111,4.5,8.1
Chubu,198111,4.4,8
Hokuriku,198111,5.9,7.4
Kansai,198111,6.3,10.4
Chugoku,198111,7.6,11.2
Shikoku,198111,5.8,10
Kyushu,198111,8.1,11.6
Okinawa,198111,-2.59,5.35
Hokkaido,198110,11.7,15.5
Tohoku,198110,9.8,12.7
Tokyo,198110,6.3,9.9
Chubu,198110,5.7,9.1
Hokuriku,198110,6.9,9.1
Kansai,198110,4.1,8.3
Chugoku,198110,6,9.8
Shikoku,198110,5.9,9.9
Kyushu,198110,3.8,7.5
Okinawa,198110,-6.76,1.22
Hokkaido,198109,5.5,9.6
Tohoku,198109,2.7,5.9
Tokyo,198109,-1.8,2.1
Chubu,198109,-1.1,2.6
Hokuriku,198109,1.3,3.8
Kansai,198109,-5.3,-1
Chugoku,198109,-4.2,0.1
Shikoku,198109,-0.8,3.8
Kyushu,198109,-6.4,-2.4
Okinawa,198109,-1.2,6
Hokkaido,198108,8.4,11.9
Tohoku,198108,3,6.3
Tokyo,198108,2,5.7
Chubu,198108,1,4.9
Hokuriku,198108,4.5,7
Kansai,198108,0.5,4.7
Chugoku,198108,3.4,7
Shikoku,198108,4.8,9
Kyushu,198108,2.8,6.6
Okinawa,198108,7.86,14.27
Hokkaido,198107,13.6,17.3
Tohoku,198107,15.2,17.9
Tokyo,198107,14.4,17.5
Chubu,198107,13.7,16.9
Hokuriku,198107,12,13.4
Kansai,198107,16.5,19.9
Chugoku,198107,16.9,19.9
Shikoku,198107,13,16.4
Kyushu,198107,19.2,22.3
Okinawa,198107,12.82,18.9
Hokkaido,198106,9,12.7
Tohoku,198106,9.4,11.9
Tokyo,198106,10.5,13.7
Chubu,198106,11.1,14.4
Hokuriku,198106,8.5,9.8
Kansai,198106,13.8,17.6
Chugoku,198106,7.9,11.6
Shikoku,198106,6.8,10.7
Kyushu,198106,11.4,14.5
Okinawa,198106,18.23,24.1
Hokkaido,198105,8.3,12.2
Tohoku,198105,2.9,5.2
Tokyo,198105,3.8,7.2
Chubu,198105,3.1,6.6
Hokuriku,198105,3.6,4.8
Kansai,198105,1.8,5.6
Chugoku,198105,6.1,9.7
Shikoku,198105,6.4,10.2
Kyushu,198105,7.4,10.8
Okinawa,198105,13.97,20.51
Hokkaido,198104,1.3,5.7
Tohoku,198104,5.7,8.2
Tokyo,198104,1.7,5.1
Chubu,198104,-0.1,3.4
Hokuriku,198104,2.9,4.8
Kansai,198104,3.2,7
Chugoku,198104,1.1,4.2
Shikoku,198104,3.3,6.7
Kyushu,198104,2.1,5.7
Okinawa,198104,8.26,15.18
Hokkaido,198103,11.2,15.3
Tohoku,198103,8.7,11.5
Tokyo,198103,2.4,5.9
Chubu,198103,7.5,11
Hokuriku,198103,6.5,8.9
Kansai,198103,7.8,11.7
Chugoku,198103,7.6,10.6
Shikoku,198103,6.6,10.3
Kyushu,198103,4.9,8.6
Okinawa,198103,12.02,18.71
Hokkaido,198102,1.7,6.3
Tohoku,198102,1.6,4.6
Tokyo,198102,3.4,6.8
Chubu,198102,1.3,5.3
Hokuriku,198102,0.9,3.7
Kansai,198102,1,5
Chugoku,198102,-2.3,1.4
Shikoku,198102,0.9,5.1
Kyushu,198102,0.9,4.6
Okinawa,198102,-3.38,3.69
Hokkaido,198101,11.5,15.8
Tohoku,198101,4.6,7.7
Tokyo,198101,2.5,6
Chubu,198101,2.5,6.4
Hokuriku,198101,6.3,9
Kansai,198101,2.5,6.5
Chugoku,198101,8.7,12.4
Shikoku,198101,5.3,9.3
Kyushu,198101,4.9,8.6
Okinawa,198101,6.4,12.78
Hokkaido,198012,14.8,19
Tohoku,198012,12.5,15.4
Tokyo,198012,12.5,15.6
Chubu,198012,14.6,18
Hokuriku,198012,10.3,12.7
Kansai,198012,11.9,15.5
Chugoku,198012,12.2,15.6
Shikoku,198012,12.6,16.3
Kyushu,198012,17.7,20.9
Okinawa,198012,3.49,10.25
Hokkaido,198011,8.2,12.5
Tohoku,198011,8,11
Tokyo,198011,9,12.5
Chubu,198011,2.5,6.3
Hokuriku,198011,5.6,7.3
Kansai,198011,4.3,8.4
Chugoku,198011,6.1,9.9
Shikoku,198011,6.7,10.6
Kyushu,198011,4.2,8
Okinawa,198011,1.77,8.48
Hokkaido,198010,10.9,15.1
Tohoku,198010,8.2,11.3
Tokyo,198010,1.1,4.8
Chubu,198010,3.9,7.3
Hokuriku,198010,6.2,8.5
Kansai,198010,3.2,7.2
Chugoku,198010,5.7,9.4
Shikoku,198010,6.1,9.7
Kyushu,198010,4.1,7.8
Okinawa,198010,-9.5,-1.65
Hokkaido,198009,6.1,10.9
Tohoku,198009,4.9,8.1
Tokyo,198009,6,9.5
Chubu,198009,2.1,5.5
Hokuriku,198009,3.9,5.6
Kansai,198009,-1.5,2.3
Chugoku,198009,1,4.9
Shikoku,198009,1.2,5.2
Kyushu,198009,-0.6,3.3
Okinawa,198009,-2.58,4.42
Hokkaido,198008,10,14.3
Tohoku,198008,5.3,8.4
Tokyo,198008,2.1,5.6
Chubu,198008,2.8,6.4
Hokuriku,198008,6.7,8.3
Kansai,198008,4,7.7
Chugoku,198008,5.2,9
Shikoku,198008,6.5,10.3
Kyushu,198008,4,7.8
Okinawa,198008,7.87,13.93
Hokkaido,198007,11,15
Tohoku,198007,10.3,13.2
Tokyo,198007,12.4,13.7
Chubu,198007,11,14.2
Hokuriku,198007,8.4,10.4
Kansai,198007,12.6,16.2
Chugoku,198007,11,14.6
Shikoku,198007,10.9,14.6
Kyushu,198007,15.8,19.2
Okinawa,198007,12.9,18.61
Hokkaido,198006,9.6,13.3
Tohoku,198006,9.9,12.7
Tokyo,198006,9.7,13
Chubu,198006,9.3,12.6
Hokuriku,198006,5,6.6
Kansai,198006,8.1,11.8
Chugoku,198006,6.7,10.3
Shikoku,198006,5.6,8.8
Kyushu,198006,8.5,12.2
Okinawa,198006,18.82,24.22
Hokkaido,198005,7.4,10.8
Tohoku,198005,3,5.5
Tokyo,198005,3.6,6.9
Chubu,198005,2.2,5.7
Hokuriku,198005,5.8,7.2
Kansai,198005,5.2,9
Chugoku,198005,5.8,9.7
Shikoku,198005,6.3,9.3
Kyushu,198005,8.1,11.4
Okinawa,198005,19.29,24.92
Hokkaido,198004,3.4,7.4
Tohoku,198004,5.7,8.1
Tokyo,198004,2.1,5.6
Chubu,198004,1.8,5.3
Hokuriku,198004,3.7,5.4
Kansai,198004,0.5,4.2
Chugoku,198004,0.6,4.3
Shikoku,198004,2,5.7
Kyushu,198004,2.5,6.2
Okinawa,198004,6.22,13.11
Hokkaido,198003,6.3,10.3
Tohoku,198003,7.7,10.1
Tokyo,198003,3,6.6
Chubu,198003,6,9.8
Hokuriku,198003,6.1,8.4
Kansai,198003,7.6,11.4
Chugoku,198003,6.3,9.7
Shikoku,198003,6.6,10.5
Kyushu,198003,7.1,10.6
Okinawa,198003,9.46,15.9
Hokkaido,198002,2.3,6.4
Tohoku,198002,4.9,7.6
Tokyo,198002,3.9,7.3
Chubu,198002,3.3,7
Hokuriku,198002,2.8,5.4
Kansai,198002,1,5.1
Chugoku,198002,0.6,4.3
Shikoku,198002,2.6,6.9
Kyushu,198002,3.3,7.1
Okinawa,198002,-0.45,6.58
Hokkaido,198001,11.8,15.8
Tohoku,198001,4.1,6.8
Tokyo,198001,5.2,8.6
Chubu,198001,5.1,8.7
Hokuriku,198001,5.5,7.9
Kansai,198001,6.8,10.7
Chugoku,198001,8.5,12.1
Shikoku,198001,6.8,10.7
Kyushu,198001,6,9.6
Okinawa,198001,5.87,12.43
Hokkaido,197912,12.3,16.2
Tohoku,197912,11.6,14
Tokyo,197912,9.8,13.1
Chubu,197912,9.3,12.9
Hokuriku,197912,8.6,10.7
Kansai,197912,9.7,13.5
Chugoku,197912,9.5,13.1
Shikoku,197912,9.9,13.5
Kyushu,197912,11,14.6
Okinawa,197912,6.88,13.79
Hokkaido,197911,9.9,13.6
Tohoku,197911,6.8,9.6
Tokyo,197911,8.9,12.4
Chubu,197911,5,8.6
Hokuriku,197911,7,8.8
Kansai,197911,4.4,8.5
Chugoku,197911,7.2,10.6
Shikoku,197911,6.8,10.8
Kyushu,197911,6,9.8
Okinawa,197911,-1.3,6.1
Hokkaido,197910,13.3,16.9
Tohoku,197910,8.3,11
Tokyo,197910,1.8,5.5
Chubu,197910,4.9,8.4
Hokuriku,197910,5.2,7.6
Kansai,197910,2.8,7.1
Chugoku,197910,3.1,6.8
Shikoku,197910,4.3,8.2
Kyushu,197910,1.3,5.1
Okinawa,197910,-11.1,-2.63
Hokkaido,197909,5,9
Tohoku,197909,0.7,3.6
Tokyo,197909,0.7,4.4
Chubu,197909,-3.7,0.4
Hokuriku,197909,2.2,4.5
Kansai,197909,-6.8,-2.5
Chugoku,197909,3.7,0.5
Shikoku,197909,-0.5,3.8
Kyushu,197909,-4.3,-0.3
Okinawa,197909,7.15,13.63
Hokkaido,197908,11.8,15.2
Tohoku,197908,9.5,11.9
Tokyo,197908,7.5,10.9
Chubu,197908,8.2,11.9
Hokuriku,197908,7.1,9.4
Kansai,197908,8.5,12
Chugoku,197908,8.9,12.7
Shikoku,197908,8.7,12.7
Kyushu,197908,10.8,14.3
Okinawa,197908,1.12,7.95
Hokkaido,197907,11.2,14.9
Tohoku,197907,10.4,12.9
Tokyo,197907,7.7,11.3
Chubu,197907,9.4,13
Hokuriku,197907,8.6,11
Kansai,197907,11,14.4
Chugoku,197907,12,15.6
Shikoku,197907,10.9,14.5
Kyushu,197907,15.4,18.5
Okinawa,197907,17.84,23.26
Hokkaido,197906,9.3,12.8
Tohoku,197906,9.7,12.1
Tokyo,197906,13.6,17
Chubu,197906,11.2,15
Hokuriku,197906,6.6,9.1
Kansai,197906,10.9,14.5
Chugoku,197906,8.1,11.7
Shikoku,197906,6.8,10.7
Kyushu,197906,10.5,14.3
Okinawa,197906,17.74,23.46
Hokkaido,197905,8.6,12
Tohoku,197905,5.4,7.8
Tokyo,197905,4.6,8.2
Chubu,197905,3.5,7.2
Hokuriku,197905,5.1,7
Kansai,197905,6.3,9.7
Chugoku,197905,6,9.5
Shikoku,197905,5,8.3
Kyushu,197905,10,13.5
Okinawa,197905,13.55,19.87
Hokkaido,197904,3.4,7.5
Tohoku,197904,6.7,9.1
Tokyo,197904,0.9,4.4
Chubu,197904,0.5,4.2
Hokuriku,197904,3.7,5.8
Kansai,197904,0.2,3.7
Chugoku,197904,1.2,5.1
Shikoku,197904,3.6,7.1
Kyushu,197904,1.9,5.5
Okinawa,197904,8.88,15.38
Hokkaido,197903,9.1,13.1
Tohoku,197903,9.2,11.8
Tokyo,197903,6.4,9.8
Chubu,197903,10,13.3
Hokuriku,197903,8.1,10.3
Kansai,197903,9.1,13
Chugoku,197903,9.2,12.8
Shikoku,197903,8.9,12.6
Kyushu,197903,10.5,13.8
Okinawa,197903,11.46,17.77
Hokkaido,197902,-1.2,3.5
Tohoku,197902,-3.2,-0.3
Tokyo,197902,-0.5,3.2
Chubu,197902,0.8,4.4
Hokuriku,197902,1.8,4.3
Kansai,197902,0.6,4.6
Chugoku,197902,-1.4,2.5
Shikoku,197902,1.2,5.7
Kyushu,197902,1.1,5.2
Okinawa,197902,0.55,7.85
Hokkaido,197901,13.6,17.5
Tohoku,197901,7.7,10.4
Tokyo,197901,4.3,7.8
Chubu,197901,4.8,8.6
Hokuriku,197901,4.9,7.6
Kansai,197901,5.2,9.1
Chugoku,197901,8.4,11.8
Shikoku,197901,7.3,11.7
Kyushu,197901,6.6,10.5
Okinawa,197901,5.74,12.53
Hokkaido,197812,15.5,19.1
Tohoku,197812,12.6,15.2
Tokyo,197812,12.8,15.9
Chubu,197812,10.8,14.4
Hokuriku,197812,9.3,11.7
Kansai,197812,8.6,12.7
Chugoku,197812,10.6,13.7
Shikoku,197812,11.7,15.8
Kyushu,197812,12.4,16
Okinawa,197812,5.9,12.69
Hokkaido,197811,9.8,13.4
Tohoku,197811,8.2,11.1
Tokyo,197811,7.6,11.1
Chubu,197811,6.1,9.7
Hokuriku,197811,6.6,8.4
Kansai,197811,6.5,10.7
Chugoku,197811,6.8,10.5
Shikoku,197811,7.2,11.6
Kyushu,197811,7.1,10.8
Okinawa,197811,-4.15,3.46
Hokkaido,197810,12.1,15.7
Tohoku,197810,8,10.9
Tokyo,197810,1.2,4.8
Chubu,197810,3.2,7.1
Hokuriku,197810,5.2,6.9
Kansai,197810,1,5.4
Chugoku,197810,2.9,6.9
Shikoku,197810,4,8.5
Kyushu,197810,-0.2,3.6
Okinawa,197810,-4.31,3.43
Hokkaido,197809,6.1,9.7
Tohoku,197809,-1.8,1.2
Tokyo,197809,-4.3,-0.4
Chubu,197809,-4.7,-0.6
Hokuriku,197809,0.1,2.5
Kansai,197809,-8,-3.2
Chugoku,197809,-5.1,-0.7
Shikoku,197809,-1.9,2.8
Kyushu,197809,-5.9,-1.5
Okinawa,197809,8.71,15.12
Hokkaido,197808,10.3,13.8
Tohoku,197808,8.2,11.1
Tokyo,197808,8.6,12
Chubu,197808,6.9,10.6
Hokuriku,197808,5.9,8.5
Kansai,197808,6.3,10.3
Chugoku,197808,6.2,9.9
Shikoku,197808,7.9,12
Kyushu,197808,8.5,12.2
Okinawa,197808,4.86,11.6
Hokkaido,197807,14.7,18
Tohoku,197807,14.7,17.3
Tokyo,197807,12.2,15.5
Chubu,197807,12.7,16.2
Hokuriku,197807,12,14.1
Kansai,197807,15.4,19
Chugoku,197807,17.4,20.6
Shikoku,197807,14.6,18.4
Kyushu,197807,18.6,22
Okinawa,197807,13.3,19.41
Hokkaido,197806,10.2,13.5
Tohoku,197806,9.9,12.3
Tokyo,197806,12.4,15.5
Chubu,197806,11.3,14.8
Hokuriku,197806,7.4,9.4
Kansai,197806,9.5,13.4
Chugoku,197806,8.6,11.9
Shikoku,197806,8.6,12.6
Kyushu,197806,13.6,17
Okinawa,197806,14.1,20.3
Hokkaido,197805,9.2,12.7
Tohoku,197805,7,9.2
Tokyo,197805,4.8,8.2
Chubu,197805,3.7,7.5
Hokuriku,197805,5.9,7.6
Kansai,197805,8.5,12.1
Chugoku,197805,6.7,10.3
Shikoku,197805,5.5,9.5
Kyushu,197805,8.6,12.2
Okinawa,197805,15.63,22.31
Hokkaido,197804,3.9,7.7
Tohoku,197804,2.7,5.1
Tokyo,197804,-3.7,0.2
Chubu,197804,-1.4,2.7
Hokuriku,197804,3.9,6.2
Kansai,197804,-0.2,3.8
Chugoku,197804,0.9,4.7
Shikoku,197804,2.5,6.5
Kyushu,197804,2.5,6.4
Okinawa,197804,9.82,17.2
Hokkaido,197803,8.4,12.3
Tohoku,197803,10.3,12.9
Tokyo,197803,7.9,11.4
Chubu,197803,8.5,12
Hokuriku,197803,7.1,10.1
Kansai,197803,7.7,11.4
Chugoku,197803,8.3,11.7
Shikoku,197803,8,12.3
Kyushu,197803,10.2,13.5
Okinawa,197803,11.46,18.24
Hokkaido,197802,2.3,6.6
Tohoku,197802,2.7,5.4
Tokyo,197802,1.7,5.4
Chubu,197802,0.4,4.6
Hokuriku,197802,3.1,6.2
Kansai,197802,1.2,5.4
Chugoku,197802,-0.2,3.5
Shikoku,197802,2.6,7
Kyushu,197802,0.1,3.8
Okinawa,197802,0.3,8.08
Hokkaido,197801,13.8,17.7
Tohoku,197801,7.4,10.3
Tokyo,197801,5.5,9
Chubu,197801,7.8,11.6
Hokuriku,197801,5.9,8.9
Kansai,197801,6.8,11
Chugoku,197801,9,12.4
Shikoku,197801,7.5,11.8
Kyushu,197801,9.2,12.9
Okinawa,197801,6.88,13.6
Hokkaido,197712,14.3,18
Tohoku,197712,12.6,15.3
Tokyo,197712,12.7,15.8
Chubu,197712,11,14.7
Hokuriku,197712,9.8,12.7
Kansai,197712,8.6,12.8
Chugoku,197712,10.5,13.6
Shikoku,197712,11,15.3
Kyushu,197712,11.9,15.5
Okinawa,197712,8.25,15.17
Hokkaido,197711,9.5,13.2
Tohoku,197711,5.6,8.7
Tokyo,197711,7.4,10.9
Chubu,197711,5.4,9.4
Hokuriku,197711,6.5,9.5
Kansai,197711,6.2,10.3
Chugoku,197711,6.9,10.5
Shikoku,197711,7,11.2
Kyushu,197711,6.7,10.7
Okinawa,197711,-5.09,2.92
Hokkaido,197710,13.2,16.7
Tohoku,197710,8.1,11
Tokyo,197710,2.4,6
Chubu,197710,2.4,6.7
Hokuriku,197710,4.8,7.4
Kansai,197710,0.5,4.9
Chugoku,197710,2.5,6.8
Shikoku,197710,4.3,9.2
Kyushu,197710,1.1,5.1
Okinawa,197710,0.69,7.93
Hokkaido,197709,7.3,11.2
Tohoku,197709,3.2,6.3
Tokyo,197709,2.5,6
Chubu,197709,0.9,4.9
Hokuriku,197709,3.8,6.6
Kansai,197709,-1.2,3.1
Chugoku,197709,1,4.9
Shikoku,197709,1.4,6.1
Kyushu,197709,0.5,4.4
Okinawa,197709,0.6,7.33
Hokkaido,197708,9.3,13
Tohoku,197708,5.6,8.7
Tokyo,197708,3,6.6
Chubu,197708,4.2,8
Hokuriku,197708,4.9,7.7
Kansai,197708,2.6,6.8
Chugoku,197708,3.1,6.8
Shikoku,197708,4.9,9.7
Kyushu,197708,5,8.9
Okinawa,197708,6.91,13.09
Hokkaido,197707,13.7,17.1
Tohoku,197707,12.6,15.3
Tokyo,197707,12.5,15.7
Chubu,197707,13.1,16.7
Hokuriku,197707,10.8,13.3
Kansai,197707,16.5,19.9
Chugoku,197707,16.1,19.2
Shikoku,197707,15.3,9.5
Kyushu,197707,19.3,22.5
Okinawa,197707,15.28,20.9
Hokkaido,197706,10.7,14.2
Tohoku,197706,6.9,9.4
Tokyo,197706,9.5,12.7
Chubu,197706,7,10.7
Hokuriku,197706,6,8.6
Kansai,197706,7.6,11.5
Chugoku,197706,7.1,10.6
Shikoku,197706,7.2,10.8
Kyushu,197706,9.3,12.7
Okinawa,197706,12.77,18.73
Hokkaido,197705,9.5,13
Tohoku,197705,7.6,9.7
Tokyo,197705,5.1,8.3
Chubu,197705,6,9.5
Hokuriku,197705,5.4,7.4
Kansai,197705,6.6,10.2
Chugoku,197705,6,9.3
Shikoku,197705,6.3,10.9
Kyushu,197705,9.2,12.4
Okinawa,197705,16.74,22.68
Hokkaido,197704,2.8,6.9
Tohoku,197704,3.6,5.9
Tokyo,197704,-3.3,0.4
Chubu,197704,0.9,4.5
Hokuriku,197704,4.8,7.1
Kansai,197704,1,4.6
Chugoku,197704,1.6,4.9
Shikoku,197704,2.3,7
Kyushu,197704,3.5,7.1
Okinawa,197704,9.88,16.43
Hokkaido,197703,8.7,12
Tohoku,197703,8.7,11.2
Tokyo,197703,7.4,10.7
Chubu,197703,7.5,11
Hokuriku,197703,7.1,9.8
Kansai,197703,7.2,10.7
Chugoku,197703,8.3,11.2
Shikoku,197703,7,11.6
Kyushu,197703,9.6,13.1
Okinawa,197703,12.74,19.47
Hokkaido,197702,0.4,4.2
Tohoku,197702,1,4
Tokyo,197702,0.5,4.1
Chubu,197702,0.8,4.7
Hokuriku,197702,2.5,5.7
Kansai,197702,0.4,4.1
Chugoku,197702,-1,2.5
Shikoku,197702,0.7,5.6
Kyushu,197702,-0.5,3.7
Okinawa,197702,0.39,7.82
Hokkaido,197701,13.2,16.9
Tohoku,197701,9.3,12
Tokyo,197701,5.9,9.4
Chubu,197701,7.1,10.8
Hokuriku,197701,5.7,8.5
Kansai,197701,6.4,10.2
Chugoku,197701,8.5,11.5
Shikoku,197701,7.3,11
Kyushu,197701,9.1,12.8
Okinawa,197701,4.95,11.78
Hokkaido,197612,13.8,17.4
Tohoku,197612,10.8,13.3
Tokyo,197612,10.9,14.1
Chubu,197612,9.4,12.9
Hokuriku,197612,8.7,11.4
Kansai,197612,8.1,12
Chugoku,197612,9.8,12.7
Shikoku,197612,10.6,14
Kyushu,197612,12,15.3
Okinawa,197612,12.12,18.66
Hokkaido,197611,11.1,14.4
Tohoku,197611,7.8,10.2
Tokyo,197611,9.2,12.5
Chubu,197611,7.7,11.3
Hokuriku,197611,6.8,9.3
Kansai,197611,7.7,11.7
Chugoku,197611,8.1,11.3
Shikoku,197611,7,10.3
Kyushu,197611,9.1,12.4
Okinawa,197611,-0.07,7.75
Hokkaido,197610,13.7,17.1
Tohoku,197610,9.2,11.7
Tokyo,197610,6.6,9.8
Chubu,197610,4.9,8.5
Hokuriku,197610,6.8,9
Kansai,197610,4,8
Chugoku,197610,6.1,9.7
Shikoku,197610,6.7,10.3
Kyushu,197610,5.1,8.5
Okinawa,197610,1.83,9.66
Hokkaido,197609,7.1,10.5
Tohoku,197609,2.8,5.1
Tokyo,197609,-0.6,2.9
Chubu,197609,-1.3,2.3
Hokuriku,197609,3.8,5.6
Kansai,197609,-4.6,-0.5
Chugoku,197609,-4.3,-0.8
Shikoku,197609,-2.6,1.7
Kyushu,197609,-5.7,-1.8
Okinawa,197609,-5.25,2.45
Hokkaido,197608,10.3,13.7
Tohoku,197608,5.7,8.1
Tokyo,197608,3.1,6.5
Chubu,197608,5.8,9.3
Hokuriku,197608,5.4,7.8
Kansai,197608,5.5,9.4
Chugoku,197608,7,10.3
Shikoku,197608,7.4,11.2
Kyushu,197608,10.6,14
Okinawa,197608,10.63,16.62
Hokkaido,197607,12.5,15.8
Tohoku,197607,12.4,14.8
Tokyo,197607,11.7,14.8
Chubu,197607,11.8,15.1
Hokuriku,197607,10.6,13
Kansai,197607,14.6,18.1
Chugoku,197607,13.6,16.9
Shikoku,197607,12.6,16.1
Kyushu,197607,15.4,18.6
Okinawa,197607,11.53,17.78
Hokkaido,197606,9.9,12.9
Tohoku,197606,6.5,8.8
Tokyo,197606,9.6,12.7
Chubu,197606,7,10.3
Hokuriku,197606,5.6,7.8
Kansai,197606,8.5,12.3
Chugoku,197606,6.1,9.4
Shikoku,197606,6.1,9.3
Kyushu,197606,8.9,11.9
Okinawa,197606,12.15,18.45
Hokkaido,197605,8.9,12.3
Tohoku,197605,7.9,9.9
Tokyo,197605,3.9,7.1
Chubu,197605,6,9.4
Hokuriku,197605,5.6,7.6
Kansai,197605,6.4,10.2
Chugoku,197605,5.9,9.1
Shikoku,197605,6.4,9.8
Kyushu,197605,8,11.6
Okinawa,197605,15.33,21.85
Hokkaido,197604,5.1,9.1
Tohoku,197604,3.8,5.9
Tokyo,197604,1.9,5.2
Chubu,197604,1.3,4.7
Hokuriku,197604,4.5,6.4
Kansai,197604,1,4.8
Chugoku,197604,1.8,5
Shikoku,197604,3,6.4
Kyushu,197604,3.2,6.7
Okinawa,197604,10.28,17.21
Hokkaido,197603,8.9,12.8
Tohoku,197603,8.6,10.9
Tokyo,197603,4.6,7.9
Chubu,197603,8.4,11.7
Hokuriku,197603,7.3,9.8
Kansai,197603,8.5,12.1
Chugoku,197603,7.5,10.3
Shikoku,197603,6.6,10.2
Kyushu,197603,10.6,13.6
Okinawa,197603,,
Hokkaido,197602,0.9,4.8
Tohoku,197602,2.1,4.6
Tokyo,197602,2.3,5.4
Chubu,197602,-0.4,3.3
Hokuriku,197602,2.6,5.5
Kansai,197602,-1,2.9
Chugoku,197602,0.2,3.3
Shikoku,197602,2.2,6.2
Kyushu,197602,-0.1,3.5
Okinawa,197602,,
Hokkaido,197601,11.7,15.5
Tohoku,197601,9,11.6
Tokyo,197601,3.8,7.1
Chubu,197601,8.3,11.8
Hokuriku,197601,6.7,9.5
Kansai,197601,7.8,11.2
Chugoku,197601,8.3,11.5
Shikoku,197601,7,10.8
Kyushu,197601,8.4,11.6
Okinawa,197601,,
Hokkaido,197512,15.1,18.7
