Company,Year_term,Number of sites_Electric power company's own_Hydroelectric,Number of sites_Electric power company's own_Thermal power,Number of sites_Electric power company's own_Nuclear power,Number of sites_Electric power company's own_Renewable energy,Number of sites_Electric power company's own_Total,Number of sites_Privately-owned_Hydroelectric,Number of sites_Privately-owned_Thermal power,Number of sites_Privately-owned_Nuclear power,Number of sites_Privately-owned_Renewable energy,Number of sites_Privately-owned_Other power sources,Number of sites_Privately-owned_Total,Number of sites_Total of EPCo and Privately-owned_Hydroelectric,Number of sites_Total of EPCo and Privately-owned_Thermal power,Number of sites_Total of EPCo and Privately-owned_Nuclear power,Number of sites_Total of EPCo and Privately-owned_Renewable energy,Number of sites_Total of EPCo and Privately-owned_Other power sources,Number of sites_Total of EPCo and Privately-owned_Total,Capacity in total_Electric power company's own_Hydroelectric (MW),Capacity in total_Electric power company's own_Thermal power (MW),Capacity in total_Electric power company's own_Nuclear power (MW),Capacity in total_Electric power company's own_Renewable energy (MW),Capacity in total_Electric power company's own_Total (MW),Capacity in total_Privately-owned_Hydroelectric (MW),Capacity in total_Privately-owned_Thermal power (MW),Capacity in total_Privately-owned_Nuclear power (MW),Capacity in total_Privately-owned_Renewable energy (MW),Capacity in total_Privately-owned_Other power sources (MW),Capacity in total_Privately-owned_Total (MW),Capacity in total_Total of EPCos and Privately-owned_Hydroelectric (MW),Capacity in total_Total of EPCos and Privately-owned_Thermal power (MW),Capacity in total_Total of EPCos and Privately-owned_Nuclear power (MW),Capacity in total_Total of EPCos and Privately-owned_Renewable energy (MW),Capacity in total_Total of EPCos and Privately-owned_Other power sources (MW),Capacity in total_Total of EPCos and Privately-owned_Total (MW)
Okinawa,1999,,20,,,20,2,15,,3,,20,2,35,,3,,40,,1757,,,1757,31,46,,4,,81,31,1803,,4,,1838
Hokkaido,1998,86,12,1,1,100,11,117,,2,,130,97,129,1,3,,230,1516,3699,1158,50,6423,63,1437,,2,,1502,1579,5136,1158,52,,7925
Tohoku,1998,286,16,1,5,308,43,215,,2,,260,329,231,1,7,,568,6677,14726,1349,236,22988,732,1855,,33,,2621,7410,16581,1349,269,,25609
Tokyo,1998,273,29,5,1,308,16,494,,,,510,289,523,5,1,,818,9321,34773,18574,3,62671,142,7589,,,,7731,9463,42362,18574,3,,70402
Chubu,1998,217,14,1,,232,22,285,,,,307,239,299,1,,,539,7519,22944,3617,,34080,283,2849,,,,3132,7802,25793,3617,,,37212
Hokuriku,1998,159,8,2,,169,5,67,1,,,73,164,75,3,,,242,2667,4612,2057,,9336,23,423,165,,,610,2689,5035,2222,,,9946
Kansai,1998,154,25,3,,182,1,286,,,2,289,155,311,3,,2,471,8744,20890,9768,,39402,2,3945,,,67,4014,8746,24835,9768,,67,43416
Chugoku,1998,139,14,1,,154,2,243,,,,245,141,257,1,,,399,3063,10960,1280,,15303,6,4161,,,,4166,3068,15121,1280,,,19469
Shikoku,1998,84,7,1,,92,1,100,,,,101,85,107,1,,,193,1575,3171,2022,,6768,1,1417,,,,1418,1576,4588,2022,,,8186
Kyushu,1998,171,55,2,5,233,28,261,,1,,290,199,316,2,6,,523,2807,15394,5258,208,23667,211,2402,,3,,2615,3018,17796,5258,211,,26282
Okinawa,1998,,20,,,20,2,13,,3,,18,2,33,,3,,38,,1757,,,1757,31,53,,4,,88,31,1810,,4,,1845
Hokkaido,1997,85,12,1,1,99,11,114,,1,,126,96,126,1,2,,225,1506,3699,1158,50,6412,63,1432,,1,,1496,1569,5130,1158,51,,7909
Tohoku,1997,286,16,1,5,308,42,196,,2,,240,328,212,1,7,,548,6677,13726,1349,236,21988,652,1789,,33,,2446,7302,15514,1349,269,,24434
Tokyo,1997,271,29,5,,305,18,419,,,1,438,289,448,5,,1,743,9284,34689,18574,,62547,142,7062,,,1,7205,9426,41751,18574,,1,69752
Chubu,1997,216,13,1,,230,22,251,,,,273,238,264,1,,,503,7516,21483,3617,,32616,283,2666,,,,2949,7799,24149,3617,,,35565
Hokuriku,1997,160,8,2,,170,5,59,1,,2,65,165,67,3,,,235,2668,3912,2057,,8637,23,398,165,,,586,2690,4311,2222,,,9223
Kansai,1997,153,24,3,,180,1,271,,1,,275,154,295,3,1,2,455,8017,20877,9768,,38662,2,3195,,,2,3201,8018,24072,9768,,2,41862
Chugoku,1997,138,13,1,,152,2,222,,,,224,140,235,1,,,376,3060,9518,1280,,13858,6,3914,,,,3919,3056,13431,1280,,,17777
Shikoku,1997,84,7,1,,92,1,100,,,,101,85,107,1,,,193,1573,3614,2022,,7209,1,1419,,,,1420,1574,5033,2022,,,8629
Kyushu,1997,171,56,2,5,234,28,222,,1,,251,199,278,2,6,,485,2806,14646,5258,208,22918,211,2355,,3,,2569,3017,17002,5258,211,,25488
Okinawa,1997,,20,,,20,1,12,,,,13,1,32,,,,33,,1757,,,1757,1,51,,,,52,1,1808,,,,1809
Hokkaido,1996,84,12,1,1,98,11,110,,1,,122,95,122,1,2,,220,1498,3263,1158,50,5968,63,1410,,1,,1474,1561,4672,1158,51,,7442
Tohoku,1996,286,15,1,5,307,42,178,,2,,222,328,193,1,7,,529,6676,12726,1349,236,20987,625,1648,,33,,2305,7301,14373,1349,269,,23293
Tokyo,1996,266,29,5,,300,18,378,,,2,398,284,407,5,,2,698,9235,33285,17218,,59739,142,6665,,,5,6812,9377,39950,17218,,5,66551
Chubu,1996,216,13,1,,230,22,241,,,,263,238,254,1,,,493,7515,20649,3617,,31780,283,2516,,,,2799,7798,23164,3617,,,34579
Hokuriku,1996,160,8,2,,170,5,51,1,,,57,165,59,3,,,227,2668,3912,2057,,8637,23,378,165,,,565,2690,4290,2222,,,9202
Kansai,1996,154,24,3,,181,1,248,,1,3,253,155,272,3,1,3,434,8019,20877,9768,,38664,2,2780,,,7,2790,8021,23657,9768,,7,41454
Chugoku,1996,137,13,1,,151,2,212,,,,214,139,225,1,,,365,3061,9518,1280,,13859,6,3813,,,,3819,3066,13331,1280,,,17677
Shikoku,1996,84,7,1,,92,1,101,,,,102,85,108,1,,,194,1573,3634,2022,,7229,1,1379,,,,1380,1574,5013,2022,,,8609
Kyushu,1996,172,56,2,5,235,28,210,,1,,239,200,266,2,6,,474,2810,13634,4078,208,20729,208,2195,,3,,2406,3018,15829,4078,211,,23135
Okinawa,1996,,21,,,21,1,11,,,,12,1,32,,,,33,,1746,,,1746,1,48,,,,49,1,1794,,,,1795
Hokkaido,1995,83,12,1,1,97,14,127,,1,,142,97,139,1,2,,239,1495,3262,1158,50,5964,66,1416,,1,,1482,1560,4677,1158,51,,7447
Tohoku,1995,284,15,1,5,305,53,249,,2,,304,337,264,1,7,,609,6070,12725,1349,235,20380,632,1636,,33,,2301,6703,14361,1349,268,,22681
Tokyo,1995,266,28,5,,299,18,543,,,2,563,284,571,5,,2,862,9225,31857,15862,,56944,142,6743,,,5,6890,9367,38600,15862,,5,63834
Chubu,1995,214,13,1,,228,24,305,,,,329,238,318,1,,,557,7477,18691,3617,,29784,284,2381,,,,2665,7761,21071,3617,,,32449
Hokuriku,1995,159,8,2,,169,9,61,1,,,71,168,69,3,,,240,2666,3912,2057,,8635,25,362,165,,,552,2691,4274,2222,,,9187
Kansai,1995,154,24,3,,181,3,328,,1,5,337,157,352,3,1,5,518,8039,20207,9768,,38014,3,2605,,1,8,2617,8042,22812,9768,1,8,40631
Chugoku,1995,136,13,1,,150,6,309,,,,315,142,322,1,,,465,2758,9514,1280,,13552,8,3777,,,,3785,2766,13291,1280,,,17337
Shikoku,1995,84,7,1,,92,3,123,,,,126,87,130,1,,,218,1573,3634,2022,,7228,2,1304,,,,1307,1575,4938,2022,,,8535
Kyushu,1995,169,56,2,4,231,32,293,,1,,326,201,349,2,5,,557,2779,13629,4078,183,20669,210,2180,,3,,2393,2989,15809,4078,186,,23062
Okinawa,1995,,21,,,21,1,24,,,,25,1,45,,,,46,,1773,,,1773,1,58,,,,59,1,1831,,,,1832
Hokkaido,1994,83,12,1,1,97,14,117,,1,,132,97,129,1,2,,229,1494,3262,1158,50,5964,66,1389,,1,,1456,1560,4651,1158,51,,7420
Tohoku,1994,283,15,1,4,303,53,222,,2,,277,336,237,1,6,,580,6068,11725,524,140,18458,632,1513,,33,,2178,6701,13238,524,173,,20636
Tokyo,1994,267,34,5,,306,18,510,,,1,529,285,544,5,,1,835,8930,32262,15862,,57055,142,6502,,,3,6647,9072,38765,15862,,3,63702
Chubu,1994,211,13,1,,225,24,280,,,,304,235,293,1,,,529,6925,18383,3617,,28924,284,2282,,,,2566,7209,20665,3617,,,31491
Hokuriku,1994,158,8,2,,168,9,59,1,,,69,167,67,3,,,237,2661,3912,2057,,8630,25,360,165,,,550,2686,4272,2222,,,9180
Kansai,1994,153,24,3,,180,3,309,,0,3,315,156,333,3,0,3,495,7693,19537,9768,,36998,3,2391,,1,3,2398,7697,21928,9768,1,3,39396
Chugoku,1994,133,13,1,,147,6,286,,,,292,139,299,1,,,439,2435,9018,1280,,12732,8,3725,,,,3732,2442,12742,1280,,,16465
Shikoku,1994,84,7,1,,92,3,114,,,,117,87,121,1,,,209,1572,3634,2022,,7227,2,1281,,,,1283,1574,4915,2022,,,8511
Kyushu,1994,169,55,2,3,229,32,274,,1,,307,201,329,2,4,,536,2780,12923,4078,153,19934,210,2128,,3,,2341,2990,15051,4078,156,,22275
Okinawa,1994,,21,,,21,1,24,,,,25,1,45,,,,46,,1764,,,1764,1,58,,,,58,1,1822,,,,1823
Hokkaido,1993,80,12,1,1,94,14,113,,1,,128,94,125,1,2,,222,1474,3260,1158,50,5942,66,1305,,1,,1372,1539,4566,1158,51,,7314
Tohoku,1993,282,14,1,3,300,53,197,,2,,252,335,211,1,5,,552,6048,10115,524,90,16778,632,1474,,33,,2140,6680,11590,524,123,,18917
Tokyo,1993,266,34,5,,305,18,467,,,1,486,284,501,5,,1,791,8329,32134,14762,,55225,142,6206,,,7,6355,8471,38340,14762,,7,61580
Chubu,1993,209,13,1,,223,24,267,,,,291,233,280,1,,,514,5923,18075,3617,,27614,284,2258,,,,2542,6207,20332,3617,,,30157
Hokuriku,1993,158,7,2,,167,8,55,1,,,64,166,62,3,,,231,2660,3412,2057,,8130,25,341,165,,,530,2685,3753,2222,,,8660
Kansai,1993,153,24,3,,180,3,290,,,,293,156,314,3,,,473,7372,19537,9768,,36677,3,2298,,,,2301,7376,21835,9768,,,38979
Chugoku,1993,133,13,1,,147,6,256,,,,262,139,269,1,,,409,2434,8948,1280,,12662,8,3677,,,,3685,2442,12625,1280,,,16347
Shikoku,1993,84,7,1,,92,3,106,,,,109,87,113,1,,,201,1572,3634,1132,,6337,2,1271,,,,1273,1574,4905,1132,,,7610
Kyushu,1993,169,55,2,2,228,31,244,,1,,276,200,299,2,3,,504,2780,12479,4078,123,19460,209,2024,,3,,2236,2989,14503,4078,126,,21696
Okinawa,1993,,22,,,22,1,23,,,,24,1,45,,,,46,,1602,,,1602,1,51,,,,52,1,1653,,,,1654
Hokkaido,1992,80,12,1,1,94,16,111,,,,127,96,123,1,1,,221,1374,3259,1158,50,5841,71,1220,,,,1291,1445,4479,1158,50,,7132
Tohoku,1992,285,13,1,2,301,52,180,,2,,234,337,193,1,4,,535,5592,9515,524,63,15694,631,1430,,32,,2092,6223,10945,524,94,,17786
Tokyo,1992,266,34,5,,305,18,429,,,1,448,284,463,5,,1,753,8822,32133,13662,,54617,142,5496,,,11,5649,8964,37629,13662,,11,60266
Chubu,1992,208,13,1,,222,24,255,,,,279,232,268,1,,,501,5875,17375,2480,,25730,284,2225,,,,2510,6159,19600,2480,,,28239
Hokuriku,1992,156,7,1,,164,9,52,1,,,62,165,59,2,,,226,2643,3412,1517,,7572,32,318,165,,,514,2675,3730,1682,,,8087
Kansai,1992,151,23,3,,177,3,276,,,,279,154,299,3,,,456,7037,19497,9768,,36302,3,2194,,,,2197,7040,21691,9768,,,38499
Chugoku,1992,133,14,1,,148,6,246,,,,252,139,260,1,,,400,2434,8754,1280,,12468,8,3613,,,,3621,2442,12367,1280,,,16090
Shikoku,1992,84,7,1,,92,3,96,,,,99,87,103,1,,,191,1571,3634,1132,,6337,2,1251,,,,1253,1573,4884,1132,,,7590
Kyushu,1992,170,55,2,2,229,31,222,,1,,254,201,277,2,3,,483,2792,12018,2898,123,17831,209,1910,,3,,2122,3001,13928,2898,126,,19953
Okinawa,1992,,20,,,20,1,22,,,,23,1,42,,,,43,,1442,,,1442,1,49,,,,50,1,1491,,,,1492
Hokkaido,1991,80,13,1,,94,16,103,,,,119,96,116,1,,,213,1359,3309,1158,,5826,71,1192,,,,1264,1431,4502,1158,,,7090
Tohoku,1991,282,14,1,,297,51,175,,,,226,333,189,1,,,523,5551,9568,524,,15643,630,1444,,,,2073,6181,11011,524,,,17716
Tokyo,1991,265,31,5,,301,17,401,,,1,419,282,432,5,,1,720,8820,30652,13662,,53134,141,4927,,,11,5079,8961,35579,13662,,11,58213
Chubu,1991,211,13,1,,225,24,240,,,,264,235,253,1,,,489,5865,16675,2480,,25019,284,2113,,,,2398,6149,18788,2480,,,27417
Hokuriku,1991,156,7,1,,164,9,50,1,,,60,165,57,2,,,224,2643,3412,1517,,7572,32,298,165,,,495,2675,3710,1682,,,8067
Kansai,1991,150,23,3,,176,3,260,,,,263,153,283,3,,,439,6716,19497,8588,,34801,3,2147,,,,2150,6719,21644,8588,,,36951
Chugoku,1991,133,14,1,,148,7,233,,,,240,140,247,1,,,388,2434,8424,1280,,12139,8,3572,,,,3581,2443,11997,1280,,,15719
Shikoku,1991,84,7,1,,92,3,93,,1,,97,87,100,1,1,,189,1571,3634,1132,,6337,2,1160,,1,,1163,1573,4794,1132,1,,7500
Kyushu,1991,168,57,2,,227,31,211,,,,242,199,268,2,,,469,2775,12125,2898,,17798,209,1927,,,,2136,2985,14051,2898,,,19934
Okinawa,1991,,19,,,19,1,19,,,,20,1,38,,,,39,,1329,,,1329,1,47,,,,48,1,1376,,,,1377
Hokkaido,1990,79,14,1,,94,15,95,,,,110,94,109,1,,,204,1355,3329,579,,5263,71,1227,,,,1298,1425,4557,579,,,6561
Tohoku,1990,278,14,1,,293,49,156,,,,205,327,170,1,,,498,5489,9568,524,,15581,626,1384,,,,2009,6115,10951,524,,,17590
Tokyo,1990,265,32,5,,302,17,374,,,,391,282,406,5,,,693,7616,31001,13662,,52279,141,4682,,,,4822,7757,35683,13662,,,57101
Chubu,1990,208,12,1,,221,26,214,,,,240,234,226,1,,,461,5844,15975,2480,,24299,286,2033,,,,2319,6130,18008,2480,,,26618
Hokuriku,1990,157,6,1,,164,9,48,1,,,58,166,54,2,,,222,2645,2912,1517,,7074,32,294,165,,,490,2676,3206,1682,,,7564
Kansai,1990,151,23,3,,177,2,239,,,,241,153,262,3,,,418,6716,18897,7408,,33021,2,2045,,,,2048,6718,20942,7408,,,35069
Chugoku,1990,131,14,1,,146,7,218,,,,225,138,232,1,,,371,2442,8499,1280,,12222,8,3519,,,,3527,2451,12018,1280,,,15749
Shikoku,1990,84,7,1,,92,3,87,,1,,91,87,94,1,1,,183,1571,3634,1132,,6337,2,1114,,1,,1117,1573,4747,1132,1,,7454
Kyushu,1990,169,57,2,,228,31,190,,,,221,200,247,2,,,449,2775,11997,2898,,17670,209,1770,,,,1979,2984,13767,2898,,,19649
Okinawa,1990,,19,,,19,1,18,,,,19,1,37,,,,38,,1327,,,1327,1,47,,,,48,1,1374,,,,1375
Hokkaido,1989,79,15,1,,95,15,81,,,,96,94,96,1,,,191,1355,3454,579,,5387,71,1202,,,,1273,1425,4656,579,,,6660
Tohoku,1989,274,15,1,,290,46,134,,,,180,320,149,1,,,470,5381,9568,524,,15473,413,1238,,,,1651,5794,10806,524,,,17123
Tokyo,1989,264,32,5,,301,17,342,,,,359,281,374,5,,,660,7611,29993,11462,,49066,141,4403,,,,4544,7752,34396,11462,,,53610
Chubu,1989,207,12,1,,220,25,187,,,,212,232,199,1,,,432,5825,15275,2480,,23580,283,1820,,,,2104,6109,17095,2480,,,25683
Hokuriku,1989,157,6,1,,164,9,38,1,,,48,166,44,2,,,212,2643,2912,1517,,7072,32,242,165,,,439,2674,3154,1682,,,7511
Kansai,1989,150,22,3,,175,2,203,,,,205,152,225,3,,,380,6711,17697,7408,,31816,2,1884,,,,1886,6713,19581,7408,,,33702
Chugoku,1989,130,13,1,,144,6,190,,,,196,136,203,1,,,340,2442,8274,1280,,11996,8,3323,,,,3330,2449,11597,1280,,,15326
Shikoku,1989,84,7,1,,92,3,78,,1,,82,87,85,1,1,,174,1571,3634,1132,,6336,2,1083,,1,,1086,1573,4717,1132,1,,7423
Kyushu,1989,169,55,2,,226,29,163,,,,192,198,218,2,,,418,2784,10353,2898,,16035,207,1689,,,,1896,2991,12042,2898,,,17931
Okinawa,1989,,19,,,19,1,18,,,,19,1,37,,,,38,,1214,,,1214,1,47,,,,48,1,1261,,,,1262
Hokkaido,1988,77,16,,,93,15,62,,,,77,92,78,,,,170,1344,3579,,,4923,71,1136,,,,1206,1415,4714,,,,6129
Tohoku,1988,271,13,1,,285,45,109,,,,154,316,122,1,,,439,5311,7943,524,,13778,410,1191,,,,1600,5721,9133,524,,,15378
Tokyo,1988,263,33,5,,301,18,295,,,,313,281,328,5,,,614,7595,30618,11462,,49675,142,4181,,,,4323,7737,34799,11426,,,53998
Chubu,1988,206,11,1,,218,25,159,,,,184,231,170,1,,,402,5815,14909,2480,,23204,283,1528,,,,1811,6099,16437,2480,,,25016
Hokuriku,1988,154,6,1,,161,8,28,1,,,37,162,34,2,,,198,2622,2912,1517,,7051,31,171,165,,,367,2653,3083,1682,,,7418
Kansai,1988,150,21,3,,174,2,178,,,,180,152,199,3,,,354,6683,16947,7408,,31038,2,1761,,,,1764,6686,18708,7408,,,32802
Chugoku,1988,128,13,1,,142,6,156,,,,162,134,169,1,,,304,2434,8274,1280,,11989,8,3063,,,,3071,2442,11337,1280,,,15059
Shikoku,1988,84,7,1,,92,4,56,,,,60,88,63,1,,,152,1549,3634,1132,,6315,3,914,,,,917,1552,4547,1132,,,7232
Kyushu,1988,168,54,2,,224,29,127,,,,156,197,181,2,,,380,2780,9965,2898,,15642,207,1574,,,,1781,2986,11539,2898,,,17423
Okinawa,1988,,18,,,18,1,17,,,,18,1,35,,,,36,,1207,,,1207,1,46,,,,47,1,1253,,,,1254
Hokkaido,1987,77,16,,,93,15,53,,,,68,92,69,,,,161,1343,3854,,,5197,71,1115,,,,1186,1414,4969,,,,6383
Tohoku,1987,271,14,1,,286,44,103,,,,147,315,117,1,,,433,4805,7933,524,,13262,409,1120,,,,1529,5214,9053,524,,,14791
Tokyo,1987,261,33,5,,299,17,244,,,,261,278,277,5,,,560,7240,29947,11462,,48649,141,4033,,,,4173,7379,33980,11463,,,52997
Chubu,1987,204,11,1,,216,25,140,,,,165,229,151,1,,,381,5784,14466,2480,,22730,283,1481,,,,1764,6067,15947,2480,,,24494
Hokuriku,1987,152,6,1,,159,8,22,1,,,31,160,28,2,,,190,2615,2912,1517,,7044,31,129,165,,,325,2646,3041,1682,,,7369
Kansai,1987,152,21,3,,176,2,160,,,,162,154,181,3,,,338,6695,16947,7408,,31049,2,1668,,,,1670,6697,18615,7408,,,32719
Chugoku,1987,125,14,1,,140,6,113,,,,119,131,127,1,,,259,2420,8819,460,,11700,8,2857,,,,2865,2428,11676,460,,,14565
Shikoku,1987,84,7,1,,92,3,40,,,,43,87,47,1,,,135,1549,3634,1132,,6315,2,825,,,,827,1551,4459,1132,,,7142
Kyushu,1987,168,58,2,,228,31,109,,,,140,199,167,2,,,368,2779,10190,2898,,15867,208,1502,,,,1710,2987,11692,2898,,,17577
Okinawa,1987,,18,,,18,1,15,,,,16,1,33,,,,34,,1200,,,1200,1,44,,,,45,1,1244,,,,1245
Hokkaido,1986,76,16,,,92,15,45,,,,60,91,61,,,,152,1328,4179,,,5506,71,1045,,,,1116,1398,5224,,,,6622
Tohoku,1986,270,16,1,,287,44,85,,,,129,314,101,1,,,416,4803,9783,524,,15110,409,949,,,,1358,5212,10732,524,,,16468
Tokyo,1986,262,32,5,,299,17,222,,,,239,279,254,5,,,538,7237,27232,10362,,44831,141,3699,,,,3840,7378,30931,10362,,,48671
Chubu,1986,207,12,1,,220,25,118,,,,143,232,130,1,,,363,5756,13922,1380,,21059,282,1439,,,,1721,6038,15361,1380,,,22780
Hokuriku,1986,152,6,1,,159,7,21,1,,,29,159,27,2,,,188,2612,2912,1517,,7041,30,186,165,,,381,2642,3098,1682,,,7422
Kansai,1986,149,20,3,,172,3,129,,,,132,152,149,3,,,304,6661,15747,7408,,29816,3,1622,,,,1625,6664,17369,7408,,,31441
Chugoku,1986,127,16,1,,144,5,96,,,,101,132,112,1,,,245,2122,8951,460,,11534,7,2751,,,,2759,2130,11703,460,,,14292
Shikoku,1986,84,7,1,,92,3,31,,,,34,87,38,1,,,126,1549,3790,1132,,6471,3,784,,,,787,1551,4573,1133,,,7257
Kyushu,1986,168,57,2,,227,31,90,,,,121,199,147,2,,,348,2475,10400,2898,,15772,208,1628,,,,1836,2683,12028,2898,,,17609
Okinawa,1986,,18,,,18,1,17,,,,18,1,35,,,,36,,1200,,,1200,1,46,,,,47,1,1246,,,,1247
Hokkaido,1985,75,16,,,91,14,44,,,,58,89,60,,,,149,1308,4429,,,5736,70,1012,,,,1082,1378,5440,,,,6818
Tohoku,1985,268,15,1,,284,43,58,,,,101,311,73,1,,,385,4781,9783,524,,15088,403,938,,,,1341,5183,10721,524,,,16429
Tokyo,1985,261,32,5,,298,17,213,,,,230,278,245,5,,,528,6630,26559,10362,,43551,141,3627,,,,3768,6771,30185,10362,,,47319
Chubu,1985,206,13,1,,220,24,112,,,,136,230,125,1,,,356,5749,14072,1380,,21201,279,1395,,,,1674,6027,15468,1380,,,22875
Hokuriku,1985,149,6,1,,156,7,22,1,,,30,156,28,2,,,186,2554,2912,357,,5823,30,187,165,,,383,2584,3099,522,,,6206
Kansai,1985,148,20,3,,171,2,122,,,,124,150,142,3,,,295,6630,15747,7408,,29785,2,1593,,,,1595,6633,17340,7408,,,31380
Chugoku,1985,127,15,1,,143,4,86,,,,90,131,101,1,,,233,1825,7951,460,,10236,7,2670,,,,2676,1832,10621,460,,,12913
Shikoku,1985,84,7,1,,92,3,28,,,,31,87,35,1,,,123,1548,3790,1132,,6470,3,756,,,,758,1551,4545,1132,,,7228
Kyushu,1985,166,58,2,,226,30,85,,,,115,196,143,2,,,341,2169,10395,2898,,15462,207,1540,,,,1747,2377,11935,2898,,,17210
Okinawa,1985,,18,,,18,1,17,,,,18,1,35,,,,36,,976,,,976,1,45,,,,46,1,1021,,,,1022
Hokkaido,1984,73,17,,,90,14,40,,,,54,87,57,,,,144,1266,3829,,,5095,70,1025,,,,1095,1336,4854,,,,6190
Tohoku,1984,266,15,1,,282,41,63,,,,104,307,78,1,,,386,4772,9238,524,,14534,399,1022,,,,1421,5171,10260,524,,,15955
Tokyo,1984,258,31,4,,293,17,205,,,,222,275,236,4,,,515,6603,26304,8162,,41068,141,3568,,,,3709,6743,29872,8162,,,44777
Chubu,1984,201,14,1,,216,24,105,,,,129,225,119,1,,,345,5696,14102,1380,,21178,279,1341,,,,1619,5974,15443,1380,,,22797
Hokuriku,1984,147,6,1,,154,7,21,1,,,29,154,27,2,,,183,2546,2912,357,,5815,30,180,165,,,375,2577,3092,522,,,6190
Kansai,1984,146,20,3,,169,3,108,,,,111,149,128,3,,,280,6504,15747,6538,,28789,3,1566,,,,1569,6507,17313,6538,,,30358
Chugoku,1984,125,16,1,,142,4,81,,,,85,129,97,1,,,227,1803,8083,460,,10347,7,2685,,,,2692,1810,10769,460,,,13039
Shikoku,1984,87,8,1,,96,2,25,,,,27,89,33,1,,,123,1547,3790,1132,,6468,2,720,,,,722,1548,4510,1132,,,7190
Kyushu,1984,165,58,2,,225,30,73,,,,103,195,131,2,,,328,2092,9968,2008,,14068,207,1498,,,,1705,2299,11466,2008,,,15773
Okinawa,1984,,18,,,18,1,18,,,,19,1,36,,,,37,,976,,,976,1,44,,,,45,1,1020,,,,1021
Hokkaido,1983,74,17,,,91,14,40,,,,54,88,57,,,,145,1267,3829,,,5096,70,1025,,,,1095,1337,4854,,,,6191
Tohoku,1983,263,15,,,278,40,58,,,,98,303,73,,,,376,4734,8818,,,13552,389,1123,,,,1512,5123,9941,,,,15064
Tokyo,1983,256,32,4,,292,17,193,,,,210,273,225,4,,,502,6598,27031,8162,,41791,141,3536,,,,3676,6739,30566,8162,,,45467
Chubu,1983,201,14,1,,216,24,97,,,,121,225,111,1,,,337,5694,14102,1380,,21177,279,1327,,,,1606,5973,15430,1380,,,22782
Hokuriku,1983,143,7,1,,151,7,22,1,,,30,150,29,2,,,181,2501,2912,357,,5771,30,194,165,,,390,2532,3106,522,,,6160
Kansai,1983,147,19,3,,169,2,105,,,,107,149,124,3,,,276,6505,13947,5668,,26120,2,1573,,,,1575,6507,15520,5668,,,27695
Chugoku,1983,121,17,1,,139,4,80,,,,84,125,97,1,,,223,1799,8213,460,,10473,7,2673,,,,2679,1806,10886,460,,,13152
Shikoku,1983,86,8,1,,95,2,25,,,,27,88,33,1,,,122,1225,3790,1132,,6146,2,711,,,,712,1226,4500,1132,,,6858
Kyushu,1983,163,58,1,,222,29,72,,,,101,192,130,1,,,323,2076,9964,1118,,13158,206,1480,,,,1686,2282,11444,1118,,,14844
