Company,Year_term,Number of sites_Electric power company's own_Hydroelectric,Number of sites_Electric power company's own_Thermal power,Number of sites_Electric power company's own_Nuclear power,Number of sites_Electric power company's own_Renewable energy,Number of sites_Electric power company's own_Total,Number of sites_Privately-owned_Hydroelectric,Number of sites_Privately-owned_Thermal power,Number of sites_Privately-owned_Nuclear power,Number of sites_Privately-owned_Renewable energy,Number of sites_Privately-owned_Other power sources,Number of sites_Privately-owned_Total,Number of sites_Total of EPCo and Privately-owned_Hydroelectric,Number of sites_Total of EPCo and Privately-owned_Thermal power,Number of sites_Total of EPCo and Privately-owned_Nuclear power,Number of sites_Total of EPCo and Privately-owned_Renewable energy,Number of sites_Total of EPCo and Privately-owned_Other power sources,Number of sites_Total of EPCo and Privately-owned_Total,Capacity in total_Electric power company's own_Hydroelectric (MW),Capacity in total_Electric power company's own_Thermal power (MW),Capacity in total_Electric power company's own_Nuclear power (MW),Capacity in total_Electric power company's own_Renewable energy (MW),Capacity in total_Electric power company's own_Total (MW),Capacity in total_Privately-owned_Hydroelectric (MW),Capacity in total_Privately-owned_Thermal power (MW),Capacity in total_Privately-owned_Nuclear power (MW),Capacity in total_Privately-owned_Renewable energy (MW),Capacity in total_Privately-owned_Other power sources (MW),Capacity in total_Privately-owned_Total (MW),Capacity in total_Total of EPCos and Privately-owned_Hydroelectric (MW),Capacity in total_Total of EPCos and Privately-owned_Thermal power (MW),Capacity in total_Total of EPCos and Privately-owned_Nuclear power (MW),Capacity in total_Total of EPCos and Privately-owned_Renewable energy (MW),Capacity in total_Total of EPCos and Privately-owned_Other power sources (MW),Capacity in total_Total of EPCos and Privately-owned_Total (MW)
Kansai,1978,145,18,3,,166,3,84,,,,87,148,102,3,,,253,5900,12572,4493,,22965,2,1378,,,,1380,5902,13950,4493,,,24345
Chugoku,1978,115,18,1,,134,4,76,,,,80,119,94,1,,,214,1818,6488,460,,8766,7,2523,,,,2530,1824,9011,460,,,11295
Shikoku,1978,86,9,1,,96,1,20,,,,21,87,29,1,,,117,871,3790,566,,5227,1,606,,,,607,872,4396,566,,,5834
Kyushu,1978,162,46,1,,209,27,67,,,,94,189,113,1,,,303,2027,7536,559,,10122,171,1429,,,,1600,2199,8965,559,,,11723
Okinawa,1978,,20,,,20,,14,,,,14,,34,,,,34,,859,,,859,,42,,,,42,,901,,,,901
Hokkaido,1977,70,14,,,84,14,32,,,,46,84,46,,,,130,1063,2255,,,3318,70,940,,,,1010,1133,3195,,,,4328
Tohoku,1977,255,14,,,269,38,46,,,,84,293,60,,,,353,2486,6480,,,8965,384,1201,,,,1585,2870,7681,,,,10550
Tokyo,1977,248,31,2,,281,17,133,1,,,151,265,164,3,,,432,6025,23571,2194,,31790,141,2810,13,,,2963,6166,26381,2207,,,34753
Chubu,1977,193,14,1,,208,22,62,,,,84,215,76,1,,,292,3899,11087,540,,15526,277,1054,,,,1331,4176,12141,540,,,16857
Hokuriku,1977,134,6,1,,141,6,16,,,,22,140,22,1,,,163,1597,2212,357,,4166,18,201,,,,219,1615,2412,357,,,4385
Kansai,1977,142,18,2,,162,3,81,,,,84,145,99,2,,,246,5266,12572,3318,,21156,2,1321,,,,1322,5268,13893,3318,,,22478
Chugoku,1977,115,18,1,,134,4,78,,,,82,119,96,1,,,216,1818,6488,460,,8766,7,2478,,,,2484,1825,8966,460,,,11250
Shikoku,1977,85,9,1,,95,1,20,,,,21,86,29,1,,,116,859,3790,566,,5215,1,606,,,,607,860,4396,566,,,5822
Kyushu,1977,160,39,1,,200,27,67,,,,94,187,106,1,,,294,2017,6920,559,,9498,171,1491,,,,1662,2188,8411,559,,,11158
Okinawa,1977,,20,,,20,,14,,,,14,,34,,,,34,,724,,,724,,42,,,,42,,766,,,,766
Hokkaido,1976,70,15,,,85,14,32,,,,46,84,47,,,,131,1063,2130,,,3193,70,937,,,,1008,1133,3067,,,,4201
Tohoku,1976,250,11,,,261,39,46,,,,85,289,57,,,,346,2473,4810,,,7283,375,1201,,,,1576,2848,6011,,,,8859
Tokyo,1976,252,32,2,,286,17,129,1,,,147,269,161,3,,,433,5995,23689,2194,,31878,141,2659,13,,,2812,6136,26348,2207,,,34690
Chubu,1976,190,14,1,,205,11,57,,,,68,201,71,1,,,273,3883,10387,540,,14811,277,1050,,,,1327,4160,11437,540,,,16138
Hokuriku,1976,132,6,1,,139,2,15,,,,17,134,21,1,,,156,1583,2212,357,,4152,7,200,,,,207,1590,2412,357,,,4359
Kansai,1976,145,17,2,,164,3,78,,,,81,148,95,2,,,245,5226,11372,3318,,19916,2,1319,,,,1320,5228,12691,3318,,,21236
Chugoku,1976,117,18,1,,136,4,77,,,,81,121,95,1,,,217,1819,6088,460,,8368,7,2467,,,,2474,1826,8555,460,,,10842
Shikoku,1976,83,9,,,92,1,20,,,,21,84,29,,,,113,847,3791,,,4638,1,618,,,,619,848,4409,,,,5257
Kyushu,1976,160,39,1,,200,27,67,,,,94,187,106,1,,,294,2017,6269,559,,8846,171,1526,,,,1696,2188,7795,559,,,10542
Okinawa,1976,,20,,,20,,14,,,,14,,34,,,,34,,710,,,710,,41,,,,41,,751,,,,751
Hokkaido,1975,70,15,,,85,15,31,,,,46,85,46,,,,131,1063,2130,,,3193,70,940,,,,1010,1133,3070,,,,4203
Tohoku,1975,255,12,,,267,40,44,,,,84,295,56,,,,351,2444,5528,,,7972,375,1201,,,,1576,2819,6729,,,,9548
Tokyo,1975,246,30,2,,278,20,124,1,,,145,266,154,3,,,423,5940,21969,2194,,30103,149,2345,13,,,2507,6089,24314,2207,,,32610
Chubu,1975,190,14,1,,205,25,54,,,,79,215,68,1,,,284,3531,10387,540,,14458,287,1023,,,,1310,3818,11410,540,,,15768
Hokuriku,1975,131,6,1,,138,3,16,,,,19,134,22,1,,,157,1523,2212,357,,4092,7,202,,,,209,1530,2414,357,,,4301
Kansai,1975,144,17,2,,163,4,81,,,,85,148,98,2,,,248,5222,11372,2492,,19086,2,1337,,,,1339,5224,12709,2492,,,20425
Chugoku,1975,114,17,1,,132,5,79,,,,84,119,96,1,,,216,1195,5947,460,,7602,7,2302,,,,2309,1202,8249,460,,,9911
Shikoku,1975,86,9,,,95,1,19,,,,20,87,28,,,,115,850,3340,,,4190,1,590,,,,591,851,3930,,,,4781
Kyushu,1975,160,36,1,,197,27,63,,,,90,187,99,1,,,287,2017,5763,559,,8338,171,1483,,,,1654,2188,7246,559,,,9992
Okinawa,1975,,21,,,21,,8,,,,8,,29,,,,29,,705,,,705,,42,,,,42,,747,,,,747
Hokkaido,1974,70,15,,,85,15,31,,,,46,85,46,,,,131,1043,2129,,,3172,69,885,,,,954,1112,3014,,,,4126
Tohoku,1974,257,11,,,268,40,45,,,,85,297,56,,,,353,2382,5168,,,7550,375,1173,,,,1548,2757,6341,,,,9098
Tokyo,1974,245,30,2,,277,20,125,1,,,146,265,155,3,,,423,5922,19964,1410,,27296,149,2154,13,,,2316,6071,22118,1423,,,29612
Chubu,1974,192,14,,,206,25,52,,,,77,217,66,,,,283,3505,9887,,,13392,287,895,,,,1182,3792,10782,,,,14574
Hokuriku,1974,132,6,1,,139,3,16,,,,19,135,22,1,,,158,1524,2212,357,,4093,7,212,,,,219,1531,2424,357,,,4312
Kansai,1974,144,18,2,,164,4,80,,,,84,148,98,2,,,248,4600,11738,1666,,18004,2,1292,,,,1294,4602,13030,1666,,,19298
Chugoku,1974,114,15,1,,130,5,77,,,,82,119,92,1,,,212,1151,5658,460,,7269,7,2180,,,,2187,1158,7838,460,,,9456
Shikoku,1974,86,9,,,95,1,19,,,,20,87,28,,,,115,834,2890,,,3724,1,574,,,,575,835,3464,,,,4299
Kyushu,1974,161,34,,,195,27,63,,,,90,188,97,,,,285,1517,5752,,,7269,171,1295,,,,1466,1688,7047,,,,8735
Okinawa,1974,,24,,,24,,,,,,,,24,,,,24,,697,,,697,,,,,,,,697,,,,697
Hokkaido,1973,69,15,,,84,14,30,,,,44,83,45,,,,128,843,2128,,,2971,69,797,,,,866,912,2925,,,,3837
Tohoku,1973,257,10,,,267,41,46,,,,87,298,56,,,,354,2382,4082,,,6464,376,1249,,,,1624,2758,5331,,,,8088
Tokyo,1973,244,29,2,,275,18,116,1,,,135,262,145,3,,,410,5907,19079,626,,25612,149,2274,13,,,2436,6056,21353,639,,,28048
Chubu,1973,191,14,,,205,26,42,,,,68,217,56,,,,273,3505,9387,,,12892,287,784,,,,1071,3792,10171,,,,13963
Hokuriku,1973,132,5,1,,138,3,17,,,,20,135,22,1,,,158,1524,1712,357,,3593,10,211,,,,220,1534,1923,357,,,3813
Kansai,1973,143,18,1,,162,3,68,,,,71,146,86,1,,,233,3891,11336,840,,16067,2,1117,,,,1119,3893,12453,840,,,17186
Chugoku,1973,113,15,1,,129,3,72,,,,75,116,87,1,,,204,1138,4808,460,,6406,7,2011,,,,2017,1145,6819,460,,,8423
Shikoku,1973,86,9,,,95,1,16,,,,17,87,25,,,,112,812,2352,,,3164,1,399,,,,340,813,2691,,,,3504
Kyushu,1973,159,61,,,220,27,58,,,,85,186,119,,,,305,1517,5724,,,7241,171,1228,,,,1399,1688,6952,,,,8640
Okinawa,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1972,68,13,,,81,15,28,,,,43,83,41,,,,124,843,1608,,,2451,70,718,,,,788,913,2326,,,,3239
Tohoku,1972,261,11,,,272,41,46,,,,87,302,57,,,,359,2328,4202,,,6530,376,1250,,,,1625,2704,5452,,,,8155
Tokyo,1972,243,27,2,,272,18,110,1,,,129,261,137,3,,,401,4992,16683,626,,22301,149,2078,13,,,2240,5141,18761,639,,,24541
Chubu,1972,192,13,,,205,26,39,,,,65,218,52,,,,270,3053,8531,,,11584,287,752,,,,1039,3340,9283,,,,12623
Hokuriku,1972,135,5,1,,141,3,17,,,,20,138,22,1,,,161,1525,1712,357,,3595,10,211,,,,220,1535,1923,357,,,3815
Kansai,1972,138,17,1,,156,3,59,,,,62,141,76,1,,,218,3548,9416,840,,13804,2,1055,,,,1057,3550,10471,840,,,14861
Chugoku,1972,113,15,,,128,3,71,,,,74,116,86,,,,202,1138,4433,,,5571,7,1999,,,,2006,1145,6432,,,,7577
Shikoku,1972,92,9,,,101,1,16,,,,17,93,25,,,,118,801,1902,,,2703,1,339,,,,340,802,2241,,,,3043
Kyushu,1972,156,65,,,221,27,58,,,,85,183,123,,,,306,1435,4609,,,6044,170,1229,,,,1399,1605,5838,,,,7443
Okinawa,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1971,63,12,,,75,16,28,,,,44,79,40,,,,119,782,1374,,,2156,71,704,,,,775,853,2078,,,,2931
Tohoku,1971,263,10,,,273,41,45,,,,86,304,55,,,,359,3056,3464,,,6520,375,1203,,,,1578,3431,4667,,,,8098
Tokyo,1971,255,28,2,,285,18,108,1,,,127,273,136,3,,,412,3805,15668,626,,20099,149,1966,13,,,2128,3954,17634,639,,,22227
Chubu,1971,190,13,,,203,26,39,,,,65,216,52,,,,268,2688,6456,,,9144,287,751,,,,1038,2975,7207,,,,10182
Hokuriku,1971,135,4,1,,140,3,17,,,,20,138,21,1,,,160,1633,1062,357,,3052,10,211,,,,221,1643,1273,357,,,3273
Kansai,1971,141,16,1,,158,3,57,,,,60,144,73,1,,,218,3757,9546,340,,13643,2,958,,,,960,3759,10504,340,,,14603
