Company,Year_term,Specific scale demands (MWh),Total Electricity sales (MWh),Lighting_Meter rate lighting C (kW),Lighting_Temporary power (kW),Lighting_Agricultural power (kW),Lighting_Public street lighting (kW),Lighting_Total Lighting - optional contracs (kW),Lighting_Total Lighting - optional contracs2 (kW),Lighting_Total Lighting (kW),Power_Commercial use power - optional contracts (kW),Power_Commercial use power (kW),Power_Small use power_Low voltage power - optipnal contracts (kW),Power_Small use power_Low voltage power (kW),Power_Small use power_High voltage power A - optinal contracts (kW),Power_Small use power_High voltage power A (kW),Power_Small use power_Total Small use power - optional contracts (kW),Power_Small use power_Total Small use power (kW),Power_High voltage power B - optional contracts (kW),Power_High voltage power B (kW),Power_Other power services_Temporary power (kW),Power_Other power services_Agricultural power (kW),Power_Other power services_Construction power (kW),Power_Other power services_Business use power (kW),Power_Other power services_High voltage power B - optional contracts (kW),Power_Other power services_High voltage power B (kW),Power_Other power services_Commercial use power (kW),Power_Other power services_High voltage power A/B (kW),Power_Other power services_Other power services - optional contracts (kW),Power_Other power services_Total Other power services (kW),Power_Total Power - optional contracts (kW),Power_Total Power (kW),Total of Lighting and Power (kW)
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧電力Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計
Chubu,200710,,,5850969,,,,3169127,3169127,,,,110643,6774016,,,,,,,32393,56028,0,12633,,,,,2085227,2186281,2195870,8960297,
Hokuriku,200710,,,1205319,,,,1121134,1121134,,,,50894,1511784,,,,,,,11429,25474,3766,3416,,,,,280747,324832,331641,1836616,
Kansai,200710,,,3630383,,,,4241734,4241734,,,,,7421626,,,,,,,69954,58834,123,19370,,,,,950208,1098489,950208,8520115,
Chugoku,200710,,,974432,,,,2819562,2819562,,,,,2794032,,,,,,,10476,67172,685,4381,,,,,681648,764362,681648,3558394,
Shikoku,200710,,,712481,,,,1025292,1025292,,,,50291,1840377,,,,,,,7720,69031,115,3426,,,,,629550,709842,679841,2550219,
Kyushu,200710,,,2813138,,,,3623985,3623985,,,,182686,5484542,,,,,,,21848,254255,510,14110,,,,,1070175,1360898,1252861,6845440,
Okinawa,200710,,,,,,,,,,227127,692530,,458588,,,,,,,2494,5920,194,2955,,,692530,216241,39199,959533,295276,1418121,
Hokkaido,200709,,,1159708,,,,927847,927847,,,,19361,1536721,,,,,,,26792,36768,189,4615,,,,,167841,236205,187202,1772926,
Tohoku,200709,,,2981219,,,,1734886,1734886,,,,59188,4434165,,,,,,,23045,166467,1130,7396,,,,,690583,888621,749771,5322786,
Tokyo,200709,,,15352822,,,,4840027,4840027,,,,,14024990,,,,,,,170542,216310,9029,49398,,,,,1670775,2116053,1670775,16141043,
Chubu,200709,,,5844016,,,,3123432,3123432,,,,109801,6785333,,,,,,,29507,94535,0,12656,,,,,2090589,2227287,2200390,9012620,
Hokuriku,200709,,,1204705,,,,1101260,1101260,,,,50574,1513694,,,,,,,10287,35210,176,3312,,,,,280114,329099,330688,1842793,
Kansai,200709,,,3626089,,,,4195885,4195885,,,,,7434118,,,,,,,71745,126685,137,19345,,,,,953667,1171579,953667,8605697,
Chugoku,200709,,,975273,,,,2786590,2786590,,,,,2800303,,,,,,,10162,92279,685,4380,,,,,684140,791646,684140,3591949,
Shikoku,200709,,,712320,,,,1011638,1011638,,,,49992,1843665,,,,,,,7773,107547,111,3426,,,,,631147,750004,681139,2593669,
Kyushu,200709,,,2811100,,,,3573092,3573092,,,,181807,5490290,,,,,,,22104,322446,406,14074,,,,,1075409,1434439,1257216,6924729,
Okinawa,200709,,,,,,,,,,227072,694735,,458798,,,,,,,2269,5918,162,2973,,,694735,216659,39259,961975,295322,1420773,
Hokkaido,200708,,,1159079,,,,918291,918291,,,,19351,1538062,,,,,,,31103,38012,237,4961,,,,,177815,252128,197166,1790190,
Tohoku,200708,,,2976751,,,,1706068,1706068,,,,58621,4441014,,,,,,,10756,298442,1130,7350,,,,,692047,1009725,750668,5450739,
Tokyo,200708,,,15342872,,,,4762261,4762261,,,,,14039082,,,,,,,174454,458589,9178,49124,,,,,1674892,2366237,1674892,16405319,
Chubu,200708,,,5837568,,,,3077007,3077007,,,,108632,6794437,,,,,,,27891,136623,0,12660,,,,,2096233,2273407,2204865,9067844,
Hokuriku,200708,,,1203310,,,,1085225,1085225,,,,50501,1514939,,,,,,,7180,49151,176,3265,,,,,281089,340861,331590,1855800,
Kansai,200708,,,3618826,,,,4149582,4149582,,,,,7440931,,,,,,,69715,154132,137,19312,,,,,956933,1200229,956933,8641160,
Chugoku,200708,,,975542,,,,2756410,2756410,,,,,2804355,,,,,,,8590,61278,649,4399,,,,,686743,761659,686743,3566014,
Shikoku,200708,,,711887,,,,999991,999991,,,,49478,1845104,,,,,,,7922,122628,111,3426,,,,,632678,766765,682156,2611869,
Kyushu,200708,,,2809053,,,,3527993,3527993,,,,180606,5493758,,,,,,,22249,336939,427,14019,,,,,1080544,1454178,1261150,6947936,
Okinawa,200708,,,,,,,,,,225044,697482,,460133,,,,,,,1439,5923,150,2950,,,697482,216999,39421,964364,293455,1424497,
Hokkaido,200707,,,1158918,,,,908866,908866,,,,19104,1540905,,,,,,,7007,38054,280,5247,,,,,193393,243981,212497,1784886,
Tohoku,200707,,,2972636,,,,1668803,1668803,,,,58237,4446258,,,,,,,9455,299921,1130,7341,,,,,693524,1011371,751761,5457629,
Tokyo,200707,,,15325329,,,,4647608,4647608,,,,,14052158,,,,,,,167011,468314,8568,48839,,,,,1679180,2371911,1679180,16424069,
Chubu,200707,,,5829917,,,,3025563,3025563,,,,108178,6804833,,,,,,,26885,146285,0,12832,,,,,2101418,2287420,2209596,9092253,
Hokuriku,200707,,,1202996,,,,1065902,1065902,,,,50386,1516730,,,,,,,6784,48852,176,3246,,,,,282193,341251,332579,1857981,
Kansai,200707,,,3612874,,,,4093706,4093706,,,,,7447271,,,,,,,66712,151418,137,19301,,,,,959888,1197456,959888,8644727,
Chugoku,200707,,,975227,,,,2718238,2718238,,,,,2807045,,,,,,,8148,59261,575,4378,,,,,689321,761683,689321,3568728,
Shikoku,200707,,,711370,,,,984691,984691,,,,49306,1846132,,,,,,,8120,122957,111,3402,,,,,634220,768810,683526,2614942,
Kyushu,200707,,,2806304,,,,3474931,3474931,,,,179488,5496157,,,,,,,21429,353203,404,14022,,,,,1086338,1475396,1265826,6971553,
Okinawa,200707,,,,,,,,,,222370,689863,,460682,,,,,,,1731,5945,52,2941,,,689863,215634,39583,955749,290841,1416431,
Hokkaido,200706,,,1158933,,,,899852,899852,,,,19208,1541770,,,,,,,6717,38217,341,5787,,,,,289126,340188,308334,1881958,
Tohoku,200706,,,2971404,,,,1643415,1643415,,,,57881,4452560,,,,,,,10632,300209,1492,7367,,,,,695323,1015023,753204,5467583,
Tokyo,200706,,,15316242,,,,4558004,4558004,,,,,14062549,,,,,,,162944,464487,8297,48402,,,,,1683648,2367777,1683648,16430325,
Chubu,200706,,,5823305,,,,2979141,2979141,,,,107358,6813520,,,,,,,25939,149141,0,12845,,,,,2107733,2295658,2215091,9109178,
Hokuriku,200706,,,1201516,,,,1048694,1048694,,,,50281,1516979,,,,,,,5951,48344,176,3246,,,,,283043,340760,333324,1857739,
Kansai,200706,,,3606071,,,,4044043,4044043,,,,,7454125,,,,,,,61792,147623,137,19314,,,,,963371,1192237,963371,8646362,
Chugoku,200706,,,975292,,,,2683843,2683843,,,,,2809482,,,,,,,7734,57127,670,4371,,,,,692028,761930,692028,3571412,
Shikoku,200706,,,710587,,,,970704,970704,,,,48954,1847477,,,,,,,7568,118438,111,3402,,,,,636405,765924,685359,2613401,
Kyushu,200706,,,2802587,,,,3421755,3421755,,,,178504,5495958,,,,,,,20643,284387,509,14020,,,,,1093509,1413068,1272013,6909026,
Okinawa,200706,,,,,,,,,,219566,685774,,460540,,,,,,,1803,5973,58,2977,,,685774,215069,39763,951417,288204,1411957,
Hokkaido,200705,,,1160642,,,,895618,895618,,,,19237,1545203,,,,,,,8932,33528,341,6532,,,,,433473,482806,452710,2028009,
Tohoku,200705,,,2970155,,,,1620358,1620358,,,,57597,4460832,,,,,,,12231,295474,1099,7461,,,,,697664,1013929,755261,5474761,
Tokyo,200705,,,15309061,,,,4471317,4471317,,,,,14080577,,,,,,,155986,429017,8266,48660,,,,,1689208,2331135,1689208,16411712,
Chubu,200705,,,5819900,,,,2930451,2930451,,,,106441,6826506,,,,,,,25378,141213,0,12817,,,,,2115038,2294446,2221479,9120952,
Hokuriku,200705,,,1202306,,,,1032247,1032247,,,,49892,1518635,,,,,,,4637,50996,176,3249,,,,,284429,343487,334321,1862122,
Kansai,200705,,,3601614,,,,3995444,3995444,,,,,7463228,,,,,,,60729,123258,137,19322,,,,,966525,1169971,966525,8633199,
Chugoku,200705,,,975868,,,,2645224,2645224,,,,,2813011,,,,,,,7355,43904,672,4371,,,,,695172,751474,695172,3564485,
Shikoku,200705,,,710829,,,,956396,956396,,,,48795,1850468,,,,,,,7317,95825,111,3402,,,,,638496,745151,687291,2595619,
Kyushu,200705,,,2801260,,,,3366463,3366463,,,,177549,5496676,,,,,,,19586,170091,429,13949,,,,,1098833,1302888,1276382,6799564,
Okinawa,200705,,,,,,,,,,215801,682527,,460426,,,,,,,1484,5965,58,2949,,,682527,214812,40115,947910,284821,1408336,
Hokkaido,200704,,,1164595,,,,911637,911637,,,,19252,1552256,,,,,,,6200,3289,341,7484,,,,,763697,781011,782949,2333267,
Tohoku,200704,,,2970537,,,,1595088,1595088,,,,57115,4470619,,,,,,,17743,127698,980,7947,,,,,703384,857752,760499,5328371,
Tokyo,200704,,,15299281,,,,4378507,4378507,,,,,14099818,,,,,,,156522,245088,8111,48131,,,,,1693260,2151111,1693260,16250929,
Chubu,200704,,,5814354,,,,2883140,2883140,,,,105665,6839105,,,,,,,25428,92320,0,13127,,,,,2123559,2254434,2229224,9093539,
Hokuriku,200704,,,1202313,,,,1015252,1015252,,,,49632,1521159,,,,,,,5250,51444,145,3246,,,,,287833,347918,337465,1869077,
Kansai,200704,,,3597769,,,,3928304,3928304,,,,,7471940,,,,,,,59841,66572,137,19127,,,,,968053,1113730,968053,8585670,
Chugoku,200704,,,976784,,,,2612147,2612147,,,,,2817558,,,,,,,7096,25234,672,4326,,,,,697594,734922,697594,3552480,
Shikoku,200704,,,710491,,,,943085,943085,,,,48672,1851726,,,,,,,7381,67023,111,3402,,,,,640203,718120,688875,2569846,
Kyushu,200704,,,2797921,,,,3311534,3311534,,,,176566,5499458,,,,,,,18711,139789,429,13969,,,,,1102465,1275363,1279031,6774821,
Okinawa,200704,,,,,,,,,,214834,682588,,460692,,,,,,,1623,5951,40,2956,,,682588,213768,40221,947147,283813,1407839,
Hokkaido,200703,,,1161546,,,,877133,877133,,,,19062,1553637,,,,,,,6583,2250,341,7393,,,,,967458,984025,986520,2537662,
Tohoku,200703,,,2966541,,,,1561905,1561905,,,,56740,4479563,,,,,,,23874,27576,484,7915,,,,,1061935,1121784,1118675,5601347,
Tokyo,200703,,,15279673,,,,4269425,4269425,,,,,14120094,,,,,,,179943,53955,8361,47872,,,,,1690920,1981049,1690920,16101143,
Chubu,200703,,,5802583,,,,2819731,2819731,,,,104591,6847380,,,,,,,33829,51387,0,13104,,,,,2135505,2233825,2240096,9081205,
Hokuriku,200703,,,1202332,,,,996196,996196,,,,49459,1524162,,,,,,,5795,24458,145,3335,,,,,385078,418811,434537,1942973,
Kansai,200703,,,3589509,,,,3828321,3828321,,,,,7476736,,,,,,,62516,42839,89,18802,,,,,966289,1090535,966289,8567271,
Chugoku,200703,,,975593,,,,2570046,2570046,,,,,2822046,,,,,,,8957,16078,672,4342,,,,,700382,730431,700382,3552477,
Shikoku,200703,,,709364,,,,927632,927632,,,,48542,1854835,,,,,,,9425,52880,71,3414,,,,,642040,707830,690582,2562665,
Kyushu,200703,,,2794890,,,,3256860,3256860,,,,175319,5502981,,,,,,,24221,129653,414,13973,,,,,1102390,1270651,1277709,6773632,
Okinawa,200703,,,,,,,,,,205556,672061,,459585,,,,,,,2241,5715,20,2953,,,672061,216330,40549,939869,275275,1399454,
Hokkaido,200702,,,1159030,,,,864233,864233,,,,19104,1555993,,,,,,,6836,414,341,7650,,,,,958045,973286,977149,2529279,
Tohoku,200702,,,2961907,,,,1534645,1534645,,,,55650,4485909,,,,,,,20147,16368,536,7906,,,,,1156045,1201002,1211695,5686911,
Tokyo,200702,,,15260815,,,,4184354,4184354,,,,,14133433,,,,,,,198114,43840,8848,48027,,,,,1696335,1995162,1696335,16128595,
Chubu,200702,,,5793940,,,,2771849,2771849,,,,103758,6856403,,,,,,,42262,44399,0,13098,,,,,2139987,2239746,2243745,9096149,
Hokuriku,200702,,,1200795,,,,977921,977921,,,,49248,1525580,,,,,,,7922,10381,145,3339,,,,,445968,467755,495216,1993335,
Kansai,200702,,,3585788,,,,3792248,3792248,,,,,7490178,,,,,,,70726,41478,50,18788,,,,,975312,1106354,975312,8596532,
Chugoku,200702,,,975746,,,,2535446,2535446,,,,,2826888,,,,,,,10064,13408,670,4371,,,,,704029,732542,704029,3559430,
Shikoku,200702,,,708827,,,,913476,913476,,,,47956,1859141,,,,,,,11283,49010,71,3425,,,,,644076,707865,692032,2567006,
Kyushu,200702,,,2790941,,,,3207554,3207554,,,,174465,5505597,,,,,,,30165,121075,452,14007,,,,,1102102,1267801,1276567,6773398,
Okinawa,200702,,,,,,,,,,213851,683386,,459723,,,,,,,1790,5685,20,2951,,,683386,216710,40601,951143,283606,1410866,
Hokkaido,200701,,,1159592,,,,855586,855586,,,,19020,1559286,,,,,,,7335,646,458,7695,,,,,953342,969476,972362,2528762,
Tohoku,200701,,,2958608,,,,1509470,1509470,,,,54770,4494191,,,,,,,16422,14574,536,7910,,,,,1155677,1195119,1210447,5689310,
Tokyo,200701,,,15246403,,,,4104034,4104034,,,,,14155394,,,,,,,198192,43207,8343,47893,,,,,1700597,1998230,1700597,16153624,
Chubu,200701,,,5788805,,,,2727904,2727904,,,,102673,6870691,,,,,,,43844,41730,0,13150,,,,,2145412,2244136,2248085,9114827,
Hokuriku,200701,,,1200141,,,,963747,963747,,,,49113,1528228,,,,,,,7897,6854,142,3411,,,,,451572,469876,500685,1998104,
Kansai,200701,,,3582203,,,,3748841,3748841,,,,,7503155,,,,,,,74016,41325,55,18703,,,,,980125,1114224,980125,8617379,
Chugoku,200701,,,976587,,,,2502882,2502882,,,,,2832409,,,,,,,10199,11243,670,4371,,,,,706745,733228,706745,3565637,
Shikoku,200701,,,709206,,,,899435,899435,,,,47490,1863448,,,,,,,11460,49227,71,3395,,,,,645993,710146,693483,2573594,
Kyushu,200701,,,2788430,,,,3165974,3165974,,,,173631,5512814,,,,,,,31340,120785,389,14135,,,,,1103388,1270037,1277019,6782851,
Okinawa,200701,,,,,,,,,,211668,684941,,462178,,,,,,,2488,5745,20,2968,,,684941,216187,40615,952964,281440,1415142,
Hokkaido,200612,,,1158273,,,,843607,843607,,,,18795,1562799,,,,,,,10535,2659,458,7332,,,,,735253,756237,754048,2319036,
Tohoku,200612,,,2953784,,,,1473033,1473033,,,,54076,4501098,,,,,,,17232,14708,536,7888,,,,,1099624,1139988,1153700,5641086,
Tokyo,200612,,,15225020,,,,3996669,3996669,,,,,14176989,,,,,,,194414,43479,8802,47906,,,,,1704820,1999419,1704820,16176408,
Chubu,200612,,,5779035,,,,2670583,2670583,,,,101665,6881585,,,,,,,42215,41214,0,13140,,,,,2144686,2241255,2246351,9122840,
Hokuriku,200612,,,1199883,,,,940683,940683,,,,49011,1530693,,,,,,,8511,7402,142,3333,,,,,427606,446994,476617,1977687,
Kansai,200612,,,3577463,,,,3690974,3690974,,,,,7514295,,,,,,,74540,42944,55,18622,,,,,983238,1119399,983238,8633694,
Chugoku,200612,,,977472,,,,2458039,2458039,,,,,2838441,,,,,,,9437,11300,578,4356,,,,,709348,735019,709348,3573460,
Shikoku,200612,,,709115,,,,883591,883591,,,,47204,1866108,,,,,,,10950,50749,71,3363,,,,,647861,712994,695065,2579102,
Kyushu,200612,,,2785114,,,,3104483,3104483,,,,172672,5517169,,,,,,,29572,142925,426,14053,,,,,1106412,1293388,1279084,6810557,
Okinawa,200612,,,,,,,,,,211078,686989,,464303,,,,,,,2812,5698,20,2967,,,686989,216613,40765,955864,281001,1420167,
Hokkaido,200611,,,1155153,,,,828981,828981,,,,18735,1565104,,,,,,,28366,7150,458,5786,,,,,368465,410225,387200,1975329,
Tohoku,200611,,,2947772,,,,1430916,1430916,,,,53694,4508681,,,,,,,19810,20388,536,7364,,,,,822071,870169,875765,5378850,
Tokyo,200611,,,15211902,,,,3891620,3891620,,,,,14195997,,,,,,,186287,45273,8777,56537,,,,,1708347,2005221,1708347,16201218,
Chubu,200611,,,5768906,,,,2617556,2617556,,,,100570,6891568,,,,,,,37785,45903,0,13141,,,,,2145760,2242589,2246330,9134157,
Hokuriku,200611,,,1199449,,,,913785,913785,,,,49069,1532512,,,,,,,14287,11052,120,3189,,,,,365774,394422,414843,1926934,
Kansai,200611,,,3571138,,,,3633222,3633222,,,,,7521058,,,,,,,75618,45666,55,18431,,,,,986685,1126455,986685,8647513,
Chugoku,200611,,,978055,,,,2416355,2416355,,,,,2843633,,,,,,,9680,21268,604,4314,,,,,711850,747716,711850,3591349,
Shikoku,200611,,,708865,,,,866612,866612,,,,46969,1867695,,,,,,,10039,56423,71,3363,,,,,649599,719495,696568,2587190,
Kyushu,200611,,,2779888,,,,3046497,3046497,,,,171441,5518355,,,,,,,26216,163336,461,14126,,,,,1110599,1314738,1282040,6833093,
Okinawa,200611,,,,,,,,,,209026,687666,,466181,,,,,,,2735,5732,20,2967,,,687666,216154,40817,956091,279019,1422272,
Hokkaido,200610,,,1153774,,,,817391,817391,,,,18743,1567185,,,,,,,47811,10163,415,4942,,,,,233148,296479,251891,1863664,
Tohoku,200610,,,2943497,,,,1395366,1395366,,,,53605,4515845,,,,,,,26742,37860,536,7250,,,,,706775,779163,760380,5295008,
Tokyo,200610,,,15196147,,,,3799378,3799378,,,,,14216725,,,,,,,178844,57658,7853,56617,,,,,1712991,2013962,1712991,16230687,
Chubu,200610,,,5761569,,,,2566423,2566423,,,,99751,6901854,,,,,,,31486,55038,0,13166,,,,,2151492,2251182,2251243,9153036,
Hokuriku,200610,,,1198036,,,,890863,890863,,,,48987,1534565,,,,,,,11310,24637,120,3135,,,,,295820,335022,344807,1869587,
Kansai,200610,,,3565101,,,,3572332,3572332,,,,,7531283,,,,,,,75260,56188,55,18440,,,,,989462,1139405,989462,8670688,
Chugoku,200610,,,977998,,,,2371629,2371629,,,,,2847117,,,,,,,9894,62539,604,4309,,,,,714961,792307,714961,3639424,
Shikoku,200610,,,708003,,,,849814,849814,,,,46667,1869978,,,,,,,9682,65433,71,3374,,,,,651680,730240,698347,2600218,
Kyushu,200610,,,2776243,,,,2989719,2989719,,,,170497,5523328,,,,,,,24244,249792,530,14118,,,,,1114737,1403421,1285234,6926749,
Okinawa,200610,,,,,,,,,,202436,686514,,466865,,,,,,,1931,5711,20,3006,,,686514,216634,40918,954734,272632,1421599,
Hokkaido,200609,,,1152389,,,,804488,804488,,,,18733,1567537,,,,,,,26788,37139,305,4837,,,,,161511,230580,180244,1798117,
Tohoku,200609,,,2938548,,,,1358036,1358036,,,,58509,4526158,,,,,,,24153,156779,280,7231,,,,,706434,894877,764943,5421035,
Tokyo,200609,,,15176486,,,,3717293,3717293,,,,,14238349,,,,,,,176248,212783,7623,55997,,,,,1717100,2169750,1717100,16408099,
Chubu,200609,,,5755107,,,,2521268,2521268,,,,98822,6914037,,,,,,,29637,95273,0,13232,,,,,2156568,2294710,2255390,9208747,
Hokuriku,200609,,,1195954,,,,872278,872278,,,,49261,1535727,,,,,,,11579,34946,0,3154,,,,,294410,344089,343671,1879816,
Kansai,200609,,,3558555,,,,3519393,3519393,,,,,7540429,,,,,,,74427,126470,58,18441,,,,,993157,1212553,993157,8752982,
Chugoku,200609,,,977528,,,,2335057,2335057,,,,,2851449,,,,,,,9428,91349,582,4309,,,,,717751,823419,717751,3674868,
Shikoku,200609,,,707589,,,,837832,837832,,,,46182,1873020,,,,,,,9804,102300,71,3374,,,,,652875,768424,699057,2641444,
Kyushu,200609,,,2771972,,,,2940330,2940330,,,,169003,5527063,,,,,,,23435,322807,572,14127,,,,,1117919,1478860,1286922,7005923,
Okinawa,200609,,,,,,,,,,196851,684970,,466965,,,,,,,1568,5507,60,2980,,,684970,216252,41127,952464,267308,1419429,
Hokkaido,200608,,,1150958,,,,795387,795387,,,,18789,1567350,,,,,,,28639,38723,354,5011,,,,,167487,240214,186276,1807564,
Tohoku,200608,,,2939246,,,,1306200,1306200,,,,57968,4550177,,,,,,,12400,301136,280,7226,,,,,707723,1028765,765691,5578942,
Tokyo,200608,,,15161296,,,,3641473,3641473,,,,,14249483,,,,,,,175562,459811,7107,55240,,,,,1722024,2419743,1722024,16669226,
Chubu,200608,,,5743688,,,,2475936,2475936,,,,97863,6921256,,,,,,,27862,136667,0,13486,,,,,2163208,2341223,2261071,9262479,
Hokuriku,200608,,,1194565,,,,854784,854784,,,,49345,1536846,,,,,,,7858,48292,0,3154,,,,,295324,354628,344669,1891474,
Kansai,200608,,,3558568,,,,3463008,3463008,,,,,7550255,,,,,,,69882,155031,52,18487,,,,,996217,1239669,996217,8789924,
Chugoku,200608,,,977977,,,,2299107,2299107,,,,,2855821,,,,,,,8114,60191,640,4315,,,,,720708,793968,720708,3649789,
Shikoku,200608,,,707267,,,,825426,825426,,,,45814,1874266,,,,,,,9629,121716,71,3400,,,,,654511,789327,700325,2663593,
Kyushu,200608,,,2768302,,,,2889945,2889945,,,,167864,5530034,,,,,,,22492,337303,493,14142,,,,,1121366,1495796,1289230,7025830,
Okinawa,200608,,,,,,,,,,194796,686026,,468623,,,,,,,2114,5507,0,3005,,,686026,216174,41122,953948,265243,1422571,
Hokkaido,200607,,,1149032,,,,785247,785247,,,,18852,1568706,,,,,,,6348,38636,446,5303,,,,,197414,248147,216266,1816853,
Tohoku,200607,,,2933334,,,,1277207,1277207,,,,57497,4552987,,,,,,,11464,302721,280,7284,,,,,709257,1031006,766754,5583993,
Tokyo,200607,,,15136022,,,,3563639,3563639,,,,,14255031,,,,,,,164509,469735,6923,55561,,,,,1726622,2423350,1726622,16678381,
Chubu,200607,,,5733614,,,,2432343,2432343,,,,96729,6927337,,,,,,,26758,147299,0,13482,,,,,2168555,2356094,2265284,9283431,
Hokuriku,200607,,,1192765,,,,836709,836709,,,,49430,1538095,,,,,,,6813,48570,0,3154,,,,,296399,354936,345829,1893031,
Kansai,200607,,,3555153,,,,3414903,3414903,,,,,7557090,,,,,,,68004,152075,35,18534,,,,,999594,1238242,999594,8795332,
Chugoku,200607,,,978092,,,,2263834,2263834,,,,,2859926,,,,,,,7816,57555,765,4281,,,,,723201,793618,723201,3653544,
