Company,Year_term,Specific scale demands (MWh),Total Electricity sales (MWh),Lighting_Meter rate lighting C (kW),Lighting_Temporary power (kW),Lighting_Agricultural power (kW),Lighting_Public street lighting (kW),Lighting_Total Lighting - optional contracs (kW),Lighting_Total Lighting - optional contracs2 (kW),Lighting_Total Lighting (kW),Power_Commercial use power - optional contracts (kW),Power_Commercial use power (kW),Power_Small use power_Low voltage power - optipnal contracts (kW),Power_Small use power_Low voltage power (kW),Power_Small use power_High voltage power A - optinal contracts (kW),Power_Small use power_High voltage power A (kW),Power_Small use power_Total Small use power - optional contracts (kW),Power_Small use power_Total Small use power (kW),Power_High voltage power B - optional contracts (kW),Power_High voltage power B (kW),Power_Other power services_Temporary power (kW),Power_Other power services_Agricultural power (kW),Power_Other power services_Construction power (kW),Power_Other power services_Business use power (kW),Power_Other power services_High voltage power B - optional contracts (kW),Power_Other power services_High voltage power B (kW),Power_Other power services_Commercial use power (kW),Power_Other power services_High voltage power A/B (kW),Power_Other power services_Other power services - optional contracts (kW),Power_Other power services_Total Other power services (kW),Power_Total Power - optional contracts (kW),Power_Total Power (kW),Total of Lighting and Power (kW)
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧電力Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計
Okinawa,200108,,,,,,,,,,155005,742227,,469604,7727,132457,7727,602061,56049,151185,3080,4928,1214,3046,,,742227,,39788,52056,258569,1547529,
Hokkaido,200107,,,1045675,,,,469807,469807,,1042440,2092300,18234,1646037,79882,1118211,98116,2764248,187782,563383,44908,85821,3451,37481,,,2092300,,217645,389306,1545983,5809237,
Tohoku,200107,,,2652476,,,,333693,333693,,1511437,4780975,1040,4822439,293243,3197385,294283,8019824,586264,2017971,43205,548650,932,48726,,,4780975,,873016,1514529,3265000,16333299,
Tokyo,200107,,,14062098,,,,718797,718797,,4456799,20487741,,15275610,263699,7855279,263699,23130889,1037745,6581742,250274,614618,15675,196565,,,20487741,,1984852,3061984,7743095,53262356,
Chubu,200107,,,5157411,,,,551127,551127,,2506895,6868781,7571,7589691,152167,5497538,159738,13087229,784165,4272480,66951,275082,215,60211,,,6868781,,2508387,2910846,5959185,27139336,
Hokuriku,200107,,,1023522,,,,258998,258998,,791563,1556137,14086,1639625,148016,1109035,162102,2748660,265390,936948,16622,82459,3503,20336,,,1556137,,355774,478694,1574829,5720439,
Kansai,200107,,,3267133,,,,655067,655067,,2795611,9438745,,8221358,184187,4970625,184187,13191983,459601,2761326,115207,196018,9790,75176,,,9438745,,1237057,1633248,4676456,27025302,
Chugoku,200107,,,959155,,,,900853,900853,,1231537,3386792,,3098592,130494,1975812,130494,5074404,426463,1442921,29000,98534,4572,40226,,,3386792,,888293,1060625,2676787,10964742,
Shikoku,200107,,,672053,,,,224870,224870,,648230,1959247,14786,2007085,132802,1045713,147588,3052798,252468,696409,27954,144779,103,17884,,,1959247,,743265,933985,1791551,6642439,
Kyushu,200107,,,2486748,,,,944055,944055,,2431315,5770971,39399,5638204,412023,2542841,451422,8181045,466772,1369118,66135,429921,23395,41018,,,5770971,,1308561,1869030,4658070,17190164,
Okinawa,200107,,,,,,,,,,142871,732569,,468956,7590,131465,7590,600421,56049,151161,2887,4928,1214,3034,,,732569,,39404,51467,245914,1535618,
Hokkaido,200106,,,1042928,,,,465488,465488,,1031001,2099696,18251,1646010,80523,1123697,98774,2769707,187438,562187,16557,84617,3641,38567,,,2099696,,326167,469549,1643380,5901139,
Tohoku,200106,,,2647944,,,,327155,327155,,1446465,4796029,964,4823734,281966,3209963,282930,8033697,577096,2012190,37273,547739,932,48801,,,4796029,,873739,1508484,3180230,16350400,
Tokyo,200106,,,14039588,,,,708243,708243,,4227193,20288196,,15270142,255856,7865146,255856,23135288,1023604,6533406,245718,608193,16062,194566,,,20288196,,1986385,3050924,7493038,53007814,
Chubu,200106,,,5143633,,,,537941,537941,,2465456,6838308,6910,7589504,146195,5496067,153105,13085571,765066,4256553,68053,273564,196,60606,,,6838308,,2512579,2914998,5896206,27095430,
Hokuriku,200106,,,1019454,,,,254454,254454,,781708,1536589,13463,1640622,147287,1103036,160750,2743658,264218,932932,18269,81707,3470,20287,,,1536589,,356421,480154,1563097,5693333,
Kansai,200106,,,3260068,,,,638779,638779,,2656278,9376594,,8219417,179146,4968953,179146,13188370,457325,2739416,107179,186622,9943,75141,,,9376594,,1241586,1620471,4534335,26924851,
Chugoku,200106,,,959107,,,,888300,888300,,1199797,3381996,,3098738,127563,1977179,127563,5075917,417765,1440733,25513,95136,5026,40137,,,3381996,,889596,1055408,2634721,10954054,
Shikoku,200106,,,671818,,,,218061,218061,,638930,1935987,14446,2007105,134374,1044786,148820,3051891,246668,689254,28347,139590,137,18129,,,1935987,,743673,929876,1778091,6607008,
Kyushu,200106,,,2481546,,,,928108,928108,,2378875,5746001,38010,5633960,405047,2530568,443057,8164528,463211,1365171,73744,351823,22501,41075,,,5746001,,1310351,1799494,4595494,17075194,
Okinawa,200106,,,,,,,,,,33151,720169,,467556,7443,132456,7443,600012,56049,150548,2462,4935,1108,3041,,,720169,,39116,50662,135759,1521391,
Hokkaido,200105,,,1040524,,,,461973,461973,,1024752,2108380,18192,1645107,79630,1123432,97822,2768539,187008,560141,14773,44632,3725,42026,,,2108380,,471538,576694,1781120,6013754,
