Company,Year_term,Thermal efficiency_Generation (%),Thermal efficiency_transmission (%),Electricity generated (MWh),Coal (wet)_purchased (wet base) (t),Coal (wet)_consumed_purchased (wet base) (t),Coal (wet)_consumed_consumed (kJ bases) (kj),Coal (wet)_consumed_stored (end of months) (t),Heavy oil (before blending)_purchased (kl),Heavy oil (before blending)_consumed_for genration (kl),Heavy oil (before blending)_consumed_consumed (kJ bases) (kj),Heavy oil (before blending)_consumed_stored (end of months) (kl),Crude oil (befor blending)_purchased (kl),Crude oil (befor blending)_consumed_for genration (kl),Crude oil (befor blending)_consumed_consumed (kJ bases) (kj),Crude oil (befor blending)_consumed_stored (end of months) (kl),Naphtha (before blending)_purchased (kl),Naphtha (before blending)_consumed_for genration (kl),Naphtha (before blending)_consumed_stored (end of months) (kl),NGL (before blending)_purchased (kl),NGL (before blending)_consumed_for genration (kl),NGL (before blending)_consumed_stored (end of months) (kl),LNG_purchased (t),LNG_consumed_for genration (t),LNG_consumed_consumed (kJ bases) (kj),LNG_consumed_stored (end of months) (t),LPG_purchased (t),LPG_consumed_for genration (t),LPG_consumed_stored (end of months) (t),Total consumption (Heavy oil eq.) (kl),Generation2 (%),Generation3 (%)
会社名,年期,熱効率_発電,熱効率_送電,発電,石炭湿_湿,石炭湿_湿2,石炭湿_消費,石炭湿_月末貯炭,重油ブレンド分調整前_受入,重油ブレンド分調整前_発電用,重油ブレンド分調整前_消費,重油ブレンド分調整前_月末貯油,原油ブレンド分調整前_受入,原油ブレンド分調整前_発電用,原油ブレンド分調整前_消費,原油ブレンド分調整前_月末貯油,ナフサブレンド分調整前_受入,ナフサブレンド分調整前_発電用,ナフサブレンド分調整前_月末貯油,ＮＧＬブレンド分調整前_受入,ＮＧＬブレンド分調整前_発電用,ＮＧＬブレンド分調整前_月末貯油,ＬＮＧ_受入,ＬＮＧ_発電用,ＬＮＧ_消費,ＬＮＧ_月末貯油,ＬＰＧ_受入,ＬＰＧ_発電用,ＬＰＧ_月末貯油,重油換算総消費量,発電2,発電3
Chubu,2014H1,43.59,42.06,57191261,5238436,5171945,27230,399620,4104,3311,39680,66871,153409,62170,38780,604613,,,,,,,6746985,6192737,54670,741424,867,0,49,11919453,0.208,43.59
Hokuriku,2014H1,39.79,37.59,10719856,3378645,3264645,28360,592642,112046,141828,41496,190160,98712,89319,39000,50680,,,,,,,,,,,,,,2336988,0.218,39.79
Kansai,2014H1,43.84,42.47,44636076,1606361,1923154,28120,102314,117185,90411,40580,91654,1985039,2040219,39260,424538,,,,,,392,4246242,4243550,54780,316412,107,16,259,9106173,0.204,43.84
Chugoku,2014H1,40.84,38.92,18728187,3143179,2944862,28330,946736,442101,416862,41870,165250,110535,140684,41040,107175,,,,,,,1135454,1164446,54570,184559,,,,3943080,0.211,40.84
Shikoku,2014H1,39.17,37.08,8111520,1403889,1631966,27830,451062,360610,359223,41710,112851,23984,25069,41070,82600,,,,,,,183603,153974,54630,18327,,,,1786919,0.22,39.17
Kyushu,2014H1,40.72,39.34,27418361,2635519,2690946,27460,301034,828914,846678,41570,149694,313588,322267,38760,117810,,,,,,,2357363,2300002,54730,184684,,,,5826320,0.212,40.72
Okinawa,2014H1,39.88,36.47,3245498,874598,913699,25220,145045,48140,53595,41160,46527,,,,,,,,,,,130994,113858,54500,101144,,,,711821,0.219,39.88
Hokkaido,2013H2,39.55,37.49,13100325,2798232,2942965,26460,830757,1143507,1114482,41690,254455,,,,,,,,,,,,,,,,,,2860245,0.218,39.55
Tohoku,2013H2,42.13,40.55,33917717,4772999,4676789,27630,768041,621879,632648,41080,200529,169592,180401,40020,131278,,,,,,,2568644,2460394,54690,152825,,,,7056213,0.208,42.13
Tokyo,2013H2,43.28,41.97,117684907,3939719,3927515,29470,610932,2846899,2784345,41010,505850,1031829,1263899,39540,553019,,,,0,1,62,13139978,12049622,54590,688412,350427,307940,91985,23849587,0.203,43.28
Chubu,2013H2,43.68,42.25,62580203,5419664,5360385,27250,333129,4566,5978,40130,66104,170816,295985,38960,464227,,,,,,,7077779,6738824,54670,559556,3044,2264,47,13036446,0.205,43.68
Hokuriku,2013H2,39.7,37.64,12831525,3346253,3459956,28370,478642,265038,324729,41470,223593,289131,296510,39020,40658,,,,,,,,,,,,,,2805495,0.219,39.7
Kansai,2013H2,43.12,41.74,50544978,2018491,2150482,28070,284211,197826,197350,40880,74635,3561038,3557752,39130,480298,,,,,12,392,3986966,3990883,54790,319339,124,23,224,10341142,0.205,43.12
Chugoku,2013H2,40.79,38.88,20656006,2984148,2753236,28350,817562,862591,856660,41790,140353,334208,360277,40800,137306,,,,,,,1232361,1082738,54560,214089,,,,4362095,0.211,40.79
