Company,Year_term,Thermal efficiency_Generation (%),Thermal efficiency_transmission (%),Electricity generated (MWh),Coal (wet)_purchased (wet base) (t),Coal (wet)_consumed_purchased (wet base) (t),Coal (wet)_consumed_consumed (kJ bases) (kj),Coal (wet)_consumed_stored (end of months) (t),Heavy oil (before blending)_purchased (kl),Heavy oil (before blending)_consumed_for genration (kl),Heavy oil (before blending)_consumed_consumed (kJ bases) (kj),Heavy oil (before blending)_consumed_stored (end of months) (kl),Crude oil (befor blending)_purchased (kl),Crude oil (befor blending)_consumed_for genration (kl),Crude oil (befor blending)_consumed_consumed (kJ bases) (kj),Crude oil (befor blending)_consumed_stored (end of months) (kl),Naphtha (before blending)_purchased (kl),Naphtha (before blending)_consumed_for genration (kl),Naphtha (before blending)_consumed_stored (end of months) (kl),NGL (before blending)_purchased (kl),NGL (before blending)_consumed_for genration (kl),NGL (before blending)_consumed_stored (end of months) (kl),LNG_purchased (t),LNG_consumed_for genration (t),LNG_consumed_consumed (kJ bases) (kj),LNG_consumed_stored (end of months) (t),LPG_purchased (t),LPG_consumed_for genration (t),LPG_consumed_stored (end of months) (t),Total consumption (Heavy oil eq.) (kl),Generation2 (%),Generation3 (%)
会社名,年期,熱効率_発電,熱効率_送電,発電,石炭湿_湿,石炭湿_湿2,石炭湿_消費,石炭湿_月末貯炭,重油ブレンド分調整前_受入,重油ブレンド分調整前_発電用,重油ブレンド分調整前_消費,重油ブレンド分調整前_月末貯油,原油ブレンド分調整前_受入,原油ブレンド分調整前_発電用,原油ブレンド分調整前_消費,原油ブレンド分調整前_月末貯油,ナフサブレンド分調整前_受入,ナフサブレンド分調整前_発電用,ナフサブレンド分調整前_月末貯油,ＮＧＬブレンド分調整前_受入,ＮＧＬブレンド分調整前_発電用,ＮＧＬブレンド分調整前_月末貯油,ＬＮＧ_受入,ＬＮＧ_発電用,ＬＮＧ_消費,ＬＮＧ_月末貯油,ＬＰＧ_受入,ＬＰＧ_発電用,ＬＰＧ_月末貯油,重油換算総消費量,発電2,発電3
Chubu,2004H1,41.2,39.54,43827708,4939370,5057238,28360,210108,14664,64889,39790,123810,266155,318859,39040,308333,,5242,449,,,,4190646,4239821,54580,247749,30020,29981,90,9623740,0.22,41.2
Hokuriku,2004H1,39.23,37.13,8973765,2661715,2621245,28570,428670,101322,132761,41250,138569,179330,158636,39420,76411,,,,,,,,,,,,,,1996375,0.222,39.23
Kansai,2004H1,39.62,38.01,19550548,667275,790996,28480,44294,177858,157648,40040,146035,697902,692184,39370,253046,0,38,16,0,7152,1314,2341436,2248145,54590,234744,12,6,178,4471448,0.229,39.62
Chugoku,2004H1,39.52,37.33,15550686,3045583,2728729,28690,736986,529234,542307,42020,104385,233321,299521,40930,102216,,,,,,,635509,600816,54420,94098,,,,3371358,0.217,39.52
Shikoku,2004H1,38.26,36.11,6566537,1240021,1201839,28550,342560,398398,376606,41740,141471,113248,145999,40760,59136,,,,,,,,,,,,,,1481608,0.226,38.26
Kyushu,2004H1,40.4,38.8,14677600,2044775,2085195,28060,403995,45028,73791,41300,153503,127576,138454,39220,129886,,,,,,,1216876,1241220,54590,159305,,,,3169520,0.216,40.4
Okinawa,2004H1,37.6,34.02,3151719,882544,901677,26890,137476,161866,188299,41270,60366,,,,,,,,,,,,,,,,,,731210,0.232,37.6
Hokkaido,2003H2,40.17,37.93,9778794,2768203,2703206,27100,500585,429813,368637,41600,147313,28911,38429,38900,7437,,,,,,,,,,,,,,2103662,0.215,40.17
Tohoku,2003H2,40.75,39.15,28315855,3455928,3658927,27900,491096,654010,679910,41060,235105,310744,335778,39390,178227,,,,,,,2005294,1946205,54620,73621,,,,6092047,0.215,40.75
Tokyo,2003H2,41.94,40.55,91316206,1021635,967553,29400,264488,2912352,2978364,40800,432149,1713621,1974548,39240,685343,,,,34134,29042,16671,9246377,9553616,54550,519320,44920,94321,70099,19218277,0.21,41.94
Chubu,2003H2,41.97,40.4,43902222,5073802,4956270,28410,327976,5042,39173,39760,181273,84774,197972,39070,361061,,3844,5691,,,,4350085,4312757,54600,344698,8695,8689,89,9338578,0.216,41.97
Hokuriku,2003H2,39.78,37.79,8923646,2447229,2674506,28930,313103,76673,78313,41590,148397,105226,138810,39490,55248,,,,,,,,,,,,,,1942370,0.218,39.78
Kansai,2003H2,40.13,38.61,9819135,298888,123398,28910,168035,78255,64537,40190,140122,81154,73142,39100,247649,,,56,,3177,8547,1373780,1446791,54710,149258,120,79,172,2210137,0.225,40.13
Chugoku,2003H2,40.58,38.39,15549642,3070466,3314352,28980,492092,330852,355817,41940,117931,36036,43484,40630,168415,,,,,,,571642,576453,54410,93774,,,,3289079,0.212,40.58
Shikoku,2003H2,38.53,36.27,6069749,1085184,1308527,28510,301712,342577,331621,41680,121104,27820,26159,40120,90589,,,,,,,,,,,,,,1360153,0.224,38.53
Kyushu,2003H2,41.53,40.01,13224787,2156699,2147091,28280,444415,6026,6329,39850,181826,5022,2345,38810,140870,,,,,,,1078246,1064375,54590,183735,,,348,2806960,0.212,41.53
Okinawa,2003H2,38.07,34.25,2512265,785911,744273,27860,156609,106170,108655,41010,86798,,,,,,,,,,,,,,,,,,579305,0.231,38.07
Hokkaido,2003H1,40.02,37.77,8134227,2194479,2357047,27010,-56,195286,223425,41710,92064,73016,79283,39340,17111,,,,,,,,,,,,,,1755870,0.216,40.02
Tohoku,2003H1,40.72,39.02,27680322,4120093,4015727,27700,691730,397417,386250,40820,261097,266545,253790,39450,203287,,,,,,,2108862,1970251,54610,130828,,,,5994101,0.217,40.72
Tokyo,2003H1,41.59,40.15,89645136,984117,919139,29890,201999,2874997,2860517,40880,499010,2029229,1850414,39790,989540,,,,1649,13293,12745,9903835,9564418,54510,867092,271566,222398,119500,18979138,0.212,41.59
Chubu,2003H1,41.48,39.83,46528460,4753728,4912661,28350,210444,182922,140343,40780,216236,341791,164367,39060,474395,,1390,9534,,,,4787437,4720091,54590,358835,61406,61355,94,9901871,0.213,41.48
Hokuriku,2003H1,39.48,37.49,8737428,2782386,2513925,29110,540380,106197,94941,41520,150053,176504,187193,39560,88272,,,,,,,,,,,,,,1918727,0.22,39.48
Kansai,2003H1,39.17,37.62,12015898,,,,,32366,33604,39980,148903,85129,141707,39310,239609,,176,57,,380,11700,2021680,1892047,54660,223611,233,284,130,2780858,0.231,39.17
Chugoku,2003H1,40.23,38.04,16297324,3126996,3175145,28850,755239,371745,444844,42040,143397,173285,159553,40910,175307,,,,,,,691580,628276,54450,136784,,,,3468910,0.213,40.23
Shikoku,2003H1,38.35,36.04,5577539,1436819,1272206,28340,520891,152450,165744,41660,102210,83836,99736,40130,96280,,,,,,,,,,,,,,1256038,0.225,38.35
Kyushu,2003H1,40.04,38.34,12732345,1638170,1889858,28250,434807,33961,36693,41050,181744,45252,41946,39530,138318,,,,,,,1148237,1118250,54600,169864,13000,12741,365,2783731,0.219,40.04
Okinawa,2003H1,38.3,34.65,3191446,817381,903147,27930,114971,162020,160192,40780,89284,,,,,,,,,,,,,,,,,,735593,0.23,38.3
Hokkaido,2002H2,40.06,37.79,9998831,2772363,2774137,26890,619771,340045,344634,43510,125805,83434,76411,45560,23378,,,,,,,,,,,,,,2154831,0.216,40.06
Tohoku,2002H2,40.83,39.17,31376094,4648634,4725540,29550,587364,496170,490659,41020,249935,340412,306159,39720,190596,,,,,,,2055796,2049622,54610,82656,,,,6789996,0.216,40.83
Tokyo,2002H2,41.85,40.49,88648737,441376,304355,29540,137021,3065993,3097239,40930,484106,2181611,2184435,39800,811756,,,,36612,45408,24851,9191164,9160772,54530,565912,224848,255614,92632,18641217,0.21,41.85
Chubu,2002H2,41.74,40.18,53101297,4925243,4796693,28490,369377,591028,608694,40530,174032,912801,937788,38970,296971,,9317,10926,,,,5049704,4911512,54590,327810,3546,3538,81,11340471,0.213,41.74
Hokuriku,2002H2,39.48,37.53,8183257,2418246,2496138,29030,271959,66265,54378,41250,139773,124496,118138,39620,98464,,,,,,,,,,,,,,1814728,0.222,39.48
Kansai,2002H2,40.17,38.74,13457201,,,,,74323,146902,40490,166499,452441,461961,39320,301960,,828,233,,2169,22613,1625700,1759900,54650,97596,681,1024,181,2985145,0.221,40.17
Chugoku,2002H2,40.48,38.43,16085533,2910811,2724885,29150,856663,665998,597424,41760,216599,267300,249388,41040,161576,,,,,,,633244,609622,54420,102518,,,,3425500,0.213,40.48
Shikoku,2002H2,39.01,36.79,7229890,1558187,1604177,28440,356913,294482,263196,41510,116826,161909,149745,40080,111064,,,,,,,,,,,,,,1601230,0.221,39.01
Kyushu,2002H2,40.75,39.24,13396880,2478783,2052554,28630,676771,130145,122596,41210,184425,138034,139401,39150,135025,,,,,,,926727,968293,54580,139877,,,256,2865927,0.214,40.75
Okinawa,2002H2,38.27,34.35,2225122,663694,576353,28160,200737,134121,133583,40940,87466,,,,,,,,,,,,,,,,,,511224,0.23,38.27
Hokkaido,2002H1,40.33,37.98,6830970,2072374,2033269,27320,627584,160947,143258,41850,135605,9489,10595,39520,16653,,,,,,,,,,,,,,1455591,0.213,40.33
Tohoku,2002H1,40.85,39.11,24303167,3593905,3800011,29410,646108,187191,226874,41100,244428,50150,152364,39390,156350,,,,,,,1839213,1711683,54590,200507,,,,5241171,0.215,40.85
Tokyo,2002H1,41.74,40.25,60406352,,,,,862478,979014,41040,513157,510936,825875,39700,814724,,,,1349,7416,35368,7621419,7798290,54550,554039,42883,43644,123398,12697795,0.21,41.74
Chubu,2002H1,41.57,39.9,46655563,4644432,4754100,28660,240827,117007,161695,40830,191849,20140,153818,39140,322071,,7374,20241,,,,4706891,4734697,54600,222057,87465,87432,93,9895241,0.212,41.57
Hokuriku,2002H1,39.14,37.05,6731669,1864537,2027975,29080,349851,54449,80879,40740,128070,52642,78826,39630,92724,,,,,,,,,,,,,,1519482,0.226,39.14
Kansai,2002H1,39.48,37.94,13506092,,,,,58736,77312,40290,254821,174195,253008,39130,338049,,269,1063,,2330,43456,2112072,2012280,54600,233316,1055,1002,136,3082919,0.228,39.48
Chugoku,2002H1,40.13,37.94,15105771,2468943,2761763,28930,712060,394684,416167,42040,148422,95195,221922,40570,143694,,,,,,,688834,616762,54450,108768,,,,3223459,0.213,40.13
Shikoku,2002H1,38.28,36.01,6609571,1269865,1422832,28880,401476,220256,217963,41730,87273,131806,172076,40460,97472,,,,,,,,,,,,,,1489686,0.225,38.28
Kyushu,2002H1,40.29,38.67,13764351,1580135,1841719,28090,249573,27042,47918,41220,176335,64093,84771,39140,136317,,,,,,,1270319,1255443,54600,181443,18005,18685,274,2983653,0.217,40.29
Okinawa,2002H1,38.11,34.45,2911545,558809,653690,28730,113396,244180,241831,41050,86928,,,,,,,,,,,,,,,,,,670056,0.23,38.11
Hokkaido,2001H2,39.08,36.77,9459117,2348527,2381159,25990,591330,548821,548748,41620,121742,103436,102693,39660,17759,,,,,,,,,,,,,,2093573,0.221,39.08
Tohoku,2001H2,40.87,39.14,26609246,4006789,4124120,29490,852214,287861,296168,41240,284122,137009,146578,39040,258565,,,,,,,1916230,1867988,54600,177994,,,,5722170,0.215,40.87
Tokyo,2001H2,42.02,40.58,57750177,,,,,576615,588064,40990,629349,720193,658625,39560,1136442,,,,600,334,42541,7880182,7807312,54540,742312,89959,90016,118159,12076712,0.209,42.02
Chubu,2001H2,42.04,40.43,44083042,3991068,4015796,28710,350495,167554,166250,41000,236922,19021,85565,39050,455967,3189,3453,27658,,,,4514185,4708148,54580,275143,38035,38024,91,9200990,0.209,42.04
Hokuriku,2001H2,39.63,37.64,8802350,2695461,2636938,28980,513289,75613,82856,41190,155720,86158,124638,39670,118193,,,,,,,,,,,,,,1942048,0.221,39.63
Kansai,2001H2,39.81,38.46,17056982,,,,,32647,36943,37680,296450,120035,195560,39520,417817,,15,1332,,7002,45800,2612727,2637589,54630,135342,687,583,84,4005993,0.235,39.81
Chugoku,2001H2,40.53,38.36,14344715,2812695,2646090,28940,1037833,358912,349983,41970,170534,218379,209831,40910,270550,,,,,,,515122,589195,54410,52823,,,,3036047,0.212,40.53
Shikoku,2001H2,38.16,35.98,5500400,1145200,959443,28720,556194,247356,244510,41670,86993,247658,218113,40470,136084,,,,,,,,,,,,,,1244491,0.226,38.16
Kyushu,2001H2,40.94,39.35,12205703,1903829,1866640,28600,504028,2530,17188,41010,197276,,22594,39210,156995,,,,,,,1034331,1032046,54570,166587,,,1156,2604793,0.213,40.94
Okinawa,2001H2,37.93,34.37,2336212,558297,509415,28370,208277,201140,208750,40880,84585,,,,,,,,,,,,,,,,,,542428,0.232,37.93
Hokkaido,2001H1,38.66,36.32,6301392,1805277,1513326,26020,647531,425608,434484,41590,130375,60933,59286,39700,17428,,,,,,,,,,,,,,1409676,0.224,38.66
Tohoku,2001H1,40.61,38.82,27129057,4709225,4260574,29960,971631,289012,261274,41010,292404,250901,173789,39980,268216,,,,,,,1886760,1890536,54580,129761,,,,5897121,0.217,40.61
Tokyo,2001H1,41.16,39.65,63856413,0,0,,0,1548704,1353757,40940,638928,1509100,1067509,39670,1074252,,,,901,4011,42424,8271161,8121260,54520,680850,176809,158879,124216,13641191,0.214,41.16
Chubu,2001H1,41.64,39.93,40864586,3236538,3184637,28420,375236,341072,327218,41060,235804,94986,193807,39000,522997,19380,19420,27922,,,,4574668,4459575,54600,483486,62500,62443,92,8602796,0.211,41.64
Hokuriku,2001H1,38.76,36.7,7040983,2216457,2139082,29190,454766,95957,79617,40930,162829,100898,90486,39650,156987,,,,,,,,,,,,,,1597557,0.227,38.76
Kansai,2001H1,39.29,37.75,19000903,,,,,106070,165421,40830,318874,506953,571922,39220,494449,,,,,1653,52893,2646976,2623323,54600,179288,,,,4811078,0.224,39.29
Chugoku,2001H1,40.44,38.22,16111348,3372760,3178865,28920,883660,374103,394024,41910,162526,225361,178728,40990,262304,,,,,,,636557,608027,54410,138550,,,,3421970,0.212,40.44
Shikoku,2001H1,38.25,36.06,7059535,1424117,1404047,28870,364580,229177,251125,41630,83879,280354,251681,40500,106124,,,,,,,,,,,,,,1594787,0.226,38.25
Kyushu,2001H1,40.13,38.47,17271286,2264580,2215569,28130,459781,158238,160458,41130,211703,230490,199420,39360,179496,,,,,,,1473693,1498754,54600,164302,22015,21554,1183,3764935,0.218,40.13
Okinawa,2001H1,37.38,34.25,2887707,556633,393691,28830,164755,479286,419664,40890,92196,,,,,,,,,,,,,,,,,,680230,0.236,37.38
Hokkaido,2000H2,39.28,37.16,9734595,1811430,1929948,26540,357207,857643,840108,41520,143900,133949,131990,39500,15796,,,,,,,,,,,,,,2148627,0.221,39.28
Tohoku,2000H2,40.77,39.08,27388912,3950111,4012631,29490,522980,497059,491877,41240,264714,273293,242322,39680,191165,,,,,,,1848919,1818869,54580,133604,,,,5905169,0.214,40.77
Tokyo,2000H2,41.4,39.97,66207436,,,,,1174190,1290844,40780,442761,1196117,1338857,39350,632828,,,,751,5949,45971,8453825,8389468,54510,534658,131870,146215,106286,14117095,0.213,41.4
Chubu,2000H2,42.1,40.49,40872360,2696280,2572004,28580,323342,337613,360697,40750,222534,270541,258550,39000,622011,66210,66781,27962,,,,4663757,4619317,54580,369076,28259,28218,48,8568179,0.21,42.1
Hokuriku,2000H2,39.57,37.71,9131306,2426390,2525979,28960,377391,179903,167533,41270,147708,183006,198187,39780,146215,,,,,,,,,,,,,,2011992,0.22,39.57
Kansai,2000H2,39.79,38.39,18089299,,,,,108306,68114,40640,395585,373231,390942,39210,560732,,,1397,,7731,54546,2622004,2648836,54590,174512,,,,4038130,0.224,39.79
Chugoku,2000H2,40.65,38.49,16980750,2950575,3229164,28990,687452,436532,399751,41870,182928,333464,347183,40930,217991,,,,,,,573800,575523,54440,114620,,,,3591623,0.212,40.65
Shikoku,2000H2,38.81,36.56,7549513,1528381,1533751,28830,341161,422705,442287,41730,106357,71610,73398,40420,77580,,,,,,,,,,,,,,1679607,0.223,38.81
Kyushu,2000H2,40.86,39.24,13300076,1974369,2040758,28080,413623,19994,19009,41040,213924,17984,6531,39020,148426,,,,,,,1209216,1160072,54600,189363,3,3,943,2847942,0.214,40.86
Okinawa,2000H2,37.67,34.23,2239102,288590,393947,28660,1813,219146,261167,41120,32573,,,,,,,,,,,,,,,,,,520502,0.232,37.67
Hokkaido,2000H1,38.7,36.34,7259240,1847655,1865620,26240,490044,420826,402586,41730,133991,82852,82773,39520,14311,,,,,,,,,,,,,,1616898,0.223,38.7
Tohoku,2000H1,40.37,38.62,25020484,3621538,3739011,29420,589062,386333,361314,41150,259659,230815,305297,39650,160140,,,,,,,1651976,1687132,54560,103613,,,,5450923,0.217,40.37
Tokyo,2000H1,40.73,39.19,65073324,,,,,1419896,1495826,40740,556861,1150157,1398852,39120,773646,,,,899,31004,51769,8011686,8208619,54510,474809,130480,113151,120631,14119619,0.217,40.73
Chubu,2000H1,41.52,39.85,42092183,2256548,2297377,28840,199087,704206,686232,40860,246168,749006,711534,39150,610068,53475,46196,28530,,,,4558910,4428474,54620,325128,77031,76996,52,8929481,0.212,41.52
Hokuriku,2000H1,38.9,36.86,6597102,1982457,1962855,29230,476980,109015,75804,41160,136562,173373,111110,39950,161678,,,,,,,,,,,,,,1483243,0.225,38.9
Kansai,2000H1,39.21,37.67,22978524,,,,,438189,446736,41170,375849,1058779,979453,39230,579187,,,1404,,2287,62262,2844498,2814100,54600,204815,,,,5121270,0.223,39.21
Chugoku,2000H1,40.02,37.9,17543545,2907548,2667866,28830,980579,658985,636926,41870,146329,552072,530481,40730,235324,,,,,,,693694,683028,54420,117913,,,,3768805,0.215,40.02
Shikoku,2000H1,38.31,36.09,7672509,1352338,1323062,28950,340785,505604,496889,41790,129437,201531,183675,40760,79442,,,,,,,,,,,,,,1727666,0.225,38.31
Kyushu,2000H1,39.95,38.27,15293442,1984417,1885042,28150,484491,162370,178273,41100,212624,178948,195379,39440,136962,,,,,,,1326393,1320165,54580,140219,25766,24769,1067,3351495,0.219,39.95
Okinawa,2000H1,37.7,34.37,2589885,455019,387861,28240,107170,350698,353268,41060,74728,,,,,,,,,,,,,,,,,,602400,0.233,37.7
Hokkaido,1999H2,39.2,37.08,8594157,1621224,1749729,25800,509857,701967,692853,41580,119810,157552,156028,39320,14232,,,,,,,,,,,,,,1897697,0.221,39.2
Tohoku,1999H2,40.76,39.09,28573304,3660526,3769678,28510,706538,507616,545579,41230,234626,366323,344886,39750,234733,,,,,,,1944458,1967546,54550,138868,,,,6120975,0.214,40.76
Tokyo,1999H2,40.92,39.42,60186240,,,,,1482000,1335349,40720,631549,1481999,1346439,39240,1022599,,,,753,13811,83083,7777450,7559145,54510,674213,131806,110204,103302,13003128,0.216,40.92
Chubu,1999H2,41.89,40.32,46431876,2803953,2858124,28420,239945,810544,817945,40760,228542,1013145,1052879,39200,572632,59291,59988,21289,,,,4471637,4519745,54590,195239,8,8,41,9789784,0.211,41.89
Hokuriku,1999H2,39.59,37.73,8051307,2111270,2067162,29170,457378,152738,197526,41350,104897,156449,217512,39950,99127,,,,,,,,,,,,,,1770835,0.22,39.59
Kansai,1999H2,39.77,38.32,19987337,,,,,303594,226741,41230,401969,807471,892969,39150,505001,,3746,1404,,10815,64549,2568960,2489063,54590,176160,,,,4392444,0.22,39.77
Chugoku,1999H2,40.7,38.59,17207759,2308155,3095240,28670,752855,668188,637394,41930,124784,255440,256860,41070,215915,,,,,,,576372,580482,54450,107549,,,,3630249,0.211,40.7
Shikoku,1999H2,38.52,36.58,6886068,681985,640365,28610,306976,591571,619586,41740,123953,302914,328106,40720,61679,,,,,,,,,,,,,,1543194,0.224,38.52
Kyushu,1999H2,41.04,39.57,14227967,1138691,1284700,28000,386367,83016,106354,41250,228621,283313,271764,39460,153394,,,,,,,1326839,1381838,54580,133991,7446,7464,319,3026418,0.213,41.04
Okinawa,1999H2,38.04,34.82,2101546,356685,384705,28610,40012,229376,233434,40960,77311,,,,,,,,,,,,,,,,,,485548,0.231,38.04
Hokkaido,1999H1,38.58,36.25,6965973,1744730,1768721,26180,648105,371968,379801,41550,117699,98957,102617,39470,13227,,,,,,,,,,,,,,1562459,0.224,38.58
Tohoku,1999H1,40.4,38.63,25955005,3835546,3965977,28150,846585,315102,368810,41180,272589,192302,199467,39810,212782,,,,,,,1794482,1798029,54610,161979,,,,5615923,0.216,40.4
Tokyo,1999H1,40.3,38.71,62568073,,,,,1145514,1381200,40750,482802,880102,1088358,39240,890286,,,,898,5512,97457,8087767,8275245,54520,459264,,58220,81701,13713305,0.219,40.3
Chubu,1999H1,41.08,39.33,40111474,2169345,2222668,28750,294146,635866,654080,40890,236053,962300,1013466,39070,612552,57603,58350,21986,,,,3972529,3995830,54590,245190,100042,100009,52,8595105,0.214,41.08
Hokuriku,1999H1,39.14,37.28,7844695,2162756,2048663,28980,413270,242896,223535,41300,154633,208740,193643,39910,160696,,,,,,,,,,,,,,1746756,0.223,39.14
Kansai,1999H1,39.18,37.59,25224952,,,,,407379,429730,41110,342151,1082599,1159794,39050,592257,,,,29925,33036,75322,2852980,2996161,54630,98572,,,,5637381,0.223,39.18
Chugoku,1999H1,40.45,38.25,17903651,3371114,3173246,28370,1540141,742099,768435,41810,94466,214306,237765,40960,219740,,,,,,,630496,615812,54450,111726,,,,3811877,0.213,40.45
Shikoku,1999H1,37.28,35.11,5004283,604006,501950,28249,259218,507507,494309,41684,155428,175496,164152,40290,87597,,,,,,,,,,,,,,1159556,0.232,37.28
Kyushu,1999H1,39.61,37.89,11562265,1447950,1346607,27560,535643,65535,71743,41210,251894,159118,128989,39490,142161,,,,,,,1210683,1111813,54590,188990,27323,26912,455,2546358,0.22,39.61
Okinawa,1999H1,37.81,34.48,2632259,454777,437050,28350,68032,354728,333093,41010,81370,,,,,,,,,,,,,,,,,,611151,0.232,37.81
Hokkaido,1998H2,39,36.88,8896362,1790969,1869747,26330,674291,658584,642815,41609,129540,216497,207004,39433,16887,,,,,,,,,,,,,,1972634,0.222,39
Tohoku,1998H2,39.96,38.3,25687675,3526359,3450293,28172,977020,431280,391936,41107,326303,250228,281215,39642,220181,,,,,,,1882256,1885344,54628,165603,,,,5629051,0.219,39.96
Tokyo,1998H2,40.26,38.67,56410676,,,,,1183791,1073274,40730,717707,977039,827561,39098,1098655,,,,20763,9022,102781,7482293,7597814,54502,658524,220711,184160,139921,12374129,0.219,40.26
Chubu,1998H2,41.44,39.75,41907691,2459594,2378801,28633,347489,636006,659289,40814,254876,1226016,1157914,38972,663770,40065,48531,22733,,,,4100933,4137568,54586,270432,16585,16524,47,8921546,0.213,41.44
Hokuriku,1998H2,39.8,38.01,7356520,1708553,1724284,29512,299177,184206,220042,41442,137815,194766,237742,39935,145115,,,,,,,,,,,,,,1604321,0.218,39.8
Kansai,1998H2,39.65,38.1,22440305,,,,,433967,419450,41233,381758,1129871,1099740,39140,670855,,11,5148,,1841,108234,2655607,2581562,54586,244672,,,,4944596,0.22,39.65
Chugoku,1998H2,40.99,38.95,18897812,3006779,3120071,28381,1358086,713749,687603,41819,121116,533564,499673,40647,246653,,,,,,,623935,629594,54419,97097,,,,3968849,0.21,40.99
Shikoku,1998H2,38.19,36.19,6701074,618101,634748,28507,152789,642328,632451,41609,144149,345777,324031,40312,76577,,,,,,,,,,,,,,1517010,0.226,38.19
Kyushu,1998H2,40.4,38.83,12747953,1428384,1353057,28005,440498,113964,97113,41065,258125,111853,100738,39265,112043,,,,,,,1265890,1278828,54586,90120,3211,3244,312,2763214,0.217,40.4
Okinawa,1998H2,38.1,34.91,2031471,358281,368102,28800,50305,231468,227570,41065,59735,,,,,,,,,,,,,,,,,,467411,0.23,38.1
Hokkaido,1998H1,38.61,36.24,6266949,1822290,1627066,26791,762995,226698,231198,41442,120545,135674,140436,39391,7937,,,,,,,,,,,,,,1409867,0.225,38.61
Tohoku,1998H1,39.86,38.04,22583014,3467265,3512108,28005,942580,467823,466174,41065,286864,325421,340616,39767,251106,,,,,,,1373413,1305493,54628,,,,,4969060,0.22,39.86
Tokyo,1998H1,39.65,37.97,58352081,,,,,1706543,1770863,40730,605766,1232405,1263641,39098,946314,,,,1648,12887,91775,7610912,7371593,54461,785709,87373,19826,103400,13000379,0.223,39.65
Chubu,1998H1,40.47,38.62,39579407,2596314,2647944,28507,266748,770805,769492,40730,278552,977186,1073035,39056,595965,53956,62368,31237,,,,3664694,3685195,54586,308696,95684,95684,21,8637097,0.218,40.47
Hokuriku,1998H1,38.44,36.49,5271256,1415136,1526621,29219,314908,121192,64884,41316,175602,128688,105712,40019,187858,,,,,,,,,,,,,,1195556,0.227,38.44
Kansai,1998H1,38.56,36.85,20426051,,,,,335539,328014,41149,384423,807043,814044,39181,642449,,3,5151,,3044,110030,2548404,2608398,54586,173925,,,,4635918,0.227,38.56
Chugoku,1998H1,40.49,38.42,16676635,2606084,2226119,27963,1468507,881957,895410,41819,95420,420499,463004,40730,217232,,,,,,,623338,626806,54461,102806,,,,3545809,0.213,40.49
Shikoku,1998H1,37.4,35.26,5740317,460934,481963,28591,165116,585659,585921,41651,137443,247601,258895,40437,54793,,,,,,,,,,,,,,1326173,0.231,37.4
Kyushu,1998H1,39.21,37.49,13798790,1240376,1430662,27712,365554,154838,177105,41274,241327,231141,248538,39433,100929,,,,,,,1264661,1290686,54586,103081,31658,31275,414,3068580,0.222,39.21
Okinawa,1998H1,37.59,34.56,2755163,387206,413272,28256,60126,369065,378276,41149,55876,,,,,,,,,,,,,,,,,,641218,0.233,37.59
Hokkaido,1997H2,39.39,37.16,8818559,1950681,1955209,25619,569181,604181,586797,41609,129826,216641,219570,39516,12699,,,,,,,,,,,,,,1936244,0.22,39.39
Tohoku,1997H2,40.32,38.57,24713953,3628545,3549804,28465,987430,523672,467292,41233,285204,421424,331465,39600,266306,,,,,,,1527546,1561264,54628,101684,,,,5385537,0.218,40.32
Tokyo,1997H2,40.11,38.53,63547808,,,,,2166265,2002225,40772,669109,1444580,1417698,38888,982819,,,,41334,26562,103701,7630972,7729164,54461,558191,87074,132829,37438,13985372,0.22,40.11
Chubu,1997H2,40.96,39.22,40752914,2936489,2957821,28172,318376,790998,791040,40563,277551,1113951,1121156,39056,691818,41923,36002,39649,,,,3703589,3682827,54628,335508,41209,41192,38,8824025,0.217,40.96
Hokuriku,1997H2,38.93,37.12,6898743,1558024,1430132,29595,426393,220639,255545,41400,120138,360857,323101,39809,164509,,,,,,,,,,,,,,1541215,0.223,38.93
Kansai,1997H2,38.91,37.32,21871080,,,,,475925,469889,41191,395390,1164398,1136505,39265,654310,,1,5154,29786,2811,118261,2469406,2481392,54586,237248,,,,4915296,0.225,38.91
Chugoku,1997H2,40.43,38.26,14568572,2082871,2040668,28298,1093520,602460,637707,41777,109373,433505,407100,40521,262644,,,,,,,619773,592764,54502,106378,,,,3103828,0.213,40.43
Shikoku,1997H2,38.47,36.58,6380135,421436,429250,28800,182808,497969,490925,41651,139955,485832,496025,40730,66140,,,,,,,,,,,,,,1433608,0.225,38.47
Kyushu,1997H2,39.94,38.35,10759077,1148370,1133682,27419,557017,55078,44482,41233,264283,47971,33907,39391,118624,,,,,,,1120272,1168141,54586,131068,8552,9156,351,2354737,0.219,39.94
Okinawa,1997H2,38.05,34.45,1899288,387956,387838,28842,86192,163037,182878,41191,65087,,,,,,,,,,,,,,,,,,436216,0.23,38.05
Hokkaido,1997H1,38.39,36.1,6260095,1583779,1483978,25409,582832,441697,453455,41400,119941,102873,101087,39516,16148,,,,,,,,,,,,,,1417424,0.226,38.39
Tohoku,1997H1,39.43,37.67,20637067,2287546,2350977,28088,925133,494036,535453,41107,236998,264269,350717,39558,176334,,,,,,,1553596,1511855,54628,135407,,,,4584771,0.222,39.43
