Company,Year_term,Fund requirements (construction funds) (M. JPY),Construction funds (M. JPY),Deferred payment for imported products (M. JPY),Deferred payment for domestic products   (M. JPY),Amortization (M. JPY),Bonds (M. JPY),Borrowings (M. JPY),Commercial bank loans (M. JPY),Bond issuing bank loans (M. JPY),Governmental financial institution (M. JPY),Other loans (M. JPY),Total (M. JPY),Internal funds (M. JPY),Internal reserves (M. JPY),Depreciation (M. JPY),Miscellaneous amortization (M. JPY),Reserves and provisions (M. JPY),Others (M. JPY),Customer contribution &c. (M. JPY),Capital increase (amount of issue) (M. JPY),Net proceeds from capital increase (M. JPY),External funds (M. JPY),"Bonds 
(amount of issue) (M. JPY)","Proceeds from 
bond issue (M. JPY)",Borrowings2 (M. JPY),Commercial bank loans2 (M. JPY),Bond issuing bank loans2 (M. JPY),Governmental financial institution2 (M. JPY),Other loans2 (M. JPY),Deferred payment borrowed money (M. JPY),Foreign capital deferred payment borrowed money (M. JPY),Domestic deferred payment borrowed money (M. JPY),Total2 (M. JPY)
会社名,年期,総工事資金,工事資金,外資延払,国内延払,債務償還,社債,借入金,市中銀行,債券発行銀行,政府系金融機関,その他借入金,合計,自己資金,内部留保,減価償却費,諸償却費,積立金,その他,工事費負担金等,増資発行額,増資手取額,外部資金,社債発行額,社債手取額,借入金2,市中銀行2,債券発行銀行2,政府系金融機関2,その他借入金2,延払借入,外資延払借入,国内延払借入,合計2
Okinawa,2011,40929,40929,,,53958,,53958,,,,37152,94888,30322,26218,22068,112,,4037,4103,,,64566,10000,9966,54600,,,,34600,,,,94888
Hokkaido,2010,105213,105213,,,153953,50000,103953,,,,98266,259167,94620,101480,102240,258,,-1017,-6860,,,164546,60000,59808,104738,,,,99738,,,,259167
Tohoku,2010,216534,216534,,,839462,118000,721462,,,,694096,1055996,210149,288721,219545,357,,68818,-78572,,,845847,110000,109667,736180,,,,703180,,,,1055996
Tokyo,2010,614955,614955,,,1573924,430000,1143924,,,,1096840,2188880,-903958,349937,655699,-43,,-305718,-1700789,449083,446893,3092839,235000,234208,2858631,,,,2848631,,,,2188880
Chubu,2010,254986,254986,,,1593152,145600,1447552,,,,1414085,1848138,266140,388905,266272,302,0,122331,-122765,0,0,1581998,90000,89698,1492300,,,,1459300,,,,1848138
Hokuriku,2010,78538,78538,,,687585,80000,607585,,,,598804,766124,151628,149324,82598,14,,66710,2304,,,614496,30000,29896,584600,,,,584600,,,,766124
Kansai,2010,361074,361074,,,1276922,80000,1196922,,,,1158616,1637996,364610,436903,339745,613,,96544,-72293,,,1273386,200000,199386,1074000,,,,1049000,,,,1637996
Chugoku,2010,155374,155374,,,867897,70000,797897,,,,774398,1023271,81970,132243,115500,301,,16441,-50272,,,941300,90000,89700,851600,,,,836600,,,,1023271
Shikoku,2010,59026,59026,,,53768,30000,23768,,,,20427,112795,86931,95460,74433,136,,20890,-8528,,,25863,40000,39863,-14000,,,,-14000,,,,112795
Kyushu,2010,228812,228812,,,257342,70000,187342,,,,166652,486154,155580,251362,197977,0,0,53385,-95782,0,0,330574,130000,129574,201000,,,,201000,,,,486154
Okinawa,2010,48607,48607,,,122450,17000,105450,,,,87552,171058,40618,29575,21004,263,,8307,11042,,,130440,20000,19939,110500,,,,90500,,,,171058
Hokkaido,2009,122726,122726,,,95518,30000,65518,,,,60995,218245,86936,93431,108796,264,,-15630,-6494,,,131309,60000,59809,71500,,,,68500,,,,218245
Tohoku,2009,245515,245515,,,938270,110000,828270,,,,800384,1183785,310324,290691,216761,404,,73526,19632,,,873461,120000,119621,753840,,,,747840,,,,1183785
Tokyo,2009,592119,592119,,,2331006,425650,1905356,,,,1849642,2923126,957549,627666,709837,-8,,-82162,329882,,,1965576,240314,239360,1726216,,,,1721216,,,,2923126
Chubu,2009,239552,239552,,,1378951,40876,1338075,,,,1306346,1618503,463147,373575,280622,343,0,92610,89572,0,0,1155356,110000,109656,1045700,,,,1039700,,,,1618503
Hokuriku,2009,44399,44399,,,419704,70000,349704,,,,341229,464103,108107,104693,86240,15,,18708,3144,,,355996,30000,29896,326100,,,,326100,,,,464103
Kansai,2009,320215,320215,,,1171776,220000,951776,,,,931722,1491992,449504,379856,322588,512,,56755,69647,,,1042487,170000,169487,873000,,,,854000,,,,1491992
Chugoku,2009,149609,149609,,,566963,70000,496963,,,,476307,716573,208191,166800,119274,220,,47304,41390,,,508381,70000,69781,438600,,,,428600,,,,716573
Shikoku,2009,73798,73798,,,69629,40000,29629,,,,25964,143428,76749,68194,66584,71,,1539,8555,,,66679,20000,19929,46750,,,,46750,,,,143428
Kyushu,2009,215507,215507,,,276739,50000,226739,,,,204290,492246,310843,244448,196741,0,0,47707,66395,0,0,181403,60000,59803,121600,,,,121600,,,,492246
Okinawa,2009,31000,31000,,,36249,4000,32249,,,,13052,67250,38350,31967,21328,399,,10239,6382,,,28900,,,28900,,,,18900,,,,67250
Hokkaido,2008,118837,118837,,,107576,20000,87576,,,,83457,226413,5888,6586,68330,554,,-62298,-698,,,220525,150000,149525,71000,,,,66000,,,,226413
Tohoku,2008,252183,252183,,,1051857,100000,951857,,,,922191,1304040,200169,186842,225316,434,,-38908,13326,,,1103871,140000,139591,964280,,,,964280,,,,1304040
Tokyo,2008,590236,590236,,,3232594,595500,2637094,,,,2587403,3822830,323311,512437,708628,-5,,-196185,-189125,,,3499518,670000,668008,2831510,,,,2826510,,,,3822830
Chubu,2008,250760,250760,,,1427052,262300,1164752,,,,1127674,1677812,296921,404732,299731,208,,104793,-107811,,,1380891,60000,59791,1321100,,,,1320100,,,,1677812
Hokuriku,2008,57606,57606,,,375583,60000,315583,,,,305570,433189,90521,101812,91282,14,,10515,-11291,,,342668,70000,69968,272700,,,,272700,,,,433189
Kansai,2008,341835,341835,,,602803,227300,375503,,,,354241,944639,80604,276088,314345,965,0,-39221,-195484,0,0,864034,310000,309034,555000,,,,536000,,,,944639
Chugoku,2008,201400,201400,,,731037,40000,691037,,,,670664,932438,92930,132725,126406,445,,5873,-39794,,,839507,145000,144557,694950,,,,676150,,,,932438
Shikoku,2008,67378,67378,,,82532,20000,62532,,,,58930,149910,87551,101769,66837,137,,34794,-14218,,,62359,40000,39859,22500,,,,22000,,,,149910
Kyushu,2008,223954,223954,,,296351,100000,196351,,,,176509,520305,150923,204619,195232,0,0,9387,-53696,0,0,369382,205000,204382,165000,,,,165000,,,,520305
Okinawa,2008,20106,20106,,,91820,2000,89820,,,,67798,111926,26360,29578,22479,293,,6805,-3218,,,85566,10000,9966,75600,,,,62600,,,,111926
Hokkaido,2007,90811,90811,,,88363,20000,68363,,,,56059,179175,45371,66154,64703,283,,1167,-20782,,,133803,60000,59803,74000,,,,69000,,,,179175
Tohoku,2007,214152,214152,,,1007125,149550,857575,,,,827703,1221277,284242,242312,231269,311,,10731,41930,,,937035,90000,89695,847340,,,,842340,,,,1221277
Tokyo,2007,568866,568866,,,3125495,692100,2433395,,,,2338928,3694361,274272,445064,726266,-5,,-281196,-170792,,,3420088,750000,747796,2672292,,,,2662292,,,,3694361
Chubu,2007,205415,205415,,,1291404,69300,1222104,,,,1165806,1496819,340937,358334,300773,344,,57217,-17397,,,1155882,104000,103599,1052283,,,,1051400,,,,1496819
Hokuriku,2007,41774,41774,,,183826,41300,142526,,,,132375,225600,6144,97457,97288,10,,159,-91313,,,219456,90000,89956,129500,,,,129500,,,,225600
Kansai,2007,266048,266048,,,927646,72394,855252,,,,819402,1193694,299907,295006,312829,712,0,-18536,4901,0,0,893787,210000,209287,684500,,,,674500,,,,1193694
Chugoku,2007,185386,185386,,,727839,100000,627839,,,,607026,913226,156247,160783,130500,344,,29937,-4535,,,756978,105000,104628,652350,,,,632350,,,,913226
Shikoku,2007,62649,62649,,,202884,80000,122884,,,,119593,265533,77978,79893,70249,384,,9260,-1915,,,187555,110000,109555,78000,,,,78000,,,,265533
Kyushu,2007,201953,201953,,,326928,127860,199068,,,,167509,528881,198820,216823,197342,,,19481,-18003,0,0,330061,140000,139501,190560,,,,185000,,,,528881
Okinawa,2007,17172,17172,,,123275,2000,121275,,,,99260,140448,26674,29668,23398,195,,6075,-2994,,,113773,7000,6973,106800,,,,96800,,,,140448
Hokkaido,2006,87646,87646,,,109873,27693,82180,,,,68161,197519,102139,100085,62765,242,,37078,2054,,,95380,30000,29880,65500,,,,57500,,,,197519
Tohoku,2006,179697,179697,,,1000892,68000,932892,,,,903169,1180590,209727,233591,239293,417,,-6119,-23863,,,970863,120000,119583,851280,,,,847280,,,,1180590
Tokyo,2006,496395,496395,,,2631903,728042,1903861,,,,1810081,3128298,944058,955452,704572,-177,,251057,-11394,,,2184240,329187,327979,1856261,,,,1846261,,,,3128298
Chubu,2006,144252,144252,,,2232280,140840,2091440,,,,2029415,2376532,320816,369851,299825,792,,69234,-49035,,,2055716,125000,124509,1931207,,,,1919400,,,,2376532
Hokuriku,2006,36535,36535,,,333027,102500,230527,,,,215346,369562,69990,73910,103525,275,,-29890,-3920,,,299572,80000,79972,219600,,,,215600,,,,369562
Kansai,2006,218865,218865,,,971826,139665,832160,,,,772383,1190691,348782,474571,310563,611,,163396,-125789,,,841909,184517,183905,658003,,,,646003,,,,1190691
Chugoku,2006,123592,123592,,,740314,20000,720314,,,,699561,863906,121509,134718,128489,152,,6076,-13209,,,742397,45000,44847,697550,,,,690550,,,,863906
Shikoku,2006,48532,48532,,,196317,70000,126317,,,,116884,244849,71422,91106,75216,73,,15817,-19684,,,173427,20000,19927,153500,,,,152500,,,,244849
