Company,Year_term,Fund requirements (construction funds) (M. JPY),Construction funds (M. JPY),Deferred payment for imported products (M. JPY),Deferred payment for domestic products   (M. JPY),Amortization (M. JPY),Bonds (M. JPY),Borrowings (M. JPY),Commercial bank loans (M. JPY),Bond issuing bank loans (M. JPY),Governmental financial institution (M. JPY),Other loans (M. JPY),Total (M. JPY),Internal funds (M. JPY),Internal reserves (M. JPY),Depreciation (M. JPY),Miscellaneous amortization (M. JPY),Reserves and provisions (M. JPY),Others (M. JPY),Customer contribution &c. (M. JPY),Capital increase (amount of issue) (M. JPY),Net proceeds from capital increase (M. JPY),External funds (M. JPY),"Bonds 
(amount of issue) (M. JPY)","Proceeds from 
bond issue (M. JPY)",Borrowings2 (M. JPY),Commercial bank loans2 (M. JPY),Bond issuing bank loans2 (M. JPY),Governmental financial institution2 (M. JPY),Other loans2 (M. JPY),Deferred payment borrowed money (M. JPY),Foreign capital deferred payment borrowed money (M. JPY),Domestic deferred payment borrowed money (M. JPY),Total2 (M. JPY)
会社名,年期,総工事資金,工事資金,外資延払,国内延払,債務償還,社債,借入金,市中銀行,債券発行銀行,政府系金融機関,その他借入金,合計,自己資金,内部留保,減価償却費,諸償却費,積立金,その他,工事費負担金等,増資発行額,増資手取額,外部資金,社債発行額,社債手取額,借入金2,市中銀行2,債券発行銀行2,政府系金融機関2,その他借入金2,延払借入,外資延払借入,国内延払借入,合計2
Kyushu,1989,338034,338034,,,440218,77275,362943,266389,18699,28641,22890,778252,261633,261899,195874,2746,2291,60987,-265,4178,,516619,112757,110867,405751,272389,13800,41660,58902,,,,778252
Okinawa,1989,29558,29558,,,10431,,10431,80,1342,,8374,39990,11220,14797,10674,,,4123,-3577,,,28770,,,28770,4000,2250,,22520,,,,39990
Hokkaido,1988,122585,122585,,,135985,33202,102783,48540,15614,13056,14807,258571,107531,91863,62894,12576,1024,15367,15668,7720,,151039,40000,39060,111979,46800,11600,22470,23409,,,,258571
Tohoku,1988,173503,173503,,,278918,46270,232647,147536,14047,13155,36834,452422,203243,163111,117193,409,2857,42651,40132,430,,249179,20000,19590,229589,132540,9050,7980,67269,,,,452422
Tokyo,1988,1122291,1122291,,,1799880,156299,1643580,866225,67606,86261,442691,2922172,948042,1019063,723207,8792,6565,280498,-71022,,,1974129,328030,319877,1654252,864400,66300,95650,450097,,,,2922172
Chubu,1988,549913,549913,,,401748,44160,357588,280300,22553,25553,2693,951661,410796,382511,270685,2645,3615,105566,28285,,,540865,115197,112552,428313,296100,24800,67420,10793,,,,951661
Hokuriku,1988,143535,143535,,,110330,36773,73557,23362,7703,3601,29394,253866,77551,56594,35032,1155,1016,19389,20957,11530,,176314,50101,48948,127366,30650,8400,12000,63666,,,,253866
Kansai,1988,638020,638020,,,1391057,75019,1316037,939084,19688,38725,263185,2029078,484629,454415,310146,4541,4746,134981,30214,168,,1544448,196300,191815,1352632,939100,19700,69920,268612,,,,2029078
Chugoku,1988,231315,231315,,,240707,28684,212023,106818,29333,15229,42317,472023,186141,184153,115776,1506,1766,65103,1988,3231,,285881,60000,58510,227371,99511,29340,30630,52000,,,,472023
Shikoku,1988,109097,109097,,,103749,14811,88937,52571,5406,8943,10528,212847,93267,96541,59905,718,1342,34574,-3274,1947,,119580,30000,29389,90191,48000,2000,13900,19291,,,,212847
Kyushu,1988,358626,358626,,,309148,55372,253776,162261,17799,28329,20035,667775,275587,275495,189840,2382,2273,80999,91,4698,,392188,96134,94276,297911,167900,20200,55440,25471,,,,667775
Okinawa,1988,20529,20529,,,11160,,11160,85,1323,,9138,31689,19289,19254,10317,,,8937,34,,,12400,,,12400,,,,12400,,,,31689
Hokkaido,1987,154884,154884,,,123857,28413,95444,42150,14841,14002,13973,278742,90825,87890,66646,1486,1010,18746,2935,30,,187916,58000,56977,130939,57500,20600,25300,15439,,,,278742
Tohoku,1987,150865,150865,,,292014,85119,206894,142602,13293,14741,17233,442879,205865,155184,121348,361,2999,30475,50681,573,,237014,20000,19638,217376,136440,9791,9410,51143,,,,442879
Tokyo,1987,1121680,1121680,,,1841646,245683,1595963,880445,62981,86262,418171,2963327,926220,1023135,720755,7166,6565,288648,-96915,,,2037107,378100,372014,1665092,888000,70000,95010,460082,,,,2963327
Chubu,1987,540200,540200,,,563021,92421,470600,396000,21128,21742,6611,1103221,281432,348319,234463,4509,3615,105732,-66887,,,821789,229643,225982,595807,433000,47700,67200,15307,,,,1103221
Hokuriku,1987,82887,82887,,,69985,24617,45368,21402,7297,3937,3123,152872,44782,42807,36272,1626,990,3918,1975,,,108089,60000,58699,49390,24596,3700,3900,12344,,,,152872
Kansai,1987,628016,628016,,,1329711,133224,1196486,918410,18588,38073,159189,1957727,422576,469189,305407,3462,4717,155602,-46613,8977,,1535151,200000,196696,1338454,938400,25800,65760,234994,,,,1957727
Chugoku,1987,237935,237935,,,258875,47874,211000,113227,27423,11192,41903,496810,176023,151035,114175,941,1761,34157,24988,249,,320786,60000,59270,261516,113253,29400,41050,58912,,,,496810
Shikoku,1987,107739,107739,,,110059,24784,85274,53579,5301,9228,4875,217798,143007,90527,59446,1972,1320,27788,6627,33235,45852,74791,10000,9864,64927,44180,1660,7570,9627,,,,217798
Kyushu,1987,352624,352624,,,298175,57895,240280,151273,17205,29038,19879,650799,272734,271601,185095,2071,2265,82169,1133,,,378065,94561,93010,285054,164800,19600,50200,24054,,,,650799
Okinawa,1987,14213,14213,,,11624,,11624,747,1323,,8941,25837,20337,20232,10166,,,10066,105,,,5500,,,5500,,,,5500,,,,25837
Hokkaido,1986,145348,145348,,,118517,42045,76471,38860,13894,10821,2579,263865,95975,92041,72330,2332,1005,16373,3933,1000,,167890,60218,58660,109229,45200,16100,27940,7089,,,,263865
Tohoku,1986,144999,144999,,,306784,106870,199914,154586,11824,11683,5199,451784,242643,196690,125357,1634,2412,67287,45953,2400,,209140,49588,48055,161084,138799,7969,3610,1999,,,,451784
Tokyo,1986,1130239,1130239,,,1728797,271616,1457180,866155,60860,65560,359454,2859036,1065425,1059409,658293,7636,6532,386947,6015,6500,,1793610,283436,276850,1516759,873100,68760,104970,346038,,,,2859036
Chubu,1986,510402,510402,,,520999,101910,419089,343600,22206,17179,10959,1031401,385035,351384,169471,4496,3597,173820,33651,3580,,646366,143880,139384,506982,373000,28400,61600,11382,,,,1031401
Hokuriku,1986,89393,89393,,,65754,17960,47794,20932,6948,3356,6950,155147,54536,48944,33699,1104,980,13160,5592,,,100610,37409,36353,64257,22600,9800,5150,13457,,,,155147
Kansai,1986,656192,656192,,,1323195,146571,1176624,928236,16800,31454,154834,1979387,624024,512541,292708,5097,4634,210102,111483,11022,,1355363,167944,163179,1192184,915800,12500,74180,162804,,,,1979387
Chugoku,1986,281597,281597,,,247378,54060,193318,98616,26424,7214,44028,528976,152210,166891,109973,3641,1752,51524,-14680,1742,,376766,126753,123721,253044,110389,33400,42150,43805,,,,528976
Shikoku,1986,102991,102991,,,118555,35127,83428,53683,5502,9537,3291,221547,122326,98038,59553,626,1096,36761,24288,4257,,99220,17780,17451,81769,54590,5090,6270,4179,,,,221547
Kyushu,1986,372221,372221,,,286530,58940,227590,143184,16258,25168,21273,658751,294612,274629,184441,2465,2254,85467,19983,2242,,364138,92243,89841,274297,153800,18100,53380,24217,,,,658751
Okinawa,1986,12569,12569,,,11441,,11441,955,1323,,8550,24010,22010,21264,10672,,,10592,746,,,2000,,,2000,,,,2000,,,,24010
Hokkaido,1985,136211,136211,,,101024,29690,71334,36930,12149,8891,4232,237236,108301,99616,75041,11157,1000,12416,8685,,,128934,39655,38393,90541,38200,14400,19490,8651,,,,237236
Tohoku,1985,134400,134400,,,283783,67100,216683,146414,10087,8677,37677,418184,114082,166323,129755,2077,2400,32090,-52241,,,304102,73400,71323,232779,154440,12600,13930,32909,,,,418184
Tokyo,1985,1104353,1104353,,,1691314,234529,1456785,810887,49414,58491,448300,2795667,949361,883108,619319,9381,6500,247908,66252,,,1846306,311061,301866,1544439,826000,63414,156750,392852,,,,2795667
Chubu,1985,414447,414447,,,481777,87470,394307,320600,22339,16912,10313,896225,294741,250534,154999,4160,3580,87795,44207,,,601483,147561,143400,458083,326000,29600,52500,17083,,,,896225
Hokuriku,1985,71030,71030,,,66269,19882,46387,20591,6349,3360,6846,137299,78034,58683,33237,1352,880,23212,-10743,21460,30094,59265,10000,9724,49540,21500,7140,3250,7363,,,,137299
Kansai,1985,476910,476910,,,1177400,117907,1059492,874022,15027,24961,103007,1654310,522713,476355,304736,2855,4531,164233,46358,6851,,1131596,100578,97831,1033765,862400,13800,36190,86575,,,,1654310
Chugoku,1985,274754,274754,,,216523,40760,175763,86295,25371,7147,41089,491278,166172,135710,91574,2368,1743,40023,30461,,,325106,84079,82184,242921,102132,35200,46770,33919,,,,491278
Shikoku,1985,86989,86989,,,117041,33424,83617,52047,5662,8333,6605,204031,108418,93277,60714,745,1059,30757,15140,2699,,95612,19376,18655,76957,51950,7060,1400,4637,,,,204031
Kyushu,1985,338181,338181,,,253784,51530,202254,134547,13101,14339,22844,591965,265085,269448,168981,2639,2243,95584,-4362,,,326879,80555,77915,248964,141800,11900,56840,22924,,,,591965
Okinawa,1985,9527,9527,,,12672,1789,10883,1030,1342,,7898,22199,16699,14336,11182,,,3154,2363,,,5500,,,5500,,,,5500,,,,22199
Hokkaido,1984,124486,124486,,,127155,29010,98145,34660,10626,7632,37586,251642,70917,67093,62731,1557,1000,1804,3823,,,180724,51805,50411,130313,37500,15400,22050,44163,,,,251642
Tohoku,1984,179455,179455,,,230427,57867,172560,134591,8330,7252,10996,409882,140147,168913,133432,1602,2400,31478,-28765,,,269735,56347,54744,214990,150640,13350,26190,3410,,,,409882
Tokyo,1984,1095499,1095499,,,1612187,168283,1443903,768372,41594,46573,509194,2707686,620112,667499,529126,9724,6500,122148,-47386,,,2087573,304396,294701,1792872,802500,76594,170100,598548,,,,2707686
Chubu,1984,305944,305944,,,437873,89610,348263,278800,20748,16363,10089,743817,180215,213017,156983,4223,3580,48231,-32802,,,563602,163090,158866,404736,304000,25500,40300,5136,,,,743817
Hokuriku,1984,57840,57840,,,67322,26445,40877,20078,6370,3660,2317,125162,65593,43922,32164,597,785,10374,21671,,,59569,20347,19755,39813,20250,6710,3400,563,,,,125162
Kansai,1984,551627,551627,,,1115535,114572,1000963,844004,13214,20191,83165,1667162,390729,409258,278354,4673,4465,121765,-18528,5085,,1276433,154813,150268,1126164,874100,29200,62870,100194,,,,1667162
Chugoku,1984,264977,264977,,,176208,39500,136708,79923,23056,7583,12492,441186,123416,115520,85814,1976,1743,25986,7896,,,317769,70970,68997,248772,94785,37200,59580,30707,,,,441186
Shikoku,1984,90469,90469,,,130221,29781,100439,51251,5431,6587,27073,220690,100580,97473,63688,829,1034,31922,3107,242,,120109,27095,26544,93564,51250,5430,2230,24554,,,,220690
Kyushu,1984,319203,319203,,,228464,47110,181354,119700,10990,12333,23318,547667,231071,214732,142709,1799,2243,67980,16339,,,316595,61857,60057,256538,131200,16400,66310,23928,,,,547667
Okinawa,1984,10277,10277,,,10650,389,10261,1155,1323,,7194,20927,14727,14668,8938,,,5730,59,,,6200,,,6200,,,,6200,,,,20927
Hokkaido,1983,139743,139743,,,87220,20740,66480,30510,8698,7068,13890,226964,74192,72321,61561,7384,1000,2375,1870,,,152772,36000,34944,117827,40300,25300,18450,15077,,,,226964
Tohoku,1983,273908,273908,,,189731,48310,141421,109755,7335,6749,6851,463639,122011,144861,103260,2287,2400,36914,-22849,,,341627,76922,74635,266992,154840,24300,34590,8562,,,,463639
Tokyo,1983,1208684,1208684,,,1314856,194452,1120404,714431,38515,39571,272059,2523541,823696,651026,455749,7350,6500,181426,172670,,,1699844,252442,245092,1454751,758500,87315,156680,308772,,,,2523541
Chubu,1983,311924,311924,,,305393,79570,225823,164600,18766,14660,8098,617317,365962,234844,154794,1664,3580,74806,52539,64240,78579,251355,35594,34568,216787,134000,18900,43250,3337,,,,617317
Hokuriku,1983,50187,50187,,,74478,18015,56463,35547,6934,4243,2251,124665,60024,50238,32631,148,785,16672,9786,,,64640,4000,3857,60783,36750,9270,3520,753,,,,124665
Kansai,1983,598508,598508,,,992686,136061,856625,764604,11906,20064,23363,1591195,500220,350115,223176,3785,4413,118741,150105,5206,,1090975,127388,123677,967298,814700,23500,43090,15308,,,,1591195
Chugoku,1983,206710,206710,,,148074,32225,115849,69180,20386,8628,6084,354785,158140,120229,86476,1035,1743,30974,37910,,,196644,37473,36433,160210,74145,27500,27920,12645,,,,354785
Shikoku,1983,96805,96805,,,147586,25864,121722,83576,5042,7543,16565,244391,94573,92539,63978,811,1031,26717,2034,2,,149818,24766,23956,125862,86800,6290,12630,8902,,,,244391
Kyushu,1983,352315,352315,,,210217,39182,171034,107630,9916,12216,29217,562532,248739,194484,119461,7242,2243,65537,54255,1582,,313792,61555,59620,254172,121600,22400,49130,29642,,,,562532
Okinawa,1983,10529,10529,,,10437,342,10095,1630,1323,,6553,20966,17966,17553,9502,,,8051,413,,,3000,,,3000,,,,3000,,,,20966
Hokkaido,1982,147168,147168,,,67545,16060,51485,30630,7079,6891,1554,214714,90081,65024,53942,2527,1153,7401,-27,23530,25084,124632,21000,20355,104276,38800,21000,24200,4576,,,,214714
Tohoku,1982,279398,279398,,,152526,36410,116116,85302,6545,5926,7979,431924,31758,103069,84232,5127,2400,11309,-71310,,,400166,161563,156442,243724,130340,26500,32890,3594,,,,431924
Tokyo,1982,1128046,1128046,,,1047473,132488,914984,657766,27142,31294,144081,2175519,631036,508875,379848,6250,6500,116277,122161,,,1544482,190786,184536,1359946,721000,113042,150340,169100,,,,2175519
Chubu,1982,376032,376032,,,249097,62220,186877,130000,16840,14033,6476,625129,221640,201631,148887,5156,2937,44651,20009,,,403489,113161,109751,293738,177000,29200,50500,3538,,,,625129
Hokuriku,1982,52654,52654,,,64195,12065,52130,31921,5888,4237,2764,116849,12558,31044,31937,972,785,-2651,-18485,,,104290,34847,33881,70409,35600,13000,4800,929,,,,116849
Kansai,1982,589658,589658,,,858144,105438,752706,673536,10190,18056,13150,1447802,380700,287043,219889,7152,3816,56186,1661,78998,91996,1067102,143934,139453,927649,748600,27600,48560,13889,,,,1447802
Chugoku,1982,152688,152688,,,125132,24845,100287,64952,12359,6019,7374,277820,119953,87688,76721,1136,1743,8088,32265,,,157867,34758,33619,124248,69960,21340,9690,5738,,,,277820
Shikoku,1982,131454,131454,,,89427,20020,69406,44982,4510,5204,6670,220881,96405,101403,54025,1100,1031,45246,-4998,,,124476,32507,31408,93068,50600,7300,17910,4288,,,,220881
Kyushu,1982,351483,351483,,,179084,35532,143551,91750,6905,12345,21328,530567,141844,141881,105353,2807,2221,31498,-36,,,388722,113543,109716,279006,116600,29000,56050,31956,,,,530567
Okinawa,1982,11877,11877,,,8915,280,8635,1783,933,,5511,20792,9792,9595,6810,,,2785,197,,,11000,,,11000,510,675,,9500,,,,20792
Hokkaido,1981,133964,133964,,,46157,9940,36217,18420,5896,5559,1180,180121,52605,54281,41508,1845,600,10328,-1676,1499,,127516,31000,29924,97592,30000,25400,17760,4632,,,,180121
Tohoku,1981,283171,283171,,,128616,23660,104956,69418,6552,5510,9631,411787,96560,131779,76209,10019,2013,43538,-97494,57930,62275,315227,140000,135186,180041,99440,22600,10965,1136,,,,411787
Tokyo,1981,1194120,1194120,,,945210,68103,877107,621552,21492,27501,134620,2139330,583446,474749,425564,11421,5851,31913,-32043,129800,140740,1555884,230000,222121,1333763,678000,108992,124300,197068,,,,2139330
Chubu,1981,352797,352797,,,195011,35700,159311,101000,14816,12109,6088,547808,204287,207129,147435,6744,2938,50012,-2842,,,343521,110000,106219,237302,138000,27200,30560,2742,,,,547808
Hokuriku,1981,71806,71806,,,52019,6965,45054,28228,5338,2380,2227,123825,28096,46984,32673,1036,786,12489,-18888,,,95729,29000,27973,67756,31900,12450,6900,806,,,,123825
Kansai,1981,521799,521799,,,711034,53826,657208,585676,10052,16145,8670,1232833,219008,300277,208559,6650,3597,81471,-81269,51,,1013825,195000,188352,825473,655700,28400,43730,14643,,,,1232833
Chugoku,1981,213585,213585,,,108704,15155,93549,62895,11333,5607,3972,322289,72998,95947,73041,3390,1396,18120,-68340,41466,45391,249291,66000,63722,185569,72470,36300,23460,21639,,,,322289
Shikoku,1981,124927,124927,,,73490,11026,62464,38047,4106,4022,8544,198417,52965,33031,57223,1602,1032,-26826,19934,330,,145452,45000,43447,102005,50320,9700,20260,4025,,,,198417
Kyushu,1981,333108,333108,,,163399,23097,140302,76510,9566,9288,30631,496507,185276,138898,103506,2590,1885,30917,-2769,45992,49147,311231,85000,82091,229140,91200,28900,33710,31130,,,,496507
Okinawa,1981,13206,13206,,,8059,281,7778,1457,813,,5156,21265,10165,9883,6691,,,3192,282,,,11100,,,11100,,,,11100,,,,21265
Hokkaido,1980,144763,144763,,,38385,9240,29145,13474,5955,3516,627,183148,40680,35896,29734,2030,600,3532,4784,1470,,142468,61000,59240,83228,22100,20500,21120,808,,,,183148
Tohoku,1980,245397,245397,,,109047,21280,87767,59347,6632,5231,3693,354444,114480,112901,63311,1855,1821,45914,1579,3570,,239964,91000,88254,151710,74350,14700,33370,260,,,,354444
Tokyo,1980,1167879,1192616,74,-24811,872966,75139,797827,586832,22120,19976,75040,2040845,623444,515847,338093,8241,5202,164311,107597,10200,,1442138,270000,262118,1180020,594050,99320,141970,125399,-24737,74,-24811,2040845
Chubu,1980,340882,340882,,,178675,31150,147525,89000,12263,11395,13253,519557,243283,221002,130727,1668,2938,85669,22281,5760,,276274,68000,65996,210278,106000,31600,24270,3068,,,,519557
Hokuriku,1980,81893,81893,,,47584,6685,40899,25931,4632,2381,1346,129477,51829,50642,19623,563,786,29670,1187,1540,,77648,17000,16499,61149,28250,9350,10400,949,,,,129477
Kansai,1980,555679,555679,,,642957,52545,590412,492656,9778,13664,36815,1198636,426050,326837,199752,4129,3597,119359,99213,7063,,772586,125000,121110,651476,522700,14700,51730,13546,,,,1198636
Chugoku,1980,213544,213544,,,96725,13335,83390,51664,15732,4807,3029,310269,128334,98390,55031,2877,1328,39154,29944,,,181935,52000,50354,131581,53117,30640,21050,1034,,,,310269
Shikoku,1980,131537,131537,,,94053,9891,84162,30511,4285,4271,37694,225590,84041,78608,32416,1426,858,43908,-14985,22436,20418,141549,34000,32953,108596,44500,11300,19010,14486,,,,225590
Kyushu,1980,297097,297097,,,146668,16048,130620,64090,8051,7928,39099,443765,183935,152848,77208,1683,1749,72208,31087,4220,,259830,70000,67879,191951,80900,28400,21110,19141,,,,443765
Okinawa,1980,18798,18798,,,7712,252,7460,1404,786,,4931,26510,510,256,5696,,,-5440,254,,,26000,,,26000,3842,5085,,14700,,,,26510
Hokkaido,1979,133695,133695,,,31606,6650,24956,10524,5054,3318,1984,165301,33428,24765,21885,1019,,1861,8663,,,131873,56500,54831,77042,17200,17700,24660,3782,,,,165301
Tohoku,1979,190010,190010,,,90853,16835,74018,50517,6126,5147,953,280863,35468,31305,45003,941,1071,-15710,4163,,,245395,115000,111580,133815,65540,13150,17120,12735,,,,280863
Tokyo,1979,960083,961966,2082,-3965,732161,57570,674591,483312,22255,16533,77221,1692244,125512,228672,229919,12390,3060,-16697,-103160,,,1568615,416362,403972,1164643,558100,103455,109080,172182,-1883,2082,-3965,1692244
Chubu,1979,308641,308641,,,152802,31510,121292,71000,10500,10845,12122,461443,90927,70745,97272,1508,1728,-29763,-54966,66609,75148,370516,110000,106715,263801,110000,41800,37200,19041,,,,461443
Hokuriku,1979,98978,98978,,,41758,5705,36053,22474,3884,2407,1598,140736,16197,11618,17609,2113,485,-8589,-15298,18070,19877,124539,55000,53373,71166,25450,10650,14700,6466,,,,140736
Kansai,1979,389116,389116,,,601605,45069,556536,487002,11874,11787,12909,990721,109570,144353,155888,4922,2470,-18927,-92828,59013,58045,881151,135000,130966,750185,567034,23310,26170,46571,,,,990721
Chugoku,1979,171347,171347,,,72368,12785,59583,39092,4122,4547,5588,243715,-9289,1263,38192,2160,781,-39870,-10552,,,253004,88000,85366,167638,61627,39060,23580,12986,,,,243715
Shikoku,1979,130303,130303,,,51897,7115,44782,26807,4048,4383,3199,182200,29531,26410,29285,1153,563,-4591,3121,265,,152669,34617,33474,119195,35800,9050,18800,40975,,,,182200
Kyushu,1979,262960,262045,,915,107936,23843,84093,51000,7254,7112,8841,370896,46798,49825,57669,1107,1023,-9974,-48438,41699,45411,323183,100000,97039,226144,72000,28300,31540,48004,915,,915,370896
Okinawa,1979,12693,12693,,,6798,193,6605,1384,648,,4297,19491,4591,4280,5449,,,-1169,311,,,14900,,,14900,1190,1575,,11400,,,,19491
Hokkaido,1978,113463,113463,,,39843,13463,26380,12977,6193,2652,1367,153306,45453,24236,18511,2942,651,2132,2093,16933,19124,107853,38000,37031,70822,18000,14900,24260,4062,,,,153306
Tohoku,1978,218590,218590,,,97789,33430,64359,44811,5617,3767,1156,316379,135622,65578,43120,3194,1402,17862,22045,41869,47999,180757,75000,73076,107681,54811,11600,11260,9010,,,,316379
Tokyo,1978,1023039,991994,2269,28776,696806,116620,580186,424692,18530,13730,36832,1719845,416199,274422,177516,10554,4847,81505,25795,101041,115982,1272601,310000,302150,970451,462000,76530,137517,150886,31045,2269,28776,1719845
Chubu,1978,300433,300433,,,194998,71046,123952,93250,8448,7451,1070,495431,158693,144397,111540,4196,2214,26447,14296,,,336738,117000,114043,222695,110000,29300,20730,31165,,,,495431
Hokuriku,1978,81282,81282,,,49487,14242,35245,20853,3626,2483,1857,130769,41056,28216,16730,893,590,10003,12840,,,89713,34500,33614,56099,21850,8273,11490,2676,,,,130769
Kansai,1978,502702,502540,162,,478084,92310,385774,318620,8303,10484,10980,980786,214995,180620,140970,5928,2935,30787,34375,276,,765629,221107,215184,550445,371600,19900,30460,63615,162,162,,980786
Chugoku,1978,173551,173551,,,72343,23867,48476,28753,3069,3236,6166,245894,88564,51010,41103,1657,1302,6948,-974,35608,38528,157330,52000,50674,106656,38444,23000,7070,13442,,,,245894
Shikoku,1978,107035,107035,,,55054,15535,39519,23611,3235,3941,1507,162089,56910,41827,29922,1410,801,9694,-5181,18314,20264,105179,33000,32094,73085,32460,7730,9400,9385,,,,162089
Kyushu,1978,256526,252466,,4060,101529,33108,68421,42380,6652,5169,6464,358055,101219,81303,50614,3297,1285,26107,19916,1496,,252776,100000,97451,155325,52300,17200,39060,22965,4060,,4060,358055
Okinawa,1978,9850,9850,,,6642,374,6268,1166,763,,4204,16492,9842,8533,5130,,,3403,1309,,,6650,,,6650,272,360,,5850,,,,16492
Hokkaido,1977,86305,86305,,,25674,9331,16343,3413,5345,1955,3104,111979,30737,23199,15534,2386,566,4713,7538,,,81242,28000,27268,53974,11600,17400,10830,2644,,,,111979
Tohoku,1977,149955,149955,,,75162,24206,50956,33263,5284,3273,1307,225117,84591,60049,41655,1583,1366,15445,24542,,,140526,58000,56418,84108,48263,11300,2515,2170,,,,225117
Tokyo,1977,736372,737715,3099,-4442,485185,85497,399688,256820,15805,10508,56436,1221557,259153,219747,143104,8464,4090,64089,39406,,,963747,310000,301711,662036,310000,64105,40354,127112,-1343,3099,-4442,1221557
Chubu,1977,278676,278676,,,153376,48045,105331,78000,6215,5169,4990,432052,151623,109186,62690,3170,2214,41112,42437,,,280429,117000,113872,166557,72500,33400,20950,2677,,,,432052
Hokuriku,1977,51217,51217,,,45827,10453,35374,20911,3339,1815,3952,97044,42317,23281,17212,455,590,5024,19036,,,54727,17000,16559,38168,19000,7859,,1009,,,,97044
Kansai,1977,391145,389938,1207,,393514,73223,320291,264260,8199,8478,7494,784659,206325,157993,112733,11867,2934,30459,48332,,,577127,157000,152778,424349,311000,20500,20740,11079,1207,1207,,784659
Chugoku,1977,128390,128390,,,52168,15528,36640,24467,2738,2792,1305,180558,55390,38153,29317,1710,946,6180,17237,,,125168,52000,50609,74559,29594,18800,4010,2095,,,,180558
Shikoku,1977,90119,90119,,,44353,11264,33089,19103,2474,3105,2679,134472,40773,43920,27606,750,618,14946,-3149,2,2,93699,25000,24358,69341,29076,7540,12010,6535,,,,134472
Kyushu,1977,180185,180185,,,82545,23690,58855,38830,5026,4258,1306,262730,120659,85285,55521,1748,1273,26743,15505,25804,19869,142071,56000,54526,87545,41800,10400,13730,4135,,,,262730
Okinawa,1977,14500,14500,,,5269,,5269,1337,234,,3614,19769,4469,4109,4377,,,-268,360,,,15300,,,15300,1360,1800,,11300,,,,19769
Hokkaido,1976,71240,71240,,,17343,7346,9997,3763,2603,1577,87,88583,13283,15542,12311,2322,507,402,-2259,1115,,75300,37000,35979,39321,9500,12100,5930,2621,,,,88583
Tohoku,1976,148167,148167,,,62208,17624,44584,28420,5039,2456,1423,210375,38113,55133,37074,6594,1224,10241,-17020,2692,,172262,100000,97219,75043,41420,10047,5100,2436,,,,210375
Tokyo,1976,581861,572121,9363,377,357443,67276,290167,192720,14488,8510,12700,939304,268454,181033,117455,18768,3665,41145,87419,8060,2,661110,270000,262520,398590,227720,46188,27780,18052,9740,9363,377,939304
Chubu,1976,263441,263441,,,116794,35299,81495,59000,4975,4341,3762,380235,116965,109228,75626,5626,1984,25992,7737,4362,,263270,120000,116661,146609,55000,33729,16780,3270,,,,380235
Hokuriku,1976,39433,39433,,,38069,7833,30236,20007,2887,1402,1495,77502,27146,30876,17618,1889,466,10903,-3730,1161,,50356,15000,13612,36744,21150,6037,360,1127,,,,77502
Kansai,1976,380415,362194,18221,,309237,53407,255830,215960,6144,6797,2773,689652,193163,141193,105462,3769,2629,29333,51970,5780,,478268,152000,147774,330494,238000,16800,21430,2264,18221,18221,,689652
Chugoku,1976,107608,107608,,,50787,11279,39508,28815,2083,1689,2412,158395,31147,33530,25283,1517,848,5882,-2383,,,127248,60000,58260,68988,29329,16110,4530,1754,,,,158395
Shikoku,1976,85434,85261,,173,35581,11121,24460,16125,1856,2146,546,121015,27032,23216,16685,2523,554,3454,3816,1220,,93810,33000,32080,61730,29100,7461,7780,2829,173,,173,121015
Kyushu,1976,184301,184301,,,60285,17829,42456,24960,4217,3767,1229,244586,71579,65059,48602,3032,912,12513,6520,2018,,173007,68013,66147,106860,43400,16100,15620,6100,,,,244586
Okinawa,1976,10897,10897,,,5488,,5488,3210,52,,2226,16385,129,,3998,,,-3998,129,,,16256,,,16256,2198,3960,,8250,,,,16385
Hokkaido,1975,68006,68006,,,14409,6481,7928,2513,2253,1533,68,83258,23380,16202,10993,739,417,4053,-7144,19093,14322,59878,30000,29088,30790,6800,9500,5270,2495,,,,83258
Tohoku,1975,128744,126208,,2536,54656,15689,38967,21620,4930,2396,1942,185859,47267,33327,26436,1377,944,4570,-10091,30603,24031,136056,70000,67913,68143,33620,9480,6489,2722,2536,,2536,185859
Tokyo,1975,359483,345458,3818,10207,325608,62096,263512,186260,12986,6733,4904,708778,222408,135218,105632,4998,3378,21210,15086,94809,72104,470448,183000,177385,293063,167500,30803,17350,11510,15922,4508,11414,708778
Chubu,1975,190804,190804,,,97302,33420,63882,46500,4106,4248,812,294600,95044,72982,48831,5559,1955,16637,-21830,57449,43892,199556,90000,87276,112280,50000,20999,11500,3621,,,,294600
Hokuriku,1975,39377,39377,,,33697,7443,26254,17798,3147,1302,191,75155,22330,19194,12530,645,351,5668,-7181,14207,10317,52825,15500,15027,37798,19900,6819,2600,764,,,,75155
Kansai,1975,275475,268189,7286,,274210,45449,228761,198720,5102,5311,1524,580589,169511,97625,72602,3453,2142,19428,26820,60695,45066,401752,100000,96947,304805,217000,15900,13830,8159,9326,9326,,580589
Chugoku,1975,77874,77874,,,41028,8538,32490,24346,1621,1514,2328,122803,27090,29729,21033,882,835,6979,-2639,,,95713,37000,35862,59851,26646,10780,8300,2065,,,,122803
