Manufacturing_
Machinery_Total Manufacturing (MWh)","Mining and Manufacturing_
Total of Mining and Manufacturing (MWh)",Others_Railways (MWh),Others_Other than railways (MWh),Others_Total Others (MWh),Grand total (MWh)
会社名,年期,鉱工業_鉱業_石炭鉱業,鉱工業_鉱業_その他,鉱工業_鉱業_鉱業計,鉱工業_製造業_食料品製造業,鉱工業_製造業_繊維工業,鉱工業_製造業_パルプ紙紙加工品製造業,鉱工業_製造業_化学工業_アンモニア系肥料製造業,鉱工業_製造業_化学工業_石灰窒素製造業電炉工業,鉱工業_製造業_化学工業_ソーダ工業,鉱工業_製造業_化学工業_石油化学系基礎製品製造業,鉱工業_製造業_化学工業_化学繊維製造業,鉱工業_製造業_化学工業_その他,鉱工業_製造業_化学工業_化学工業計,鉱工業_製造業_化学工業_石油製品石炭製品製造業,鉱工業_製造業_化学工業_ゴム製品製造業,鉱工業_製造業_窯業土石製品製造業_セメント製造業,鉱工業_製造業_窯業土石製品製造業_その他,鉱工業_製造業_窯業土石製品製造業_窯業土石製品製造業計,鉱工業_製造業_鉄鋼業_高炉による製鉄業,鉱工業_製造業_鉄鋼業_その他,鉱工業_製造業_鉄鋼業_鉄鋼業計,鉱工業_製造業_非鉄金属製造業_アルミニウム第一次製錬精製業,鉱工業_製造業_非鉄金属製造業_その他,鉱工業_製造業_非鉄金属製造業_非鉄金属製造業計,鉱工業_製造業_機械器具製造業_電気機械器具製造業,鉱工業_製造業_機械器具製造業_輸送用機械器具製造業,鉱工業_製造業_機械器具製造業_その他,鉱工業_製造業_機械器具製造業_機械器具製造業計,鉱工業_製造業_機械器具製造業_その他2,鉱工業_製造業_機械器具製造業_製造業計,鉱工業_機械器具製造業_鉱工業計,その他_鉄道業,その他_その他,その他_その他計,合計
Hokkaido,200001,12256,2526,14782,61417,0,67037,0,0,15810,325,0,13406,29541,4130,250,11708,3079,14787,12153,39005,51158,0,0,0,33027,14998,686,48711,32339,309370,324152,38460,62446,100906,425058
Tohoku,200001,0,10602,10602,91918,15835,59675,4048,29142,28895,0,0,84777,146862,3012,20005,32417,35631,68048,0,230171,230171,0,209708,209708,405590,83268,76482,565340,155944,1566518,1577120,133290,142252,275542,1852662
Tokyo,200001,,17362,17362,375888,10932,240635,38190,,102166,218385,15094,332864,706699,23713,77393,58430,172535,230965,143466,457330,600796,7724,399745,407469,695272,514071,289402,1498745,715914,4889149,4906511,532065,911017,1443082,6349593
Chubu,200001,0,3982,3982,151256,78932,134233,0,0,15712,17039,57931,152146,242828,10094,63647,20584,170274,190858,102,454337,454439,30290,129186,159476,356933,834467,190795,1382195,352142,3220100,3224082,248082,220874,468956,3693038
Hokuriku,200001,,14848,14848,14059,84765,25847,10552,,20099,,18052,57181,105884,4238,1704,7597,24917,32514,,72102,72102,,50019,50019,113119,22355,37565,173039,110627,674798,689646,26333,42427,68760,758406
Kansai,200001,,8448,8448,172322,63353,74461,,,85673,51530,28097,207290,372590,14400,33054,6924,197424,204348,35774,557612,593386,,129153,129153,365593,133929,134476,633998,351578,2642643,2651091,405201,415176,820377,3471468
Chugoku,200001,,14642,14642,49685,18010,40723,212,,32524,54543,11621,52826,151726,2716,25432,19775,45742,65517,189612,321506,511118,,109937,109937,147049,127982,45112,320143,90721,1385728,1400370,104091,111399,215490,1615860
Shikoku,200001,,3796,3796,25274,14852,100196,,8726,40650,4712,19717,50652,124457,26592,3862,2303,984,3287,,71699,71699,,,,64249,7711,21420,93380,37656,501255,505051,9020,35724,44744,549795
Kyushu,200001,7232,11251,18483,103006,19341,33108,216,26399,33338,13551,18730,56339,148573,8672,36937,87310,26422,113732,97252,149313,246565,,53692,53692,376582,68030,30380,474992,114584,1353202,1371685,82996,151981,234977,1606662
Okinawa,200001,,680,680,5962,,683,,,573,,,701,1274,3872,,6298,,6298,,11313,11313,,726,726,,,,,799,30927,31607,,33948,33948,65555
Hokkaido,199912,14095,3460,17555,68053,0,72401,0,0,16200,328,0,14440,30968,6093,255,16535,4084,20619,10418,43837,54255,0,0,0,33431,14638,748,48817,37586,339047,356602,31184,63144,94328,450930
Tohoku,199912,0,12160,12160,104752,17468,63759,3610,30682,29487,0,0,86178,149957,3296,21792,45192,39362,84554,0,247704,247704,0,208194,208194,415799,87711,81519,585029,169089,1655594,1667754,140704,149692,290396,1958150
Tokyo,199912,,20223,20223,423827,12325,271435,40759,,115084,234082,17363,364540,771828,41305,86313,84995,190360,275355,161266,485757,647023,7346,419465,426811,746565,556543,310405,1613513,814512,5384247,5404470,529550,948117,1477667,6882137
Chubu,199912,0,4484,4484,168891,87599,145742,0,0,16599,20579,59544,159279,256001,11612,66445,26261,182854,209115,768,475395,476163,31970,132703,164673,360870,834591,195501,1390962,376639,3353842,3358326,225229,227180,452409,3810735
Hokuriku,199912,,15192,15192,16028,90877,27780,10288,,20619,,16524,59249,106680,4527,1757,13030,27311,40341,,76857,76857,,53225,53225,115839,23449,39393,178681,114289,711042,726234,25575,42466,68041,794275
Kansai,199912,,9546,9546,195403,68671,83540,,,92090,59582,28947,219904,400523,15214,34433,11617,199618,211235,28386,578777,607163,,140461,140461,384359,136340,139892,660591,379390,2796624,2806170,400739,431746,832485,3638655
Chugoku,199912,,16965,16965,56213,19109,45092,294,,38639,57586,10297,52212,159028,5328,27265,14598,47789,62387,173633,345803,519436,,109761,109761,153107,129783,46169,329059,94549,1427227,1444192,102851,116681,219532,1663724
Shikoku,199912,,4282,4282,27710,16638,107370,,9044,41033,4473,21727,50724,127001,27065,4064,1843,1460,3303,,67737,67737,,,,65083,8258,21461,94802,39403,515093,519375,8912,35910,44822,564197
Kyushu,199912,6458,13197,19655,117050,20473,35956,227,32144,33059,12731,18669,58441,155271,8351,40497,102399,27522,129921,85610,155674,241284,,55508,55508,384435,71692,30612,486739,122402,1413452,1433107,79243,158137,237380,1670487
Okinawa,199912,,720,720,5803,,599,,,534,,,579,1113,3462,,6839,,6839,,15176,15176,,772,772,,,,,867,34631,35351,,32798,32798,68149
Hokkaido,199911,13302,3658,16960,70152,0,80685,0,0,15357,269,0,14941,30567,5784,253,12958,4915,17873,10443,48630,59073,0,0,0,33119,15591,729,49439,37656,351482,368442,28858,58025,86883,455325
Tohoku,199911,0,11313,11313,102468,17124,70813,3641,18989,27186,0,0,90500,140316,3131,23105,33784,37948,71732,0,251803,251803,0,207093,207093,410593,88213,79889,578695,171809,1638089,1649402,117798,138906,256704,1906106
Tokyo,199911,,18502,18502,434365,12085,277307,37597,,110703,249729,16402,370870,785301,41695,85505,83803,187783,271586,181914,496865,678779,7387,420273,427660,750996,566024,300996,1618016,826538,5458837,5477339,480085,936652,1416737,6894076
Chubu,199911,0,4276,4276,174919,91804,153575,0,0,17108,30878,63762,167507,279255,12594,70912,24550,181113,205663,868,499038,499906,10756,138093,148849,368744,920927,195613,1485284,386654,3509415,3513691,217699,218811,436510,3950201
Hokuriku,199911,,5282,5282,15895,91123,30466,8773,,19443,,21913,59533,109662,4510,1839,14403,26641,41044,,75810,75810,,54990,54990,115338,25250,36926,177514,114518,717371,722653,23079,40034,63113,785766
Kansai,199911,,9126,9126,200414,68838,87688,,,87159,54849,31145,231752,404905,15311,34926,11285,197488,208773,31520,591650,623170,,148747,148747,388229,142332,137158,667719,389005,2849496,2858622,367799,414288,782087,3640709
Chugoku,199911,,16397,16397,56676,19857,46519,262,,33406,55179,13721,53786,156354,4039,27364,11172,48378,59550,170129,339581,509710,,101442,101442,151758,128864,44937,325559,95896,1402966,1419363,98122,107840,205962,1625325
Shikoku,199911,,3807,3807,27558,16446,105631,,8556,37034,5032,20737,53486,124845,25145,4279,2776,1485,4261,,66166,66166,,,,65883,8626,22579,97088,40330,511749,515556,8001,34132,42133,557689
Kyushu,199911,6156,12169,18325,117695,20662,36277,229,30044,30976,15829,18426,59442,154946,8300,41303,94386,27420,121806,87426,154201,241627,,53081,53081,387665,74382,30617,492664,122690,1411051,1429376,73373,148440,221813,1651189
Okinawa,199911,,592,592,6479,,623,,,547,,,730,1277,3685,,6251,,6251,,10555,10555,,724,724,,,,,879,30473,31065,,36035,36035,67100
Hokkaido,199910,13666,3738,17404,80363,0,90552,0,0,14384,284,0,14648,29316,5925,264,20242,4977,25219,12146,49103,61249,0,0,0,33933,14714,756,49403,38981,381272,398676,26480,58803,85283,483959
Tohoku,199910,0,10864,10864,109061,17330,95134,3736,19221,29051,0,0,90967,142975,3370,23364,37998,39264,77262,0,253648,253648,0,211170,211170,425369,85393,80230,590992,175046,1699352,1710216,119811,139865,259676,1969892
Tokyo,199910,,18583,18583,470003,12662,288848,39734,,120499,258884,19667,394321,833105,44175,88709,78622,191682,270304,190526,509516,700042,7272,434555,441827,791265,562082,313439,1666786,840185,5656646,5675229,505655,987511,1493166,7168395
Chubu,199910,0,4015,4015,186693,94843,156976,0,0,17186,23717,69363,178116,288382,12033,74748,23279,179477,202756,664,497837,498501,8826,140269,149095,385675,943669,199386,1528730,393108,3585865,3589880,222773,229002,451775,4041655
Hokuriku,199910,,6718,6718,16977,94854,36456,8516,,22697,,23483,60471,115167,4682,1898,12190,26484,38674,,63828,63828,,54853,54853,119108,25530,36090,180728,112812,720929,727647,23442,41726,65168,792815
Kansai,199910,,9040,9040,220940,70782,92440,,,92696,69122,32638,244711,439167,20545,36649,10412,203739,214151,40952,614072,655024,,154086,154086,417176,144025,141114,702315,396913,3003012,3012052,386550,451073,837623,3849675
Chugoku,199910,,16698,16698,62141,20851,47657,230,,34260,64763,14130,56604,169987,9619,27665,14633,50137,64770,187460,347796,535256,,105772,105772,159952,127700,45288,332940,98849,1475507,1492205,100849,105904,206753,1698958
Shikoku,199910,,4133,4133,27583,16850,107106,,8425,39088,5355,32466,59102,144436,26657,4360,1556,1634,3190,,66100,66100,,,,71118,9720,22689,103527,40799,540608,544741,7906,35124,43030,587771
Kyushu,199910,7194,12284,19478,128623,22260,38536,222,23947,45434,16329,17480,62230,165642,8484,42879,92597,29233,121830,88718,161025,249743,,59017,59017,413182,76682,31764,521628,128024,1486666,1506144,76349,160427,236776,1742920
Okinawa,199910,,527,527,6558,,556,,,472,,,702,1174,3347,,5196,,5196,,10514,10514,,609,609,,,,,885,28839,29366,,39805,39805,69171
Hokkaido,199909,11796,3668,15464,82576,0,109472,0,0,16588,338,0,14443,31369,5179,261,17725,5007,22732,11553,46843,58396,0,0,0,34296,15587,966,50849,38498,399332,414796,26982,59532,86514,501310
Tohoku,199909,0,10454,10454,117337,17713,63954,4539,21295,28039,0,0,88065,141938,3248,24282,27698,38169,65867,0,231377,231377,0,196116,196116,442294,94552,87401,624247,178981,1665060,1675514,114367,142476,256843,1932357
Tokyo,199909,,17307,17307,518619,13840,283647,32731,,93891,222298,16272,417883,783075,34235,96602,72614,189961,262575,142983,483266,626249,6616,439404,446020,882977,658752,354398,1896127,903522,5864511,5881818,543601,1055572,1599173,7480991
Chubu,199909,0,3993,3993,204829,102177,150684,0,0,15082,15075,60006,185588,275751,11665,80013,24131,179034,203165,190,498516,498706,7097,143335,150432,416108,1050511,226140,1692759,420761,3790942,3794935,224674,238049,462723,4257658
Hokuriku,199909,,6542,6542,18982,98590,28083,7976,,20071,,18621,62601,109269,4685,2047,12855,21499,34354,,51022,51022,,57446,57446,119193,27142,41359,187694,123298,715470,722012,22667,45153,67820,789832
Kansai,199909,,8760,8760,241961,76517,95136,,,86163,67322,34332,257873,445690,17135,40162,9237,199051,208288,41630,599011,640641,,157990,157990,462604,163417,161678,787699,425797,3137016,3145776,413025,468777,881802,4027578
Chugoku,199909,,15498,15498,68818,22653,44172,204,,28218,56130,13038,56908,154498,5563,28868,9593,46349,55942,186172,334790,520962,,103400,103400,169821,153406,51410,374637,102185,1481698,1497196,97107,111364,208471,1705667
Shikoku,199909,,3411,3411,34679,17801,84324,,1922,30639,5131,22273,60215,120180,24002,5031,1731,1550,3281,,34157,34157,,,,74860,10069,25245,110174,42548,476177,479588,8197,37034,45231,524819
Kyushu,199909,7191,10810,18001,137561,23639,35704,243,7242,29828,14337,17531,60285,129466,8538,44077,70513,28453,98966,75551,127143,202694,,54936,54936,425222,85146,33895,544263,133192,1413036,1431037,80333,164945,245278,1676315
Okinawa,199909,,531,531,7158,,564,,,607,,,699,1306,3501,,5630,,5630,,9803,9803,,640,640,,,,,811,29413,29944,,41187,41187,71131
Hokkaido,199908,11938,3622,15560,78871,0,89815,0,0,11389,295,0,13892,25576,3060,233,18666,4546,23212,9121,44439,53560,0,0,0,34238,12416,737,47391,38448,360166,375726,28924,63912,92836,468562
Tohoku,199908,,10138,10138,124790,16442,69988,3870,27902,29969,,,83536,145277,3849,21334,22603,36143,58746,,221572,221572,,181538,181538,446820,78804,81951,607575,167574,1618685,1628823,123532,153000,276532,1905355
Tokyo,199908,,16099,16099,534387,12670,269864,32580,,77885,232287,16584,383086,742422,37402,81132,63422,175770,239192,154654,448697,603351,7107,413939,421046,840548,538553,319749,1698850,830984,5471300,5487399,589835,1111773,1701608,7189007
Chubu,199908,0,3696,3696,207337,90098,140327,0,0,15915,21335,62893,165281,265424,11399,65039,21764,162744,184508,51,420045,420096,9516,123820,133336,403125,848125,209221,1460471,377689,3355724,3359420,241758,244448,486206,3845626
Hokuriku,199908,,9264,9264,19918,93381,27995,8426,,15365,,20035,59317,103143,4776,1760,8560,20207,28767,,46695,46695,,60193,60193,112662,22397,38936,173995,116991,677614,686878,24643,46681,71324,758202
Kansai,199908,,7822,7822,243635,70109,86261,,,72889,68370,33934,240229,415422,18595,35184,9626,194495,204121,33214,551676,584890,,141372,141372,427930,139967,149518,717415,393787,2910791,2918613,446576,477559,924135,3842748
Chugoku,199908,,15202,15202,68572,20304,44789,205,,27152,61774,10643,52906,152680,4629,24945,9954,44375,54329,190500,328675,519175,,104700,104700,166253,128299,47728,342280,97061,1433464,1448666,107447,115436,222883,1671549
Shikoku,199908,,3050,3050,33247,15636,92683,,3740,32949,7580,21251,51543,117063,24477,4480,3222,1442,4664,,30787,30787,,,,74135,8781,21458,104374,39295,466706,469756,8754,38132,46886,516642
Kyushu,199908,6746,11280,18026,137233,21375,35392,213,8037,30180,15139,18362,59514,131445,8559,37887,71249,26237,97486,61806,139308,201114,,56760,56760,426901,72985,31990,531876,126067,1385194,1403220,88778,170238,259016,1662236
Okinawa,199908,,573,573,6969,,593,,,532,,,638,1170,4036,,5706,,5706,,9224,9224,,578,578,,,,,971,29247,29820,,43206,43206,73026
Hokkaido,199907,13445,3661,17106,73206,0,81289,0,0,13622,323,0,13674,27619,1793,305,21410,4721,26131,9494,50192,59686,0,0,0,34964,13897,810,49671,39300,359000,376106,28037,63399,91436,467542
Tohoku,199907,,10745,10745,119148,19274,64993,3524,12764,28165,,,87996,132449,3465,23990,31885,39441,71326,,227525,227525,,157059,157059,453469,95791,87587,636847,181632,1637708,1648453,117287,147860,265147,1913600
Tokyo,199907,,17379,17379,511610,13432,265717,39266,,99136,207213,15548,389553,750716,36212,94515,76044,188770,264814,128161,440029,568190,6493,439283,445776,857420,639816,339613,1836849,886801,5674632,5692011,557730,1081546,1639276,7331287
Chubu,199907,0,4046,4046,205996,102777,151238,0,0,17106,16021,64961,180011,278099,10983,77206,20953,173764,194717,9,479969,479978,2377,136599,138976,413352,1029374,220275,1663001,414644,3717615,3721661,233893,238523,472416,4194077
Hokuriku,199907,,3774,3774,19580,100694,28594,1297,,16911,,19348,60091,97647,4879,1902,10068,18544,28612,,50190,50190,,64755,64755,112444,26886,39768,179098,124987,700938,704712,23441,45531,68972,773684
Kansai,199907,,9018,9018,245004,77012,94747,,,69305,54573,31889,258540,414307,19438,39085,10828,198250,209078,36006,581063,617069,,155932,155932,461276,159815,156807,777898,431594,3081164,3090182,428537,469047,897584,3987766
Chugoku,199907,,15900,15900,68731,22832,41162,220,,18957,59032,11483,57546,147238,4948,29396,7890,46957,54847,170327,350724,521051,,98584,98584,171123,148537,50222,369882,107348,1466019,1481919,102098,115226,217324,1699243
Shikoku,199907,,3347,3347,32595,17626,91049,,7368,26432,5888,15627,61166,116481,20413,4963,5401,1517,6918,,29511,29511,,,,76685,9224,24488,110397,42739,472692,476039,8606,38091,46697,522736
Kyushu,199907,6881,11513,18394,140815,23363,38319,246,27139,29743,14732,15777,58290,145927,7930,43711,80033,26616,106649,53579,136575,190154,,56191,56191,427229,82547,34273,544049,135465,1432573,1450967,83468,169508,252976,1703943
Okinawa,199907,,618,618,6359,,589,,,644,,,766,1410,3704,,6040,,6040,,6604,6604,,570,570,,,,,963,26239,26857,,42448,42448,69305
Hokkaido,199906,11983,3838,15821,66890,0,52393,0,0,13358,306,0,12730,26394,1378,303,18399,4214,22613,8349,47765,56114,0,0,0,32311,12439,781,45531,37215,308831,324652,26364,57777,84141,408793
Tohoku,199906,,11147,11147,106356,17869,72631,3103,7030,34452,,,91032,135617,4377,22399,31776,37913,69689,,240597,240597,,189157,189157,417729,88439,80664,586832,171773,1617297,1628444,111523,137797,249320,1877764
Tokyo,199906,,16971,16971,485957,13221,283656,41803,,111162,229922,18414,386266,787567,31289,91975,81883,185174,267057,136387,486987,623374,6487,434752,441239,820949,596657,326206,1743812,862120,5631267,5648238,514959,1017417,1532376,7180614
Chubu,199906,0,3846,3846,189686,99481,147860,0,0,17434,25655,66293,184376,293758,7667,71702,23563,171709,195272,6539,490987,497526,14620,139019,153639,389819,953518,206517,1549854,397012,3603457,3607303,219136,226519,445655,4052958
Hokuriku,199906,,7204,7204,17446,96497,28239,6249,,19058,,24006,59006,108319,4719,1784,11665,21314,32979,,56111,56111,,62506,62506,103764,25273,37142,166179,117988,692767,699971,21891,41576,63467,763438
Kansai,199906,,9117,9117,221937,72692,89980,,,71822,65177,31990,248468,417457,20485,35661,18461,196684,215145,52272,591177,643449,,153554,153554,434091,152237,147598,733926,412914,3017200,3026317,392244,450836,843080,3869397
Chugoku,199906,,15230,15230,62948,21032,46783,204,,27984,55121,12689,57940,153938,10167,26856,8214,45549,53763,126263,343496,469759,,100879,100879,161166,139937,46967,348070,102368,1396563,1411793,97940,105958,203898,1615691
Shikoku,199906,,3697,3697,30461,17083,92379,,7575,36929,5409,19498,58747,128158,22814,4538,13668,1404,15072,,52485,52485,,,,71779,9446,21964,103189,42413,508592,512289,7823,36234,44057,556346
Kyushu,199906,6787,11315,18102,130995,22318,37576,217,22776,25230,14496,13571,73828,150118,7476,40779,88269,25753,114022,69765,155746,225511,,54491,54491,403182,76314,33934,513430,129377,1426093,1444195,78149,158261,236410,1680605
Okinawa,199906,,550,550,5953,,568,,,613,,,680,1293,3807,,5682,,5682,,10578,10578,,616,616,,,,,639,29136,29686,,40508,40508,70194
Hokkaido,199905,12632,3634,16266,62200,0,79188,0,0,15308,271,0,11902,27481,1977,286,24604,3789,28393,16247,44907,61154,0,0,0,29696,11051,706,41453,34051,336183,352449,26721,56116,82837,435286
Tohoku,199905,,10213,10213,98485,16384,86148,2708,15244,33444,,,82506,133902,3842,20367,25207,34645,59852,,258337,258337,,195593,195593,384781,74483,69443,528707,153245,1554862,1565075,113243,131664,244907,1809982
Tokyo,199905,,16445,16445,435654,11151,272716,40404,,118981,275015,24295,339913,798608,39170,78123,68518,170727,239245,162218,472548,634766,6531,406572,413103,705982,480635,274344,1460961,736196,5119693,5136138,503994,915331,1419325,6555463
Chubu,199905,0,4531,4531,171997,88427,149905,0,0,17149,27780,73804,162430,281163,9644,58982,18143,151396,169539,1040,473932,474972,13527,128048,141575,341427,800220,173063,1314710,342295,3203209,3207740,223626,215793,439419,3647159
Hokuriku,199905,,8199,8199,15393,86682,27735,6392,,21876,,22148,53241,103657,3237,1379,11571,19458,31029,,66545,66545,,56825,56825,92307,21566,30963,144836,101301,638619,646818,22158,39167,61325,708143
Kansai,199905,,8202,8202,200640,63934,83823,,,87692,65187,34174,222803,409856,24776,31552,14758,196166,210924,29254,581018,610272,,136532,136532,372913,127599,122271,622783,351277,2746369,2754571,382346,432850,815196,3569767
Chugoku,199905,,15430,15430,58145,18420,45104,201,,33558,47482,14888,53143,149272,13399,24429,7729,42893,50622,151018,335092,486110,,106265,106265,149097,116835,39351,305283,87773,1344822,1360252,101256,99822,201078,1561330
Shikoku,199905,,3832,3832,27821,15519,106232,,8290,39182,3054,24578,52848,127952,28249,3662,20215,1088,21303,,64756,64756,,,,66784,8053,18163,93000,37839,526333,530165,7727,33525,41252,571417
Kyushu,199905,8879,11077,19956,118001,19742,44540,227,19546,25235,15311,11871,67194,139384,7658,36696,81898,23218,105116,75264,159663,234927,,51952,51952,372361,64416,29165,465942,111803,1335761,1355717,78102,149685,227787,1583504
Okinawa,199905,,611,611,6037,,619,,,623,,,686,1309,2694,,6044,,6044,,10550,10550,,472,472,,,,,723,28448,29059,,36413,36413,65472
Hokkaido,199904,13324,3439,16763,61884,0,62361,0,0,15005,307,0,12818,28130,1991,308,9818,3713,13531,11942,48820,60762,0,0,0,29600,11815,744,42159,35358,306484,323247,27713,55232,82945,406192
Tohoku,199904,,11391,11391,97118,17329,61104,1471,8198,20338,,,80733,110740,3832,21263,33785,34883,68668,,242049,242049,,186377,186377,388549,78223,73289,540061,163704,1512245,1523636,117057,132416,249473,1773109
Tokyo,199904,,19455,19455,424342,11789,276962,38107,,104158,248427,17935,354034,762661,28919,84088,71128,178843,249971,156190,467433,623623,6503,415929,422432,735408,505669,296625,1537702,804122,5226611,5246066,465326,901848,1367174,6613240
Chubu,199904,0,5277,5277,171578,92738,145820,0,0,15119,28419,61410,160159,265107,9475,63611,21427,164022,185449,6,438418,438424,15466,131857,147323,346736,809917,181339,1337992,360645,3218162,3223439,215528,211624,427152,3650591
Hokuriku,199904,,6007,6007,15012,88231,29790,7311,,20197,,18405,53596,99509,4374,1533,10643,18951,29594,,69450,69450,,57055,57055,93019,22631,34794,150444,106090,651082,657089,22127,39046,61173,718262
Kansai,199904,,9717,9717,191948,68649,84442,,,87430,55378,37173,230016,409997,17486,32356,12129,189616,201745,29968,569863,599831,,138220,138220,372011,131601,129634,633246,374163,2752083,2761800,366386,411744,778130,3539930
Chugoku,199904,,16333,16333,56082,19562,44692,210,,24567,69087,10901,49579,154344,3734,25738,9456,42275,51731,117802,332275,450077,,86781,86781,145032,132967,41527,319526,92320,1304587,1320920,97072,98036,195108,1516028
Shikoku,199904,,3750,3750,26411,15753,96229,,7967,35092,5515,24821,49918,123313,26366,3892,10569,759,11328,,60816,60816,,,,64924,8386,18886,92196,38562,494866,498616,8891,32266,41157,539773
Kyushu,199904,6952,11612,18564,113615,20568,42274,213,21575,31364,12395,18280,57220,141047,7377,38185,69976,24039,94015,50811,157822,208633,,53465,53465,362500,64883,29773,457156,118057,1294392,1312956,73406,146970,220376,1533332
Okinawa,199904,,754,754,6136,,570,,,495,,,712,1207,3686,,4187,,4187,,10560,10560,,595,595,,,,,508,27449,28203,,33505,33505,61708
Hokkaido,199903,14368,3207,17575,63679,0,48217,0,0,12687,355,0,13915,26957,2385,346,14494,3375,17869,7763,42381,50144,0,0,0,30562,14508,772,45842,38230,293669,311244,34912,58973,93885,405129
Tohoku,199903,,13125,13125,95867,17299,58296,1621,22026,25569,,,79007,128223,3505,24177,27392,37093,64485,,220367,220367,,190165,190165,402091,90685,81861,574637,170508,1547529,1560654,132495,137685,270180,1830834
Tokyo,199903,,21119,21119,398929,11955,270031,35382,,102132,218250,17035,361936,734735,27093,90147,85242,187513,272755,142259,475270,617529,6454,429003,435457,750106,601156,307618,1658880,801998,5319509,5340628,511886,876206,1388092,6728720
Chubu,199903,0,5501,5501,167542,96983,136679,0,0,16316,12806,53485,166915,249522,10959,69021,26089,177365,203454,0,485194,485194,22486,137037,159523,350951,979541,219937,1550429,391566,3520872,3526373,234569,217734,452303,3978676
Hokuriku,199903,,10283,10283,14910,92207,26857,7834,,20287,,16351,57243,101715,4415,1825,12014,21972,33986,,66878,66878,,58118,58118,95909,26598,38095,160602,114441,675954,686237,24983,42124,67107,753344
Kansai,199903,,10437,10437,191406,72213,84134,,,74557,50335,28119,240713,393724,12707,35030,14733,208071,222804,21861,577600,599461,,147497,147497,392334,153958,146588,692880,401972,2853828,2864265,394863,422173,817036,3681301
Chugoku,199903,,17791,17791,56814,19967,44120,245,,21762,72634,10454,52760,157855,2948,29285,8660,45087,53747,105173,319147,424320,,101793,101793,150252,150813,46765,347830,97548,1336227,1354018,104796,107274,212070,1566088
Shikoku,199903,,4506,4506,26837,16740,88028,,7629,32460,4034,19041,52137,115301,26916,4226,22465,1134,23599,,62610,62610,,,,67610,9217,23481,100308,40860,505425,509931,7172,33116,40288,550219
Kyushu,199903,7551,13003,20554,109329,21383,37040,196,16964,26717,11325,18582,59192,132976,8110,40660,89735,25622,115357,45047,156590,201637,,54473,54473,374979,80916,31472,487367,122373,1330705,1351259,80169,149723,229892,1581151
Okinawa,199903,,568,568,5176,,551,,,445,,,672,1117,4194,,6956,,6956,,11218,11218,,684,684,,,,,663,30559,31127,,31938,31938,63065
Hokkaido,199902,13040,2601,15641,56203,0,36540,0,0,14377,313,0,11939,26629,2788,319,10313,2805,13118,5733,37336,43069,0,0,0,28100,13058,741,41899,34057,254622,270263,33079,56053,89132,359395
Tohoku,199902,,10615,10615,85122,15976,52941,2204,39461,24190,,,77638,143493,3425,21228,36465,34660,71125,,208383,208383,,179450,179450,366033,85511,75778,527322,156348,1464813,1475428,135183,128715,263898,1739326
Tokyo,199902,,20806,20806,382443,12134,251771,32274,,90006,188763,14626,344625,670294,24472,85516,80934,179044,259978,127515,443818,571333,6426,403217,409643,742847,578501,306289,1627637,794526,5089747,5110553,476814,883013,1359827,6470380
Chubu,199902,0,5312,5312,153637,89007,130290,0,0,15142,9818,44380,149614,218954,13167,64213,25196,171885,197081,515,457822,458337,35140,124972,160112,329437,895231,209598,1434266,367922,3286986,3292298,222587,214159,436746,3729044
Hokuriku,199902,,18082,18082,13208,86007,24188,10546,,21078,,14095,54988,100707,4057,1687,9175,19488,28663,,56962,56962,,53800,53800,86507,24921,37155,148583,106908,624770,642852,25348,39681,65029,707881
Kansai,199902,,9154,9154,170519,66965,76996,,,71951,55216,24417,222835,374419,10267,32501,14872,189470,204342,24249,545031,569280,,138526,138526,359604,143442,139240,642286,371864,2657965,2667119,376200,390317,766517,3433636
Chugoku,199902,,16035,16035,49839,19102,38199,218,,26068,67055,7658,49005,150004,3305,27299,10820,43025,53845,128407,301969,430376,,94396,94396,136230,141927,44505,322662,90708,1279735,1295770,97155,98511,195666,1491436
Shikoku,199902,,3653,3653,23065,16138,86210,,9109,29404,1520,17314,46664,104011,23154,3949,14621,1584,16205,,60834,60834,,,,60649,8102,21994,90745,37652,461963,465616,8126,31589,39715,505331
Kyushu,199902,6133,11883,18016,94784,20159,35852,155,14458,25362,11170,14245,50838,116228,7270,37747,91182,23291,114473,38032,136520,174552,,50549,50549,338983,75651,29249,443883,113381,1208878,1226894,76437,139637,216074,1442968
Okinawa,199902,,561,561,5194,,586,,,599,,,721,1320,3385,,6163,,6163,,11002,11002,,694,694,,,,,776,29120,29681,,29638,29638,59319
Hokkaido,199901,12745,2691,15436,58492,0,41848,0,0,15901,295,0,11968,28164,2174,323,12906,2538,15444,7325,37863,45188,0,0,0,28264,12841,198,41303,33801,266737,282173,37349,61107,98456,380629
Tohoku,199901,,10929,10929,87987,15512,59818,2049,44572,28430,,,79567,154618,4160,20151,28185,33620,61805,,215723,215723,,191711,191711,376069,81232,73890,531191,151013,1493689,1504618,139531,137804,277335,1781953
Tokyo,199901,,17785,17785,375454,10972,241924,37259,,106963,223802,15684,323319,707027,24586,78112,60211,171505,231716,132590,436441,569031,6374,400627,407001,697082,522058,281720,1500860,695370,4842053,4859838,523382,887945,1411327,6271165
