Company,Year_term,Liabilities and equity_Noncurrent liabilities (M.JPY),Liabilities and equity_Bonds payable (M.JPY),Liabilities and equity_Long-term loans payable (M.JPY),Liabilities and equity_Long-term accrued liabilities (M.JPY),Liabilities and equity_Lease obligations (M.JPY),Liabilities and equity_Long-term debt to affiliates &c. (M.JPY),Liabilities and equity_Provision for retirement benefits (M.JPY),Liabilities and equity_Reserve for reprocessing spent fuel (M.JPY),Liabilities and equity_Reserve for preparation for reprocessing spent fuel (M.JPY),Liabilities and equity_Reserve for restoration costs from natural desasters (M.JPY),Liabilities and equity_Reserve for desimantling NPPs (M.JPY),Liabilities and equity_Reserve for loss from discontinued NPP operations (M.JPY),Liabilities and equity_Provision for loss on natural disaster (M.JPY),Liabilities and equity_Provision for loss on investment (M.JPY),Liabilities and equity_Provision for loss on guarantees (M.JPY),Liabilities and equity_Provision for directors' retirement benefits (M.JPY),Liabilities and equity_Provision for loss on liquidation of affiliates &c. (M.JPY),Liabilities and equity_Provision for loss on guarantees (M.JPY),Liabilities and equity_Asset retirement obligations (M.JPY),Liabilities and equity_Putting off tax debt (M.JPY),Liabilities and equity_Other noncurrent liabilities (M.JPY),Liabilities and equity_Current liabilities (M.JPY),Liabilities and equity_Current portion of noncurrent liabilities (M.JPY),Liabilities and equity_Short-term loans payable (M.JPY),Liabilities and equity_Commercial papers (M.JPY),Liabilities and equity_Accounts payable-trade (M.JPY),Liabilities and equity_Accounts payable-other (M.JPY),Liabilities and equity_Accrued expenses (M.JPY),Liabilities and equity_Accrued taxes (M.JPY),Liabilities and equity_Deposits received (M.JPY),Liabilities and equity_Short-term debt to subsidiaries and affiliates (M.JPY),Liabilities and equity_Other advances (M.JPY),Liabilities and equity_Provision for loss on liquidation of affiliates &c. (M.JPY),Liabilities and equity_Provision for possible loss on support of affiliates (M.JPY),Liabilities and equity_Reserve for restoration costs of natural disaster (M.JPY),Liabilities and equity_Provision for directors' bonuses (M.JPY),Liabilities and equity_Asset retirement obligations2 (M.JPY),Liabilities and equity_Reserves under the special laws (M.JPY),Liabilities and equity_Reserve for fluctuations of water levels (M.JPY),Liabilities and equity_Reserve for the depreciation of NPP construction (M.JPY),Liabilities and equity_Total Liabilities (M.JPY),Liabilities and equity_Shareholders' equity (M.JPY),Liabilities and equity_Capital stock (M.JPY),Liabilities and equity_Capital surplus (M.JPY),Liabilities and equity_Legal capital surplus (M.JPY),Liabilities and equity_Other capital surplus (M.JPY),Liabilities and equity_Retained earnings (M.JPY),Liabilities and equity_Legal retained earnings (M.JPY),Liabilities and equity_Other retained earnings (M.JPY),Liabilities and equity_Reserve for overseas investment loss (M.JPY),Liabilities and equity_Reserve for special disaster (M.JPY),Liabilities and equity_Reserve for adjustment of cost fluctuations (M.JPY),Liabilities and equity_Reserve for depreciatopn of Tomari NPP Unit 3 (M.JPY),Liabilities and equity_Reserve for depreciatopn of Higashiniigata PS #4-2 (M.JPY),Liabilities and equity_General reserve (M.JPY),Liabilities and equity_Retained earnings brought forward (M.JPY),Liabilities and equity_Treasury stock at cost (M.JPY),Liabilities and equity_Valuation and translation adjustments (M.JPY),Liabilities and equity_Net unrealized holding gain on securities (M.JPY),Liabilities and equity_Deferred gains/losses on hedging instruments (M.JPY),Liabilities and equity_Subscription rights to shares (M.JPY),Liabilities and equity_Total Shareholders' equity/Net assets (M.JPY),Liabilities and equity_Total (M.JPY)
Kyushu,2007,2281840,1067548,553014,12154,,130,133391,351972,10853,,147529,,,,,,,,,,5245,503182,154412,133000,12000,51863,22773,65007,14409,1351,41065,5340,,,,,,,,,2785022,968481,237304,31134,31087,47,701765,59326,642438,,,100300,,,449000,93138,-1723,31197,27744,3453,,999678,3784701
Okinawa,2007,190282,60999,118976,,,,9522,,,,,,,,,,,,,,784,53650,25320,7000,,5171,2006,5447,2200,5,5923,512,,,,64,,,,,243933,102523,7586,7141,7141,,87986,964,87021,,,9000,,,69500,8521,-191,735,735,,,103258,347192
Hokkaido,2006,820829,383815,235432,1863,,,89530,73967,1644,,33462,,,,,,,,,,1114,164578,33267,41800,7000,15029,4574,21378,23409,762,13618,3603,,,,113,,9838,9838,,995246,417163,114291,21174,21174,,290264,28219,262044,14,4,12500,24000,,162500,63026,-8567,16370,16370,,,433533,1428780
Tohoku,2006,2212902,1170817,542874,3078,,,160561,113269,3126,,38426,,,,,,,,,,180746,602758,272287,54440,82000,57659,16900,40074,39696,1296,35059,3018,,,,97,,19176,19176,,2834837,863899,251441,26657,26657,,593381,62860,530521,,,103000,,10000,306400,111121,-7580,10640,10640,,,874540,3709377
Tokyo,2006,7808274,4529980,1160289,0,,7611,400146,1275718,17917,,393013,,,,,,,,,,23595,2320225,872550,348000,260000,175927,84275,150614,198117,4912,164632,37437,12880,,,125,,22313,22313,,10150813,2629873,676434,19071,19014,57,1940500,169108,1771392,287,24,295200,,,1103000,372880,-6133,143335,143335,,,2773208,12924022
Chubu,2006,2858867,1406685,922577,3548,,,137840,270488,3769,,92020,,,,,,,,,,21938,842961,139979,314400,145000,74100,18965,60893,41353,3209,38300,6629,,,,106,,4005,4005,,3705835,1502992,430777,73967,70689,3277,999046,93628,905417,,0,273000,,,498000,134417,-798,78453,48204,30249,,1581445,5287281
Hokuriku,2006,905297,533620,268498,2761,,7,43273,27412,1159,,14713,,,,,,,,,,13852,204801,85917,35000,7000,9386,6870,30243,19171,310,10415,483,,,,,,10516,10516,,1120615,342293,117641,34001,33993,8,205197,28386,176811,,,51500,,,80000,45311,-14547,15971,15971,,,358265,1478880
Kansai,2006,3761925,1436818,998950,6643,,24,341257,665795,13138,,260406,,,,,,,,,,38890,762040,316945,96750,,60774,17825,91889,57628,7690,81384,16414,,,,110,,8541,8541,,4532506,1554728,489320,67072,67031,41,1071214,122330,948884,167,,207000,,,530000,211717,-72879,101678,87009,14669,,1656407,6188913
Chugoku,2006,1523752,740000,562597,2264,,3,51076,118285,1776,,47710,,,,,,,,,,35,351695,141793,64350,17000,37033,12747,36934,18633,1114,19530,1746,,,,95,,5709,656,5052,1881157,583585,185527,16701,16676,24,393369,46381,346987,42,2,57000,,,213000,76942,-12013,14304,14304,,,597889,2479046
Shikoku,2006,741667,300000,217187,,,,13118,145087,2232,,61298,,,,,1796,,,,,946,283909,56250,42000,110000,9496,3797,14670,19252,1337,26268,536,,,,120,,938,938,,1026515,339895,145551,35198,35198,,182875,32819,150056,,,45000,,,49000,56056,-23730,14014,11273,2740,,353909,1380425
Kyushu,2006,2264072,1027599,567829,3244,,30,161531,364837,6976,,126172,,,,,,,,,,5849,507145,183070,131000,7000,33231,18758,60390,30752,1761,32817,6376,,,,,,90,90,,2771308,961312,237304,31087,31087,,694490,59326,635164,,,100300,,,419000,115864,-1571,57491,53547,3944,,1018803,3790112
Okinawa,2006,199141,56000,132296,,,,10010,,,,,,,,,,,,,,835,55579,24475,4000,5000,4251,3944,4757,2827,279,5817,152,,,,73,,,,,254721,96992,7586,7141,7141,,82397,964,81432,,,9000,,,64000,8432,-133,2400,2400,,,99392,354113
Hokkaido,2005,807981,373815,238258,3939,,,82922,76471,,,31283,,,,,,,,,,1291,184507,43728,44500,15000,11729,5627,22478,14455,455,13666,12852,,,,,,8518,8518,,1001007,,114291,21174,21174,,267248,28219,,12,,12500,16000,,151500,,-8341,,,,,414837,1415844
Tohoku,2005,2296297,1200521,549482,3881,,4,173274,105973,,,36151,,,,,,,,,,227008,584998,214497,54440,131000,59353,16373,43901,18626,1269,42933,2600,,,,,,14900,14900,,2896196,,251441,26657,26657,,578638,62860,,8,,103000,,,306400,,-7104,,,,,862977,3759173
Tokyo,2005,8189663,4899120,1210933,,,10569,397094,1258212,,,376448,,,,,,,,,,25208,2270424,1024491,348000,135000,192159,70117,162717,120533,2873,156477,47443,,,,,,16363,16363,,10476451,,676434,19014,19014,,1759510,169108,,408,,295200,,,924000,,-5117,,,,,2555012,13031464
Chubu,2005,3012363,1446626,980126,3709,,,170690,261018,,,89093,,,,,,,,,,61098,930943,113953,294400,270000,71195,17225,67182,51781,2522,36130,6527,,,,,,6665,6665,,3949973,,430777,73956,70689,3266,981967,93628,,,,273000,,,438000,,-28,,,,,1538034,5488007
Hokuriku,2005,901104,517475,279443,5813,,7,51318,26062,,,13457,,,,,,,,,,7528,262102,112881,45000,10000,10575,38102,25648,9001,316,8110,2464,,,,,,9212,9212,,1172419,,117641,33993,33993,,200334,28386,,,,51500,,,75000,,-9235,,,,,362974,1535393
Kansai,2005,3867251,1326194,1217611,7348,,,371011,649675,,,249754,,,,,,,,,,45655,793411,287442,146750,,65362,19713,102829,58841,5609,68723,14415,,,,,,8642,8642,,4669306,,489320,67031,67031,,1013920,122330,,24,,207000,,,450000,,-71804,,,,,1599578,6268884
Chugoku,2005,1555628,795000,551459,5702,,9,50586,106615,,,46239,,,,,,,,,,16,311721,80790,64450,32000,35191,13356,37963,25898,698,19341,1916,,,,,,545,545,,1867895,,185527,16691,16676,14,378308,46381,,29,,57000,,,201500,,-11692,,,,,585436,2453331
Shikoku,2005,748959,350000,183653,5489,,,13577,133169,,,58305,,,,,,,,,,4762,295142,97725,54000,63000,17469,5056,19654,5620,1095,30355,698,,,,,,620,620,,1044722,,145551,35204,35198,5,181421,32819,,,,45000,,,49000,,-16368,,,,,359721,1404443
Kyushu,2005,2312110,1046620,591472,2896,,53,187492,353389,,,119626,,,,,,,,,,10559,549544,167013,174000,,29900,22122,71094,33308,1536,36031,8881,,,,,,,,,2861654,,237304,31087,31087,,663816,59326,,,,100300,,,379000,,-901,,,,,995662,3857316
Okinawa,2005,199221,46000,142471,,,,10261,,,,,,,,,,,,,,487,63098,33100,5000,2000,4107,4679,4818,2553,233,6529,75,,,,,,,,,262320,,7586,7141,7141,,77028,964,,,,9000,,,55500,,-106,,,,,94339,356659
Hokkaido,2004,802477,371508,240200,,,,84097,77971,,,28692,,,,,,,,,,7,185719,23507,57600,22000,9132,7165,18001,22668,510,12888,12140,,,,,,8414,8414,,996611,,114291,20828,20828,,247720,28219,,22,,12500,8000,,144500,,-9060,,,,,382692,1379303
Tohoku,2004,2294529,1128921,561130,4691,,,214095,101291,,,32744,,,,,,,,,,251655,611435,254217,43720,92000,52699,48700,39944,32130,978,44251,2642,,,,,,12566,12566,,2918530,,251441,26657,26657,,554068,62860,,26,,103000,,,286400,,-1041,,,,,839452,3757983
Tokyo,2004,8985218,5376562,1476091,739,,9169,463996,1248549,,,355143,,,,,,,,,,54966,1761604,652724,394000,,147279,69807,156378,158000,3107,143334,26646,,,,,,19599,19599,,10766422,,676434,19014,19014,,1579814,169108,,506,,295200,,,761000,,-4398,,,,,2334764,13101186
Chubu,2004,3076309,1548636,972857,6012,,,186192,253373,,,82638,,,,,,,,,,26599,1041942,254147,265204,304000,41248,10242,59865,58772,2107,41329,4205,,,,,,15977,15977,,4134229,,374519,14261,14253,7,914224,93628,,,,273000,,,388000,,-29053,,,,,1300770,5434999
Hokuriku,2004,993414,577145,301776,33,,7,74004,25573,,,11507,,,,,,,,,,3367,199532,47456,45000,25000,12021,18647,22785,15596,484,11410,1024,,,,,,9710,9710,,1202657,,117641,33993,33993,,192874,28386,,11,,51500,,,58500,,-826,,,,,355304,1557961
Kansai,2004,3938568,1324159,1338402,8774,,,360038,630679,,,233122,,,,,,,,,,43391,851625,268912,167871,68000,47642,17805,111239,90166,4462,50287,12118,,,,,,18238,18238,,4808432,,489320,67031,67031,,917290,122330,,28,,207000,,,390000,,-38919,,,,,1486180,6294612
Chugoku,2004,1454701,815000,438352,7410,,15,48967,102064,,,42876,,,,,,,,,,14,422499,138107,85950,71000,26178,10601,36302,22671,612,29866,1012,,,,,,2458,2458,,1879659,,185527,16684,16676,7,366407,46381,,22,,57000,,,173500,,-11484,,,,,567546,2447205
Shikoku,2004,723701,320000,193773,11122,,,13045,127327,,,54257,,,,,,,,,,4175,225534,66721,54000,13000,15807,5804,18536,18533,1057,31162,579,,,,,,3519,3519,,952755,,145551,35200,35198,2,176927,32819,,9,,45000,,,49000,,-13179,,,,,352682,1305437
Kyushu,2004,2297746,1011133,624586,5962,,80,188296,350698,,,110505,,,,,,,,,,6483,574782,191327,173900,,20158,25565,67175,54219,1162,32211,6922,,,,,,4682,4682,,2877211,,237304,31087,31087,,625615,59326,,20,,100300,,,319000,,-707,,,,,929356,3806567
Okinawa,2004,222542,56000,151572,,,,14384,,,,,,,,,,,,,,586,60071,32903,5000,,3535,793,5638,5417,311,6027,427,,,,,,,,,282614,,7586,7141,7141,,68884,964,,,,9000,,,49000,,-20,,,,,85247,367861
Hokkaido,2003,785239,374516,231519,,,,78348,73631,,,27160,,,,,,,,,,7,213429,35410,67000,21000,11850,8200,17673,27074,479,13254,11466,,,,,,9143,9143,,1007812,,114291,20826,20826,,232677,28219,,22,,12500,,,122500,,-9082,,,,,364076,1371888
Tohoku,2003,2479814,1210000,670402,67,,4,205391,92822,,,30316,,,,,,,,,,270711,503652,166471,63620,98000,35758,22134,38799,35286,828,39785,2965,,,,,,10362,10362,,2993828,,251441,26657,26657,,533593,62860,,27,,103000,,,264400,,-538,,,,,820494,3814323
Tokyo,2003,9271407,5550262,1682274,1339,,6908,506313,1136843,,,351580,,,,,,,,,,35470,1981319,491931,496000,355000,137407,74514,146092,115205,2739,127113,25459,,,,,,11853,11853,,11264581,,676434,19014,19014,,1416147,169108,,382,,295200,,,691000,,-3359,,,,,2169745,13434326
Chubu,2003,3673687,1954574,1047267,8192,,,181115,231219,,,80000,,,,,,,,,,24407,828589,156956,300288,105000,40967,24866,63087,85673,1806,43511,6407,,,,,,8647,8647,,4510924,,374519,14248,14247,a,867048,93628,,,,273000,,,318000,,-24804,,,,,1265516,5776440
Hokuriku,2003,1008951,593070,312123,123,,7,69301,23380,,,10819,,,,,,,,,,50,177022,43567,52000,15000,9232,18126,15527,12452,293,10217,601,,,,,,9710,9710,,1195683,,117641,33993,33993,,175914,28346,,12,,51500,,,52000,,-439,,,,,336916,1532599
Kansai,2003,4007549,1303259,1543354,9903,,,329224,594748,,,226603,,,,,,,,,,115,1091488,577429,167871,,43600,37706,97649,98982,3948,49636,10076,,,,,,8366,8366,,5107404,,489320,67031,67031,,854468,122330,,30,,207000,,,320000,,-27583,,,,,1433439,6540844
Chugoku,2003,1603326,840000,548717,1084,,21,71830,99372,,,42203,,,,,,,,,,13,376358,145939,65950,60000,19117,5613,35694,25844,680,16150,1194,,,,,,711,711,,1980396,,185527,16679,16676,3,338264,46381,,15,,57000,,,152500,,-11109,,,,,538392,2518788
Shikoku,2003,741737,300000,232820,,,,33826,119158,,,52487,,,,,,,,,,3394,252919,53250,57500,71000,8266,2504,15474,14629,2179,27232,881,,,,,,867,867,,995523,,145551,35198,35198,,170992,32819,,10,,45000,,,49000,,-13019,,,,,346664,1342188
Kyushu,2003,2368414,987373,757292,6009,,251,183765,327900,,,105497,,,,,,,,,,228,626706,147120,233900,58000,19988,21046,58309,46760,1151,33273,5056,,,,,,2018,2018,,2997139,,237304,31087,31087,,560065,59326,,22,,100300,,,269000,,-444,,,,,861910,3859049
Okinawa,2003,237431,52000,171235,,,,14184,,,,,,,,,,,,,,,64669,36467,5000,3000,2912,2442,5576,2729,306,5889,343,,,,,,,,,302100,,7586,7141,7141,,62286,964,,,,9000,,,44500,,-12,,,,,77591,379692
Hokkaido,2002,807071,395000,244141,,,,71899,69154,,,26842,,,,,,,,,,3,201917,31590,74900,18000,9294,8593,17461,18953,479,11409,11201,,,,,,9710,9710,,1018699,,114291,20826,20826,,202346,28219,,23,,12500,,,109500,,-186,,,,,342220,1360920
Tohoku,2002,2459209,1150000,733462,557,,,189225,83130,,,28898,,,,,,,,,,273886,641986,290385,125000,26000,41839,24935,47874,46772,767,36879,1530,,,,,,6730,6730,,3107927,,251441,26497,26497,,510796,62860,,29,,103000,,,230400,,-470,,,,,790054,3897981
Tokyo,2002,9222565,5142992,1994563,425,,8464,573632,1113973,,,349911,,,,,,,,,,38393,2527152,779483,683000,365000,153730,104615,156676,124519,3127,120335,27120,,,,,,4285,4285,,11754003,,676434,19014,19014,,1345523,169108,,383,,295200,,,620000,,-1856,,,,,2058535,13812538
Chubu,2002,3908391,2091400,1181091,9222,,,148842,220634,,,79752,,,,,,,,,,30807,868725,134474,335372,111000,56361,29557,64664,74626,2292,50453,9900,,,,,,,,,4777116,,374519,14247,14247,,800484,93628,,,,273000,,,258000,,-1356,,,,,1200397,5977514
Hokuriku,2002,967750,567109,311562,213,,7,57259,20696,,,10819,,,,,,,,,,43,225392,75925,50000,24000,11142,14952,15488,21137,288,11085,1370,,,,,,8584,8584,,1201727,,117641,33993,33993,,169368,28346,,14,,51500,,,43500,,-314,,,,,325755,1527483
Kansai,2002,4472993,1556037,1704733,10784,,,267476,529630,,,225402,,,,,,,,,,114,974516,337183,218472,85000,44131,28427,105152,85862,2905,53017,12599,,,,,,,,,5447509,,489320,65463,65463,,783647,122330,,31,,207000,,,270000,,-29692,,,,,1324806,6772316
Chugoku,2002,1638451,900000,534667,1334,,27,69773,90397,,,42203,,,,,,,,,,5,473365,174109,90450,78000,21162,7904,38589,42036,641,16648,2517,,,,,,,,,2111816,,185527,16679,16676,3,317201,46381,,13,,57000,,,125500,,-7110,,,,,518017,2629834
Shikoku,2002,768555,280000,279892,,,,41207,110027,,,51971,,,,,,,,,,5431,268071,73214,57500,67000,10781,4266,15875,13237,1311,24290,567,,,,,,,,,1036627,,145551,35198,35198,,167794,32819,,10,,45000,,,49000,,-8770,,,,,343733,1380360
Kyushu,2002,2428575,1079761,774368,4153,,12,165051,301311,,,103863,,,,,,,,,,4,704442,246022,199300,33000,20392,38442,64894,55036,1155,33356,10873,,,,,,,,,3133018,,237304,31087,31087,,513785,59326,,23,,100300,,,227000,,-341,,,,,796923,3929942
Okinawa,2002,257004,48000,194784,,,,14214,,,,,,,,,,,,,,,65927,31605,5000,4000,3116,5756,5718,3411,278,6994,46,,,,,,,,,322932,,7586,7141,7141,,57686,964,,,,9000,,,41000,,-8,,,,,72327,395260
Hokkaido,2001,811680,390000,270415,,,,67230,59330,,,24703,,,,,,,,,,,231099,52642,82700,16000,7989,22110,20861,16036,521,11696,509,,,,,,10812,10812,,1053591,,114291,,20826,,,28219,,21,,12500,,,95500,,-27,,,,,330963,1384555
Tohoku,2001,2549269,1230000,747639,1224,,4,184580,72153,,,25579,,,,,,,,,,288087,654254,298898,130000,37000,53183,23049,41545,33554,736,34690,1594,,,,,,7024,7024,,3210548,,251441,,26497,,,62860,,27,,103000,,,190400,,-82,,,,,760225,3970773
Tokyo,2001,9107252,4668422,2317842,1421,,5664,512174,1048348,,,334240,,,,,,,,,,40706,3056326,1093548,610000,557000,104858,193071,182359,143621,2879,131342,27942,,,,,,5994,5994,,12169573,,676434,,19014,,,169108,,395,,295200,,,516000,,-258,,,,,2005261,14174834
Chubu,2001,3924088,2003652,1311966,11018,,,128677,215383,,,77753,,,,,,,,,,29286,1058945,138466,359458,230000,48060,67115,68564,84204,2861,49995,10201,,,,,,,,,4983034,,374518,,14246,,,93628,,34,,273000,,,208000,,-253,,,,,1146198,6129232
Hokuriku,2001,976287,573943,327636,309,,7,46054,18692,,,9601,,,,,,,,,,43,218499,61791,40000,44000,14592,12446,15356,15693,712,11050,2764,,,,,,8995,8995,,1203783,,117641,,33993,,,28346,,15,,51500,,,36000,,-49,,,,,319048,1522832
Kansai,2001,4651589,1629585,1879723,13939,,,253072,483413,,,213043,,,,,,,,,,172,1054161,319474,280013,50000,52529,54421,109887,101822,3660,63871,15686,,,,,,,,,5705750,,489320,,65463,,,122330,,41,,207000,,,220000,,-22,,,,,1337693,7043444
Chugoku,2001,1803942,1007125,602957,1587,,31,69399,83042,,,39745,,,,,,,,,,52,402609,130452,106850,44000,22868,11932,42514,20538,1077,18861,3295,,,,,,,,,2206552,,185527,,16676,,,46381,,30,,57000,,,120000,,-74,,,,,502630,2709182
Shikoku,2001,805592,277250,324074,,,,43717,104633,,,48898,,,,,,,,,,7018,280869,58170,56000,94000,9150,7613,16179,18226,827,20378,299,,,,,,,,,1086462,,145551,,35140,,,32819,,16,,45000,,,49000,,-10328,,,,,341163,1427626
Kyushu,2001,2499233,1120585,850599,2692,,350,161269,266528,,,97207,,,,,,,,,,,702552,204369,258455,57000,18108,24556,64549,26406,2586,34926,9753,,,,,,,,,3201786,,237304,,31087,,,59326,,24,,100300,,,187000,,-51,,,,,782953,3984739
Okinawa,2001,261688,37000,210389,,,,14298,,,,,,,,,,,,,,,68473,29828,5000,2000,3610,11682,5693,1884,380,7987,405,,,,,,,,,330162,,7586,,7141,,,964,,,,9000,,,37500,,-1,,,,,68831,398994
Hokkaido,2000,796651,380000,271475,402,,,69455,48822,,,23080,,,,,,,,,,,255755,81531,88600,13000,11138,6935,19686,19697,724,13055,1353,,,,,,10812,10812,,1063219,,114291,,20826,,,27436,,17,,12500,,,83500,,,,,,,327677,1390896
Tohoku,2000,2666132,1308320,783780,2568,,,184568,63068,,,23470,,,,,,,,,,300357,613122,247977,159500,,48105,33211,45080,39068,804,37297,2075,,,,,,6265,6265,,3285520,,251441,,26497,,,62789,,26,,103000,,,152400,,,,,,,742925,4028446
Tokyo,2000,9369952,4837152,2659063,2425,,4597,463098,863194,,,317898,,,,,,,,,,44090,2993939,1109247,669000,415000,161131,123605,200068,162255,2948,116671,25480,,,,,,5262,5262,,12369153,,676434,,19014,,,169108,,334,,295200,,,391000,,,,,,,1928473,14297626
Chubu,2000,3862374,1944318,1354880,14466,,,129572,182496,,,74655,,,,,,,,,,15625,1281998,360452,363834,159000,50849,106022,101649,67233,2945,60428,9568,,,,,,1852,1852,,5146225,,374513,,14241,,,93628,,37,,273000,,,153000,,,,,,,1101735,6247961
Hokuriku,2000,963907,544459,341544,699,,7,49551,14220,,,8665,,,,,,,,,,31,253427,116858,40000,30500,14321,7510,16131,15318,333,10479,1975,,,,,,9727,9727,,1227063,,117641,,33993,,,27564,,16,,51500,,,29500,,,,,,,317207,1544270
Kansai,2000,4678429,1689947,1906059,20640,,,266936,412200,,,203831,,,,,,,,,,175,1184571,404789,397341,,55504,64708,113912,53807,3564,74165,14865,,,,,,6608,6608,,5869610,,489320,,65463,,,122330,,44,,207000,,,185000,,,,,,,1342904,7212514
Chugoku,2000,1705991,932125,587903,2290,,37,75998,69824,,,37759,,,,,,,,,,52,609140,306574,149760,,22859,20154,45118,26588,1091,17917,3396,,,,,,,,,2315132,,185527,,16676,,,46381,,23,,57000,,,111500,,,,,,,509654,2824786
Shikoku,2000,829127,267250,366377,531,,,43958,98441,,,46832,,,,,,,,,,5736,295482,113310,54000,49000,11672,12236,16478,20195,747,17038,745,,,,,,,,,1124610,,145551,,35140,,,31833,,17,,45000,,,49000,,,,,,,360100,1484710
Kyushu,2000,2496675,1103607,908979,3045,,403,158547,229481,,,92610,,,,,,,,,,,743911,238238,280455,,23152,33943,65741,51422,2575,38345,4545,,,,,,,,,3240586,,237304,,31087,,,59326,,26,,100300,,,149000,,,,,,,765669,4006256
Okinawa,2000,260763,25000,221218,,,,14545,,,,,,,,,,,,,,,61655,26300,2000,,3107,13984,5176,3230,303,7327,224,,,,,,,,,322419,,7586,,7141,,,904,,,,9000,,,36000,,,,,,,65212,387632
Hokkaido,1999,804487,427290,254802,805,,,50872,45239,,,22061,,,,,,,,,,,254119,68830,89600,10000,11064,10171,31702,18890,756,12094,983,,,,,,10812,10812,,1069419,,114291,,20826,,,26323,,15,,12500,,,58500,,,,,,,295133,1364552
Tohoku,1999,2636640,1308178,793653,1521,,4,164211,43457,,,21032,,,,,,,,,,285204,747113,255182,228000,20000,36877,28178,68456,55598,18392,34662,1762,,,,,,5327,5327,,68734,,251441,,26497,,,60260,,24,,103000,,,83000,,,,,,,681226,4070307
Tokyo,1999,9954580,5208655,3052606,4530,,9191,332417,791229,,,298514,,,,,,,,,,79003,2587803,916399,640000,255000,140602,132065,206532,145230,10186,121348,13442,,,,,,3420,3420,,12545804,,676433,,19013,,,169108,,330,,295200,,,135000,,,,,,,1749006,14294811
Chubu,1999,3825045,2000796,1321036,19811,,,98607,168615,,,69817,,,,,,,,,,,1248923,350990,449668,117000,56277,46408,99906,59521,2434,59080,7612,,,,,,2507,2507,,5076476,,374513,,14241,,,93261,,35,,273000,,,23000,,,,,,,1021733,6098210
Hokuriku,1999,989160,582201,339314,1119,,,33412,12571,,,7695,,,,,,,,,,8116,235013,102131,40000,11000,11124,26901,17233,17661,751,6007,2200,,,,,,10287,10287,,1234460,,117641,,33993,,,26451,,15,,51500,,,12000,,,,,,,296231,1530692
Kansai,1999,4768575,1724180,1904643,23418,,,217451,372156,,,179995,,,,,,,,,,73464,1194116,369454,418700,,52691,78214,107820,70366,2709,76085,16174,,,,,,9108,9108,,5971800,,489320,,65463,,,121392,,41,,207000,,,55000,,,,,,,1195046,7166847
Chugoku,1999,1883569,1059922,642772,2977,,42,53362,65886,,,36356,,,,,,,,,,6499,505832,179210,145449,24000,23929,22447,51158,33575,667,20909,3024,,,,,,,,,2389402,,185527,,16676,,,44244,,21,,57000,,,55500,,,,,,,480629,2870031
Shikoku,1999,917917,297250,444211,1062,,,29175,90128,,,44328,,,,,,,,,,11760,229597,90610,54000,27000,8036,9435,18881,10006,810,10268,460,,,,,,,,,1147514,,145551,,35140,,,30421,,16,,45000,,,19000,,,,,,,352020,1499535
Kyushu,1999,2503900,1136214,919995,3818,,90,96915,210281,,,85712,,,,,,,,,,32544,779922,265789,264650,,21869,41030,88333,41199,9870,38843,6878,,,,,,52,52,,3283875,,237304,,31087,,,56820,,24,,100300,,,71000,,,,,,,675368,3959243
Okinawa,1999,241507,8000,222518,,,,10342,,,,,,,,,,,,,,646,64287,24387,,5000,3458,15149,5213,2652,271,7955,56,,,,,,,,,305795,,7586,,7141,,,821,,,,9000,,,32000,,,,,,,63437,369232
Hokkaido,1998,769938,402390,275087,1207,,,26722,41226,,,19888,,,,,,,,,,,279601,94935,91600,8000,7918,7590,36670,19797,791,11853,420,,,,,,10812,10812,,1060352,,114291,,20826,,,25209,,21,,12500,,,58500,,,,,,,269008,1329360
Tohoku,1998,2602698,1377635,814729,2270,,,64754,38997,,,18893,,,,,,,,,,266041,731424,214098,263329,,42980,41492,71601,34944,19157,39648,4060,,,,,,4630,4630,,3338753,,251441,,26497,,,57732,,33,,103000,,,70000,,,,,,,619449,3958203
Tokyo,1998,10095119,5362805,3275950,19155,,10,133851,734941,,,277130,,,,,,,,,,112841,2546749,950825,619029,170000,142876,163113,226400,142904,3772,115192,9753,,,,,,3504,3504,,12645373,,676433,,19013,,,163243,,506,,295200,,,105000,,,,,,,1491577,14136950
Chubu,1998,3946325,2085140,1366380,23208,,,109486,150525,,,65217,,,,,,,,,,,1182982,300964,449060,60000,52347,62820,126056,49095,24774,51089,6750,,,,,,4978,4978,,5134286,,374510,,14238,,,89557,,49,,273000,,,23000,,,,,,,890817,6025104
Hokuriku,1998,963483,547201,362457,1585,,,28738,12007,,,6735,,,,,,,,,,29,208696,75339,46000,34000,10590,6073,18841,10983,405,5634,824,,,,,,11027,11027,,1183208,,117641,,33993,,,25338,,20,,51500,,,12000,,,,,,,281568,1464776
Kansai,1998,4515914,1594180,1923499,28385,,,109039,351205,,,169599,,,,,,,,,,66738,1318958,379985,468700,,51953,91742,146988,72643,3328,86850,15433,,,,,,11213,11213,,5846086,,489320,,65463,,,116484,,57,,207000,,,45000,,,,,,,1068500,6914587
Chugoku,1998,1900373,1049045,676806,3712,,,53340,60855,,,34153,,,,,,,,,,6709,571526,251119,135967,32000,22777,12534,54660,20894,21050,18026,1800,,,,,,,,,2471900,,185527,,16676,,,42374,,29,,57000,,,48000,,,,,,,417887,2889787
